entity,attr,comment_old,comment_new
Report Import Value,Custodian Bank Code,Lookup pair: Custodian Bank.Custodian Bank Code. Pair with Custodian Bank Id. Classification: Source System Code = 'FMS_BANKMONI'.,Lookup pair: cstd_bnk.cstd_bnk_code. Pair with cstd_bnk_id. Classification: Source System Code = 'FMS_BANKMONI'.
Report Import Value,Foreign Fund Management Organization Unit Id,FK target: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Id. Classification: Source System Code = 'FMS_FORBRCH'.,FK target: frgn_fnd_mgt_ou.frgn_fnd_mgt_ou_id. Classification: Source System Code = 'FMS_FORBRCH'.
Report Import Value,Foreign Fund Management Organization Unit Code,Lookup pair: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Foreign Fund Management Organization Unit Id. Classification: Source System Code = 'FMS_FORBRCH'.,Lookup pair: frgn_fnd_mgt_ou.frgn_fnd_mgt_ou_code. Pair with frgn_fnd_mgt_ou_id. Classification: Source System Code = 'FMS_FORBRCH'.
Report Import Value,Reporting Period Id,FK target: Reporting Period.Reporting Period Id. Classification: Source System Code = 'FMS_RPTPERIOD'.,FK target: rpt_prd.rpt_prd_id. Classification: Source System Code = 'FMS_RPTPERIOD'.
Report Import Value,Reporting Period Code,Lookup pair: Reporting Period.Reporting Period Code. Pair with Reporting Period Id. Classification: Source System Code = 'FMS_RPTPERIOD'.,Lookup pair: rpt_prd.rpt_prd_code. Pair with rpt_prd_id. Classification: Source System Code = 'FMS_RPTPERIOD'.
Discretionary Investment Investor,Fund Management Company Id,FK target: Fund Management Company.Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,FK target: fnd_mgt_co.fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Discretionary Investment Investor,Fund Management Company Code,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Fund Distribution Agent Organization Unit,Fund Distribution Agent Id,FK target: Fund Distribution Agent.Fund Distribution Agent Id. Classification: Source System Code = 'FMS_AGENCIES'.,FK target: fnd_dstr_agnt.fnd_dstr_agnt_id. Classification: Source System Code = 'FMS_AGENCIES'.
Fund Distribution Agent Organization Unit,Fund Distribution Agent Code,Lookup pair: Fund Distribution Agent.Fund Distribution Agent Code. Pair with Fund Distribution Agent Id. Classification: Source System Code = 'FMS_AGENCIES'.,Lookup pair: fnd_dstr_agnt.fnd_dstr_agnt_code. Pair with fnd_dstr_agnt_id. Classification: Source System Code = 'FMS_AGENCIES'.
Fund Management Company Key Person,Fund Management Company Id,FK target: Fund Management Company.Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,FK target: fnd_mgt_co.fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Fund Management Company Key Person,Fund Management Company Code,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Fund Management Company Organization Unit,Fund Management Company Code,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with fnd_mgt_co_id.
Fund Management Company Organization Unit,Parent Organization Unit Code,Lookup pair: Fund Management Company Organization Unit.Fund Management Company Organization Unit Code. Pair with Parent Organization Unit Id.,Lookup pair: fnd_mgt_co_ou.fnd_mgt_co_ou_code. Pair with prn_ou_id.
Fund Management Company Organization Unit,Legal Representative Id,FK target: Fund Management Company Key Person.Fund Management Company Key Person Id.,FK target: fnd_mgt_co_key_psn.fnd_mgt_co_key_psn_id.
Foreign Fund Management Organization Unit Staff,Foreign Fund Management Organization Unit Id,FK target: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Id. Classification: Source System Code = 'FMS_FORBRCH'.,FK target: frgn_fnd_mgt_ou.frgn_fnd_mgt_ou_id. Classification: Source System Code = 'FMS_FORBRCH'.
Foreign Fund Management Organization Unit Staff,Foreign Fund Management Organization Unit Code,Lookup pair: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Foreign Fund Management Organization Unit Id. Classification: Source System Code = 'FMS_FORBRCH'.,Lookup pair: frgn_fnd_mgt_ou.frgn_fnd_mgt_ou_code. Pair with frgn_fnd_mgt_ou_id. Classification: Source System Code = 'FMS_FORBRCH'.
Foreign Fund Management Organization Unit Staff,Fund Management Company Key Person Id,FK target: Fund Management Company Key Person.Fund Management Company Key Person Id. Classification: Source System Code = 'FMS_TLProfiles'.,FK target: fnd_mgt_co_key_psn.fnd_mgt_co_key_psn_id. Classification: Source System Code = 'FMS_TLProfiles'.
Foreign Fund Management Organization Unit Staff,Fund Management Company Key Person Code,Lookup pair: Fund Management Company Key Person.Fund Management Company Key Person Code. Pair with Fund Management Company Key Person Id. Classification: Source System Code = 'FMS_TLProfiles'.,Lookup pair: fnd_mgt_co_key_psn.fnd_mgt_co_key_psn_code. Pair with fnd_mgt_co_key_psn_id. Classification: Source System Code = 'FMS_TLProfiles'.
Investment Fund,Fund Management Company Id,FK target: Fund Management Company.Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,FK target: fnd_mgt_co.fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Investment Fund,Fund Management Company Code,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Investment Fund Investor Membership,Investment Fund Id,FK target: Investment Fund.Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,FK target: ivsm_fnd.ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Investment Fund Investor Membership,Investment Fund Code,Lookup pair: Investment Fund.Investment Fund Code. Pair with Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,Lookup pair: ivsm_fnd.ivsm_fnd_code. Pair with ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Investment Fund Investor Membership,Discretionary Investment Investor Id,FK target: Discretionary Investment Investor.Discretionary Investment Investor Id. Classification: Source System Code = 'FMS_INVES'.,FK target: dscr_ivsm_ivsr.dscr_ivsm_ivsr_id. Classification: Source System Code = 'FMS_INVES'.
Investment Fund Investor Membership,Discretionary Investment Investor Code,Lookup pair: Discretionary Investment Investor.Discretionary Investment Investor Code. Pair with Discretionary Investment Investor Id. Classification: Source System Code = 'FMS_INVES'.,Lookup pair: dscr_ivsm_ivsr.dscr_ivsm_ivsr_code. Pair with dscr_ivsm_ivsr_id. Classification: Source System Code = 'FMS_INVES'.
Investment Fund Representative Board Member,Investment Fund Id,FK target: Investment Fund.Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,FK target: ivsm_fnd.ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Investment Fund Representative Board Member,Investment Fund Code,Lookup pair: Investment Fund.Investment Fund Code. Pair with Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,Lookup pair: ivsm_fnd.ivsm_fnd_code. Pair with ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Investment Fund Representative Board Member,Fund Management Company Key Person Id,FK target: Fund Management Company Key Person.Fund Management Company Key Person Id. Classification: Source System Code = 'FMS_TLProfiles'.,FK target: fnd_mgt_co_key_psn.fnd_mgt_co_key_psn_id. Classification: Source System Code = 'FMS_TLProfiles'.
Investment Fund Representative Board Member,Fund Management Company Key Person Code,Lookup pair: Fund Management Company Key Person.Fund Management Company Key Person Code. Pair with Fund Management Company Key Person Id. Classification: Source System Code = 'FMS_TLProfiles'.,Lookup pair: fnd_mgt_co_key_psn.fnd_mgt_co_key_psn_code. Pair with fnd_mgt_co_key_psn_id. Classification: Source System Code = 'FMS_TLProfiles'.
Member Rating,Fund Management Company Id,FK target: Fund Management Company.Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,FK target: fnd_mgt_co.fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Member Rating,Fund Management Company Code,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Member Rating,Member Rating Period Id,FK target: Member Rating Period.Member Rating Period Id. Classification: Source System Code = 'FMS_RATINGPD'.,FK target: mbr_rtg_prd.mbr_rtg_prd_id. Classification: Source System Code = 'FMS_RATINGPD'.
Member Rating,Member Rating Period Code,Lookup pair: Member Rating Period.Member Rating Period Code. Pair with Member Rating Period Id. Classification: Source System Code = 'FMS_RATINGPD'.,Lookup pair: mbr_rtg_prd.mbr_rtg_prd_code. Pair with mbr_rtg_prd_id. Classification: Source System Code = 'FMS_RATINGPD'.
Involved Party Postal Address,Geographic Area Id,FK target: Geographic Area.Geographic Area Id.,FK target: geo.geo_id.
Involved Party Postal Address,Geographic Area Code,Lookup pair: Geographic Area.Geographic Area Code. Pair with Geographic Area Id.,Lookup pair: geo.geo_code. Pair with geo_id.
Fund Management Company Share Transfer,Fund Management Company Id,FK target: Fund Management Company.Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,FK target: fnd_mgt_co.fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Fund Management Company Share Transfer,Fund Management Company Code,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Fund Management Company Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with fnd_mgt_co_id. Classification: Source System Code = 'FMS_SECURITIES'.
Investment Fund Certificate Transfer,Investment Fund Id,FK target: Investment Fund.Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,FK target: ivsm_fnd.ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Investment Fund Certificate Transfer,Investment Fund Code,Lookup pair: Investment Fund.Investment Fund Code. Pair with Investment Fund Id. Classification: Source System Code = 'FMS_FUNDS'.,Lookup pair: ivsm_fnd.ivsm_fnd_code. Pair with ivsm_fnd_id. Classification: Source System Code = 'FMS_FUNDS'.
Investment Fund Certificate Transfer,Investment Fund Investor Membership Id,FK target: Investment Fund Investor Membership.Investment Fund Investor Membership Id. Classification: Source System Code = 'FMS_MBFUND'.,FK target: ivsm_fnd_ivsr_mbr.ivsm_fnd_ivsr_mbr_id. Classification: Source System Code = 'FMS_MBFUND'.
Investment Fund Certificate Transfer,Investment Fund Investor Membership Code,Lookup pair: Investment Fund Investor Membership.Investment Fund Investor Membership Code. Pair with Investment Fund Investor Membership Id. Classification: Source System Code = 'FMS_MBFUND'.,Lookup pair: ivsm_fnd_ivsr_mbr.ivsm_fnd_ivsr_mbr_code. Pair with ivsm_fnd_ivsr_mbr_id. Classification: Source System Code = 'FMS_MBFUND'.
