file,entity,comment_old,comment_new
dm_atm_ip_pst_adr-FMS.AGENCIES.yaml,Involved Party Postal Address,FK target: Geographic Area.Geographic Area Id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.,FK target: geo.geo_id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_pst_adr-FMS.AGENCIES.yaml,Involved Party Postal Address,Lookup pair: Geographic Area.Geographic Area Code. Pair with Province Id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.,Lookup pair: geo.geo_code. Pair with prov_id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_pst_adr-FMS.AGENCIESBRA.yaml,Involved Party Postal Address,Lookup pair: Fund Distribution Agent Organization Unit.Fund Distribution Agent Organization Unit Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_AGENCIESBRA'.,Lookup pair: fnd_dstr_agnt_ou.fnd_dstr_agnt_ou_code. Pair with ip_id. Classification: Source System Code = 'FMS_AGENCIESBRA'.
dm_atm_ip_pst_adr-FMS.AGENCIESBRA.yaml,Involved Party Postal Address,FK target: Geographic Area.Geographic Area Id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.,FK target: geo.geo_id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_pst_adr-FMS.AGENCIESBRA.yaml,Involved Party Postal Address,Lookup pair: Geographic Area.Geographic Area Code. Pair with Province Id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.,Lookup pair: geo.geo_code. Pair with prov_id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_pst_adr-FMS.BANKMONI.yaml,Involved Party Postal Address,Lookup pair: Custodian Bank.Custodian Bank Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_BANKMONI'.,Lookup pair: cstd_bnk.cstd_bnk_code. Pair with ip_id. Classification: Source System Code = 'FMS_BANKMONI'.
dm_atm_ip_pst_adr-FMS.BANKMONI.yaml,Involved Party Postal Address,FK target: Geographic Area.Geographic Area Id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.,FK target: geo.geo_id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_pst_adr-FMS.BANKMONI.yaml,Involved Party Postal Address,Lookup pair: Geographic Area.Geographic Area Code. Pair with Province Id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.,Lookup pair: geo.geo_code. Pair with prov_id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_pst_adr-FMS.BRANCHES.yaml,Involved Party Postal Address,Lookup pair: Fund Management Company Organization Unit.Fund Management Company Organization Unit Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_BRANCHES'.,Lookup pair: fnd_mgt_co_ou.fnd_mgt_co_ou_code. Pair with ip_id. Classification: Source System Code = 'FMS_BRANCHES'.
dm_atm_ip_pst_adr-FMS.BRANCHES.yaml,Involved Party Postal Address,FK target: Geographic Area.Geographic Area Id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.,FK target: geo.geo_id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_pst_adr-FMS.BRANCHES.yaml,Involved Party Postal Address,Lookup pair: Geographic Area.Geographic Area Code. Pair with Province Id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.,Lookup pair: geo.geo_code. Pair with prov_id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_pst_adr-FMS.FORBRCH.yaml,Involved Party Postal Address,Lookup pair: Foreign Fund Management Organization Unit.Foreign Fund Management Organization Unit Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_FORBRCH'.,Lookup pair: frgn_fnd_mgt_ou.frgn_fnd_mgt_ou_code. Pair with ip_id. Classification: Source System Code = 'FMS_FORBRCH'.
dm_atm_ip_pst_adr-FMS.FORBRCH.yaml,Involved Party Postal Address,FK target: Geographic Area.Geographic Area Id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.,FK target: geo.geo_id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_pst_adr-FMS.FORBRCH.yaml,Involved Party Postal Address,Lookup pair: Geographic Area.Geographic Area Code. Pair with Province Id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.,Lookup pair: geo.geo_code. Pair with prov_id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_pst_adr-FMS.SECURITIES.yaml,Involved Party Postal Address,Lookup pair: Fund Management Company.Fund Management Company Code. Pair with Involved Party Id. Classification: Source System Code = 'FMS_SECURITIES'.,Lookup pair: fnd_mgt_co.fnd_mgt_co_code. Pair with ip_id. Classification: Source System Code = 'FMS_SECURITIES'.
dm_atm_ip_pst_adr-FMS.SECURITIES.yaml,Involved Party Postal Address,FK target: Geographic Area.Geographic Area Id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.,FK target: geo.geo_id. Lookup: DM_TINH_THANH. Classification: Source System Code = 'FIMS_NATIONAL'.
dm_atm_ip_pst_adr-FMS.SECURITIES.yaml,Involved Party Postal Address,Lookup pair: Geographic Area.Geographic Area Code. Pair with Province Id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.,Lookup pair: geo.geo_code. Pair with prov_id. // Text denormalized — provinces là reference data set chưa map vào shared Geographic Area trong scope IDS. Classification: Source System Code = 'FIMS_NATIONAL'.
