Chức năng,Tiêu chí,Tham số tra cứu,Trường thông tin,Công thức tính toán,Nội dung cần confirm,Ảnh
,,,GTGD thỏa thuận,"Tổng GTGD trong ngày: Tính từ sổ lệnh khớp.Điều kiện: 
Hose: Khớp lệnh 
MARKET_ID IN ('STK')
AND BOARD_TYPE = ('T1','T2','T3','T4','T6','R1')
đối với HNX: Khớp lệnh 
MARKET_ID IN ('STX','UPX')
And BOARD_ID =  ('T1','T2','T3','T4','T6','R1')",,
,,,Vốn hóa thị trường,Vốn hóa = Giá đóng cửa * Khối lượng cổ phiếu lưu hành tại ngày cuối kỳ báo cáo (Đến ngày),UPCOM: Dùng giá bình quân (VWAP) hay Giá đóng cửa,
Thị trường chuyên sâu >> Định giá,Biểu đồ đường bao gồm các chỉ tiêu P/E và P/B trong khoảng thời gian 3M/6M/9M,"- Lọc  3M/6M/9M /...
- Lọc P/B,P/E",Mã chỉ số,,,
,,,Giá của chỉ số,Giá đóng cửa tại từng  ngày cuối kỳ báo cáo,,
,,,P/E,"Tính P/E tại ngày cuối kỳ báo cáo (tại từng ngày):
P/E = Giá đóng cửa / EPS
Trong đó: EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM (4 quý liên tiếp gần nhất)
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo",,
,,,P/B,"Tính P/B tại ngày cuối kỳ báo cáo (tại từng ngày):
P/B = Giá đóng cửa/ Giá trị sổ sách của cổ phiếu.
Trong đó: Giá trị sổ sách = VCSH/ Khối lượng cổ phiếu đang lưu hành
  - VCSH: Lấy từ BCTC của kỳ gần nhất với ngày tra cứu
  - Khối lượng cổ phiếu đang lưu hành: Tính tại ngày cuối kỳ báo cáo.",,
Top tăng giá / Top giảm giá,"Top mã có % thay đổi giá tăng/giảm nhiều nhất: So sánh giữa giá đóng cửa của <Đến ngày> và giá tham chiếu của <Từ ngày>
- % thay đổi giá của 1 ngày: [(P_close_t / P_reference_t) - 1]* 100
- % thay đổi giá của n ngày: [(P_close_t / P_reference_t-n) - 1] * 100
Ghi chú: Giá tham chiếu của ngày t:
  - HOSE, HNX: Giá tham chiếu ngày t = Giá đóng cửa ngày t-1
  - UPCOM: Giá tham chiếu ngày t = Giá bình quân (VWAP) ngày t-1","- Từ ngày - Đến ngày
- Top
- Lọc theo sàn: Toàn thị trường, HOSE, HNX, UPCOM
- Lọc theo Chỉ số: Chỉ số thị trường, Chỉ số ngành/khác",Giá,Giá đóng cửa tại ngày cuối kỳ báo cáo (Đến ngày),,
,,,% thay đổi giá (tại ngày cuối kỳ),% thay đổi giá của 1 ngày: [(P_close_t / P_reference_t) - 1]* 100,,
,,,% thay đổi giá trong kỳ,"% thay đổi giá của n ngày: [(P_close_t / P_reference_t-n) - 1] * 100
-> Chỉ tiêu dùng để lọc top mã chứng khoán tăng/giảm giá",,
,,,KLGD,"Tổng KLGD trong khoảng thời gian tra cứu (Từ ngày - Đến ngày).Tính từ sổ lệnh khớp Là KLGD khớp lệnh.
MARKET_ID IN ('STK')
AND BOARD_TYPE = ('T1','T2','T3','T4','T6','R1')
đối với HNX: Khớp lệnh 
MARKET_ID IN ('STX','UPX')
And BOARD_ID =  ('T1','T2','T3','T4','T6','R1')",,
,,,GTGD,"Tổng GTGD trong khoảng thời gian tra cứu (Từ ngày - Đến ngày) Tính từ sổ lệnh khớp Là GTGD khớp lệnh.
MARKET_ID IN ('STK')
AND BOARD_TYPE = ('T1','T2','T3','T4','T6','R1')
đối với HNX: Khớp lệnh 
MARKET_ID IN ('STX','UPX')
And BOARD_ID =  ('T1','T2','T3','T4','T6','R1')",,
,,,Vốn hóa,Vốn hóa = Giá đóng cửa * Khối lượng cổ phiếu lưu hành tại ngày cuối kỳ báo cáo (Đến ngày),UPCOM: Dùng giá bình quân (VWAP) hay Giá đóng cửa,
,,,P/E,"Tính P/E tại ngày cuối kỳ báo cáo (Đến ngày):
P/E = Giá đóng cửa / EPS
Trong đó: EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM (4 quý liên tiếp gần nhất)
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo",,
,,,P/B,"Tính P/B tại ngày cuối kỳ báo cáo (Đến ngày):
P/B = Giá đóng cửa/ Giá trị sổ sách của cổ phiếu.
Trong đó: Giá trị sổ sách = VCSH/ Khối lượng cổ phiếu đang lưu hành
  - VCSH: Lấy từ BCTC của kỳ gần nhất với ngày tra cứu
  - Khối lượng cổ phiếu đang lưu hành: Tính tại ngày cuối kỳ báo cáo.",,
Top khối lượng,Top mã có Tổng KLGD lớn nhất trong khoảng thời gian <Từ ngày -- Đến ngày>,"- Từ ngày - Đến ngày
- Top
- Lọc theo sàn: HOSE, HNX, UPCOM
- Lọc theo ...",Mã chứng khoán,,,
,,,KLGD,"Tổng KLGD trong khoảng thời gian tra cứu (Từ ngày - Đến ngày)
Tính từ sổ lệnh khớp Là KLGD khớp lệnh.",,
,,,Giá,Giá đóng cửa tại ngày cuối kỳ báo cáo (Đến ngày),,
,,,% Thay đổi giá,"(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh:
[(P_close_t / P_reference_t) - 1]* 100",,
,,,Vốn hóa,Vốn hóa = Giá đóng cửa * Khối lượng cổ phiếu lưu hành tại ngày cuối kỳ báo cáo (Đến ngày),UPCOM: Dùng giá bình quân (VWAP) hay Giá đóng cửa,
,,,P/E,"Tính P/E tại ngày cuối kỳ báo cáo (Đến ngày):
P/E = Giá đóng cửa / EPS
Trong đó: EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM (4 quý liên tiếp gần nhất)
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo",,
,,,P/B,"Tính P/B tại ngày cuối kỳ báo cáo (Đến ngày):
P/B = Giá đóng cửa/ Giá trị sổ sách của cổ phiếu.
Trong đó: Giá trị sổ sách = VCSH/ Khối lượng cổ phiếu lưu hành
  - VCSH: Lấy từ BCTC của kỳ gần nhất với ngày tra cứu
  - Khối lượng cổ phiếu lưu hành: Tính tại ngày cuối kỳ báo cáo.",,
Top giá trị,Top mã có Tổng GTGD lớn nhất trong khoảng thời gian  <Từ ngày -- Đến ngày>,"- Từ ngày - Đến ngày
- Top
- Lọc theo sàn: HOSE, HNX, UPCOM
- Lọc theo ...",Mã chứng khoán,,,
,,,GTGD,"Tổng GTGD trong khoảng thời gian tra cứu (Từ ngày - Đến ngày)
Tính từ sổ lệnh khớp Là GTGD khớp lệnh.",,
,,,Giá,Giá đóng cửa tại ngày cuối kỳ báo cáo (Đến ngày),,
,,,% Thay đổi giá,"(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh của 1 ngày:
[(P_close_t / P_reference_t) - 1]* 100",,
,,,Vốn hóa,Vốn hóa = Giá đóng cửa * Khối lượng cổ phiếu lưu hành tại ngày cuối kỳ báo cáo (Đến ngày),,
,,,P/E,"Tính P/E tại ngày cuối kỳ báo cáo (Đến ngày):
P/E = Giá đóng cửa / EPS
Trong đó: EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM (4 quý liên tiếp gần nhất)
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo",,
,,,P/B,"Tính P/B tại ngày cuối kỳ báo cáo (Đến ngày):
P/B = Giá đóng cửa/ Giá trị sổ sách của cổ phiếu.
Trong đó: Giá trị sổ sách = VCSH/ Khối lượng cổ phiếu lưu hành
  - VCSH: Lấy từ BCTC của kỳ gần nhất với ngày tra cứu
  - Khối lượng cổ phiếu lưu hành: Tính tại ngày cuối kỳ báo cáo.",,
Top đột phá,"Top mã có Tổng KLGD trong <Ngày> lớn hơn ... lần KLGD trung bình trong ... ngày
- KLGD trung bình tính trong n ngày giao dịch liền trước <Ngày>","- Tại ngày
- Top
- Lọc theo bộ tham số Tỷ lệ giữa KLGD hiện tại và KLGDTB trong
X ngày Lớn hơn X Lần.
- Lọc theo sàn: HOSE, HNX, UPCOM
- Lọc theo bộ chỉ số
- Lọc theo mã chứng khoán",Mã chứng khoán,,,
,,,KLGD,"Tổng KLGD trong ngày : Tính từ sổ lệnh khớp ( trade hose/trade hnx)
Tính từ sổ lệnh khớp Là KLGD khớp lệnh.",,
,,,Giá,Giá đóng cửa tại 1 ngày cuối kỳ báo cáo theo tham số Tỷ lệ giữa KLGD hiện tại và KLGDTB trong X ngày Lớn hơn X Lần.,,
,,,% Thay đổi giá,"% Thay đổi giá theo bộ lọc tham số Tỷ lệ giữa KLGD hiện tại và KLGDTB trong X ngày Lớn hơn X Lần:
(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh của 1 ngày:
[(P_close_t / P_reference_t) - 1]* 100",,
,,,Vốn hóa,"Vốn hóa theo bộ lọc tham số Tỷ lệ giữa KLGD hiện tại và KLGDTB trong X ngày Lớn hơn X Lần.
Vốn hóa = Giá đóng cửa * Khối lượng cổ phiếu lưu hành tại ngày cuối kỳ báo cáo ",,
,,,P/E,"Tính P/E tại 1 ngày theo bộ lọc tham số Tỷ lệ giữa KLGD hiện tại và KLGDTB trong
X ngày Lớn hơn X Lần.:
P/E = Giá đóng cửa / EPS
Trong đó: EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM (4 quý liên tiếp gần nhất)
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo",,
,,,P/B,"Tính P/B tại 1 ngày theo bộ lọc tham số Tỷ lệ giữa KLGD hiện tại và KLGDTB trong
X ngày Lớn hơn X Lần.:
P/B = Giá đóng cửa/ Giá trị sổ sách của cổ phiếu.
Trong đó: Giá trị sổ sách = VCSH/ Khối lượng cổ phiếu lưu hành
  - VCSH: Lấy từ BCTC của kỳ gần nhất với ngày tra cứu
  - Khối lượng cổ phiếu lưu hành: Tính tại ngày cuối kỳ báo cáo.",,
Top vượt đỉnh,Top mã có giá đóng cửa tại <Ngày> vượt đỉnh của 3 tháng/6 tháng/1 năm trước <Đến ngày> và sắp xếp theo % vượt đỉnh nhiều nhất,"- Tại ngày
- Top
- Lọc theo bộ tham 3 tháng/6tháng/1 năm trước
- Lọc theo sàn: HOSE, HNX, UPCOM
- Lọc theo bộ chỉ số
- Lọc theo mã chứng khoán",Mã chứng khoán,,,
,,,KLGD,"Tổng KLGD trong ngày : Tính từ sổ lệnh khớp ( trade hose/trade hnx)
Tính từ sổ lệnh khớp Là KLGD khớp lệnh.",,
,,,Giá,Giá đóng cửa tại 1 ngày cuối kỳ báo cáo,,
,,,% Thay đổi giá,"% Thay đổi giá tại 1 ngày:
(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh của 1 ngày:
[(P_close_t / P_reference_t) - 1]* 100",,
,,,Đỉnh cũ,Giá đóng cửa cao nhất trong khoảng 3 tháng/6 tháng/1 năm liền trước <tại ngày>,,
,,,Vốn hóa,Vốn hóa = Giá đóng cửa tại ngày * Khối lượng cổ phiếu lưu hành tại ngày cuối kỳ báo cáo ,,
,,,P/E,"Tính P/E tại 1 ngày:
P/E = Giá đóng cửa / EPS
Trong đó: EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM (4 quý liên tiếp gần nhất)
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo",,
,,,P/B,"Tính P/B tại 1 ngày:
P/B = Giá đóng cửa/ Giá trị sổ sách của cổ phiếu.
Trong đó: Giá trị sổ sách = VCSH/ Khối lượng cổ phiếu lưu hành
  - VCSH: Lấy từ BCTC của kỳ gần nhất với ngày tra cứu
  - Khối lượng cổ phiếu lưu hành: Tính tại ngày cuối kỳ báo cáo.",,
Top thủng đáy,Top mã có giá đóng cửa tại <Ngày> dưới giá thấp nhất của 3 tháng/6 tháng/1 năm trước <Đến ngày> và sắp xếp theo % thủng đáy nhiều nhất,"- Tại ngày
- Top
- Lọc theo bộ tham 3 tháng/6tháng/1 năm trước
- Lọc theo sàn: HOSE, HNX, UPCOM
- Lọc theo bộ chỉ số
- Lọc theo mã chứng khoán",Mã chứng khoán,,,
,,,KLGD,"Tổng KLGD trong ngày : Tính từ sổ lệnh khớp ( trade hose/trade hnx)
Tính từ sổ lệnh khớp Là KLGD khớp lệnh.",,
,,,Giá,Giá đóng cửa tại 1 ngày cuối kỳ báo cáo,,
,,,% Thay đổi giá,"% Thay đổi giá tại 1 ngày:
(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh của 1 ngày:
[(P_close_t / P_reference_t) - 1]* 100",,
,,,Đáy cũ ,Giá đóng cửa thấp nhất trong khoảng 3 tháng/6 tháng/1 năm liền trước <tại ngày>,,
,,,Vốn hóa,Vốn hóa = Giá đóng cửa tại ngày * Khối lượng cổ phiếu lưu hành tại ngày cuối kỳ báo cáo ,,
,,,P/E,"Tính P/E tại 1 ngày:
P/E = Giá đóng cửa / EPS
Trong đó: EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM (4 quý liên tiếp gần nhất)
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo( tại ngày)",,
,,,P/B,"Tính P/B tại 1 ngày:
P/B = Giá đóng cửa/ Giá trị sổ sách của cổ phiếu.
Trong đó: Giá trị sổ sách = VCSH/ Khối lượng cổ phiếu lưu hành
  - VCSH: Lấy từ BCTC của kỳ gần nhất với ngày tra cứu
  - Khối lượng cổ phiếu lưu hành: Tính tại ngày cuối kỳ báo cáo ( tại ngày)",,
Top Nhà đầu tư nước ngoài,Top mã có Tổng KL mua/ Tổng KL bán ròng/ Tổng GT mua ròng / Tổng GT bán ròng của NĐTNN lớn nhất trong khoảng <Từ ngày -- Đến ngày>,"- Từ ngày - Đến ngày
- Top
- Lọc theo: KL mua ròng/ KL bán ròng/GT mua ròng/GT bán ròng
- Lọc theo sàn: HOSE, HNX, UPCOM
- Lọc theo bộ chỉ số
- Lọc theo mã chứng khoán",Mã chứng khoán,,,
,,,KLGD,"Tổng KLGD trong khoảng thời gian tra cứu (Từ ngày - Đến ngày)
Tính từ sổ lệnh khớp Là KLGD khớp lệnh.",,
,,,Giá,Giá đóng cửa tại ngày cuối kỳ báo cáo (Đến ngày),,
,,,% Thay đổi giá,"% Thay đổi giá tại ( Đến ngày ):
(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh của 1 ngày:
[(P_close_t / P_reference_t) - 1]* 100",,
,,,"Khối lượng mua ròng
>> Chỉ tiêu dùng để lọc top Tổng KL mua ròng lớn nhất trong khoảng từ ngày - đến ngày ","Khối lượng mua ròng trong khoảng thời gian tra cứu (Từ ngày - Đến ngày)
CL =  KLGD mua của NĐTNN - bán của NĐTNN
Điều kiện: CL mua và bán > 0 -> KL mua ròng ",,
,,,"Khối lượng bán ròng
>> Chỉ tiêu dùng để lọc top Tổng KL bán ròng lớn nhất trong khoảng từ ngày - đến ngày ","Khối lượng bán ròng trong khoảng thời gian tra cứu (Từ ngày - Đến ngày)
CL =  KLGD mua của NĐTNN - bán của NĐTNN
Điều kiện: CL mua và bán < 0 -> KL bán ròng",,
,,,"Giá trị mua ròng
>> Chỉ tiêu dùng để lọc top Tổng GT mua ròng lớn nhất trong khoảng từ ngày - đến ngày ","Giá trị mua ròng trong khoảng thời gian tra cứu (Từ ngày - Đến ngày)
CL =  GTGD mua của NĐTNN - GTGD bán của NĐTNN
Điều kiện: CL mua và bán > 0 -> GTGD mua ròng ",,
,,,"Giá trị bán ròng
>> Chỉ tiêu dùng để lọc top Tổng GT bán ròng lớn nhất trong khoảng từ ngày - đến ngày ","Giá trị bán ròng trong khoảng thời gian tra cứu (Từ ngày - Đến ngày)
CL =  GTGD mua của NĐTNN - GTGD bán của NĐTNN
Điều kiện: CL mua và bán < 0 -> GTGD bán ròng ",,
,,,Vốn hóa,Vốn hóa = Giá đóng cửa tại (Đến ngày) * Khối lượng cổ phiếu lưu hành tại ngày cuối kỳ báo cáo (Đến ngày),,
,,,P/E,"Tính P/E tại ngày cuối kỳ báo cáo (Đến ngày):
P/E = Giá đóng cửa / EPS
Trong đó: EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM (4 quý liên tiếp gần nhất)
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo",,
,,,P/B,"Tính P/B tại ngày cuối kỳ báo cáo (Đến ngày):
P/B = Giá đóng cửa/ Giá trị sổ sách của cổ phiếu.
Trong đó: Giá trị sổ sách = VCSH/ Khối lượng cổ phiếu lưu hành
  - VCSH: Lấy từ BCTC của kỳ gần nhất với ngày tra cứu
  - Khối lượng cổ phiếu lưu hành: Tính tại ngày cuối kỳ báo cáo.",,
"Theo dõi bản đồ nhiệt của các cổ phiếu, ngành theo Vốn hóa thị trường / KLGD / GTGD / KLNN mua / KLNN bán / GTNN mua / GTNN bán","Bản đồ nhiệt cung cấp một cái nhìn tổng quan về diễn biến giao dịch cổ
phiếu trên thị trường dựa trên các tiêu chí:
+ Vốn hóa,
+ Khối lượng,
+ Giá trị,
+ Khối lượng nước ngoài Mua và Bán,
+ Giá trị nước ngoài Mua và Bán","- Tại ngày
- Lọc theo: vốn hóa/ khối lượng/ giá trị/ khối lượng nước ngoài mua và bán/ Giá trị nước ngoài mua và bán
- Lọc theo sàn: HOSE, HNX, UPCOM",Mã chứng khoán,,,
,,,Giá,Giá đóng cửa tại 1 ngày cuối kỳ báo cáo,,
,,,% Thay đổi giá,"% Thay đổi giá tại 1 ngày:
(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh của 1 ngày:
[(P_close_t / P_reference_t) - 1]* 100",,
,,,% Thay đổi giá của nhóm ngành,( Σ(Giá đóng cửa * KL CK lưu hành) / Σ(Giá tham chiếu * KL CK lưu hành) - 1 ) * 100,,
,,,Khối lượng,Tổng KLGD trong ngày: Tính từ sổ lệnh khớp.Là KLGD khớp lệnh.,,
,,,Giá trị,Tổng GTGD trong ngày: Tính từ sổ lệnh khớp.Là GTGD khớp lệnh.,,
,,,KLNN Mua,Tổng KLGD mua của NĐTNN trong ngày: Tính từ sổ lệnh khớp. ,,
,,,KLNN Bán,Tổng KLGD bán của NĐTNN trong ngày: Tính từ sổ lệnh khớp. ,,
,,,GTNN Mua,Tổng GTGD mua của NĐTNN trong ngày: Tính từ sổ lệnh khớp. ,,
,,,GTNN Bán,Tổng GTGD bán của NĐTNN trong ngày: Tính từ sổ lệnh khớp. ,,
,,,Vốn hóa,Vốn hóa = Giá đóng cửa tại ngày * Khối lượng cổ phiếu lưu hành tại ngày cuối kỳ báo cáo ,,
Xu hướng dòng tiền >> Theo dõi tỷ trọng dòng tiền dưới dạng biểu đồ cột - biểu đồ phân tán,"Tỷ trọng với 2 dạng biểu đồ cột và biểu đồ phân tán mang đến dữ liệu về các mã cổ phiếu
đóng góp vào việc tăng/giảm các chỉ số Vnindex, Hnxindex.","- Tại ngày
- Lọc theo bộ lọc ngày: 1 ngày/5 ngày/10 ngày/20 ngày trước
- Lọc theo bộ chỉ số (VNIndex, HNX Index, UPCoM Index)
- Lọc theo Số CPLH/Free Float 
",Mã chỉ số,,,
,,,Mã chứng khoán,Mã chứng khoán của rổ chỉ số đã lọc,,
,,,Giá chỉ số,Giá đóng cửa của chỉ số tại 1 ngày lọc ,,
,,,% thay đổi giá của mã chỉ số (tại ngày cuối kỳ),% thay đổi giá của 1 ngày: [(P_close_t / P_reference_t) - 1]* 100,,
,,,Giá của mã chứng khoán,Giá đóng cửa của từng mã chứng khoán tại 1 ngày lọc,,
,,,% thay đổi giá của mã chứng khoán (tại ngày cuối kỳ),% thay đổi giá của 1 ngày: [(P_close_t / P_reference_t) - 1]* 100,,
,,,Điểm đóng góp theo vốn hóa của cổ phiếu đang lưu hành,,,
,,,Điểm đóng góp theo vốn hóa của cổ phiếu đang lưu hành điểm đóng góp tương đối,,,
,,,Điểm đóng góp theo vốn hóa của cổ phiếu tự do chuyển nhượng,"- Khi tích chọn Free Float : sẽ hiển thị điểm đóng góp theo vốn hóa của cổ phiếu tự do chuyển nhượng
",,
,,,Điểm đóng góp theo vốn hóa của cổ phiếu tự do chuyển nhượng tương đối,- Khi tích chọn Free Float : sẽ hiển thị điểm đóng góp theo vốn hóa của cổ phiếu tự do chuyển nhượng,,
,,,Khối lượng giao dịch,Tổng KLGD trong ngày: Tính từ sổ lệnh khớp. Là KLGD khớp lệnh.,,
,,,Giá trị giao dịch,Tổng GTGD trong ngày: Tính từ sổ lệnh khớp.Là GTGD khớp lệnh.,,
Xu hướng dòng tiền >>Theo dõi giao dịch nước ngoài >> Xem biểu đồ tổng giá trị giao dịch khối ngoại ,"Nước ngoài cung cấp thông tin tổng quát về quá trình giao dịch của Khối ngoại thông qua
biểu đồ đường. Trong khi đó, bản đồ nhiệt bên dưới gợi ý cho bạn về các mã cổ phiếu đang
hút/đẩy dòng tiền khối ngoại.","- Tại ngày 
- Lọc mã chứng khoán 
- Lọc theo bộ lọc ngày: 1 ngày/5 ngày/20 ngày trước
",Mã chứng khoán,,,
,,,Giá mở cửa,Giá giao dịch đầu tiên trong ngày ,,
,,,Giá cao nhất,Giá giao dịch cao nhất trong ngày,,
,,,Giá thấp nhất,Giá giao dịch thấp nhất trong ngày,,
,,,Giá đóng cửa,Giá giao dịch cuối cùng trong ngày,,
,,,% Thay đổi giá,"% Thay đổi giá tại 1 ngày:
(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh của 1 ngày:
[(P_close_t / P_reference_t) - 1]* 100",,
