STT;Mã;Dashboard/báo cáo;Thông tin;Mô tả;Nhóm yêu cầu;Phân loại;Đánh giá;Độ chi tiết;Nguồn;Cần phân tích?;Cần test?;DL lịch sử?;Trạng thái mapping;Mapping (nghiệp vụ);Bảng nguồn;Trường nguồn;Điều kiện dữ liệu;Câu lệnh SQL;Note;Kết quả Test;Model;DMT
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Tên doanh nghiệp;;Dashboard;Chiều;Trùng;CTDC, ngày;IDS - GSĐC;X;X;;Done;;trùng dòng 4;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Công bố BCTC;"Điểm Công bố BCTC trên phân hệ: Thông tin định kỳ - Báo cáo tài chính
- Đánh giá tiêu chí dựa trên :
1. Bình Thường: Trước/Đúng hạn
2. Cảnh báo: Trễ hạn dưới 1 tháng
3. Rủi ro: Trễ hạn trên 1 tháng 
- Kỳ đánh giá: 3 năm liền trước";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Công bố BCTN;Điểm Công bố BCTN trên phân hệ: Thông tin định kỳ - Công bố Báo cáo thường niên;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Công bố báo cáo tình hình quản trị;Điểm Công bố Báo cáo tình hình quản trị trên phân hệ: Thông tin định kỳ - Báo cáo tình hình Quản trị;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Công bố thông tin Thay đổi Tổng giám đốc/Chủ tịch HĐQT;"Điểm Công bố Thông tin thay đổi Tổng giám đốc/Chủ tịch HĐQT trên phân hệ: Thông tin bất thường - Thay đổi Tổng giám đốc/Chủ tịch HĐQT
- Đánh giá tiêu chí dựa trên :
1. Bình Thường: < 1 lần/năm 
2. Cảnh báo: < 2 lần/năm 
3. Rủi ro: > 3 lần/năm
- Kỳ đánh giá: 3 năm liền trước";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Công bố thông tin về vi phạm, quyết định xử phạt;"Điểm Công bố Thông tin về vi phạm, xử phạt trên phân hệ: Thông tin bất thường - Vi phạm từ các đơn vị khác/ubcknn
- Đánh giá tiêu chí dựa trên :
1. Bình Thường: 0 lần/năm
2. Cảnh báo: 1 vi phạm
3. Rủi ro: 1 vi phạm 
- Kỳ đánh giá: 3 năm liền trước";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Điều lệ Công ty và Các Quy chế hoạt động;"Điểm điều lệ công ty và các quy chế hoạt động trên phân hệ: Quản trị công ty - Điều lệ Công ty + Các Quy chế hoạt động
- Đánh giá tiêu chí dựa trên :
1.Bình Thường: Đầy đủ
2. Cảnh báo: Thiếu 1 trong các tài liệu hoặc Không được thông qua bởi ĐH cổ đông.
3. Rủi ro: Để mặc định là Bình thường, cho phép chuyên viên sửa nếu có vấn đề khác.
- Kỳ đánh giá: Gần nhất.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Số lượng ĐHĐCĐ thường niên trong 6 tháng đầu năm;"Điểm số lượng ĐHĐCĐ thường niên trong 6 tháng đầu năm trên phân hệ: 
- Đánh giá tiêu chí dựa trên :
1.Bình Thường: Thành công lần thứ nhất và trước ngày 30/06
2. Cảnh báo: Thành công lần thứ nhất và trước ngày 30/06 Thành công ở 2 lần.
3. Rủi ro: Thành công ở 3 lần hoặc không thành công 
- Kỳ đánh giá: Gần nhất";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Số lượng thành viên HĐQT độc lập;"Điểm Số lượng thành viên HĐQT độc lập trên phân hệ:
- Đánh giá tiêu chí dựa trên:
1. Bình Thường: 
+ Từ 3-5: tối thiểu 1
+ Từ 6-8: Tối thiểu 2
+ Từ 9-11: Tối thiểu 3
2. Cảnh báo: Không đảm bảo số lượng.
3. Rủi ro: Không có.
- Kỳ đánh giá: Gần nhất.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Số lượng thành viên HĐQT không điều hành;"Điểm Số lượng thành viên HĐQT không điều hành trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1.Bình Thường: Tối thiểu 1/3 Tổng số thành viên HĐQT
2. Cảnh báo: Không đảm bảo số lượng.
3. Rủi ro: Không có.
- Kỳ đánh giá: Gần nhất.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Tư cách thành viên HĐQT/BKS/Kế toán trưởng;"Điểm Tư cách thành viên HĐQT/BKS/Kế toán trưởng trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1.Bình Thường: 
2. Cảnh báo: Chủ tịch kiêm Tổng giám đốc. Và/hoặc:
Thành viên HĐQT công ty chỉ được đồng thời là thành viên HĐQT tại > 05 công ty khác.
3. Rủi ro: Bất kỳ thành viên HĐQT nào có vấn đề pháp lý (bị khởi tố, tạm giam, phối hợp điều tra …).
- Kỳ đánh giá: Gần nhất.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Số lượng thành viên BKS hoặc Ủy ban kiểm toán;"Điểm Số lượng thành viên BKS hoặc Ủy ban kiểm toán trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1.Bình Thường: BKS: Tối thiểu 3 thành viên.
Ủy ban kiểm toán: Tối thiểu 2
2. Cảnh báo: Không đủ số lượng
3. Rủi ro: Không có
- Kỳ đánh giá: Gần nhất.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Báo cáo tiến độ sử dụng vốn;"Điểm Báo cáo tiến độ sử dụng vốn trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1.Bình Thường: 
Trong vòng 6 tháng + 5 ngày kể từ ngày Kết thúc đợt chào bán có báo cáo.
6 tháng tiếp theo cũng
phải công bố báo cáo tiến độ và có 5 ngày để nộp
2. Cảnh báo: Chậm sau từ 1 ngày trở lên so với ngày (Ngày Kết thúc chào bán + 6 tháng + 5 ngày).
3. Rủi ro: Chậm sau 1 tháng 
- Kỳ đánh giá: 3 năm liền trước.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Thay đổi phương án sử dụng vốn;"Điểm Thay đổi phương án sử dụng vốn trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1. Bình Thường: Các trường hợp còn lại.
2. Cảnh báo: Quá hạn > 24h so với ngày Thông qua Nghị quyết hoặc
Sai cấp phê duyệt
3. Rủi ro: Quá hạn > 24h so với ngày Thông qua Nghị quyết hoặc Sai cấp phê duyệt
- Kỳ đánh giá: 3 năm liền trước.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
2;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tuân thủ;Tổng điểm;Tổng điểm phân loại theo tiêu chí tuân thủ;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
3;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phát hành;Mã doanh nghiệp;;Dashboard;Chiều;Trùng;CTDC, ngày;IDS - GSĐC;;X;;Done;;trùng dòng 4;;;;;;;
3;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phát hành;Tên doanh nghiệp;;Dashboard;Chiều;Trùng;CTDC, ngày;IDS - GSĐC;X;X;;Done;;trùng dòng 4;;;;;;;
3;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phát hành;Phát hành tăng vốn nhanh;"Điểm Phát hành tăng vốn nhanh trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1.Bình Thường: Các trường hợp còn lại.
2. Cảnh báo: Số lần tăng vốn >= 3 lần trong vòng 3 năm (Không tính trả cổ tức bằng cổ phiếu, Thưởng cổ phiếu)
3. Rủi ro: Giá trị Vốn CSH tăng trên 2 lần trong 3 năm
- Kỳ đánh giá: 3 năm liền trước.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
3;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phát hành;Số lần chào bán cổ phiếu riêng lẻ;"Điểm Số lần chào bán cổ phiếu riêng lẻ trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1. Bình Thường: Các trường hợp còn lại.
2. Cảnh báo: Có chào bán cổ phiếu riêng lẻ từ 2 lần trở lên trong vòng 3 năm.
3. Rủi ro: Có chào bán cổ phiếu riêng lẻ từ 3 lần trở lên trong vòng 3 năm.
- Kỳ đánh giá: 3 năm liền trước.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
3;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phát hành;Số lần chào bán ra công chúng;"Điểm Số lần chào bán ra công chúng trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1. Bình Thường: Các trường hợp còn lại.
2. Cảnh báo: Có chào bán cổ phiếu ra công chúng từ 2 lần trong vòng 3 năm.
3. Rủi ro: Có chào bán cổ phiếu ra công chúng từ 3 lần trong vòng 3 năm.
- Kỳ đánh giá: 3 năm liền trước.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
3;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phát hành;Số lần phát hành esop;"Điểm Số lần phát hành esop trên phân hệ:
";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
3;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phát hành;Tỷ lệ Phát hành trái phiếu không có TSBĐ (%);"Điểm Tỷ lệ Phát hành trái phiếu không có TSBĐ (%) trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1. Bình Thường: Các trường hợp còn lại.
2. Cảnh báo: >20%.
3. Rủi ro: >50%.
- Kỳ đánh giá: 3 năm liền trước.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
3;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phát hành;Tỷ lệ Trái phiếu vi phạm nghĩa vụ thanh toán lãi và gốc;"Điểm Tỷ lệ Trái phiếu vi phạm nghĩa vụ thanh toán lãi và gốc trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1. Bình Thường: Không có vi phạm
2. Cảnh báo: Có ít nhất 1 lô vi phạm trả lãi
3. Rủi ro: Có ít nhất 1 lô vi phạm trả lãi
- Kỳ đánh giá: 3 năm liền trước.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
3;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phát hành;Dư nợ Trái phiếu /Tổng Vốn chủ sở hữu;"Điểm Dư nợ Trái phiếu /Tổng Vốn chủ sở hữu trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1.Bình Thường: Các trường hợp còn lại.
2. Cảnh báo: >1
3. Rủi ro: >1
- Kỳ đánh giá: 3 năm liền trước.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
3;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phát hành;Tổng điểm;Tổng điểm phân loại theo tiêu chí phát hành;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;Mã doanh nghiệp;;Dashboard;Chiều;Trùng;CTDC, ngày;IDS - GSĐC;;X;;Done;;trùng dòng 4;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;Tên doanh nghiệp;;Dashboard;Chiều;Trùng;CTDC, ngày;IDS - GSĐC;X;X;;Done;;trùng dòng 4;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;Kiểm toán - Ý kiến kiểm toán;"Điểm Kiểm toán - Ý kiến kiểm toán trên phân hệ:
";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;Khả năng hoạt động liên tục;Điểm khả năng hoạt động liên tục;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;Dòng tiền từ hoạt động kinh doanh;"Điểm Dòng tiền từ hoạt động kinh doanh trên phân hệ:
Dòng tiền từ hoạt động kinh doanh - Báo cáo lưu chuyển tiền tệ (Dòng tiền từ hoạt động kinh doanh)";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;Khả năng thanh toán hiện thời;"Điểm Khả năng thanh toán hiện thời trên phân hệ:
Khả năng thanh toán - Khả năng thanh toán hiện thời";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;EBIT/Lãi vay;"Điểm EBIT/Lãi vay trên phân hệ:
";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;Nợ/VCSH;"Điểm Nợ/VCSH trên phân hệ:
";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;Nợ/Vốn điều lệ;"Điểm Nợ/Vốn điều lệ trên phân hệ:
";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;VCSH;"Điểm VCSH trên phân hệ:
";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;ROE;"Điểm ROE trên phân hệ:
";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;Doanh thu từ HĐ tài chính / Lợi nhuận sau thuế;"Điểm Doanh thu từ HĐ tài chính / Lợi nhuận sau thuế trên phân hệ:
";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;Doanh thu từ hoạt động khác / Lợi nhuận sau thuế;"Điểm Doanh thu từ hoạt động khác / Lợi nhuận sau thuế trên phân hệ:
";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
4;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu tài chính;Tổng điểm;Tổng điểm phân loại theo chỉ tiêu tài chính;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
5;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phi tài chính & M- Score;Mã doanh nghiệp;;Dashboard;Chiều;Trùng;CTDC, ngày;IDS - GSĐC;;X;;Done;;trùng dòng 4;;;;;;;
5;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phi tài chính & M- Score;Tên doanh nghiệp;;Dashboard;Chiều;Trùng;CTDC, ngày;IDS - GSĐC;X;X;;Done;;trùng dòng 4;;;;;;;
5;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phi tài chính & M- Score;Tình trạng Doanh nghiệp từ Cục Đăng ký kinh doanh (Cổng thông tin DN);"Điểm Tình trạng Doanh nghiệp từ Cục Đăng ký kinh doanh (Cổng thông tin DN) trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1. Bình Thường: HĐ bình thường
2. Cảnh báo: Tạm ngừng hoạt động, Thu hồi giấy chứng nhận ĐKKD. Đang làm thủ tục giải thể, phá sản
3. Rủi ro: Tạm ngừng hoạt động, Thu hồi giấy chứng nhận ĐKKD. Đang làm thủ tục giải thể, phá sản
- Kỳ đánh giá:năm liền trước.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
5;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phi tài chính & M- Score;Sở hữu giữa các bên liên quan;"Điểm Sở hữu giữa các bên liên quan trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1. Bình Thường: Thành viên trong hội đồng quản trị của 01-02 công ty ĐC.
2. Cảnh báo: Thành viên trong hội đồng quản trị > 02 công ty ĐC
3. Rủi ro: Thành viên trong hội đồng quản trị > 03 công ty ĐC
- Kỳ đánh giá:năm liền trước.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
5;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phi tài chính & M- Score;M-Score;"Điểm M-Score trên phân hệ:
- Đánh giá tiêu chí dựa trên :
1. Bình Thường: Các trường hợp còn lại
2. Cảnh báo: Lớn hơn -2.22
3. Rủi ro: Lớn hơn -1.78
- Kỳ đánh giá:năm liền trước.";Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
5;;Dashboard top chấm điểm phân loại công ty đại chúng theo chỉ tiêu phi tài chính & M- Score;Tổng điểm;Tổng điểm phân loại theo chỉ tiêu phi tài chính & Mscore;Dashboard;Chỉ tiêu cơ sở;TB;CTDC, ngày;IDS - GSĐC;x;X;;failed;;chưa có bảng trong thiết kế CSDL;;;;;;;
6;;Dashboard Giám sát tổng hợp toàn thị trường - Thống kê niêm yết theo sàn;Kỳ thống kê;Ngày thống kê (Năm/Quý);Dashboard;Chiều;Dễ;Ngày;;;;;Done;;Tham số lọc (không map bảng);:year (YYYY), :quarter (QX);"Tham số đầu vào của báo cáo/dashboard;
không lấy từ bảng CSDL";"-- Chiều thời gian: tham số người dùng chọn
-- :year = năm (vd 2024), :quarter = quý (vd Q1..Q4)
-- Dùng trong WHERE của tất cả câu SQL liên quan";;;;
6;;Dashboard Giám sát tổng hợp toàn thị trường - Thống kê niêm yết theo sàn;Số doanh nghiệp;Đếm số lượng DN tại thời điểm cuối kỳ chọn in;Dashboard;Chỉ tiêu phái sinh;Trùng;Ngày;IDS - GSĐC;;X;;Done;;IDS.company_detail (cd);COUNT(DISTINCT cd.company_profile_id) AS so_luong_dn;"cd.ids_reg_date <= LAST_DAY(ADD_MONTHS(
TO_DATE(:p_year || '-01-01', 'YYYY-MM-DD'),
TO_NUMBER(SUBSTR(:p_quarter, 2, 1)) * 3 - 1))
-- Đếm toàn bộ DN trên IDS (gồm niêm yết và chưa niêm yết)
-- Không lọc public_com_flg, không lọc status_ids_cd";"SELECT COUNT(DISTINCT cd.company_profile_id) AS so_luong_dn
FROM IDS.company_detail cd
WHERE cd.ids_reg_date <=
LAST_DAY(ADD_MONTHS(
TO_DATE(:p_year || '-01-01', 'YYYY-MM-DD'),
TO_NUMBER(SUBSTR(:p_quarter, 2, 1)) * 3 - 1))";"SELECT COUNT(DISTINCT cd.company_id) AS so_luong_dn
FROM company_detail cd
JOIN company_profiles cp ON cp.id = cd.company_id
WHERE cd.ids_reg_date <= LAST_DAY(ADD_MONTHS(TO_DATE(:year || '-01-01', 'YYYY-MM-DD'),(TO_NUMBER(SUBSTR(:quarter, 2, 1)) * 3) - 1))
-- đã đăng ký tại/trước cuối kỳ, tham số kỳ: p_year dạng yyyy, p_quarter dạng QX
AND cp.status = 'approved' -- hồ sơ đã được duyệt";;;
