"datamart_entity","table_type","reuse_status","status","description","source_table","FKs"
"Market Index Snapshot","fact","new","draft","Periodic Snapshot chỉ số thị trường (VN-Index/HNX/UPCOM/VN30) — grain 1 chỉ số (marketCode) × 1 tháng. Ghi chú: HLD ghi nguồn FSSTRAINING.PUBLIC_MARKETINFOR nhưng track Atomic hiện hành chỉ có entity Market Index Snapshot (MDDS.JAD_MARKETINFOR) — cần đối chiếu lại nguồn thực tế trước khi LLD","market_index_snapshot","Calendar Date Dimension.Calendar Date Dimension Id"
"Fact Securities Company Financial Structure Snapshot","fact","new","draft","Periodic Snapshot chỉ tiêu BCTC toàn thị trường/per CTCK — grain 1 CTCK × 1 chỉ tiêu BCTC × 1 kỳ. Toàn bộ PENDING — Atomic entity REPORT_CELL_VALUE không tồn tại trong track hiện hành (xem O_QLKD_23), thiết kế placeholder","TBD (dự kiến sc_periodic_report / REPORT_CELL_VALUE)","Calendar Date Dimension.Calendar Date Dimension Id | Securities Company Dimension.Securities Company Dimension Id | Report Indicator Dimension.Report Indicator Dimension Id"
"Fact Securities Company Report Compliance Snapshot","fact","new","draft","Periodic Snapshot tuân thủ nộp báo cáo — grain 1 CTCK × 1 biểu mẫu × 1 kỳ nghĩa vụ. PENDING — gating dữ liệu động (Atomic đã READY, chờ gỡ gating), thiết kế placeholder","sc_periodic_report","Calendar Date Dimension.Calendar Date Dimension Id | Securities Company Dimension.Securities Company Dimension Id"
"Securities Company Financial Report History","operational","new","draft","Lịch sử BCTC CTCK — grain 1 CTCK × 1 kỳ báo cáo BCTC. PENDING (xem O_QLKD_23), thiết kế placeholder","TBD (dự kiến sc_periodic_report / REPORT_CELL_VALUE)",""
"Securities Company Personnel Profile","operational","new","draft","Nhân sự cao cấp CTCK — HĐQT/HĐTV/BKS/BĐH. Grain 1 nhân sự cao cấp × 1 CTCK (latest state)","sc_senior_personnel",""
"Securities Company Practitioner Profile","operational","new","draft","Người hành nghề CK tại CTCK — số lao động, CCHN theo nghiệp vụ/dịch vụ phái sinh. Grain 1 CTCK × 1 kỳ báo cáo tháng. Partial READY/PENDING theo Nhóm (28/29/30 PENDING — đổi nguồn sang REPORT_CELL_VALUE, xem O_QLKD_23)","TBD (dự kiến sc_periodic_report / REPORT_CELL_VALUE)",""
"Securities Company Compliance History","operational","new","draft","Lịch sử tuân thủ & vi phạm CTCK — BC định kỳ, quyết định xử phạt hành chính, thanh tra/kiểm tra. Grain 1 CTCK × 1 sự kiện. Partial READY (Nhóm 38 một phần, Nhóm 40 phần lớn) / PENDING (Nhóm 38/39 gating dữ liệu động)","sc_periodic_report / sc_administrative_penalty_decision / inspection_team / examination_team / inspection_team_target / examination_team_target / penalty_decision_subject / penalty_decision / pd_subject_behavior / violation_behavior / penalty_type",""
"Securities Company Organization Unit Profile","operational","new","draft","CN/PGD/VPĐD của CTCK — tên, địa chỉ, ngày thành lập, dịch vụ được chấp thuận, duy trì điều kiện cấp phép. Grain 1 đơn vị × 1 CTCK. Partial READY (Nhóm 32/34/35) / PENDING (Nhóm 33/36/37 — xem O_QLKD_20/O_QLKD_7)","sc_organization_unit / sc_licensed_service / cl_service / sc_alert_violation",""
"Individual Profile","operational","new","draft","Hồ sơ cá nhân nội bộ/NHN — merge Securities Company Senior Personnel (SCMS) + Securities Practitioner (NHNCK) theo CCCD. Grain 1 cá nhân × 1 CTCK (latest state)","sc_senior_personnel / ip_alternative_identification / securities_practitioner / sp_license_certificate_document",""
"Individual Related Party Network","operational","new","draft","Mạng lưới người liên quan — self-reference Securities Company Insider Related Person, số người liên quan, tỷ lệ sở hữu. Grain 1 người liên quan × 1 cá nhân chính","sc_insider_related_person / ip_alternative_identification",""
"Individual Listed Company Role","operational","new","draft","Vai trò cá nhân tại DN niêm yết — số tổ chức tham gia, vai trò, số CP nắm giữ. Grain 1 vai trò × 1 CTCK × 1 cá nhân (latest per Identification Number × Securities Company Id)","sc_insider_related_person / ip_alternative_identification",""
"Individual Trading Account","operational","new","draft","Tài khoản giao dịch CK cá nhân mở tại CTCK — bao gồm cả tài khoản người liên quan. Grain 1 tài khoản giao dịch × 1 CTCK × 1 cá nhân","securities_company_shareholder / sc_insider_related_person",""
"Individual Work History","operational","new","draft","Lịch sử công tác CTCK — tên công ty, chức vụ, thời gian làm việc, trạng thái công tác. Grain 1 lần bổ nhiệm × 1 CTCK × 1 cá nhân","sc_senior_personnel",""
"Individual Violation History","operational","new","draft","Lịch sử vi phạm & xử phạt hành chính cá nhân — schema INSPECT, filter Subject Type = INDIVIDUAL. Grain 1 quyết định xử phạt × 1 cá nhân","penalty_decision / penalty_decision_subject / pd_subject_behavior / penalty_type / violation_case",""
"Securities Company Report Data","operational","new","draft","Báo cáo biểu mẫu định kỳ EAV — Data Explorer, 104 STT / 4036 chỉ tiêu. Grain 1 chỉ tiêu × 1 kỳ báo cáo × 1 CTCK × 1 biểu mẫu. Toàn bộ PENDING (xem O_QLKD_23), thiết kế placeholder","TBD (dự kiến sc_periodic_report / REPORT_CELL_VALUE)",""
