source,brd_id,table,functional_group,scope_status,scope_reason,table_meaning,notes,ba_email,steward_email
ECAT,BRD-SRC-ECAT-BUSINESS_ACTIVITY,BUSINESS_ACTIVITY,UID-05 Danh mục nghiệp vụ & dịch vụ,pending,,Danh mục Hoạt động kinh doanh,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-BUSINESS_EVENT,BUSINESS_EVENT,UID-05 Danh mục nghiệp vụ & dịch vụ,pending,,Danh mục Sự vụ,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-BUSINESS_EVENT_ENTERPRISE_TYPE,BUSINESS_EVENT_ENTERPRISE_TYPE,UID-05 Danh mục nghiệp vụ & dịch vụ,pending,,Bảng trung gian N-N: Sự vụ - Loại hình doanh nghiệp,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-BUSINESS_LINE_LEVEL_1,BUSINESS_LINE_LEVEL_1,UID-10 Danh mục ngành nghề,in_scope,,Danh mục ngành nghề cấp 1,"Đã thiết kế Atomic entity 'Classification Business Line' (Relative, self-referencing) — xem ECAT_HLD_Tier1.md. Tên bảng đã sửa từ synthetic ECAT_32_IndustryLv1 sang tên bảng thật theo Source/DDL UAT/ECAT_UAT_schema.txt (xem T1-01).",username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-BUSINESS_LINE_LEVEL_2,BUSINESS_LINE_LEVEL_2,UID-10 Danh mục ngành nghề,in_scope,,Danh mục ngành nghề cấp 2,"Đã thiết kế Atomic entity 'Classification Business Line' (Relative, self-referencing) — xem ECAT_HLD_Tier1.md. Tên bảng đã sửa từ synthetic ECAT_33_IndustryLv2 sang tên bảng thật theo Source/DDL UAT/ECAT_UAT_schema.txt (xem T1-01).",username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-BUSINESS_SERVICE,BUSINESS_SERVICE,UID-05 Danh mục nghiệp vụ & dịch vụ,pending,,Danh mục Dịch vụ kinh doanh,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-COUNTRY,COUNTRY,UID-01 Danh mục địa lý hành chính,pending,,Danh mục Quốc gia,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-CURRENCY,CURRENCY,UID-03 Danh mục tiền tệ,pending,,Danh mục Tiền tệ,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-CUSTODIAN_BANK,CUSTODIAN_BANK,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Danh mục Ngân hàng lưu kí giám sát,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-DATABASECHANGELOG,DATABASECHANGELOG,UID-18 Bảng kỹ thuật hệ thống,pending,,Lịch sử migration cơ sở dữ liệu,Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-DATABASECHANGELOGLOCK,DATABASECHANGELOGLOCK,UID-18 Bảng kỹ thuật hệ thống,pending,,Lock khi Liquibase đang chạy,Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-DEPARTMENT,DEPARTMENT,UID-02 Danh mục tổ chức & nhân sự,pending,,Danh mục Phòng ban,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-DISCLOSURE_REPORT,DISCLOSURE_REPORT,UID-15 Danh mục công bố thông tin & văn bản pháp lý,pending,,Danh mục báo cáo công bố thông tin,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-DISTRICT_OLD,DISTRICT_OLD,UID-01 Danh mục địa lý hành chính,pending,,Danh mục Quận/Huyện (cũ),,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-DVCQG_SYNC_CONFIG,DVCQG_SYNC_CONFIG,UID-16 Đồng bộ dữ liệu liên thông,pending,,Cấu hình đồng bộ dữ liệu Giới tính và Dân tộc từ DVCQG,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-ENTERPRISE_POSITION,ENTERPRISE_POSITION,UID-02 Danh mục tổ chức & nhân sự,pending,,Danh mục Chức vụ doanh nghiệp,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-ENTERPRISE_POSITION_TYPE,ENTERPRISE_POSITION_TYPE,UID-02 Danh mục tổ chức & nhân sự,pending,,Danh mục Loại chức vụ doanh nghiệp,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-ENTERPRISE_TYPE,ENTERPRISE_TYPE,UID-05 Danh mục nghiệp vụ & dịch vụ,pending,,Danh mục Loại hình doanh nghiệp,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-FILES,FILES,UID-17 Quản trị hệ thống & phân quyền,pending,,Bảng lưu trữ thông tin file (hỗ trợ download),,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-FINANCIAL_INDICATOR,FINANCIAL_INDICATOR,UID-05 Danh mục nghiệp vụ & dịch vụ,pending,,Danh mục Chỉ tiêu tài chính,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-FINANCIAL_REPORT_TYPE,FINANCIAL_REPORT_TYPE,UID-05 Danh mục nghiệp vụ & dịch vụ,pending,,Danh mục Loại báo cáo tài chính,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-FOREIGN_BRANCH,FOREIGN_BRANCH,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Thông tin Văn phòng đại diện / Chi nhánh công ty chứng khoán nước ngoài,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-FOREIGN_FUND_BRANCH,FOREIGN_FUND_BRANCH,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Bảng thông tin Văn phòng đại diện / Chi nhánh của quỹ nước ngoài tại Việt Nam,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-FOREIGN_INVESTOR_TYPE,FOREIGN_INVESTOR_TYPE,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Danh mục loại nhà đầu tư nước ngoài,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-FREQUENCY_REPORT,FREQUENCY_REPORT,UID-08 Danh mục lịch & kỳ báo cáo,pending,,Danh mục Kỳ báo cáo,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-FUND_DISTRIBUTOR,FUND_DISTRIBUTOR,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Danh mục Tổ chức phân phối quỹ,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-FUND_MANAGEMENT_COMPANY,FUND_MANAGEMENT_COMPANY,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Bảng quản lý Công ty quản lý quỹ,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-FUND_TYPE,FUND_TYPE,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Danh mục loại hình quỹ,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-GENDER,GENDER,UID-11 Danh mục trạng thái & quy trình xử lý,pending,,Danh mục giới tính,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-INSPECTION_BASIS,INSPECTION_BASIS,UID-14 Danh mục thanh tra,pending,,Danh mục Căn cứ thanh tra,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-INSPECTION_CONTENT,INSPECTION_CONTENT,UID-14 Danh mục thanh tra,pending,,Danh mục Nội dung thanh tra,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-INSPECTION_TARGET,INSPECTION_TARGET,UID-14 Danh mục thanh tra,pending,,Danh mục Tổ chức kiểm toán được chấp thuận,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-INSPECTION_TARGET_INSPECTION_CONTENT,INSPECTION_TARGET_INSPECTION_CONTENT,UID-14 Danh mục thanh tra,pending,,Bảng trung gian N-N: Đối tượng thanh tra - Nội dung thanh tra,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-INVESTMENT_FUND,INVESTMENT_FUND,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Danh mục Quỹ đầu tư chứng khoán,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-INVESTOR_CATEGORY,INVESTOR_CATEGORY,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Danh mục loại nhà đầu tư/cổ đông,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-INVESTOR_TYPE,INVESTOR_TYPE,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Loại hình nhà đầu tư/cổ đông,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-LEGAL_DOCUMENT,LEGAL_DOCUMENT,UID-15 Danh mục công bố thông tin & văn bản pháp lý,pending,,Bảng thông tin văn bản pháp lý,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-LOG_DATA_CHANGES,LOG_DATA_CHANGES,UID-17 Quản trị hệ thống & phân quyền,pending,,Bảng lưu log thay đổi dữ liệu,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-MARKET,MARKET,UID-04 Danh mục chứng khoán & thị trường,pending,,Danh mục Thị trường,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-MODULE,MODULE,UID-17 Quản trị hệ thống & phân quyền,pending,,Danh sách phân hệ trong hệ thống,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-MODULE_INTEGRATION_CONFIG,MODULE_INTEGRATION_CONFIG,UID-17 Quản trị hệ thống & phân quyền,pending,,Bảng cấu hình phân hệ trong hệ thống UBCK,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-MODULE_INTEGRATION_PERMISSION,MODULE_INTEGRATION_PERMISSION,UID-17 Quản trị hệ thống & phân quyền,pending,,Bảng trung gian N-N: Phân hệ - Quyền,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-MODULE_INTEGRATION_RESOURCE,MODULE_INTEGRATION_RESOURCE,UID-17 Quản trị hệ thống & phân quyền,pending,,Bảng trung gian N-N: Phân hệ - Tài nguyên,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-NATION,NATION,UID-11 Danh mục trạng thái & quy trình xử lý,pending,,Danh mục dân tộc,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-OPERATIONAL_STATUS_TYPE,OPERATIONAL_STATUS_TYPE,UID-11 Danh mục trạng thái & quy trình xử lý,pending,,Danh mục Loại trạng thái hoạt động,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-OPERATIONAL_STATUS_TYPE_ENTERPRISE_TYPE,OPERATIONAL_STATUS_TYPE_ENTERPRISE_TYPE,UID-11 Danh mục trạng thái & quy trình xử lý,pending,,Bảng trung gian N-N: Trạng thái hoạt động - Loại hình doanh nghiệp,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-ORGANIZATION_TYPE,ORGANIZATION_TYPE,UID-02 Danh mục tổ chức & nhân sự,pending,,Danh mục loại tổ chức,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-ORGANIZATION_TYPE_USER_TYPE,ORGANIZATION_TYPE_USER_TYPE,UID-02 Danh mục tổ chức & nhân sự,pending,,Bảng trung gian nhiều-nhiều giữa loại tổ chức và đối tượng,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-PAR_VALUE,PAR_VALUE,UID-04 Danh mục chứng khoán & thị trường,pending,,Danh mục Mệnh giá chứng khoán,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-PAYMENT_CUSTODIAN_BANK,PAYMENT_CUSTODIAN_BANK,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Danh mục Ngân hàng thanh toán/lưu ký,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-PENALTY_FORM,PENALTY_FORM,UID-13 Danh mục vi phạm & xử phạt,pending,,Danh mục Hình thức xử phạt,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-PENALTY_FORM_VIOLATION_TYPE,PENALTY_FORM_VIOLATION_TYPE,UID-13 Danh mục vi phạm & xử phạt,pending,,Bảng trung gian N-N giữa hình thức xử phạt và loại vi phạm,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-POSITION,POSITION,UID-02 Danh mục tổ chức & nhân sự,pending,,Danh mục Chức danh,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-POSITION_TYPE,POSITION_TYPE,UID-02 Danh mục tổ chức & nhân sự,pending,,Danh mục Loại chức danh,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-PRACTICE_CERTIFICATE,PRACTICE_CERTIFICATE,UID-07 Danh mục hành nghề & trình độ,pending,,Danh mục Chứng chỉ hành nghề,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-PRACTICE_CERTIFICATE_TYPE,PRACTICE_CERTIFICATE_TYPE,UID-07 Danh mục hành nghề & trình độ,pending,,Danh mục Loại chứng chỉ hành nghề,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-PROFESSIONAL_CERTIFICATE_TYPES,PROFESSIONAL_CERTIFICATE_TYPES,UID-07 Danh mục hành nghề & trình độ,pending,,Danh mục loại chứng chỉ chuyên môn,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-PROVINCE_NEW,PROVINCE_NEW,UID-01 Danh mục địa lý hành chính,pending,,Danh mục Tỉnh/Thành phố (mới),,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-PROVINCE_OLD,PROVINCE_OLD,UID-01 Danh mục địa lý hành chính,pending,,Danh mục Tỉnh/Thành phố (cũ),,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-PUBLIC_COMPANY,PUBLIC_COMPANY,UID-04 Danh mục chứng khoán & thị trường,pending,,Danh mục công ty đại chúng,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QRTZ_BLOB_TRIGGERS,QRTZ_BLOB_TRIGGERS,UID-18 Bảng kỹ thuật hệ thống,pending,,"Quartz - Blob Trigger (bảng kỹ thuật lập lịch job, out_of_scope)",Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QRTZ_CALENDARS,QRTZ_CALENDARS,UID-18 Bảng kỹ thuật hệ thống,pending,,"Quartz - Calendar (bảng kỹ thuật lập lịch job, out_of_scope)",Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QRTZ_CRON_TRIGGERS,QRTZ_CRON_TRIGGERS,UID-18 Bảng kỹ thuật hệ thống,pending,,"Quartz - Cron Trigger (bảng kỹ thuật lập lịch job, out_of_scope)",Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QRTZ_FIRED_TRIGGERS,QRTZ_FIRED_TRIGGERS,UID-18 Bảng kỹ thuật hệ thống,pending,,"Quartz - Trigger đã được kích hoạt (bảng kỹ thuật lập lịch job, out_of_scope)",Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QRTZ_JOB_DETAILS,QRTZ_JOB_DETAILS,UID-18 Bảng kỹ thuật hệ thống,pending,,"Quartz - Thông tin chi tiết Job (bảng kỹ thuật lập lịch job, out_of_scope)",Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QRTZ_LOCKS,QRTZ_LOCKS,UID-18 Bảng kỹ thuật hệ thống,pending,,"Quartz - Lock cho cluster (bảng kỹ thuật lập lịch job, out_of_scope)",Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QRTZ_PAUSED_TRIGGER_GRPS,QRTZ_PAUSED_TRIGGER_GRPS,UID-18 Bảng kỹ thuật hệ thống,pending,,"Quartz - Nhóm Trigger bị tạm dừng (bảng kỹ thuật lập lịch job, out_of_scope)",Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QRTZ_SCHEDULER_STATE,QRTZ_SCHEDULER_STATE,UID-18 Bảng kỹ thuật hệ thống,pending,,"Quartz - Trạng thái Scheduler (bảng kỹ thuật lập lịch job, out_of_scope)",Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QRTZ_SIMPLE_TRIGGERS,QRTZ_SIMPLE_TRIGGERS,UID-18 Bảng kỹ thuật hệ thống,pending,,"Quartz - Simple Trigger (bảng kỹ thuật lập lịch job, out_of_scope)",Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QRTZ_SIMPROP_TRIGGERS,QRTZ_SIMPROP_TRIGGERS,UID-18 Bảng kỹ thuật hệ thống,pending,,"Quartz - Simple Property Trigger (bảng kỹ thuật lập lịch job, out_of_scope)",Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QRTZ_TRIGGERS,QRTZ_TRIGGERS,UID-18 Bảng kỹ thuật hệ thống,pending,,"Quartz - Thông tin Trigger (bảng kỹ thuật lập lịch job, out_of_scope)",Bảng kỹ thuật hệ thống (scheduler/migration) — cần xác nhận in/out of scope khi thiết kế LLD.,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-QUALIFICATION_CATEGORY,QUALIFICATION_CATEGORY,UID-07 Danh mục hành nghề & trình độ,pending,,Danh mục Trình độ,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-REGION,REGION,UID-01 Danh mục địa lý hành chính,pending,,Danh mục Vùng/miền,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-RELATIONSHIP_CATEGORY,RELATIONSHIP_CATEGORY,UID-07 Danh mục hành nghề & trình độ,pending,,Danh mục Quan hệ,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-SECURITY,SECURITY,UID-04 Danh mục chứng khoán & thị trường,pending,,Danh mục Chứng khoán,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-SECURITY_COMPANY,SECURITY_COMPANY,UID-04 Danh mục chứng khoán & thị trường,pending,,Danh mục Công ty chứng khoán,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-SECURITY_TYPE,SECURITY_TYPE,UID-04 Danh mục chứng khoán & thị trường,pending,,Danh mục Loại chứng khoán,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-SHAREHOLDER_TRANSACTION_TYPE,SHAREHOLDER_TRANSACTION_TYPE,UID-06 Danh mục đối tượng tham gia thị trường,pending,,Danh mục loại giao dịch của cổ đông,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-SOAP_INCOMING_LOG,SOAP_INCOMING_LOG,UID-16 Đồng bộ dữ liệu liên thông,pending,,Log nhận gói tin SOAP từ Bộ Tài chính,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-SOAP_RECONCILE_DATA_MAPPING,SOAP_RECONCILE_DATA_MAPPING,UID-16 Đồng bộ dữ liệu liên thông,pending,,Bảng mapping giữa gói tin đối soát và gói tin thay đổi dữ liệu,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-SOAP_SYNC_LOG,SOAP_SYNC_LOG,UID-16 Đồng bộ dữ liệu liên thông,pending,,Log đồng bộ SOAP sang Bộ Tài chính phục vụ đối soát,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-UBCK_STAFF,UBCK_STAFF,UID-02 Danh mục tổ chức & nhân sự,pending,,Danh mục nhân sự Ủy ban chứng khoán,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-VIOLATION_BEHAVIOR,VIOLATION_BEHAVIOR,UID-13 Danh mục vi phạm & xử phạt,pending,,Danh mục hành vi vi phạm,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-VIOLATION_BEHAVIOR_PENALTY_FORM,VIOLATION_BEHAVIOR_PENALTY_FORM,UID-13 Danh mục vi phạm & xử phạt,pending,,Bảng trung gian N-N: Hành vi vi phạm - Hình thức xử phạt,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-VIOLATION_TYPE,VIOLATION_TYPE,UID-13 Danh mục vi phạm & xử phạt,pending,,Danh mục loại vi phạm,,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-WARD_NEW,WARD_NEW,UID-01 Danh mục địa lý hành chính,pending,,Danh mục Phường/Xã/Thị trấn (mới),,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-WARD_OLD,WARD_OLD,UID-01 Danh mục địa lý hành chính,pending,,Danh mục Phường/Xã/Thị trấn (cũ),,username@fssc.com.vn,username@ubck.com.vn
ECAT,BRD-SRC-ECAT-WORKING_SCHEDULE,WORKING_SCHEDULE,UID-08 Danh mục lịch & kỳ báo cáo,pending,,Danh mục Lịch làm việc,,username@fssc.com.vn,username@ubck.com.vn
FIMS,BRD-SRC-FIMS-ANNOUNCE,ANNOUNCE,FIMS.10 Ủy quyền CBTT và giao dịch,out_of_scope,Chờ thiết kế LLD,Lưu danh sách các tin CBTT của thành viên thị trường,,huy.pham@fssc.com.vn,username@ubck.com.vn
FIMS,BRD-SRC-FIMS-ANNOUNCEINVES,ANNOUNCEINVES,FIMS.10 Ủy quyền CBTT và giao dịch,out_of_scope,Chờ thiết kế LLD,lưu danh sách NĐT NN ủy quyền CBTT,,huy.pham@fssc.com.vn,username@ubck.com.vn
FIMS,BRD-SRC-FIMS-ANNOUNCEINVESHIS,ANNOUNCEINVESHIS,FIMS.10 Ủy quyền CBTT và giao dịch,out_of_scope,Chờ thiết kế LLD,Lưu lịch sử danh sách NĐT NN ủy quyền CBTT,,huy.pham@fssc.com.vn,username@ubck.com.vn
FIMS,BRD-SRC-FIMS-ANNOUNCETYPE,ANNOUNCETYPE,FIMS.5 Danh mục dùng chung,out_of_scope,Chờ thiết kế LLD,Lưu danh sách loại CBTT,,huy.pham@fssc.com.vn,username@ubck.com.vn
FIMS,BRD-SRC-FIMS-API_MAPPINGS,API_MAPPINGS,FIMS.1 Quản trị phân hệ,out_of_scope,Operational/system data — không thiết kế Atomic,Lưu cấu hình ánh xạ API,,huy.pham@fssc.com.vn,username@ubck.com.vn
FIMS,BRD-SRC-FIMS-AUDIT_LOGS,AUDIT_LOGS,FIMS.1 Quản trị phân hệ,out_of_scope,Operational/system data — không thiết kế Atomic,Lưu nhật ký kiểm toán hệ thống,,huy.pham@fssc.com.vn,username@ubck.com.vn
FIMS,BRD-SRC-FIMS-AUTHOANNOUNCE,AUTHOANNOUNCE,FIMS.10 Ủy quyền CBTT và giao dịch,out_of_scope,Chờ thiết kế LLD,Lưu danh sách ủy quyền CBTT,,huy.pham@fssc.com.vn,username@ubck.com.vn
FIMS,BRD-SRC-FIMS-AUTHOANNOUNCEHIS,AUTHOANNOUNCEHIS,FIMS.10 Ủy quyền CBTT và giao dịch,out_of_scope,Chờ thiết kế LLD,Lưu danh sách lịch sử ủy quyền CBTT,,huy.pham@fssc.com.vn,username@ubck.com.vn
