id,category,name,description,description_vi,tags,classifications,related_terms,part_of_terms,type_of_terms,secondary_categories,custom_data_type,data_classes
6705,Accounting,Shadow Accounting Unit,"Identifies a relationship in which the Subject Accounting Unit has its balances reflected in the Object Accounting Unit so that the Accounting Units may be used for different management and control purposes; for example, Nostro Account 123 (at Bank A) Is Shadowed By Vostro Account (at Bank B). Note that there may be different practical update mechanisms to achieve this business result.",[Auto Translated] Xác định mối quan hệ trong đó Đơn vị kế toán chủ thể có số dư được phản ánh trong Đơn vị kế toán đối tượng để Đơn vị kế toán có thể được sử dụng cho các mục đích quản lý và kiểm soát khác nhau; ví dụ: Tài khoản Nostro 123 (tại Ngân hàng A) Bị che khuất bởi Tài khoản Vostro (tại Ngân hàng B). Lưu ý rằng có thể có các cơ chế cập nhật thực tế khác nhau để đạt được kết quả kinh doanh này.,property,,Business Core Vocabulary >> Accounting >> Accounting Unit,Business Core Vocabulary >> Accounting >> Accounting Unit,,,Relationship,
6706,Accounting,Accounting Unit Type,Distinguishes between Accounting Units according to what its value represents. The Values defined for this Scheme are representative and do not comprise an exhaustive list.,[Auto Translated] Phân biệt giữa các Đơn vị Kế toán theo giá trị của nó thể hiện. Các giá trị được xác định cho Lược đồ này mang tính đại diện và không bao gồm danh sách đầy đủ.,property,,,Business Core Vocabulary >> Accounting >> Accounting Unit,,Business Scopes >> Transaction Management; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Financial Markets (FM); Business Scopes >> Financial Markets (FM) >> Financial Markets Trading,Reference Data,
6707,Accounting,Financial Market Trading Position,Identifies trading positions used to monitor market and credit risk.,[Auto Translated] Xác định các vị thế giao dịch được sử dụng để theo dõi rủi ro thị trường và tín dụng.,concept,,,,Business Core Vocabulary >> Accounting >> Financial Market Position,Business Scopes >> Inheritance Hierarchy Scopes >> Accounting Inheritance Hierarchy; Business Scopes >> Wealth Management Support >> Wealth Management - Investment And Funds; Business Scopes >> Financial Markets (FM); Business Scopes >> Capital Markets >> Capital Markets - Business Activity & Transaction Fundamentals; Business Scopes >> Wealth Management Support; Business Scopes >> Financial Markets (FM) >> Financial Market Positions; Business Scopes >> Financial Markets (FM) >> Financial Market Instruments; Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II Trading Book Incremental Risk Alignment Scope; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Capital Markets; Business Scopes >> Financial Markets (FM) >> Financial Markets Trading; Business Scopes >> Capital Markets >> Capital Markets View,,
6708,Accounting,Financial Market Position Denomination Currency,"Identifies a Financial Market Position / Group Relationship which identifies the Currency that denominates a Financial Market Position. For example, Investment Fund 'ABC' is issued or redenominated in U.S. Dollars (USD) and its Net Asset Value (NAV) is expressed in USD.",[Auto Translated] Xác định Vị trí trên thị trường tài chính / Mối quan hệ nhóm trong đó xác định Đơn vị tiền tệ biểu thị Vị trí trên thị trường tài chính. Ví dụ: Quỹ đầu tư 'ABC' được phát hành hoặc đổi tên bằng Đô la Mỹ (USD) và Giá trị tài sản ròng (NAV) của nó được biểu thị bằng USD.,property,,Business Core Vocabulary >> Common >> Currency,Business Core Vocabulary >> Accounting >> Financial Market Position,,Business Scopes >> Wealth Management Support; Business Scopes >> Wealth Management Support >> Wealth Management - Investment And Funds,Relationship,
6709,Accounting,Future Value Type,Distinguishes between Future Values according to their derivation method.,[Auto Translated] Phân biệt giữa các Giá trị Tương lai theo phương pháp phái sinh của chúng.,property,,,Business Core Vocabulary >> Accounting >> Accounting Unit Balance,,Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Large Trader Reporting 17 CFR 240 And 249 Alignment Scope; Business Scopes >> Customer View; Business Scopes >> Customer View >> Customer Insight - Customer Lifetime Value,Reference Data,
6710,Accounting,Value Asset Effect Type,Distinguishes Values Asset Effect Types according to the effect (actual or potential) the value has on the asset position of the Financial Institution.,[Auto Translated] Phân biệt các loại giá trị tài sản theo tác động (thực tế hoặc tiềm năng) của giá trị đó đối với vị thế tài sản của Tổ chức tài chính.,property,,,Business Core Vocabulary >> Accounting >> Accounting Unit Balance,,,Reference Data,
6711,Accounting,Product Accounting Category Designation,Identifies a relationship between a Product and an Accounting Category it is assigned to.,[Auto Translated] Xác định mối quan hệ giữa Sản phẩm và Danh mục Kế toán mà nó được chỉ định.,concept,,Business Core Vocabulary >> Group >> Accounting Category; Business Core Vocabulary >> Product >> Product,,,Business Scopes >> Alignment Scopes >> EBA DPM Alignment Scope,,
6712,Accounting,Position Calculation Date,Identifies the date on which the position value was assessed and measured.,[Auto Translated] Xác định ngày mà giá trị vị thế được đánh giá và đo lường.,property,,,Business Core Vocabulary >> Accounting >> Financial Market Position,,Business Scopes >> Financial Markets (FM); Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Further Definition Of Swaps Security-Based Swaps 17 CFR Alignment Scope; Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Further Definition Of Swap Dealers And Participants 17 CFR Alignment Scope; Business Scopes >> Financial Markets (FM) >> Financial Market Instruments; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Capital Markets; Business Scopes >> Financial Markets (FM) >> Financial Markets Trading; Business Scopes >> Capital Markets >> Capital Markets View,Date,
6713,Accounting,Financial Instrument Leg Direction,"Identifies the direction of the leg as being receipt or delivery of a financial market instrument from the financial institution's point of view._x000D_
_x000D_
Leg Direction is fully defined by Financial Instrument Leg Direction Type.","[Auto Translated] Xác định hướng của chân là nhận hoặc giao một công cụ thị trường tài chính theo quan điểm của tổ chức tài chính._x000D_
_x000D_
Hướng chân được xác định đầy đủ bởi Loại hướng chân của công cụ tài chính.",property,,,Business Core Vocabulary >> Accounting >> Financial Market Trading Position,,Business Scopes >> Alignment Scopes >> Algorithmics Alignment Scope; Business Scopes >> Financial Markets (FM); Business Scopes >> Financial Markets (FM) >> Financial Market Instruments; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Capital Markets; Business Scopes >> Financial Markets (FM) >> Financial Markets Trading; Business Scopes >> Capital Markets >> Capital Markets View,Reference Data,
6714,Accounting,Asset / Liability Flag,"Indicates whether the Accounting Structure Item represents an asset or a liability of the Financial Institution. Values:_x000D_
 1 Asset_x000D_
 0 Liability_x000D_
 Null not applicable.","[Auto Translated] Cho biết Mục Cơ cấu Kế toán thể hiện tài sản hay nợ phải trả của Tổ chức Tài chính. Giá trị:_x000D_
 1 Tài sản_x000D_
 0 Trách Nhiệm_x000D_
 Không áp dụng được.",property,,,Business Core Vocabulary >> Accounting >> Accounting Structure Item,,Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Financial Markets (FM),Boolean,
6715,Accounting,Accounting Unit Tracking Financial Market Position,"Identifies a Financial Market Position / Accounting Unit Relationship in which a Financial Market Position is tracked by an Accounting Unit; for example Accounting Unit#34567 tracks Positions for various Financial Market Instruments of a similar type, held for investment purposes.","[Auto Translated] Xác định Vị thế Thị trường Tài chính / Mối quan hệ Đơn vị Kế toán trong đó Vị thế Thị trường Tài chính được theo dõi bởi Đơn vị Kế toán; ví dụ: Đơn vị kế toán số 34567 theo dõi Vị trí cho các Công cụ thị trường tài chính khác nhau thuộc loại tương tự, được nắm giữ cho mục đích đầu tư.",property,,Business Core Vocabulary >> Accounting >> Accounting Unit,Business Core Vocabulary >> Accounting >> Financial Market Position,,Business Scopes >> Inheritance Hierarchy Scopes >> Accounting Inheritance Hierarchy; Business Scopes >> Financial Markets (FM); Business Scopes >> Capital Markets >> Capital Markets - Business Activity & Transaction Fundamentals; Business Scopes >> Financial Markets (FM) >> Financial Market Positions; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Capital Markets; Business Scopes >> Financial Markets (FM) >> Financial Markets Trading; Business Scopes >> Capital Markets >> Capital Markets View,Relationship,
6716,Accounting,Net Position Flag,"Where 'Yes', the Net Position Flag indicates that the position records the net of purchases and sales (borrow and lend, etc.).","[Auto Translated] Trong trường hợp 'Có', Cờ Vị thế ròng cho biết rằng vị trí đó ghi lại số tiền mua và bán ròng (vay và cho vay, v.v.).",property,,,Business Core Vocabulary >> Accounting >> Financial Market Position,,Business Scopes >> Financial Markets (FM); Business Scopes >> Financial Markets (FM) >> Financial Market Instruments; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Capital Markets; Business Scopes >> Financial Markets (FM) >> Financial Markets Trading; Business Scopes >> Capital Markets >> Capital Markets View,Boolean,
6717,Accounting,Net Asset Value,Identifies the market valuation of the holding excluding Open Trades and taking into consideration the Estimated Sale Expense Amount related to the liquidation of the holding. Used in the calculation of Net Asset Value Per Share for Equity Instruments.,[Auto Translated] Xác định giá trị thị trường của cổ phiếu không bao gồm Giao dịch mở và có tính đến Số tiền chi phí bán hàng ước tính liên quan đến việc thanh lý cổ phiếu. Được sử dụng để tính Giá trị tài sản ròng trên mỗi cổ phiếu cho các công cụ vốn chủ sở hữu.,property,,,Business Performance Indicators >> Investment Management >> Investment Fund Analysis; Business Core Vocabulary >> Accounting >> Financial Market Trading Position,,Business Scopes >> Wealth Management Support >> Wealth Management - Investment And Funds; Business Scopes >> Financial Markets (FM); Business Scopes >> Wealth Management Support; Business Scopes >> Wealth Management Support >> Wealth Management View; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting,Monetary Amount,
6718,Accounting,Association Date,"For Accounting Units which measure statistical extremes such as the maximum or minimum of a given quantity, this attribute records the date in the Financial Period when that extreme was reached.","[Auto Translated] Đối với Đơn vị Kế toán đo lường các mức cực trị thống kê chẳng hạn như mức tối đa hoặc tối thiểu của một số lượng nhất định, thuộc tính này ghi lại ngày trong Kỳ tài chính khi đạt đến mức cực trị đó.",property,,,Business Core Vocabulary >> Accounting >> Accounting Unit,,,Date,
6719,Accounting,Number Of Adjustments,"The number of adjustments that were made to the Accounting Unit Balance after the original posting was recorded (the Posted Amount), and before the relevant Accounting Unit was closed off for the Measurement Period. An adjustment may be necessary when a transaction is begun in one accounting period and concluded in a later one. Adjustments are also required to correct errors e.g. a posting made to the wrong Accounting Unit Balance.","[Auto Translated] Số lượng điều chỉnh đã được thực hiện đối với Số dư của Đơn vị Kế toán sau khi ghi lại số dư ban đầu (Số tiền đã đăng) và trước khi Đơn vị Kế toán liên quan bị đóng cửa trong Giai đoạn Đo lường. Việc điều chỉnh có thể cần thiết khi một giao dịch được bắt đầu trong một kỳ kế toán và kết thúc vào một kỳ kế toán sau. Các điều chỉnh cũng được yêu cầu để sửa lỗi, ví dụ: một bài đăng được thực hiện sai số dư đơn vị kế toán.",property,,,Business Core Vocabulary >> Accounting >> Accounting Unit Balance,,Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Financial Markets (FM),Number,
6720,Accounting,Accounting Structure,"The Data Concept Accounting Structure identifies a combination of Accounting Unit Categories that are a framework for tallying and record keeping. An Accounting Structure allows the user of the framework to report, analyze and categorize accounting information. Accounting Structures may be defined by and for the Financial Institution, its customers or others; for example, a Chart of Accounts, Balance Sheet, Income Statement, Income Statement By Financial Institution, Income Statement By Function, Income Statement By Nature, Personal Financial Statement or the cost accounting (management accounting) structure to accumulate product development costs for a particular product.","[Auto Translated] Cấu trúc Kế toán Khái niệm Dữ liệu xác định sự kết hợp của các Danh mục Đơn vị Kế toán làm khuôn khổ để kiểm đếm và lưu giữ hồ sơ. Cấu trúc kế toán cho phép người dùng báo cáo, phân tích và phân loại thông tin kế toán. Cơ cấu kế toán có thể được xác định bởi và cho Tổ chức tài chính, khách hàng của tổ chức đó hoặc những người khác; ví dụ: Biểu đồ tài khoản, Bảng cân đối kế toán, Báo cáo thu nhập, Báo cáo thu nhập theo tổ chức tài chính, Báo cáo thu nhập theo chức năng, Báo cáo thu nhập theo bản chất, Báo cáo tài chính cá nhân hoặc cấu trúc kế toán chi phí (kế toán quản lý) để tích lũy chi phí phát triển sản phẩm cho một sản phẩm cụ thể.",concept,,Business Core Vocabulary >> Accounting >> Accounting Structure Item; Business Core Vocabulary >> Involved Party >> Audited Accounting Structure; Business Core Vocabulary >> Accounting >> Equivalent Accounting Structure; Business Core Vocabulary >> Condition >> Condition Applies To Accounting Structure,,,Business Scopes >> Inheritance Hierarchy Scopes >> Accounting Inheritance Hierarchy; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Investment Banking; Business Scopes >> Financial Markets (FM),,
6721,Accounting,Accounting Unit Balance,"Identifies an instance of a monetary or non-monetary balance associated with an Accounting Unit. For example: the Balances associated with the Employee Expenses expressed in EUR currency, Investment Fund 'ABC' issued or redenominated in U.S. Dollars (USD) or Net Asset Value (NAV) expressed in USD.","[Auto Translated] Xác định một trường hợp số dư tiền tệ hoặc phi tiền tệ được liên kết với Đơn vị Kế toán. Ví dụ: Số dư liên quan đến Chi phí nhân viên được biểu thị bằng tiền EUR, Quỹ đầu tư 'ABC' được phát hành hoặc đổi tên bằng Đô la Mỹ (USD) hoặc Giá trị tài sản ròng (NAV) được biểu thị bằng USD.",concept,,Business Core Vocabulary >> Common >> Currency; Business Core Vocabulary >> Accounting >> Accounting Unit,,,Business Scopes >> Investment Banking; Business Scopes >> Payment Cards; Business Scopes >> Financial Markets (FM); Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Further Definition Of Swaps Security-Based Swaps 17 CFR Alignment Scope; Business Scopes >> Financial Markets (FM) >> Financial Market Positions; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Alignment Scopes >> FATCA Alignment Scope; Business Scopes >> Systemic Risk,,
6722,Accounting,Cost Basis Amount,The monetary value of a Financial Market Instrument when Purchased. The Cost Basis Amount is compared with the current valuation of the holding to determine Capital Gains and Tax.,[Auto Translated] Giá trị tiền tệ của Công cụ thị trường tài chính khi được mua. Số tiền Cơ sở Chi phí được so sánh với giá trị hiện tại của cổ phần nắm giữ để xác định Lãi vốn và Thuế.,property,,,Business Core Vocabulary >> Accounting >> Investment Position,,Business Scopes >> Advanced Securities; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Financial Markets (FM),Monetary Amount,
6723,Accounting,Equivalent Accounting Unit,"Identifies an Accounting Unit that is comparable to this Accounting Unit; for example, a salaries expense and a contractor charges.","[Auto Translated] Xác định Đơn vị kế toán tương đương với Đơn vị kế toán này; ví dụ, chi phí tiền lương và chi phí nhà thầu.",property,,Business Core Vocabulary >> Accounting >> Accounting Unit,Business Core Vocabulary >> Accounting >> Accounting Unit,,,Relationship,
6724,Accounting,Accounting Unit Balance Amount,Identifies the number of value of the balance depending on the type defined in the Accounting Unit Balance Amount Type.,[Auto Translated] Xác định số giá trị của số dư tùy thuộc vào loại được xác định trong Loại Số dư của Đơn vị Kế toán.,property,,,Business Core Vocabulary >> Accounting >> Accounting Unit Balance,,,Decimal,
6725,Accounting,Accounting Unit Roll Up,Identifies a relationship between two Accounting Units where the balance of the one Accounting Unit is aggregated into the balance of the other Accounting Unit.,[Auto Translated] Xác định mối quan hệ giữa hai Đơn vị Kế toán trong đó số dư của Đơn vị Kế toán này được tổng hợp thành số dư của Đơn vị Kế toán kia.,concept,,,,,,,
6726,Accounting,Accounting Structure Utilization Status Date,Identifies a calendar date associated with a change in the Accounting Structure Utilization Status.,[Auto Translated] Xác định ngày theo lịch liên quan đến thay đổi trong Trạng thái sử dụng cơ cấu kế toán.,property,,,Business Core Vocabulary >> Accounting >> Accounting Structure,,,Date,
6727,Accounting,Cost Of Carry Amount,The cost of carry refers to the expenditure or opportunity cost associated with entering and maintaining financial market positions.,[Auto Translated] Chi phí thực hiện đề cập đến chi phí hoặc chi phí cơ hội liên quan đến việc tham gia và duy trì vị thế thị trường tài chính.,property,,,Business Core Vocabulary >> Accounting >> Financial Market Position,,Business Scopes >> Alignment Scopes >> Algorithmics Alignment Scope,Monetary Amount,
6728,Accounting,Accounting Unit Initiator,Identifies an Individual who is the initiator of an Accounting Unit.,[Auto Translated] Xác định một Cá nhân là người khởi xướng Đơn vị Kế toán.,property,,Business Core Vocabulary >> Involved Party >> Individual,Business Core Vocabulary >> Accounting >> Accounting Unit,,,Relationship,
6729,Accounting,Arrangement Accounting Category Life Cycle Status Reason,"Distinguishes between Arrangement Accounting Category assignments according to their life cycle status change reason type. For example, the Arrangement value fell below a minimum eligibility criteria for an Accounting Category.",[Auto Translated] Phân biệt giữa các nhiệm vụ Danh mục Kế toán Sắp xếp theo loại lý do thay đổi trạng thái vòng đời của chúng. Ví dụ: giá trị Sắp xếp giảm xuống dưới tiêu chí đủ điều kiện tối thiểu cho Danh mục Kế toán.,property,,,Business Core Vocabulary >> Accounting >> Arrangement Accounting Category Designation,,,Reference Data,
6730,Accounting,Shadow Accounting Unit Flag,"Indicates whether the Accounting Unit is a shadow Accounting Unit, or not. Shadow Accounting Units hold temporary values that normally contribute towards permanent Accounting Units. This flag allows double-counting to be avoided.",[Auto Translated] Cho biết Đơn vị Kế toán có phải là Đơn vị Kế toán ngầm hay không. Đơn vị kế toán ngầm giữ các giá trị tạm thời thường đóng góp cho Đơn vị kế toán cố định. Cờ này cho phép tránh việc đếm hai lần.,property,,,Business Core Vocabulary >> Accounting >> Accounting Unit,,Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Financial Markets (FM),Boolean,
6731,Accounting,Accounting Unit Audited Flag,A flag indicating whether or not the Accounting Unit is subject to audit.,[Auto Translated] Cờ cho biết Đơn vị kế toán có bị kiểm toán hay không.,property,,,Business Core Vocabulary >> Accounting >> Accounting Unit,,,Boolean,
6732,Accounting,Position Quantity,"The value of the summarized Financial Market Component Movements expressed as a number._x000D_
_x000D_
The Quantity of the Financial Market Instrument, represented by the position._x000D_
_x000D_
For example, 2000 Oil Futures, 1000 Shares, etc.","[Auto Translated] Giá trị của các Biến động Thành phần Thị trường Tài chính được tóm tắt được biểu thị dưới dạng số._x000D_
_x000D_
Số lượng của Công cụ Thị trường Tài chính, được biểu thị bằng vị trí._x000D_
_x000D_
Ví dụ: Hợp đồng tương lai dầu 2000, 1000 cổ phiếu, v.v.",property,,,Business Performance Indicators >> Asset & Liability Management >> Positions Analysis; Business Core Vocabulary >> Accounting >> Financial Market Position,,Business Scopes >> Alignment Scopes >> Algorithmics Alignment Scope; Business Scopes >> Financial Markets (FM); Business Scopes >> Financial Markets (FM) >> Financial Market Instruments; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Financial Markets (FM) >> Financial Markets Trading,Decimal,
6733,Accounting,Product Accounting Category Designation Purpose,"Distinguishes between Product Accounting Category designations according to the reason or nature of the assignment, for example the Product is allocated to a transferred liabilities category for reporting purposes.","[Auto Translated] Phân biệt giữa các chỉ định Danh mục Kế toán Sản phẩm theo lý do hoặc tính chất của nhiệm vụ, ví dụ: Sản phẩm được phân bổ vào danh mục trách nhiệm pháp lý được chuyển giao cho mục đích báo cáo.",property,,,Business Core Vocabulary >> Accounting >> Product Accounting Category Designation,,Business Scopes >> Alignment Scopes >> EBA DPM Alignment Scope,Reference Data,
6734,Accounting,Initial Product Accounting Category,Identifies the original Product Category assignment for the Product.,[Auto Translated] Xác định việc gán Danh mục sản phẩm ban đầu cho Sản phẩm.,property,,Business Core Vocabulary >> Group >> Accounting Category,Business Core Vocabulary >> Accounting >> Product Accounting Category Designation,,,Relationship,
6735,Accounting,Financial Market Trading Position Type,Distinguishes a Financial Market Trading Position according to what its value represents.,[Auto Translated] Phân biệt một Vị thế Giao dịch trên Thị trường Tài chính theo giá trị của nó thể hiện.,property,,,Business Core Vocabulary >> Accounting >> Financial Market Trading Position,,Business Scopes >> Wealth Management Support; Business Scopes >> Wealth Management Support >> Wealth Management - Investment And Funds,Reference Data,
6736,Accounting,Clean Position Flag,"When set to 'yes', the Clean Position Flag indicates that the Position Cost Amount does not include fees and charges. Typically, a position recording trading positions excludes these costs, whereas an investment or fund position includes these costs.","[Auto Translated] Khi được đặt thành 'có', Cờ Vị trí Sạch cho biết rằng Số tiền Chi phí Vị trí không bao gồm phí và lệ phí. Thông thường, vị thế ghi lại vị thế giao dịch sẽ loại trừ các chi phí này, trong khi vị thế đầu tư hoặc quỹ bao gồm các chi phí này.",property,,,Business Core Vocabulary >> Accounting >> Financial Market Position,,Business Scopes >> Financial Markets (FM); Business Scopes >> Financial Markets (FM) >> Financial Market Instruments; Business Scopes >> Financial Markets (FM) >> Financial Markets Accounting; Business Scopes >> Capital Markets; Business Scopes >> Financial Markets (FM) >> Financial Markets Trading; Business Scopes >> Capital Markets >> Capital Markets View,Boolean,
6737,Accounting,Arrangement Accounting Category Designation Purpose,"Distinguishes between Arrangement Accounting Category designations according to the reason or nature of the assignment, for example the Arrangement is allocated to a transferred liabilities category for reporting purposes.","[Auto Translated] Phân biệt giữa các chỉ định Danh mục kế toán sắp xếp theo lý do hoặc tính chất của nhiệm vụ, ví dụ: Thỏa thuận được phân bổ cho danh mục trách nhiệm pháp lý được chuyển giao cho mục đích báo cáo.",property,,,Business Core Vocabulary >> Accounting >> Arrangement Accounting Category Designation,,Business Scopes >> Alignment Scopes >> EBA DPM Alignment Scope,Reference Data,
