id,code,name,description,description_vi,ref_set_id
30,Terminated Household,Terminated Household,Identifies groups of former Households in which some or all of the members are no longer resident in the Household.,[Auto] Xác định các nhóm Hộ gia đình trước đây trong đó một số hoặc tất cả các thành viên không còn cư trú trong Hộ gia đình.,0544a0b7-07b7-4509-8cbe-22e36caa218b
31,Non Seller Owned Product,Non Seller Owned Product,"Identifies a Product that is owned by a third party; for example, a travel package that the Financial Institution sells.",[Auto] Xác định Sản phẩm thuộc quyền sở hữu của bên thứ ba; ví dụ: gói du lịch mà Tổ chức tài chính bán.,056cb6d5-a68b-40c7-bcb1-d2a1c2295cd0
32,Seller Owned Product,Seller Owned Product,"Identifies a Product for which the Financial Institution is totally responsible for production and delivery of the product; for example, Personal Loan.","[Auto] Xác định Sản phẩm mà Tổ chức Tài chính chịu trách nhiệm hoàn toàn về việc sản xuất và phân phối sản phẩm; ví dụ, khoản vay cá nhân.",056cb6d5-a68b-40c7-bcb1-d2a1c2295cd0
33,Arrangement At Premium,Arrangement At Premium,Identifies an Arrangement which was made at a Premium.,[Auto] Xác định một Thỏa thuận đã được thực hiện ở mức Phí đặc biệt.,058cdca8-4725-4c1c-afb5-fd1cf02e2ee1
34,Arrangement At Face Value,Arrangement At Face Value,Identifies an Arrangement which was made at Face Value.,[Auto] Xác định một Thỏa thuận đã được thực hiện theo Mệnh giá.,058cdca8-4725-4c1c-afb5-fd1cf02e2ee1
35,Arrangement At Discount,Arrangement At Discount,Identifies an Arrangement which was made at a Discount.,[Auto] Xác định một Thỏa thuận đã được thực hiện với mức Giảm giá.,058cdca8-4725-4c1c-afb5-fd1cf02e2ee1
36,Syndicate Participation Arrangement,Syndicate Participation Arrangement,"Identifies an Arrangement Participation Type in which the Financial Institution acts in the role of a member or leader of a consortium which offers an Arrangement; for example, a syndicated jumbo construction loan for $200 million in which 10 banks participate.","[Auto] Xác định Loại Tham gia Thỏa thuận trong đó Tổ chức Tài chính đóng vai trò là thành viên hoặc lãnh đạo của một tập đoàn đưa ra Thỏa thuận; ví dụ, một khoản vay xây dựng khổng lồ hợp vốn trị giá 200 triệu USD trong đó có 10 ngân hàng tham gia.",060bfdeb-b7d2-4ecc-b707-7b437974bf6d
37,Receiver Participation Arrangement,Receiver Participation Arrangement,Identifies an Arrangement Participation Type in which the Financial Institution is the sole obtainer of the Arrangement.,[Auto] Xác định Loại Tham gia Thỏa thuận trong đó Tổ chức Tài chính là bên duy nhất có được Thỏa thuận.,060bfdeb-b7d2-4ecc-b707-7b437974bf6d
38,Provider Participation Arrangement,Provider Participation Arrangement,Identifies an Arrangement Participation Type in which the Financial Institution is the sole contributor of the Arrangement. This includes all the standard ARs of the Financial Institution such as retail accounts.,"[Auto] Xác định Loại Tham gia Thỏa thuận trong đó Tổ chức Tài chính là bên đóng góp duy nhất cho Thỏa thuận. Điều này bao gồm tất cả các AR tiêu chuẩn của Tổ chức tài chính, chẳng hạn như tài khoản bán lẻ.",060bfdeb-b7d2-4ecc-b707-7b437974bf6d
39,Sponsored Participation Arrangement,Sponsored Participation Arrangement,"Identifies an Arrangement Participation Type in which the Financial Institution offers a product or service which is underwritten, subsidized or otherwise sponsored by another Involved Party; for example, an agricultural loan Arrangement subsidized by a government.","[Auto] Xác định Loại Tham gia Thỏa thuận trong đó Tổ chức Tài chính cung cấp sản phẩm hoặc dịch vụ được bảo lãnh, trợ cấp hoặc tài trợ bởi một Bên liên quan khác; ví dụ, một khoản vay nông nghiệp được chính phủ trợ cấp.",060bfdeb-b7d2-4ecc-b707-7b437974bf6d
40,Mechanical Fault,Mechanical Fault,Identifies an Accident due to a failure or breakdown of a mechanical device.,[Auto] Xác định Tai nạn do hỏng hóc hoặc hỏng hóc thiết bị cơ khí.,06f71c21-3295-4e01-a6d4-59296efe409b
41,Weather Conditions,Weather Conditions,Identifies claims which arise from accidents caused by adverse weather conditions.,[Auto] Xác định các khiếu nại phát sinh từ các vụ tai nạn do điều kiện thời tiết bất lợi gây ra.,06f71c21-3295-4e01-a6d4-59296efe409b
42,Bankrupt,Bankrupt,"Identifies a person, firm, or corporation that, through a court proceeding, is relieved from the payment of all debts after the surrender of all assets to a court-appointed trustee.","[Auto] Xác định một cá nhân, công ty hoặc công ty, thông qua thủ tục tố tụng tại tòa án, được miễn thanh toán tất cả các khoản nợ sau khi bàn giao tất cả tài sản cho người được ủy thác do tòa án chỉ định.",07cf348c-76a3-482c-9614-2b89edabbaaf
43,In Liquidation,In Liquidation,Identifies a status of sale of the assets of a business to pay off debts.,[Auto] Xác định tình trạng bán tài sản của doanh nghiệp để trả nợ.,07cf348c-76a3-482c-9614-2b89edabbaaf
44,In Receivership,In Receivership,Identifies the legal condition a company is placed in when an official receiver is appointed to investigate and manage its affairs.,[Auto] Xác định điều kiện pháp lý mà một công ty được đặt ra khi người quản lý chính thức được chỉ định để điều tra và quản lý công việc của công ty.,07cf348c-76a3-482c-9614-2b89edabbaaf
45,Legally Unrestricted,Legally Unrestricted,Identifies a status of not being a subject to or subjected to restriction.,[Auto] Xác định trạng thái không phải là đối tượng hoặc bị hạn chế.,07cf348c-76a3-482c-9614-2b89edabbaaf
46,Net Amount,Net Amount,"Identifies an Accounting Unit Balance that represents the amount for the Measurement Period, after all adjustments have been applied.","[Auto] Xác định Số dư Đơn vị Kế toán đại diện cho số tiền trong Giai đoạn Đo lường, sau khi tất cả các điều chỉnh đã được áp dụng.",07f36d07-155c-491f-bdb8-f40e0ed6da0b
47,Posted Amount,Posted Amount,"Identifies an Accounting Unit Balance that represents the monetary (e.g. currency amount) or non-monetary (e.g. an integer counter) value of the Period Balance Type for the associated Accounting Unit and Scenario at the time designated by the Point Balance Type, before any later adjustments are made.","[Auto] Xác định Số dư Đơn vị Kế toán đại diện cho giá trị tiền tệ (ví dụ: số tiền) hoặc phi tiền tệ (ví dụ: bộ đếm số nguyên) của Loại Số dư Kỳ cho Đơn vị Kế toán và Kịch bản được liên kết tại thời điểm được chỉ định bởi Loại Số dư Điểm, trước khi thực hiện bất kỳ điều chỉnh nào sau này.",07f36d07-155c-491f-bdb8-f40e0ed6da0b
48,Adjustment Amount,Adjustment Amount,"Identifies an Accounting Unit Balance that represents the actual amount of increase or decrease to the Accounting Unit Balance due to adjustments made after the original posting was recorded (the Posted Amount), and before the relevant Accounting Unit was closed off for the Measurement Period.",[Auto] Xác định Số dư Đơn vị Kế toán thể hiện số tiền tăng hoặc giảm thực tế đối với Số dư Đơn vị Kế toán do các điều chỉnh được thực hiện sau khi ghi lại số dư ban đầu (Số tiền đã Đăng) và trước khi Đơn vị Kế toán liên quan bị đóng cửa trong Giai đoạn Đo lường.,07f36d07-155c-491f-bdb8-f40e0ed6da0b
49,Liquidity Risk,Liquidity Risk,Identifies a Market Risk Segment that supports the analysis of the risk of liquidity where assets cannot be sold quickly without effecting their price.,[Auto] Xác định Phân đoạn rủi ro thị trường hỗ trợ phân tích rủi ro thanh khoản khi tài sản không thể được bán nhanh chóng mà không ảnh hưởng đến giá của chúng.,08024898-0552-4a08-aa63-dfeb5db8450f
50,Default Risk,Default Risk,Identifies the risk of default on a position.,[Auto] Xác định rủi ro vỡ nợ trên một vị thế.,08024898-0552-4a08-aa63-dfeb5db8450f
51,Migration Risk,Migration Risk,Identifies the potential for direct loss due to internal / external downgrade or upgrade in ratings as well as potential for indirect losses which arise from credit migration event.,[Auto] Xác định khả năng thua lỗ trực tiếp do hạ cấp hoặc nâng cấp xếp hạng nội bộ / bên ngoài cũng như khả năng thua lỗ gián tiếp phát sinh từ sự kiện di chuyển tín dụng.,08024898-0552-4a08-aa63-dfeb5db8450f
52,Fixed Principal Swap,Fixed Principal Swap,Identifies a Swap Instrument that involves the exchange of cash flows calculated using a principal amount that does not vary throughout the life of the Swap.,[Auto] Xác định một Công cụ Hoán đổi liên quan đến việc trao đổi các dòng tiền được tính bằng cách sử dụng số tiền gốc không thay đổi trong suốt thời gian của Hoán đổi.,0867843b-b1d4-4f2d-8f2d-34ae116b95cf
53,Amortizing Principal Swap,Amortizing Principal Swap,Identifies a Swap Instrument that involves the exchange of cash flows calculated using a principal amount that reduces according to the amortization schedule of a loan.,[Auto] Xác định một Công cụ Hoán đổi liên quan đến việc trao đổi các dòng tiền được tính bằng cách sử dụng số tiền gốc giảm dần theo lịch trả dần của khoản vay.,0867843b-b1d4-4f2d-8f2d-34ae116b95cf
54,Step Up Principal Swap,Step Up Principal Swap,Identifies a Swap Instrument that involves the exchange of cash flows calculated using a principal amount that increases according to the draw-downs on a loan.,[Auto] Xác định một Công cụ Hoán đổi liên quan đến việc trao đổi các dòng tiền được tính bằng cách sử dụng số tiền gốc tăng theo mức rút vốn của khoản vay.,0867843b-b1d4-4f2d-8f2d-34ae116b95cf
55,Canceled Involved Party Relationship,Canceled Involved Party Relationship,"Identifies an Involved Party / Involved Party Relationship which was a potential relationship that never became effective; for example, a proposed employee of an organization who never took up the position.","[Auto] Xác định một Bên liên quan/Mối quan hệ giữa các bên liên quan là một mối quan hệ tiềm năng chưa bao giờ có hiệu quả; ví dụ, một nhân viên được đề xuất của một tổ chức nhưng chưa bao giờ đảm nhận vị trí này.",08c1e9cc-6dbe-4106-8a2f-0a18e7553589
56,Proposed Involved Party Relationship,Proposed Involved Party Relationship,"Identifies an Involved Party / Involved Party Relationship that has been generally determined and discussed, but has not yet been accepted as fact. For example, an offer of employment has been sent to John Sea, but he has not yet accepted to become an employee.","[Auto] Xác định một Bên liên quan/Mối quan hệ giữa các bên liên quan đã được xác định và thảo luận chung nhưng chưa được chấp nhận là thực tế. Ví dụ, một lời mời làm việc đã được gửi tới John Sea, nhưng anh ấy vẫn chưa chấp nhận trở thành nhân viên.",08c1e9cc-6dbe-4106-8a2f-0a18e7553589
57,Active Involved Party Relationship,Active Involved Party Relationship,"Identifies an Involved Party / Involved Party Relationship which is judged to be current and valid. For example, Jane Black is a reportee to Samantha Crowe.",[Auto] Xác định một Bên liên quan/Mối quan hệ giữa các bên liên quan được đánh giá là hiện hành và hợp lệ. Ví dụ: Jane Black là người báo cáo cho Samantha Crowe.,08c1e9cc-6dbe-4106-8a2f-0a18e7553589
58,Terminated Involved Party Relationship,Terminated Involved Party Relationship,"Identifies an Involved Party / Involved Party Relationship which is judged to be no longer valid. For example, Joseph McGuire is a former employee of XYZ Corporation, so his employment relationship with them is Terminated.",[Auto] Xác định một Bên liên quan/Mối quan hệ giữa các bên liên quan được đánh giá là không còn hiệu lực. Ví dụ: Joseph McGuire là cựu nhân viên của Tập đoàn XYZ nên mối quan hệ việc làm của anh ấy với họ đã chấm dứt.,08c1e9cc-6dbe-4106-8a2f-0a18e7553589
59,Dormant Involved Party Relationship,Dormant Involved Party Relationship,"Identifies an Involved Party / Involved Party Relationship which is judged to be current but not used in some time; for example, a customer relationship for which no transactions have occurred for some time.",[Auto] Xác định một Bên liên quan/Mối quan hệ giữa các bên liên quan được đánh giá là hiện tại nhưng không được sử dụng trong một thời gian; ví dụ: mối quan hệ khách hàng mà không có giao dịch nào xảy ra trong một thời gian.,08c1e9cc-6dbe-4106-8a2f-0a18e7553589
60,Responsibility Center,Responsibility Center,"Identifies an Organization Unit that does not have revenue or expenses charged to it, but which can have responsibilities which may be measured according to non-financial criteria. An Organization Unit that is temporary in nature, such as a project, may be designated as a responsibility center for accounting purposes.","[Auto] Xác định Đơn vị tổ chức không có doanh thu hoặc chi phí được tính nhưng có thể có các trách nhiệm có thể được đo lường theo tiêu chí phi tài chính. Một Đơn vị Tổ chức có tính chất tạm thời, chẳng hạn như một dự án, có thể được chỉ định làm trung tâm trách nhiệm cho mục đích kế toán.",0919d4f5-8030-4773-88a5-a811d52b96aa
61,Investment Center,Investment Center,"Identifies an Organization Unit in which the manager is in control of revenue, cost and the Financial Institution's investment funds. Investment centers are typically measured on the return on invested capital.","[Auto] Xác định Đơn vị Tổ chức trong đó người quản lý kiểm soát doanh thu, chi phí và quỹ đầu tư của Tổ chức Tài chính. Các trung tâm đầu tư thường được đo lường dựa trên lợi nhuận trên vốn đầu tư.",0919d4f5-8030-4773-88a5-a811d52b96aa
62,Revenue Center,Revenue Center,Identifies an Organization Unit in which the manager is responsible for generating revenues. Revenue centers are typically measured on how actual revenue compares to expected revenues.,[Auto] Xác định Đơn vị tổ chức trong đó người quản lý chịu trách nhiệm tạo ra doanh thu. Các trung tâm doanh thu thường được đo lường bằng cách so sánh doanh thu thực tế với doanh thu dự kiến.,0919d4f5-8030-4773-88a5-a811d52b96aa
63,Profit Center,Profit Center,Identifies an Organization Unit that generates income and budgets both income and expense.,[Auto] Xác định Đơn vị tổ chức tạo ra thu nhập và ngân sách cả thu nhập và chi phí.,0919d4f5-8030-4773-88a5-a811d52b96aa
64,Cost Center,Cost Center,Identifies an Organization Unit that does not generate income and whose budget is based on expenses.,[Auto] Xác định Đơn vị tổ chức không tạo ra thu nhập và có ngân sách dựa trên chi phí.,0919d4f5-8030-4773-88a5-a811d52b96aa
65,Cash Basis,Cash Basis,Identifies an Monetary Accounting Transaction in which the change to an Accounting Unit Balance is recognized when the cash has actually been received (revenue) or spent (expense).,[Auto] Xác định một Giao dịch kế toán tiền tệ trong đó thay đổi đối với Số dư đơn vị kế toán được ghi nhận khi tiền mặt thực sự được nhận (doanh thu) hoặc chi tiêu (chi phí).,0937fefe-f61f-4445-8ff1-080483bfda6c
66,Accrual Basis,Accrual Basis,"Identifies a Monetary Accounting Transaction in which the change to an Accounting Unit Balance is recognized when the Transaction occurs, regardless of when cash will actually be received or sent.","[Auto] Xác định Giao dịch kế toán tiền tệ trong đó thay đổi đối với Số dư đơn vị kế toán được ghi nhận khi Giao dịch xảy ra, bất kể khi nào tiền mặt sẽ thực sự được nhận hoặc gửi.",0937fefe-f61f-4445-8ff1-080483bfda6c
67,Puttable,Puttable,"Identifies a Debt Instrument whereby the holder has the right to cash the bond for the face value under specified conditions. For example, the holder of a puttable bond, or put bond, can redeem the bond for its face value if the holder feels that the prospects of the issuer are weakening, which could lower the issuer's ability to pay off its debts.","[Auto] Xác định một Công cụ Nợ theo đó người nắm giữ có quyền đổi trái phiếu thành tiền mặt theo mệnh giá theo các điều kiện được chỉ định. Ví dụ: người nắm giữ trái phiếu có thể bán lại hoặc trái phiếu bán có thể mua lại trái phiếu theo mệnh giá của nó nếu người nắm giữ cảm thấy rằng triển vọng của tổ chức phát hành đang suy yếu, điều này có thể làm giảm khả năng thanh toán nợ của tổ chức phát hành.",0943e317-3af0-4369-88aa-ee5c0c6bbc83
68,Fixed Redemption,Fixed Redemption,"Identifies a Debt Instrument, such as a bond, whereby the issuer will repay the principal on a predetermined date.","[Auto] Xác định một Công cụ Nợ, chẳng hạn như trái phiếu, theo đó người phát hành sẽ hoàn trả tiền gốc vào một ngày định trước.",0943e317-3af0-4369-88aa-ee5c0c6bbc83
69,Callable,Callable,"Identifies a Debt Instrument, such as a callable bond, whereby the issuer has the right to repay the principal to selected holders within specified dates.","[Auto] Xác định một Công cụ nợ, chẳng hạn như trái phiếu có thể thu hồi, theo đó tổ chức phát hành có quyền hoàn trả tiền gốc cho những người nắm giữ được chọn trong những ngày được chỉ định.",0943e317-3af0-4369-88aa-ee5c0c6bbc83
70,Portfolio Strategy Active,Portfolio Strategy Active,Identifies that the strategy is being actively used or is considered valid for use against Portfolios.,[Auto] Xác định rằng chiến lược đang được sử dụng tích cực hoặc được coi là hợp lệ để sử dụng đối với Danh mục đầu tư.,09489f81-3417-49ef-a1d3-a9f0d7780230
71,Portfolio Strategy In Design,Portfolio Strategy In Design,Identifies that the strategy is in its design phase.,[Auto] Xác định rằng chiến lược đang trong giai đoạn thiết kế.,09489f81-3417-49ef-a1d3-a9f0d7780230
72,Portfolio Strategy Suspended,Portfolio Strategy Suspended,Identifies that the Strategy has been suspended for use against Portfolios but may be made active again after undergoing a further design phase.,[Auto] Xác định rằng Chiến lược đã bị tạm dừng để sử dụng cho Danh mục đầu tư nhưng có thể được kích hoạt trở lại sau khi trải qua giai đoạn thiết kế tiếp theo.,09489f81-3417-49ef-a1d3-a9f0d7780230
