id,source_category,source_term,relationship_type,target_category,target_term
93,Accounting,Covered Financial Market Position,related,Accounting,Financial Market Position
94,Accounting,Covered Financial Market Position,part_of,Accounting,Financial Market Position Cover
95,Accounting,Accounting Unit Description,part_of,Accounting,Accounting Unit
96,Accounting,Accounting Structure Name,part_of,Accounting,Accounting Structure
97,Accounting,Accounting Unit Status Date,part_of,Accounting,Accounting Unit
98,Accounting,Financial Market Position Value Currency,related,Common,Currency
99,Accounting,Financial Market Position Value Currency,part_of,Accounting,Financial Market Position
100,Accounting,Accounting Unit Identifier,part_of,Accounting,Accounting Unit
101,Accounting,Accounting Unit,related,Communication,Communication Tracking Accounting Unit
102,Accounting,Accounting Unit,related,Involved Party,Audited Accounting Unit
103,Accounting,Accounting Unit,related,Accounting,Allocated Accounting Unit
104,Accounting,Accounting Unit,related,Business Activity,Business Activity Tracking Accounting Unit
105,Accounting,Accounting Unit,related,Accounting,Accounting Unit Balance
106,Accounting,Accounting Unit,related,Accounting,Accounting Unit Tracking Financial Market Position
107,Accounting,Accounting Unit,related,Product,Product Tracked By Accounting Unit
108,Accounting,Accounting Unit,related,Condition,Tracking Balance
109,Accounting,Accounting Unit,related,Accounting,Offsetting Accounting Unit
110,Accounting,Accounting Unit,related,Transaction,Cost Allocation Accounting Unit
111,Accounting,Accounting Unit,related,Business Activity,Posting Accounting Unit
112,Accounting,Accounting Unit,related,Accounting,Contributing Accounting Unit
113,Accounting,Accounting Unit,related,Accounting,Summary Of Accounting Unit
114,Accounting,Accounting Unit,related,Arrangement,Arrangement Tracked By Accounting Unit
115,Accounting,Accounting Unit,related,Condition,Condition Applies To Accounting Unit
116,Accounting,Accounting Unit,related,Accounting,Includes Accounting Unit
117,Accounting,Accounting Unit,related,Transaction,Transaction Tracking Accounting Unit
118,Accounting,Accounting Unit,related,Accounting,Accounting Unit Restriction Arrangement
119,Accounting,Accounting Unit,related,Event,Event Tracking Accounting Unit
120,Accounting,Accounting Unit,related,Property,Property Tracked By Accounting Unit
121,Accounting,Accounting Unit,related,Group,Accounting Unit Tracks Group
122,Accounting,Accounting Unit,related,Accounting,Shadow Accounting Unit
123,Accounting,Accounting Unit,related,Accounting,Equivalent Accounting Unit
124,Accounting,Accounting Unit,related,Accounting,Accounting Structure Item
125,Accounting,Accounting Unit,related,Accounting,Accumulating Accounting Unit
126,Accounting,Product Accounting Category Life Cycle Status Reason,part_of,Accounting,Product Accounting Category Designation
127,Accounting,On / Off Balance Sheet Indicator,part_of,Accounting,Accounting Structure Item
128,Accounting,Position Unrealized Profit Or Loss,part_of,Asset & Liability Management,Positions Analysis
129,Accounting,Position Unrealized Profit Or Loss,part_of,Accounting,Financial Market Trading Position
130,Accounting,Summary Of Accounting Unit,related,Accounting,Accounting Unit
131,Accounting,Summary Of Accounting Unit,part_of,Accounting,Accounting Unit
132,Accounting,Financial Market Position Valuation Type,part_of,Accounting,Financial Market Position
133,Accounting,Financial Market Lot Type,part_of,Accounting,Financial Market Lot
134,Accounting,Position Realized Profit Or Loss,part_of,Accounting,Financial Market Trading Position
135,Accounting,Accounting Unit Status,part_of,Accounting,Accounting Unit
136,Accounting,Accounting Unit Balance Time Status,part_of,Accounting,Accounting Unit Balance
137,Accounting,Financial Market Position Type,part_of,Accounting,Financial Market Position
138,Accounting,Financial Lot Number,part_of,Accounting,Financial Market Lot
139,Accounting,Available For Lending Amount,part_of,Accounting,Security Lending Position
140,Accounting,Available For Lending Amount,part_of,Investment Management,Securities Available For Lending
141,Accounting,Tracked Involved Party,related,Involved Party,Involved Party
142,Accounting,Tracked Involved Party,part_of,Accounting,Accounting Unit
143,Accounting,Marking To Market Type,part_of,Accounting,Financial Market Position
144,Accounting,Initial Arrangement Accounting Category,related,Group,Accounting Category
145,Accounting,Initial Arrangement Accounting Category,part_of,Accounting,Arrangement Accounting Category Designation
146,Accounting,Financial Market Position Reason,part_of,Accounting,Financial Market Position
147,Accounting,Lending Position Amount,part_of,Accounting,Security Lending Position
148,Accounting,Lending Position Amount,part_of,Investment Management,Securities Available For Lending
149,Accounting,Accounting Unit Restriction Arrangement,related,Accounting,Accounting Unit
150,Accounting,Accounting Unit Restriction Arrangement,related,Arrangement,Arrangement
151,Accounting,Monitoring Business Direction,related,Business Direction,Business Direction
152,Accounting,Monitoring Business Direction,part_of,Accounting,Accounting Unit
153,Accounting,Accounting Unit Balance Reliability,part_of,Accounting,Accounting Unit Balance
154,Accounting,Accounting Structure Denomination Currency,related,Common,Currency
155,Accounting,Accounting Structure Denomination Currency,part_of,Accounting,Accounting Structure
156,Accounting,Covering Financial Market Position,related,Accounting,Financial Market Position
157,Accounting,Covering Financial Market Position,part_of,Accounting,Financial Market Position Cover
158,Accounting,Used Business Direction,related,Business Direction,Business Direction
159,Accounting,Used Business Direction,part_of,Accounting,Accounting Unit
160,Accounting,Point Balance Type,part_of,Accounting,Accounting Unit Balance
161,Accounting,Accounting Structure Utilization Status,part_of,Accounting,Accounting Structure
162,Accounting,Financial Market Position Value Type,part_of,Accounting,Financial Market Position
163,Accounting,Current Position Valuation,part_of,Accounting,Financial Market Trading Position
164,Accounting,Financial Market Position Analyzing Involved Party,related,Involved Party,Involved Party
165,Accounting,Financial Market Position Analyzing Involved Party,part_of,Accounting,Financial Market Position
166,Accounting,Includes Accounting Unit,related,Accounting,Accounting Unit
167,Accounting,Includes Accounting Unit,part_of,Accounting,Accounting Unit
168,Accounting,Accounting Unit Name,part_of,Accounting,Accounting Unit
169,Accounting,Income / Expense Flag,part_of,Accounting,Accounting Structure Item
170,Accounting,Accounting Unit Posting Status,part_of,Accounting,Accounting Unit
171,Accounting,Accounting Structure Item Type,part_of,Accounting,Accounting Structure Item
172,Accounting,Arrangement Accounting Category Life Cycle Status,part_of,Accounting,Arrangement Accounting Category Designation
173,Accounting,Lending Position Quantity,part_of,Accounting,Security Lending Position
174,Accounting,Lending Position Quantity,part_of,Investment Management,Securities Available For Lending
175,Accounting,Accounting Unit Effective Date,part_of,Accounting,Accounting Unit
176,Accounting,Position Liquidity Horizon,related,Common,Time Period
177,Accounting,Position Liquidity Horizon,part_of,Accounting,Financial Market Position
178,Accounting,Value Estimate Business Model,related,Business Direction,Procedure
179,Accounting,Value Estimate Business Model,part_of,Accounting,Accounting Unit
180,Accounting,Position Number Of Contracts,part_of,Accounting,Financial Market Position
181,Accounting,Borrowing Position Quantity,part_of,Accounting,Security Lending Position
182,Accounting,Borrowing Position Quantity,part_of,Investment Management,Securities Available For Lending
183,Accounting,Position Date,part_of,Accounting,Financial Market Position
184,Accounting,Short Position Flag,part_of,Accounting,Financial Market Position
185,Accounting,Position Original Liquidity Horizon,related,Common,Time Period
186,Accounting,Position Original Liquidity Horizon,part_of,Accounting,Financial Market Position
187,Accounting,Position Calculation Time,part_of,Accounting,Financial Market Position
188,Accounting,Accounting Unit Balance Amount Type,part_of,Accounting,Accounting Unit Balance
189,Accounting,Balance Start Date,part_of,Accounting,Accounting Unit Balance
190,Accounting,Arrangement Accounting Category Designation Date,part_of,Accounting,Arrangement Accounting Category Designation
191,Accounting,Trading Position Current Position Valuation,part_of,Accounting,Financial Market Trading Position
192,Accounting,Financial Market Date Position Type,part_of,Accounting,Financial Market Position
193,Accounting,Financial Market Position Underlying Position,related,Accounting,Financial Market Position
194,Accounting,Financial Market Position Underlying Position,part_of,Accounting,Financial Market Position
195,Accounting,Balance End Date,part_of,Accounting,Accounting Unit Balance
196,Accounting,Financial Lot Identifier,part_of,Accounting,Financial Market Lot
197,Accounting,Open Position Flag,part_of,Accounting,Financial Market Position
198,Accounting,Position Amount,part_of,Accounting,Financial Market Position
199,Accounting,Accounting Structure Description,part_of,Accounting,Accounting Structure
200,Accounting,Accounting Unit Restricted By Arrangement Relationship Limit Condition Sequence Number,part_of,Accounting,Accounting Unit Restriction Arrangement
201,Accounting,Accounting Unit Posting Type,part_of,Accounting,Accounting Unit
202,Accounting,Hedged Financial Market Position,related,Accounting,Financial Market Position
203,Accounting,Hedged Financial Market Position,part_of,Accounting,Financial Market Position
204,Accounting,Accounting Unit Life Cycle Status,part_of,Accounting,Accounting Unit
205,Accounting,Notional Position Type,part_of,Accounting,Financial Market Position
206,Accounting,Contributing Accounting Unit,related,Accounting,Accounting Unit
207,Accounting,Contributing Accounting Unit,part_of,Accounting,Accounting Unit Roll Up
208,Accounting,Equivalent Accounting Structure,related,Accounting,Accounting Structure
209,Accounting,Equivalent Accounting Structure,part_of,Accounting,Accounting Structure
210,Accounting,Accounting Structure Item Utilization Status,part_of,Accounting,Accounting Structure Item
211,Arrangement,Balance Transfer In Amount,part_of,Arrangement,Credit Facility Arrangement
212,Arrangement,Arrangement,related,Arrangement,Condition Applies To Arrangement
213,Arrangement,Arrangement,related,Transaction,Destination Arrangement
214,Arrangement,Arrangement,related,Arrangement,Arrangement Authorized User
215,Arrangement,Arrangement,related,Arrangement,Governed Arrangement
216,Arrangement,Arrangement,related,Transaction,Origination Arrangement
217,Arrangement,Arrangement,related,Arrangement,Alternative Arrangement
218,Arrangement,Arrangement,related,Business Activity,Reviewed Arrangement
219,Arrangement,Arrangement,related,Communication,Assessed Arrangement
220,Arrangement,Arrangement,related,Arrangement,Hedging Arrangement
221,Arrangement,Arrangement,related,Accounting,Arrangement Accounting Category Designation
222,Arrangement,Arrangement,related,Arrangement,Renews Arrangement
223,Arrangement,Arrangement,related,Arrangement,Arrangement Delivery Point
224,Arrangement,Arrangement,related,Arrangement,Arrangement Subsidizer
225,Arrangement,Arrangement,related,Transaction,Transaction Maintained Arrangement
226,Arrangement,Arrangement,related,Arrangement,Replaces Arrangement
227,Arrangement,Arrangement,related,Property,Applicable Arrangement
228,Arrangement,Arrangement,related,Arrangement,Arrangement Broker
229,Arrangement,Arrangement,related,Arrangement,Arrangement Tracked By Accounting Unit
230,Arrangement,Arrangement,related,Business Activity,Business Activity Related Arrangement
231,Arrangement,Arrangement,related,Arrangement,Arrangement Rate Relationship
232,Arrangement,Arrangement,related,Arrangement,Preferred Arrangement
233,Arrangement,Arrangement,related,Accounting,Accounting Unit Restriction Arrangement
234,Arrangement,Arrangement,related,Arrangement,Arrangement Involved Party Exposure
235,Arrangement,Arrangement,related,Arrangement,Identified Arrangement
236,Arrangement,Arrangement,related,Arrangement,Applicable Business Direction Arrangement
237,Arrangement,Arrangement,related,Communication,Communication Related Arrangement
238,Arrangement,Arrangement,related,Arrangement,Dependent Arrangement
239,Arrangement,Arrangement,related,Group,Group Contains Arrangement
240,Arrangement,Arrangement,related,Arrangement,Customer Arrangement Relationship
241,Arrangement,Arrangement,related,Arrangement,Amending Arrangement
242,Arrangement,Arrangement,related,Communication,Risk Assessment Arrangement
243,Arrangement,Arrangement,related,Arrangement,Arrangement Delivery Channel
244,Arrangement,Arrangement,related,Arrangement,Master Arrangement
245,Arrangement,Arrangement,related,Arrangement,Results From Arrangement
246,Arrangement,Current Utilization Amount,part_of,Arrangement,Credit Facility Arrangement
247,Arrangement,Current Utilization Amount,part_of,Arrangement,Account Facility Finance Service Arrangement
248,Arrangement,Current Utilization Amount,part_of,Arrangement,Loan Arrangement
249,Arrangement,Letter Of Credit Advising Bank,related,Involved Party,Letter Advising Bank
250,Arrangement,Letter Of Credit Advising Bank,part_of,Arrangement,Letter Of Credit Arrangement
251,Arrangement,Security Arrangement,related,Arrangement,Security Arrangement For Financial Market Instrument
252,Arrangement,Security Arrangement,related,Arrangement,Priority Arrangement
253,Arrangement,Security Arrangement,related,Arrangement,Arrangement Provides Security For Arrangement
254,Arrangement,Results From Arrangement,related,Arrangement,Arrangement
255,Arrangement,Results From Arrangement,part_of,Arrangement,Arrangement
256,Arrangement,Eligible Credit Derivative Flag,part_of,Arrangement,Guarantee Arrangement
257,Arrangement,Trading Arrangement Customer Classification Date,part_of,Arrangement,Trading Account Arrangement
258,Arrangement,Arrangement Name,part_of,Arrangement,Arrangement
259,Arrangement,Settlement Account Arrangement,related,Arrangement,Financial Market Standard Settlement Instruction Settlement Arrangement
260,Arrangement,Collateral Posting Exposure Amount Threshold,part_of,Arrangement,Collateral Arrangement
261,Arrangement,Incoming Dishonored Check Count,part_of,Arrangement,Account Arrangement
262,Arrangement,Collateral Arrangement Life Cycle Status,part_of,Arrangement,Collateral Arrangement
263,Arrangement,Arrangement Delivery Channel Relationship Limit Condition,related,Condition,Arrangement Delivery Channel Relationship Limit
264,Arrangement,Arrangement Delivery Channel Relationship Limit Condition,part_of,Arrangement,Arrangement Delivery Channel
265,Arrangement,Legal Enforceability Flag,part_of,Arrangement,Security Arrangement
266,Arrangement,Product Investment,related,Product,Product
267,Arrangement,Product Investment,part_of,Arrangement,Financial Engineering Arrangement
268,Arrangement,Immediately Revocable Flag,part_of,Arrangement,Financial Instrument Arrangement
269,Arrangement,Immediately Revocable Flag,part_of,Arrangement,Settlement Account Arrangement
270,Arrangement,Immediately Revocable Flag,part_of,Arrangement,Asset Securitization Arrangement
271,Arrangement,Immediately Revocable Flag,part_of,Arrangement,Finance Service Arrangement
272,Arrangement,Immediately Revocable Flag,part_of,Arrangement,Account Facility Finance Service Arrangement
273,Arrangement,Immediately Revocable Flag,part_of,Arrangement,Trading Account Arrangement
274,Arrangement,Guarantee Type,part_of,Arrangement,Guarantee Arrangement
275,Arrangement,Arrangement Collateral Type,part_of,Arrangement,Collateral Arrangement
276,Arrangement,Arrangement Initiator,related,Involved Party,Involved Party
277,Arrangement,Arrangement Initiator,part_of,Arrangement,Arrangement
278,Arrangement,Actual Exposure At Default,part_of,Arrangement,Financial Instrument Arrangement
279,Arrangement,Actual Exposure At Default,part_of,Arrangement,Settlement Account Arrangement
280,Arrangement,Actual Exposure At Default,part_of,Arrangement,Asset Securitization Arrangement
281,Arrangement,Actual Exposure At Default,part_of,Arrangement,Finance Service Arrangement
282,Arrangement,Actual Exposure At Default,part_of,Arrangement,Account Facility Finance Service Arrangement
283,Arrangement,Actual Exposure At Default,part_of,Arrangement,Trading Account Arrangement
284,Arrangement,Applicable Limit Condition,related,Condition,Limit Condition
285,Arrangement,Applicable Limit Condition,part_of,Arrangement,Arrangement
286,Arrangement,Finance Service Limit Indicator Date,part_of,Arrangement,Finance Service Arrangement
287,Arrangement,Finance Service Limit Indicator Date,part_of,Product,Finance Service
288,Arrangement,Finance Service Termination Outcome Type,part_of,Arrangement,Finance Service Arrangement
289,Arrangement,Finance Service Termination Outcome Type,part_of,Arrangement,Account Facility Finance Service Arrangement
290,Arrangement,Negotiated Settlement With Loss Type,part_of,Arrangement,Finance Service Arrangement
291,Arrangement,Negotiated Settlement With Loss Type,part_of,Arrangement,Account Facility Finance Service Arrangement
292,Arrangement,Arrangement Alternative Identifier Type,part_of,Arrangement,Arrangement Alternative Identification
293,Arrangement,Arrangement Insurance Provider,related,Involved Party,Involved Party
294,Arrangement,Arrangement Insurance Provider,part_of,Arrangement,Insurance Arrangement
295,Arrangement,Alternative Arrangement,related,Arrangement,Arrangement
296,Arrangement,Alternative Arrangement,part_of,Arrangement,Arrangement
297,Arrangement,Arrangement Residual Maturity,part_of,Arrangement,Arrangement
298,Arrangement,Account Approval Date,part_of,Arrangement,Account Arrangement
299,Arrangement,Arrangement Relationship Life Cycle Status Reason,part_of,Arrangement,Arrangement Provides Security For Arrangement
300,Arrangement,Finance Service Arrangement Type,part_of,Arrangement,Finance Service Arrangement
301,Arrangement,Arrangement Customization,part_of,Arrangement,Arrangement
302,Arrangement,Arrangement Charge Concession Type Date,part_of,Arrangement,Arrangement
303,Arrangement,Loan Prepayment Penalties Paid Amount,part_of,Arrangement,Loan Arrangement
304,Arrangement,Loan Prepayment Penalties Paid Amount,part_of,Arrangement,Asset Securitization Arrangement
305,Arrangement,Sovereign Counter-Guarantee Flag,part_of,Arrangement,Guarantee Arrangement
306,Arrangement,Underlying Product,related,Product,Product
307,Arrangement,Underlying Product,part_of,Arrangement,Financial Instrument Arrangement
308,Arrangement,Arrangement Selection Reason,part_of,Arrangement,Arrangement
309,Arrangement,Exposure Amount Securitized,part_of,Arrangement,Asset Securitization Arrangement
310,Arrangement,Arrangement Life Cycle Status Initiation,part_of,Arrangement,Arrangement
311,Arrangement,Execution Policy Consent Flag,part_of,Arrangement,Trading Account Arrangement
312,Arrangement,Execution Policy Consent Flag,part_of,Arrangement,Investment Arrangement
313,Arrangement,Arrangement Recovery Of Principal Amount,part_of,Arrangement,Finance Service Arrangement
314,Arrangement,Arrangement Recovery Of Principal Amount,part_of,Arrangement,Trading Account Arrangement
315,Arrangement,Arrangement Recovery Of Principal Amount,part_of,Arrangement,Settlement Account Arrangement
316,Arrangement,Last Incoming Dishonored Check Date,part_of,Arrangement,Account Arrangement
317,Arrangement,Arrangement Base Currency,related,Common,Currency
318,Arrangement,Arrangement Base Currency,part_of,Arrangement,Arrangement
319,Arrangement,Financial Instrument Leg Direction Type,part_of,Arrangement,Financial Instrument Arrangement
320,Arrangement,Investment Arrangement Type,part_of,Arrangement,Investment Arrangement
321,Arrangement,Letter Of Credit Issuing Bank,related,Involved Party,Letter Issuing Bank
322,Arrangement,Letter Of Credit Issuing Bank,part_of,Arrangement,Letter Of Credit Arrangement
323,Arrangement,Securitization Price,part_of,Arrangement,Asset Securitization Arrangement
324,Arrangement,Arrangement Initiation Nature,part_of,Arrangement,Arrangement
325,Arrangement,Arrangement Data Processor,related,Involved Party,Data Processor
326,Arrangement,Arrangement Data Processor,part_of,Arrangement,Arrangement
327,Arrangement,Arrangement Relationship Life Cycle Status,part_of,Arrangement,Arrangement Provides Security For Arrangement
328,Arrangement,Subject To The Laws Of Geographic Area,related,Location,Geographic Area
329,Arrangement,Subject To The Laws Of Geographic Area,part_of,Arrangement,Arrangement
330,Arrangement,Arrangement Credit Risk Rating,related,Group,Credit Risk Rating
331,Arrangement,Arrangement Credit Risk Rating,part_of,Arrangement,Financial Instrument Arrangement
332,Arrangement,Arrangement Credit Risk Rating,part_of,Arrangement,Settlement Account Arrangement
333,Arrangement,Arrangement Credit Risk Rating,part_of,Arrangement,Asset Securitization Arrangement
334,Arrangement,Arrangement Credit Risk Rating,part_of,Arrangement,Finance Service Arrangement
335,Arrangement,Arrangement Credit Risk Rating,part_of,Arrangement,Account Facility Finance Service Arrangement
336,Arrangement,Arrangement Credit Risk Rating,part_of,Arrangement,Trading Account Arrangement
337,Arrangement,Fund Availability Date,part_of,Arrangement,Credit Facility Arrangement
338,Arrangement,Fund Availability Date,part_of,Arrangement,Account Facility Finance Service Arrangement
339,Arrangement,Fund Availability Date,part_of,Arrangement,Loan Arrangement
340,Arrangement,Security Arrangement Type,part_of,Arrangement,Security Arrangement
341,Arrangement,Negotiated Settlement Without Loss Type,part_of,Arrangement,Finance Service Arrangement
342,Arrangement,Negotiated Settlement Without Loss Type,part_of,Arrangement,Account Facility Finance Service Arrangement
343,Arrangement,Finance Service Re-Age Date,part_of,Arrangement,Finance Service Arrangement
344,Arrangement,Finance Service Re-Age Date,part_of,Arrangement,Account Facility Finance Service Arrangement
345,Arrangement,Arrangement Claimant,related,Involved Party,Involved Party
346,Arrangement,Arrangement Claimant,part_of,Arrangement,Insurance Arrangement
347,Arrangement,Undrawn Commitment Amount,part_of,Arrangement,Credit Facility Arrangement
348,Arrangement,Undrawn Commitment Amount,part_of,Arrangement,Account Facility Finance Service Arrangement
349,Arrangement,Undrawn Commitment Amount,part_of,Arrangement,Loan Arrangement
350,Arrangement,Number Of Signatories,part_of,Arrangement,Finance Service Arrangement
351,Arrangement,Source Arrangement,related,Arrangement,Account Arrangement
352,Arrangement,Source Arrangement,part_of,Arrangement,Account Funds Transfer Arrangement
353,Arrangement,Source Of Mortgage Deposit,part_of,Arrangement,Mortgage Arrangement
354,Arrangement,Secured Arrangement Coverage,part_of,Arrangement,Financial Instrument Arrangement
355,Arrangement,Secured Arrangement Coverage,part_of,Arrangement,Settlement Account Arrangement
356,Arrangement,Secured Arrangement Coverage,part_of,Arrangement,Asset Securitization Arrangement
357,Arrangement,Secured Arrangement Coverage,part_of,Arrangement,Finance Service Arrangement
358,Arrangement,Secured Arrangement Coverage,part_of,Arrangement,Account Facility Finance Service Arrangement
359,Arrangement,Secured Arrangement Coverage,part_of,Arrangement,Trading Account Arrangement
360,Arrangement,Settlement Arrangement Type,part_of,Arrangement,Settlement Arrangement
361,Arrangement,Arrangement Balance Amount,part_of,Arrangement,Asset Securitization Arrangement
362,Arrangement,Arrangement Balance Amount,part_of,Arrangement,Financial Instrument Arrangement
363,Arrangement,Arrangement Balance Amount,part_of,Arrangement,Account Facility Finance Service Arrangement
364,Arrangement,Arrangement Balance Amount,part_of,Arrangement,Account Arrangement
365,Arrangement,Guarantor Type,part_of,Arrangement,Guarantee Arrangement
366,Arrangement,Prepayment Penalty Flag,part_of,Arrangement,Loan Arrangement
367,Arrangement,Arrangement Purpose,part_of,Arrangement,Arrangement
368,Arrangement,Involved Party Trading Status,part_of,Arrangement,Trading Account Arrangement
369,Arrangement,Arrangement Expected Future Drawdown Amount,part_of,Arrangement,Credit Facility Arrangement
