STT,Tên bảng,Ý nghĩa bảng
33,PENALTY_DECISION_SUBJECT_BEHAVIOR,Hành vi vi phạm của đối tượng trong quyết định xử phạt
34,PENALTY_DECISION_VIOLATION_RECORD,Liên kết giữa quyết định xử phạt và biên bản vi phạm
35,PENALTY_DECISION_CIRCUMSTANCE,Tình tiết tăng nặng/giảm nhẹ trong quyết định xử phạt
36,PENALTY_TYPE,Danh mục hình thức xử phạt
37,PENALTY_TYPE_VIOLATION_BEHAVIOR,Ánh xạ hình thức xử phạt theo hành vi vi phạm
38,SECURITY_MEASURE_DECISION,Quyết định áp dụng biện pháp ngăn chặn và bảo đảm xử phạt
39,SECURITY_MEASURE_DECISION_SUBJECT,Đối tượng áp dụng biện pháp ngăn chặn
40,SECURITY_MEASURE_DECISION_RECIPIENT,Người nhận quyết định biện pháp ngăn chặn
41,SECURITY_MEASURE_EXECUTION,Theo dõi thực hiện quyết định biện pháp ngăn chặn
42,VPHC_PROCESS_OFFICIAL_LETTER,Công văn trong quy trình xử lý vi phạm hành chính
43,ADMIN_VIOLATION_REPORT_OUTLINE,Đề cương báo cáo vi phạm hành chính
44,ADHOC_ADMIN_VIOLATION_REPORT,Báo cáo đột xuất vi phạm hành chính
45,PETITION,"Đơn thư khiếu nại, tố cáo, phản ánh kiến nghị"
46,PETITION_DOCUMENT,Văn bản đính kèm đơn thư
47,CITIZEN_RECEPTION,Hồ sơ tiếp công dân
48,CITIZEN_COMPLAINT_REPORT_OUTLINE,"Đề cương báo cáo khiếu nại, tố cáo"
49,ANTI_CORRUPTION_DOCUMENT,Văn bản phòng chống tham nhũng
50,ANTI_CORRUPTION_PERIODIC_REPORT,Báo cáo định kỳ phòng chống tham nhũng
51,ANTI_CORRUPTION_REPORT_OUTLINE,Đề cương báo cáo phòng chống tham nhũng
52,ADHOC_ANTI_CORRUPTION_REPORT,Báo cáo đột xuất phòng chống tham nhũng
53,ANTI_MONEY_LAUNDERING_DOCUMENT,Văn bản phòng chống rửa tiền
54,ANTI_MONEY_LAUNDERING_REPORT,Báo cáo phòng chống rửa tiền
55,SUPERVISION_ACTIVITY_REPORT,Báo cáo hoạt động giám sát
56,ADHOC_INSPECTION_REPORT,Báo cáo đột xuất thanh tra
57,PRIVATE_CATALOG_ITEM,Danh mục dùng riêng cho phân hệ thanh tra
58,LEGAL_DOCUMENT,Văn bản pháp luật tham chiếu
59,OFFICIAL_LETTER_TYPE,Danh mục loại công văn
60,NOTIFICATION,Thông báo trong hệ thống
61,CODE_SEQUENCE_COUNTER,Bộ đếm sinh mã tự động
62,DOCUMENT_ATTACHMENT,Tệp đính kèm văn bản
63,DOCUMENT_ATTACHMENT_CONTENT,Nội dung file (BLOB) của tệp đính kèm văn bản
64,DOCUMENT_TEMPLATE,Mẫu văn bản
65,DOCUMENT_TEMPLATE_VERSION,Phiên bản mẫu văn bản
66,DOCUMENT_TEMPLATE_KEY_DEFINITION,Định nghĩa trường dữ liệu mẫu văn bản
67,DOCUMENT_TEMPLATE_KEY_ASSIGN,Phân công trường dữ liệu cho phiên bản mẫu văn bản
68,FORM_TEMPLATE,Mẫu biểu mẫu in
69,FORM_TEMPLATE_VERSION,Phiên bản mẫu biểu mẫu in
70,FORM_TEMPLATE_PLACEHOLDER,Trường placeholder trong mẫu biểu mẫu
71,dynamic_table,Cấu hình bảng động
72,dynamic_column,Cấu hình cột động (hệ thống dynamic)
73,dynamic_connection,Cấu hình kết nối động
74,dynamic_generator_config,Cấu hình bộ sinh dữ liệu động
75,dynamic_generator_seq,Sequence bộ sinh dữ liệu động
76,flyway_schema_history,Lịch sử migration schema (Flyway)
