STT,Tên bảng,Ý nghĩa bảng
30,ANALYSIS_ACCOUNT_GROUP,Phân tích nhóm tài khoản
31,ANALYSIS_ACCOUNT_GROUP_MEMBER,Lịch sử thay đổi nhóm tài khoản
32,REPORT_PARAMETER,Quản lý tham số báo cáo
33,REPORT_PARAMETER_HISTORY_LOG,Quản lý lịch sử xoá tham số báo cáo
34,ANALYSIS_WORKFLOW,Quản lý workflow master
35,ANALYSIS_WORKFLOW_TEMPLATE,Quản lý danh sách báo cáo theo workflow và lưu thứ tự hiển thị
36,ANALYSIS_WORKFLOW_USER,Quản lý danh sách tài khoản sử dụng theo workflow
37,ANALYSIS_WORKFLOW_HISTORY_LOG,Quản lý lịch sử xoá quy trình phân tích
38,ABNORMAL_REPORT_TEMPLATE,Danh sách các loại báo cáo bất thường
39,ABNORMAL_REPORT_FORM_TEMPLATE,Tầng Biểu mẫu thành phần — định nghĩa từng file Excel bắt buộc trong 1 phụ lục
40,ABNORMAL_REPORT_CONFIG,Định nghĩa cấu trúc bảng cho từng loại báo cáo bất thường
41,ABNORMAL_REPORT_MASTER,Thông tin tổng hợp báo cáo bất thường khác nhau
42,ABNORMAL_REPORT_FORM,Mỗi file Excel uploaded trong 1 submission
43,ABNORMAL_REPORT_DATA,Dữ liệu chi tiết báo cáo tổng hợp
44,COMPLIANCE_REPORT_TEMPLATE,Danh sách các loại báo cáo tuân thủ
45,COMPLIANCE_REPORT_FORM_TEMPLATE,Tầng Biểu mẫu thành phần — định nghĩa từng file Excel bắt buộc trong 1 phụ lục
46,COMPLIANCE_REPORT_CONFIG,Định nghĩa cấu trúc bảng cho từng loại báo cáo tuân thủ
47,COMPLIANCE_REPORT_MASTER,Thông tin tổng hợp báo cáo tuân thủ theo kỳ khác nhau
48,COMPLIANCE_REPORT_FORM,Mỗi file Excel uploaded trong 1 submission
49,COMPLIANCE_REPORT_DATA,Dữ liệu chi tiết báo cáo tổng hợp
50,REPORT_PROCESS_HISTORY,"Lịch sử xử lý cho cả 2 loại báo cáo (tuân thủ, bất thường)"
51,REPORT_COMMENT,Nhận xét từ các Ban/đơn vị trong UBCKNN
52,REPORT_ATTACH_FILE,File đính kèm phụ lục báo cáo (ngoài Excel biểu mẫu)
53,REPORT_ASSIGNMENT,Phân công xử lý báo cáo
54,REPORT_ASSIGNMENT_NOTIFICATION,Quản lý thông báo cho phân công xử lý báo cáo
55,USER_GROUP,Nhóm người dùng
56,USER_GROUP_MEMBER,Thành viên nhóm người dùng
57,SYSTEM_PERMISSION,Quyền hệ thống
58,REPORT_TEMPLATE,Mẫu báo cáo
59,REPORT_TEMPLATE_WORKFLOW,Cấu hình biểu mẫu cho quy trình phân tích vụ việc
60,SYSTEM_CONFIG,Cấu hình hệ thống
61,SYSTEM_PARAMETER,Tham số hệ thống
62,AUDIT_LOG,Nhật ký hệ thống
63,USER_TABLE_CONFIG,Cấu hình hiển thị bảng theo user
64,CATEGORY_CONFIG,Cấu hình các danh mục dùng chung
65,CATEGORY_ITEM,"Cấu hình ITEM trong danh mục dùng chung(phục vụ cấu hình động các dropdown, listbox, …)"
66,DASHBOARD,Lưu danh mục dashboard
67,DASHBOARD_WIDGET,Lưu danh mục widget có thể kéo thả lên dashboard
68,DASHBOARD_WIDGET_CHART,Lưu thông tin biểu đồ gắn với widget
69,DASHBOARD_WIDGET_GROUP,
70,DASHBOARD_WIDGET_FILTER,
71,DASHBOARD_WIDGET_GROUP_FILTER,
72,DASHBOARD_ADMIN_CONFIG,Lưu đầu mối cấu hình dashboard theo từng user
73,DASHBOARD_ADMIN_CONFIG_VERSION,Lưu lịch sử version cấu hình
74,DASHBOARD_ADMIN_CONFIG_REGION,
75,DASHBOARD_ADMIN_CONFIG_ROW,Lưu cấu trúc layout theo từng hàng trong một version
76,DASHBOARD_ADMIN_CONFIG_ITEM,Lưu widget cụ thể nằm ở version nào
77,USER_MANUAL,Lưu thông tin hướng dẫn sử dụng
78,NOTIFICATION,Lưu thông báo
79,NOTIFICATION_RECIPIENT,Lưu trạng thái thông báo đến người nhận
80,INVESTOR_ACCOUNT_DASHBOARD,
81,BUSINESS_DASHBOARD,
82,DOCUMENT_TEMPLATE,Biểu mẫu văn bản đi
83,DOCUMENT_TEMPLATE_FIELD,Placeholder bóc tách từ tệp Word
84,DOCUMENT_TEMPLATE_EXCEL_COLUMN,Cấu hình cột Excel của document_template_field kiểu Upload Excel
85,ANALYSIS_MM_TIME_WINDOW,Cửa sổ thời gian phân tích Market Maker
86,ANALYSIS_MM_STOCK_WINDOW,Cửa sổ chứng khoán phân tích Market Maker
87,ANALYSIS_MM_STOCK_WINDOW_DETAIL,Chi tiết cửa sổ chứng khoán Market Maker
88,ANALYSIS_MM_STOCK_ACCOUNT,Tài khoản chứng khoán Market Maker
89,ATTRIBUTE_CATALOG,Danh mục thuộc tính phân tích
90,METRIC_CATALOG,Danh mục chỉ số phân tích
91,METRIC_CATALOG_RELATIONSHIP,Quan hệ danh mục chỉ số
92,REPORT_TEMPLATE_PARAMETER,Tham số mẫu báo cáo
93,CATEGORY_ITEM_HISTORY,Lịch sử thay đổi cấu hình ITEM danh mục
94,DOCUMENT_OUTGOING,Văn bản đi
95,TRANSACTION_REVIEW,Rà soát giao dịch
96,TRANSACTION_REVIEW_ATTACH_FILE,File đính kèm rà soát giao dịch
97,TRANSACTION_REVIEW_ACCOUNT_GROUP,Nhóm tài khoản rà soát giao dịch
98,TRANSACTION_REVIEW_ANALYSIS_ATTRIBUTE_VALUE,Giá trị tiêu chí phân tích rà soát giao dịch
99,TRANSACTION_REVIEW_EXECUTION_LOG,Log thực thi rà soát giao dịch
100,TRANSACTION_REVIEW_ACCOUNT_CODE,Mã tài khoản rà soát giao dịch
101,TRANSACTION_REVIEW_ACCOUNT_GROUP_MEMBER,Thành viên nhóm tài khoản rà soát giao dịch
102,TRANSACTION_REVIEW_REPORT_TEMPLATE_WORKFLOW,Cấu hình biểu mẫu rà soát giao dịch
103,TRANSACTION_REVIEW_SECURITIES_CODE,Mã chứng khoán rà soát giao dịch
