STT,Bảng,Cột,Loại vấn đề,Mô tả trong tài liệu thiết kế,Thực tế trên CSDL UAT,Câu hỏi cần làm rõ,Trạng thái
11,APPLICATION_DOCUMENT_HISTORIES,INCOMPLETE -> IS_INCOMPLETE,Doi ten cot (da ap dung theo DDL UAT),INCOMPLETE,IS_INCOMPLETE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
12,APPLICATION_DOCUMENT_HISTORIES,INVALID -> IS_INVALID,Doi ten cot (da ap dung theo DDL UAT),INVALID,IS_INVALID (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
13,APPLICATION_DOCUMENT_HISTORIES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
14,APPLICATION_FEES,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
15,APPLICATION_FEES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
16,APPLICATION_GROUPS,DECISION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
17,APPLICATION_GROUPS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
18,APPLICATION_GROUP_MEMBERS,APPLICATION_GROUP_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
19,APPLICATION_GROUP_MEMBERS,APPLICATION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
20,APPLICATION_GROUP_MEMBERS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
21,APPLICATION_HISTORIES,RECEIVER_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
22,APPLICATION_HISTORIES,SENDER_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
23,APPLICATION_HISTORIES,REJECTED -> IS_REJECTED,Doi ten cot (da ap dung theo DDL UAT),REJECTED,IS_REJECTED (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
24,APPLICATION_LOGS,APPLICATION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
25,APPLICATION_PROFESSIONALS,APPLICATION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
26,APPLICATION_PROFESSIONALS,CURRENT_COUNTRY_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
27,APPLICATION_PROFESSIONALS,CURRENT_DISTRICT_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
28,APPLICATION_PROFESSIONALS,CURRENT_PROVINCE_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
29,APPLICATION_PROFESSIONALS,EDUCATION_LEVEL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
30,APPLICATION_PROFESSIONALS,NATIONALITY_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
31,APPLICATION_PROFESSIONALS,ORGANIZATION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
32,APPLICATION_PROFESSIONALS,PERMANENT_COUNTRY_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
33,APPLICATION_PROFESSIONALS,PERMANENT_DISTRICT_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
34,APPLICATION_PROFESSIONALS,PERMANENT_PROVINCE_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
35,APPLICATION_PROFESSIONALS,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
36,APPLICATION_PROFESSIONALS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
37,APPLICATION_RE_EXAMS,RE_APPLICATION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
38,APPLICATION_RE_EXAMS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
39,APPLICATION_SOURCES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
40,APPLICATION_SOURCES,ITEM_NAME -> NAME,Doi ten cot (da ap dung theo DDL UAT),ITEM_NAME,NAME (score=0.62),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
41,APPLICATION_SPECIALIZATIONS,APPLICATION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
42,APPLICATION_SPECIALIZATIONS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
43,APPLICATION_STATUSES,ACTIVE -> IS_ACTIVE,Doi ten cot (da ap dung theo DDL UAT),ACTIVE,IS_ACTIVE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
44,APPLICATION_STATUSES,ORIGINAL_DATA -> IS_ORIGINAL_DATA,Doi ten cot (da ap dung theo DDL UAT),ORIGINAL_DATA,IS_ORIGINAL_DATA (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
45,APPLICATION_SUPPLEMENTS,SUPPLEMENTED_BY,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
46,CERTIFICATES,DISPLAYED -> IS_DISPLAYED,Doi ten cot (da ap dung theo DDL UAT),DISPLAYED,IS_DISPLAYED (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
47,CERTIFICATES,ORIGINAL_DATA -> IS_ORIGINAL_DATA,Doi ten cot (da ap dung theo DDL UAT),ORIGINAL_DATA,IS_ORIGINAL_DATA (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
48,CERTIFICATES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
49,CERTIFICATE_ARCHIVES,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
50,CERTIFICATE_CONVERSION_REQUESTS,CREATED_BY,Sai khoa (PK/FK),(trong),FK,Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
51,CERTIFICATE_CONVERSION_REQUESTS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
52,CERTIFICATE_CONVERSION_REQUESTS,ASSIGNEE_ID,Cot moi (chua co trong tai lieu),(không có),"NUMBER(10,0) ",Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
53,CERTIFICATE_CONVERSION_REQUESTS,INFO_VERIFY_ID,Cot moi (chua co trong tai lieu),(không có),"NUMBER(10,0) ",Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
54,CERTIFICATE_CONVERSION_REQUESTS,REQUEST_PAYLOAD,Cot moi (chua co trong tai lieu),(không có),NCLOB ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
55,CERTIFICATE_DOCUMENTS,ATTACHMENT_DISPLAYED -> IS_ATTACHMENT_DISPLAYED,Doi ten cot (da ap dung theo DDL UAT),ATTACHMENT_DISPLAYED,IS_ATTACHMENT_DISPLAYED (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
56,CERTIFICATE_DOCUMENTS,REQUIRED_FIELD -> IS_REQUIRED,Doi ten cot (da ap dung theo DDL UAT),REQUIRED_FIELD,IS_REQUIRED (score=0.64),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
57,CERTIFICATE_DOCUMENTS,DISPLAY_FLAG -> IS_DISPLAY,Doi ten cot (da ap dung theo DDL UAT),DISPLAY_FLAG,IS_DISPLAY (score=0.64),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
58,CERTIFICATE_NUMBER_TEMPLATES,CERTIFICATE_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
59,CERTIFICATE_NUMBER_TEMPLATES,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
60,CERTIFICATE_NUMBER_TEMPLATES,DEFAULT_FLAG -> IS_DEFAULT,Doi ten cot (da ap dung theo DDL UAT),DEFAULT_FLAG,IS_DEFAULT (score=0.64),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
61,CERTIFICATE_NUMBER_TEMPLATES,ITEM_NAME -> NAME,Doi ten cot (da ap dung theo DDL UAT),ITEM_NAME,NAME (score=0.62),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
62,CERTIFICATE_RECORDS,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
63,CERTIFICATE_RECORDS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
64,CERTIFICATE_RECORD_GROUPS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
65,CERTIFICATE_RECORD_GROUPS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
66,CERTIFICATE_RECORD_GROUP_MEMBERS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
67,CERTIFICATE_RECORD_GROUP_MEMBERS,REISSUE -> IS_REISSUE,Doi ten cot (da ap dung theo DDL UAT),REISSUE,IS_REISSUE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
68,CERTIFICATE_RECORD_LOGS,CERTIFICATE_RECORD_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
69,CERTIFICATE_RECORD_LOGS,ISSUE_DECISION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
70,CERTIFICATE_RECORD_STATUS_HISTORIES,CREATED_BY,Sai khoa (PK/FK),(trong),FK,Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
71,CERTIFICATE_SPECIALIZATIONS,REQUIRED_FIELD -> IS_REQUIRED,Doi ten cot (da ap dung theo DDL UAT),REQUIRED_FIELD,IS_REQUIRED (score=0.64),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
72,COUNTRIES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
73,COUNTRIES,DEFAULT_FLAG -> IS_DEFAULT,Doi ten cot (da ap dung theo DDL UAT),DEFAULT_FLAG,IS_DEFAULT (score=0.64),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
74,COUNTRIES,ECATALOG_ID,Cot moi (chua co trong tai lieu),(không có),VARCHAR2(36) ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
75,DECISIONS,DECISION_NUMBER,Sai kieu du lieu (that su khac loai/precision),NVARCHAR2(255 CHAR),NVARCHAR2(1000),Xac nhan cap nhat kieu du lieu theo DDL UAT (da tu dong ap dung),Đã áp dụng
76,DECISIONS,DECISION_UNIT,Sai kieu du lieu (that su khac loai/precision),NVARCHAR2(1024 CHAR),NVARCHAR2(4000),Xac nhan cap nhat kieu du lieu theo DDL UAT (da tu dong ap dung),Đã áp dụng
77,DECISIONS,SIGNATORY,Sai kieu du lieu (that su khac loai/precision),NVARCHAR2(255 CHAR),NVARCHAR2(1000),Xac nhan cap nhat kieu du lieu theo DDL UAT (da tu dong ap dung),Đã áp dụng
78,DECISIONS,ACTIVE -> IS_ACTIVE,Doi ten cot (da ap dung theo DDL UAT),ACTIVE,IS_ACTIVE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
79,DECISIONS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
80,DECISION_DOCUMENTS,SIGNED_BY,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
81,DECISION_DOCUMENTS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
82,DECISION_DOCUMENTS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
83,DEPARTMENTS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
84,DEPARTMENTS,ECATALOG_ID,Cot moi (chua co trong tai lieu),(không có),VARCHAR2(36) ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
85,DIGITAL_CERTIFICATES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
86,DIGITAL_CERTIFICATE_USERS,DIGITAL_CERTIFICATE_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
87,DIGITAL_CERTIFICATE_USERS,USER_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
88,DIGITAL_CERTIFICATE_USERS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
89,DISTRICTS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
90,DISTRICTS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
91,DISTRICTS,ECATALOG_ID,Cot moi (chua co trong tai lieu),(không có),VARCHAR2(36) ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
92,DOCUMENTS,ACTIVE -> IS_ACTIVE,Doi ten cot (da ap dung theo DDL UAT),ACTIVE,IS_ACTIVE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
93,DOCUMENTS,ORIGINAL_DATA -> IS_ORIGINAL_DATA,Doi ten cot (da ap dung theo DDL UAT),ORIGINAL_DATA,IS_ORIGINAL_DATA (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
94,DOCUMENTS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
95,DOCUMENT_SIGN_LOGS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
96,EDUCATION_LEVELS,DISPLAYED -> IS_DISPLAYED,Doi ten cot (da ap dung theo DDL UAT),DISPLAYED,IS_DISPLAYED (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
97,EDUCATION_LEVELS,ORIGINAL_DATA -> IS_ORIGINAL_DATA,Doi ten cot (da ap dung theo DDL UAT),ORIGINAL_DATA,IS_ORIGINAL_DATA (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
98,EDUCATION_LEVELS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
99,EMAIL_LOGS,ID,Sai khoa (PK/FK),(trong),PK,Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
100,EMAIL_LOGS,RECEIVER_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
101,EMAIL_LOGS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
102,EXAM_DETAILS,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
103,EXAM_SESSIONS,DECISION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
104,EXAM_SESSIONS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
105,EXAM_SESSIONS,ITEM_NAME -> NAME,Doi ten cot (da ap dung theo DDL UAT),ITEM_NAME,NAME (score=0.62),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
106,EXAM_SESSIONS,YEAR,Cot moi (chua co trong tai lieu),(không có),"NUMBER(10,0) ",Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
107,EXAM_SESSIONS,REPORT_YEAR,Cot trong tai lieu nhung khong khop DDL UAT,"NUMBER(10,0)",(không tồn tại / không khớp tên),Xac nhan cot nay da bi xoa tren UAT hay chi la ten khac chua nhan dien duoc,Chờ xác nhận
108,EXAM_SESSION_FEES,CERTIFICATE_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
109,EXAM_SESSION_FEES,EXAM_SESSION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
110,EXAM_SESSION_FEES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
111,FORMS,FEATURED -> IS_FEATURED,Doi ten cot (da ap dung theo DDL UAT),FEATURED,IS_FEATURED (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
112,FORMS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
113,IDENTITY_INFO_C06S,USER_UPDATED_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
114,LEGAL_DOCUMENTS,FEATURED -> IS_FEATURED,Doi ten cot (da ap dung theo DDL UAT),FEATURED,IS_FEATURED (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
115,LEGAL_DOCUMENTS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
116,NOTIFICATIONS,ID,Sai khoa (PK/FK),(trong),PK,Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
117,NOTIFICATIONS,RECEIVER_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
118,NOTIFICATIONS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
119,NOTIFICATIONS,IS_READ,Cot moi (chua co trong tai lieu),(không có),"NUMBER(1,0) ",Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
120,NOTIFICATIONS,READ_FLAG,Cot trong tai lieu nhung khong khop DDL UAT,"NUMBER(1,0)",(không tồn tại / không khớp tên),Xac nhan cot nay da bi xoa tren UAT hay chi la ten khac chua nhan dien duoc,Chờ xác nhận
121,NOTIFICATION_CONFIGURATIONS,ID,Sai khoa (PK/FK),(trong),PK,Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
122,NOTIFICATION_CONFIGURATIONS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
123,NOTIFICATION_CONFIGURATIONS,ITEM_NAME -> NAME,Doi ten cot (da ap dung theo DDL UAT),ITEM_NAME,NAME (score=0.62),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
124,NOTIFICATION_CONFIGURATIONS,IS_EMAIL,Cot moi (chua co trong tai lieu),(không có),"NUMBER(1,0) ",Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
