eform_id,content_type,eform_title,field_key,field_label,field_type,index_table,content_field_pattern,value_column,options,ghi_chu
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Mục đích chào bán cổ phiếu,textarea,TextFieldIndex,,BigText,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Hình thức chào bán,textarea,TextFieldIndex,,BigText,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Tên cổ phiếu,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Loại,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Mệnh giá,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Giá chào bán,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Giá chào bán,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Số lượng,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Số lượng,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Số lượng,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Tổng giá trị,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Giá trị vốn huy động,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Giá trị vốn thu,input-number,NumericFieldIndex,,Numeric,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Chọn ngày,input-date,DateFieldIndex,,Date,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Phương thức phân phối,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Phương án sử dụng vốn thu được,textarea,TextFieldIndex,,BigText,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Tổ chức tư vấn,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Tổ chức kiểm toán,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Tổ chức bảo lãnh phát hành,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Bên liên quan khác,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Nhập tên giấy tờ khác nếu có,textarea,TextFieldIndex,,BigText,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Địa danh,input-text,TextFieldIndex,,Text,,
Eform 3,ChaobanCophieuIPO,Giấy đăng ký chào bán cổ phiếu lần đầu ra công chúng (IPO),,Chọn ngày ký,input-date,DateFieldIndex,,Date,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tên công ty,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Số giấy,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Số giấy,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Hà Nội,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Chọn ngày cấp,input-date,DateFieldIndex,,Date,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tên cổ phiếu,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tên tổ chức phát hành,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Địa chỉ trụ sở chính,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Số điện thoại,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Fax,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Website,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Vốn điều lệ,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Mã cổ phiếu,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Địa chỉ,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Số hiệu,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Số GCNĐKDN,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Nơi cấp,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Chọn ngày cấp,input-date,DateFieldIndex,,Date,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,lần thứ,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,ngày thay đổi,input-date,DateFieldIndex,,Date,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Ngành nghề,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Mã ngành,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Sản phẩm/dịch vụ chính,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,"GP thành lập, hoạt động",input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,,radios,BooleanFieldIndex,,Boolean,Có|Không,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,,radios,BooleanFieldIndex,,Boolean,Có|Không,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,,radios,BooleanFieldIndex,,Boolean,Có|Không,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,số lượng,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Số lượng,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tổng giá trị,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Đặc điểm cổ phiếu phổ thông,textarea,TextFieldIndex,,BigText,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tổng giá trị,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Chọn ngày,input-date,DateFieldIndex,,Date,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Số lượng,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Chọn ngày,input-date,DateFieldIndex,,Date,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Loại,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Số lượng,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tổng giá trị,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Đặc điểm cổ phiếu ưu đãi,textarea,TextFieldIndex,,BigText,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Mục đích chào bán cổ phiếu,textarea,TextFieldIndex,,BigText,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tên cổ phiếu,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Loại,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Mệnh giá,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Giá chào bán,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Giá chào bán,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Số lượng,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tỷ lệ,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tỷ lệ,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tổng giá trị,input-number,NumericFieldIndex,,Numeric,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tỷ lệ,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Chọn ngày,input-date,DateFieldIndex,,Date,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Phương thức phân phối,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Phương án sử dụng vốn thu được,textarea,TextFieldIndex,,BigText,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tổ chức tư vấn,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tổ chức kiểm toán,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Tổ chức bảo lãnh phát hành,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Bên liên quan khác,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Nhập tên giấy tờ khác nếu có,textarea,TextFieldIndex,,BigText,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Địa danh,input-text,TextFieldIndex,,Text,,
Eform 5,ChaobanCophieuCoDongHienHuu,Giấy đăng ký chào bán thêm cổ phiếu ra công chúng,,Chọn ngày ký,input-date,DateFieldIndex,,Date,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Tên công ty,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Chọn ngày cấp,input-date,DateFieldIndex,,Date,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Tên cổ phiếu,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Tên tổ chức phát hành,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Địa chỉ trụ sở chính,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Số điện thoại,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Fax,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Website,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Vốn điều lệ,input-number,NumericFieldIndex,,Numeric,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Mã cổ phiếu,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Địa chỉ,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Số hiệu,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Số GCNĐKDN,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Nhập nội dung,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Chọn ngày,input-date,DateFieldIndex,,Date,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,lần thứ,input-number,NumericFieldIndex,,Numeric,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Chọn ngày,input-date,DateFieldIndex,,Date,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Ngành nghề,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Mã ngành,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Sản phẩm/dịch vụ chính,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,"GP thành lập, hoạt động",input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Tên cá nhân đăng ký chào bán,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Chọn ngày,input-date,DateFieldIndex,,Date,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Số CMND/CCCD/Hộ chiếu,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Ngày cấp CCCD/CMND/Hộ chiếu,input-date,DateFieldIndex,,Date,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Nơi cấp CCCD/CMND/Hộ chiếu,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Địa chỉ hộ khẩu thường trú,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Địa chỉ liên hệ,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Số điện thoại,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Tên tổ chức phát hành,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Địa chỉ trụ sở chính,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Số điện thoại,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Fax,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Website,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Vốn điều lệ,input-number,NumericFieldIndex,,Numeric,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Mã cổ phiếu,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Địa chỉ,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Số hiệu,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Số GCNĐKDN,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Số,input-text,TextFieldIndex,,Text,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Chọn ngày cấp,input-date,DateFieldIndex,,Date,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Lần thứ,input-number,NumericFieldIndex,,Numeric,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Chọn ngày thay đổi,input-date,DateFieldIndex,,Date,,
Eform 6,ChaobanCophieuCoDong,Giấy đăng ký chào bán cổ phiếu ra công chúng (cổ đông CTĐC),,Ngành nghề,input-text,TextFieldIndex,,Text,,
