STT,Tên bảng,Ý nghĩa bảng
68,FILES,Lữu trữ thông tin file đính kèm của các object trong hệ thống.
69,HISTORY_CHANGE_LOG,Lưu trữ dữ liệu lịch sử thay đổi từng trường của các object trong hệ thống khi được cấu hình.
70,HOLIDAY_CALENDAR,Lưu trữ dữ  liệu ngày nghỉ.
71,INTEGRATION_JOB_DEFINITION,Định nghĩa job inbound — JOB_CODE khớp REST path + JobHandler bean trong DIS
72,INTEGRATION_SYNC_LOG,"Job-level log cho mỗi lần xử lý tích hợp (Quartz job, Kafka message, outbound)"
73,INTG_API_LOG,Log gọi API tích hợp giữa IDS và các hệ thống ngoài
74,HTE_INTG_API_LOG,Log gọi API tích hợp module HTE
75,INTG_FINANCIAL_STATEMENT,Cấu hình mapping chỉ tiêu BCTC của IDS với Chỉ tiêu của Sở
76,INTG_FORM_MAPPING,Cấu hình mapping Form ID của Sở với Form ID của IDS
77,INTG_IMPORT_DATA_LOG,Lưu thông tin log import dữ liệu của Sở vào IDS
78,HTE_INTG_IMPORT_DATA_LOG,Log import dữ liệu tích hợp module HTE
79,INTG_REPORT_CONFIG,Lưu thông tin cấu hình mẫu báo cáo cần đẩy lên IDS
80,INTG_REPORT_FIELD,Cấu hình ràng buộc chỉ tiêu của từng báo cáo
81,INTG_SIGNATURE_CONFIG,"Cấu hình master cho các lịch trình và chữ ký chứng khoán (HNX, HOSE)"
82,LEGAL_ENTITIES,"Bảng chứa thông tin Người nội bộ, Cổ đông (cá nhân, tổ chức), Người liên quan"
83,MANUAL_DOCUMENT,Lưu trữ cấu hình tài liệu hướng dẫn trong hệ thống
84,NOTIFICATIONS_DTL,Lưu trữ đối tượng gửi thông báo chi tiết.
85,HTE_NOTIFICATIONS_DTL,Đối tượng gửi thông báo chi tiết module HTE
86,PUB_COMPANY_CANCELLATION,Thông tin lịch sử hủy đăng ký công ty đại chúng
87,PUB_COMPANY_REGISTRATION,Thông tin lịch sử đăng ký công ty đại chúng
88,SECURITIES_OFFERING,"Lưu thông tin về Hoạt động chào bán, phát hành chứng khoán"
89,SECURITIES_OFFERING_PLAN,"Lưu thông tin về Hoạt động chào bán, phát hành chứng khoán"
90,SECURITIES_OFFERING_RESULT,"Lưu thông tin về Hoạt động chào bán, phát hành chứng khoán"
91,STOCK_LISTING_HISTORY,Thông tin lịch sử niêm yết/ đăng ký giao dịch cổ phiếu
92,UBCK_SYNC_ITEM_LOG,Log per-record cho job UBCK (CSDLTT) liên kết INTEGRATION_SYNC_LOG qua CORRELATION_ID
93,VIOLATION_PENALTY_CONFIG,Bảng cấu hình các mức phạt/xử lý khi vi phạm
94,VIOLATION_REPORT,Lưu trữ thông tin hạn nộp BC định kỳ của công ty đại chúng.
95,VIOLATION_TEMPLATES,Bảng lưu trữ thông tin cấu hình mẫu vi phạm
96,WARDS,Lưu trữ thông tin xã/phường
97,RCOL,
98,BK_AF_PROFILES,Bảng lưu thông tin công ty kiểm toán
99,BK_AF_LEGAL_REPRESENTATIVE,Bảng Người đại diện theo pháp luật
100,BK_AF_APPROVAL,Bảng lưu thông tin quyết định chấp thuận
101,BK_AF_AUDITOR_PROFILES,Lưu thông tin chung kiểm toán viên
102,BK_AF_WARNING,Bảng lưu thông tin nhắc nhở
103,BK_AF_SANCTIONS,Bảng lưu thông tin xử phạt
104,BK_AF_AUDITOR_STATUS_HISTORY,
105,BK_AF_INSPECTION,Bảng lưu thông tin kiểm tra công ty kiểm toán
106,BK_AF_STATUS_HISTORY,Bảng lưu lịch sử trạng thái
107,BK_AF_SUSPENSION,Bảng lưu thông tin đình chỉ
108,BK_AF_TECHNICAL_AUDIT,Bảng lưu thông tin kiểm tra hồ sơ kiểm toán
109,LOGIN_PERMISSION_BY_CODE,Bảng LOGIN_PERMISSION_BY_CODE
110,FIELDS_MGR,Quản lý field (fields_mgr)
111,HTE_VIOLATION_REPORT,Vi phạm nộp báo cáo (hte_violation_report)
112,MIGRATION_EXECUTIONS,Lịch sử thực thi migration
113,MIGRATION_LOGS,Log chi tiết migration
114,DATABASECHANGELOG,Lịch sử migration cơ sở dữ liệu
115,DATABASECHANGELOGLOCK,Lock khi Liquibase đang chạy
116,DBTOOLS$MCP_LOG,Bảng kỹ thuật Oracle Database Tools ghi log truy vấn MCP (không dùng cho nghiệp vụ)
117,QRTZ_JOB_DETAILS,"Quartz - Thông tin chi tiết Job (bảng kỹ thuật lập lịch job, out_of_scope)"
118,QRTZ_TRIGGERS,"Quartz - Thông tin Trigger (bảng kỹ thuật lập lịch job, out_of_scope)"
119,QRTZ_SIMPLE_TRIGGERS,"Quartz - Simple Trigger (bảng kỹ thuật lập lịch job, out_of_scope)"
120,QRTZ_CRON_TRIGGERS,"Quartz - Cron Trigger (bảng kỹ thuật lập lịch job, out_of_scope)"
121,QRTZ_BLOB_TRIGGERS,"Quartz - Blob Trigger (bảng kỹ thuật lập lịch job, out_of_scope)"
122,QRTZ_SIMPROP_TRIGGERS,"Quartz - Simple Property Trigger (bảng kỹ thuật lập lịch job, out_of_scope)"
123,QRTZ_FIRED_TRIGGERS,"Quartz - Trigger đã được kích hoạt (bảng kỹ thuật lập lịch job, out_of_scope)"
124,QRTZ_PAUSED_TRIGGER_GRPS,"Quartz - Nhóm Trigger bị tạm dừng (bảng kỹ thuật lập lịch job, out_of_scope)"
125,QRTZ_SCHEDULER_STATE,"Quartz - Trạng thái Scheduler (bảng kỹ thuật lập lịch job, out_of_scope)"
126,QRTZ_LOCKS,"Quartz - Lock cho cluster (bảng kỹ thuật lập lịch job, out_of_scope)"
127,QRTZ_CALENDARS,"Quartz - Calendar (bảng kỹ thuật lập lịch job, out_of_scope)"
