path,name,description,description_vi
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P2 Collateral Management Alignment Scope,Basel II P2 Collateral Management Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators that support the monitoring of the amount of collateral and guarantees provided as credit risk mitigation in support of Pillar 2 (Supervisory Review Process) in the Basel Capital Accord, for:

- Board and Management Oversight
- Risk Assessment
- Monitoring and Reporting
- Internal Control and Review","[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh hỗ trợ giám sát số lượng tài sản thế chấp và bảo lãnh được cung cấp để giảm thiểu rủi ro tín dụng nhằm hỗ trợ Trụ cột 2 (Quy trình xem xét giám sát) trong Hiệp định vốn Basel, dành cho:

- Giám sát của Hội đồng quản trị và Ban điều hành
- Đánh giá rủi ro
- Giám sát và báo cáo
- Kiểm soát và đánh giá nội bộ"
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P2 Credit Loss Allowance Analysis Alignment Scope,Basel II P2 Credit Loss Allowance Analysis Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators in support of Pillar 2 (Supervisory Review Process)"" in the Basel Capital Accord, for:

- Board and Management Oversight
- Risk Assessment
- Monitoring and Reporting
- Internal Control and Review","[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Các chỉ số hiệu quả kinh doanh để hỗ trợ Trụ cột 2 (Quy trình đánh giá giám sát)"" trong Hiệp định vốn Basel, dành cho:

- Giám sát của Hội đồng quản trị và Ban điều hành
- Đánh giá rủi ro
- Giám sát và báo cáo
- Kiểm soát và đánh giá nội bộ"
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P2 Economic Capital Allocation Alignment Scope,Basel II P2 Economic Capital Allocation Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators in support of the Financial Institution's internal reporting and monitoring for capital adequacy in support of Pillar 2 (Supervisory Review Process)"" in the Basel Capital Accord, for:

- Board and Management Oversight
- Monitoring and Reporting
- Internal Control and Review","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh để hỗ trợ báo cáo nội bộ của Tổ chức tài chính và giám sát về mức độ an toàn vốn nhằm hỗ trợ Trụ cột 2 (Quy trình xem xét giám sát)"" trong Hiệp định vốn Basel, cho:

- Giám sát của Hội đồng quản trị và Ban điều hành
- Giám sát và báo cáo
- Kiểm soát và đánh giá nội bộ"
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P2 Involved Party Exposure Alignment Scope,Basel II P2 Involved Party Exposure Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required in reporting and monitoring of credit exposures for specific involved parties, or groups of involved parties; e.g. a one obligor group of associated companies. This scope supports Pillar 2 (Supervisory Review Process)"" in the Basel Capital Accord, for:

- Board and Management Oversight
- Risk Assessment
- Monitoring and Reporting
- Internal Control and Review","[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh được yêu cầu trong báo cáo và giám sát rủi ro tín dụng đối với các bên liên quan cụ thể hoặc các nhóm bên liên quan; ví dụ. một nhóm bắt buộc gồm các công ty liên kết. Phạm vi này hỗ trợ Trụ cột 2 (Quy trình đánh giá giám sát)"" trong Hiệp định Vốn Basel, dành cho:

- Giám sát của Hội đồng quản trị và Ban điều hành
- Đánh giá rủi ro
- Giám sát và báo cáo
- Kiểm soát và đánh giá nội bộ"
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P2 Location Exposure Alignment Scope,Basel II P2 Location Exposure Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required in reporting and monitoring of credit exposures for specific locations. This scope supports Pillar 2 (Supervisory Review Process)"" in the Basel Capital Accord, for:
 
- Board and Management Oversight
- Risk Assessment
- Monitoring and Reporting
- Internal Control and Review","[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh được yêu cầu trong báo cáo và giám sát rủi ro tín dụng cho các địa điểm cụ thể. Phạm vi này hỗ trợ Trụ cột 2 (Quy trình đánh giá giám sát)"" trong Hiệp định Vốn Basel, dành cho:
 
- Giám sát của Hội đồng quản trị và Ban điều hành
- Đánh giá rủi ro
- Giám sát và báo cáo
- Kiểm soát và đánh giá nội bộ"
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P2 Non Performing Loan Analysis Alignment Scope,Basel II P2 Non Performing Loan Analysis Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required in reporting and monitoring credit exposures that are not performing as per the agreed terms and conditions of the credit agreement. The primary aim of this Scope is for supporting internal monitoring and reporting by the financial institution of non-performing loans. This scope supports Pillar 2 (Supervisory Review Process)"" in the Basel Capital Accord, for:

- Board and Management Oversight
- Risk Assessment
- Monitoring and Reporting
- Internal Control and Review","[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết trong việc báo cáo và giám sát các khoản tín dụng không hoạt động theo các điều khoản và điều kiện đã thỏa thuận của hợp đồng tín dụng. Mục đích chính của Phạm vi này là hỗ trợ việc giám sát và báo cáo nội bộ của tổ chức tài chính về các khoản nợ xấu. Phạm vi này hỗ trợ Trụ cột 2 (Quy trình đánh giá giám sát)"" trong Hiệp định Vốn Basel, dành cho:

- Giám sát của Hội đồng quản trị và Ban điều hành
- Đánh giá rủi ro
- Giám sát và báo cáo
- Kiểm soát và đánh giá nội bộ"
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P2 Operational Risk Assessment Alignment Scope,Basel II P2 Operational Risk Assessment Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required in the assessment of potential operational risk exposures within the Financial Institution. This scope supports Pillar 2 (Supervisory Review Process)"" in the Basel Capital Accord, for:

- Board and Management Oversight
- Risk Assessment
- Monitoring and Reporting
- Internal Control and Review","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết trong việc đánh giá mức độ rủi ro hoạt động tiềm ẩn trong Tổ chức tài chính. Phạm vi này hỗ trợ Trụ cột 2 (Quy trình đánh giá giám sát)"" trong Hiệp định Vốn Basel, dành cho:

- Giám sát của Hội đồng quản trị và Ban điều hành
- Đánh giá rủi ro
- Giám sát và báo cáo
- Kiểm soát và đánh giá nội bộ"
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P2 Operational Risk Loss Analysis Alignment Scope,Basel II P2 Operational Risk Loss Analysis Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required in the assessment of loss events experienced by the Financial Institution. This scope supports Pillar 2 (Supervisory Review Process)"" in the Basel Capital Accord, for:

- Board and Management Oversight
- Risk Assessment
- Monitoring and Reporting
- Internal Control and Review","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết trong việc đánh giá các sự kiện thua lỗ mà Tổ chức tài chính gặp phải. Phạm vi này hỗ trợ Trụ cột 2 (Quy trình đánh giá giám sát)"" trong Hiệp định Vốn Basel, dành cho:

- Giám sát của Hội đồng quản trị và Ban điều hành
- Đánh giá rủi ro
- Giám sát và báo cáo
- Kiểm soát và đánh giá nội bộ"
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P2 Outstandings Analysis Alignment Scope,Basel II P2 Outstandings Analysis Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required in reporting and monitoring of credit exposures where there is a potential or actual exposure. This scope supports Pillar 2 (Supervisory Review Process) in the Basel Capital Accord, for:

- Board and Management Oversight
- Risk Assessment
- Monitoring and Reporting
- Internal Control and Review","[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh được yêu cầu trong báo cáo và giám sát các khoản cho vay tín dụng ở những nơi có rủi ro tiềm ẩn hoặc thực tế. Phạm vi này hỗ trợ Trụ cột 2 (Quy trình đánh giá giám sát) trong Hiệp định vốn Basel, nhằm:

- Giám sát của Hội đồng quản trị và Ban điều hành
- Đánh giá rủi ro
- Giám sát và báo cáo
- Kiểm soát và đánh giá nội bộ"
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P2 Portfolio Exposure Alignment Scope,Basel II P2 Portfolio Exposure Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required in the assessment of exposure groups managed by the Financial Institution. This scope supports Pillar 2 (Supervisory Review Process)"" in the Basel Capital Accord, for:
 
- Board and Management Oversight
- Risk Assessment
- Monitoring and Reporting
- Internal Control and Review","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh được yêu cầu trong việc đánh giá các nhóm rủi ro do Tổ chức tài chính quản lý. Phạm vi này hỗ trợ Trụ cột 2 (Quy trình đánh giá giám sát)"" trong Hiệp định Vốn Basel, dành cho:
 
- Giám sát của Hội đồng quản trị và Ban điều hành
- Đánh giá rủi ro
- Giám sát và báo cáo
- Kiểm soát và đánh giá nội bộ"
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P2 Revolving Credit Facility Securitization Alignment Scope,Basel II P2 Revolving Credit Facility Securitization Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required in the assessment of securitization arrangements involving revolving credit facilities. This scope supports Pillar 2 (Supervisory Review Process)"" in the Basel Capital Accord, for:
 
- Board and Management Oversight
- Risk Assessment
- Monitoring and Reporting
- Internal Control and Review","[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết trong việc đánh giá các thỏa thuận chứng khoán hóa liên quan đến các cơ sở tín dụng quay vòng. Phạm vi này hỗ trợ Trụ cột 2 (Quy trình đánh giá giám sát)"" trong Hiệp định Vốn Basel, dành cho:
 
- Giám sát của Hội đồng quản trị và Ban điều hành
- Đánh giá rủi ro
- Giám sát và báo cáo
- Kiểm soát và đánh giá nội bộ"
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 1 Scope Of The Application Alignment Scope,Basel II P3 T 1 Scope Of The Application Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting on the scope of application. This Scope supports the reporting requirements for Table 1 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu suất kinh doanh cần thiết để báo cáo về phạm vi áp dụng. Phạm vi này hỗ trợ các yêu cầu báo cáo cho Bảng 1 của Nguyên tắc thị trường trụ cột 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 2 Capital Structure Alignment Scope,Basel II P3 T 2 Capital Structure Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting on capital structure. This Scope supports the reporting requirements for Table 2 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết để báo cáo về cơ cấu vốn. Phạm vi này hỗ trợ các yêu cầu báo cáo cho Bảng 2 của Nguyên tắc thị trường trụ cột thứ 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 3 Capital Adequacy Alignment Scope,Basel II P3 T 3 Capital Adequacy Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required in reporting for capital adequacy. This Scope supports the reporting requirements for Table 3 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi điều chỉnh này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và các Chỉ số hiệu quả kinh doanh cần thiết trong báo cáo về mức độ an toàn vốn. Phạm vi này hỗ trợ các yêu cầu báo cáo cho Bảng 3 của Nguyên tắc thị trường trụ cột thứ 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 4 Allowance For Credit Losses Alignment Scope,Basel II P3 T 4 Allowance For Credit Losses Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators for reporting on the reconciliation of changes in the allowances for loan impairment. This Scope supports the reporting requirements for section (h) of Table 4 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi điều chỉnh này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả hoạt động kinh doanh để báo cáo về việc đối chiếu các thay đổi trong dự phòng giảm giá trị khoản vay. Phạm vi này hỗ trợ các yêu cầu báo cáo cho phần (h) của Bảng 4 của Nguyên tắc thị trường trụ cột 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 4 By Sector Or Counterparty Type Alignment Scope,Basel II P3 T 4 By Sector Or Counterparty Type Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting on credit risk by industry or counterparty type. This Scope supports the reporting requirements for section (f) of Table 4 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết để báo cáo về rủi ro tín dụng theo ngành hoặc loại đối tác. Phạm vi này hỗ trợ các yêu cầu báo cáo cho phần (f) của Bảng 4 của Nguyên tắc thị trường trụ cột 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 4 Credit Risk Exposure Detail Alignment Scope,Basel II P3 T 4 Credit Risk Exposure Detail Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting credit risk. This Scope supports the reporting requirements for Table 4 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết để báo cáo rủi ro tín dụng. Phạm vi này hỗ trợ các yêu cầu báo cáo cho Bảng 4 của Nguyên tắc thị trường trụ cột thứ 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 4 Geographic Breakdown Alignment Scope,Basel II P3 T 4 Geographic Breakdown Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting on the geographic distribution of exposures broken down in significant areas by major types of credit exposure. This Scope supports the reporting requirements for section (c) of Table 4 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả hoạt động kinh doanh cần thiết để báo cáo về sự phân bổ theo địa lý của các khoản cho vay được chia nhỏ ở các khu vực quan trọng theo các loại khoản cho vay chính. Phạm vi này hỗ trợ các yêu cầu báo cáo cho phần (c) của Bảng 4 của Nguyên tắc thị trường trụ cột 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 4 Impaired Loan & Allowance Alignment Scope,Basel II P3 T 4 Impaired Loan & Allowance Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting on the credit risk of impaired and past due loans. This Scope supports the reporting requirements for section (g) of Table 4 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả hoạt động kinh doanh cần thiết để báo cáo về rủi ro tín dụng của các khoản vay kém chất lượng và quá hạn. Phạm vi này hỗ trợ các yêu cầu báo cáo cho phần (g) của Bảng 4 của Nguyên tắc thị trường trụ cột 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 4 Maturity Breakdown Alignment Scope,Basel II P3 T 4 Maturity Breakdown Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting on the residual contractual maturity breakdown of the whole portfolio, broken down by major types of credit exposure. This Scope supports the reporting requirements for section (e) of Table 4 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ báo hiệu quả kinh doanh cần thiết để báo cáo về phân tích thời hạn hợp đồng còn lại của toàn bộ danh mục đầu tư, được chia nhỏ theo các loại rủi ro tín dụng chính. Phạm vi này hỗ trợ các yêu cầu báo cáo cho phần (e) của Bảng 4 của Nguyên tắc thị trường trụ cột 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 5 Credit Risk Portfolio IRB Alignment Scope,Basel II P3 T 5 Credit Risk Portfolio IRB Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting on the credit risk of portfolios subject to the supervisory risk weights in the Internal Ratings Based approach (High Volatility Commercial Real Estate, any Specialized Lending products subject to supervisory slotting criteria and equities under the simple risk weight method). This Scope supports the reporting requirements for Table 5 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ báo hiệu quả kinh doanh cần thiết để báo cáo về rủi ro tín dụng của danh mục đầu tư chịu các trọng số rủi ro giám sát theo cách tiếp cận Dựa trên xếp hạng nội bộ (Bất động sản thương mại có tính biến động cao, bất kỳ sản phẩm Cho vay chuyên dụng nào tuân theo các tiêu chí phân chia giám sát và vốn chủ sở hữu theo phương pháp trọng số rủi ro đơn giản). Phạm vi này hỗ trợ các yêu cầu báo cáo cho Bảng 5 của Nguyên tắc thị trường trụ cột thứ 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 5 Credit Risk Portfolio STD Alignment Scope,Basel II P3 T 5 Credit Risk Portfolio STD Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting on the credit risk of portfolios subject to the Standardized Approach. This Scope supports the reporting requirements for Table 5 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết để báo cáo về rủi ro tín dụng của các danh mục đầu tư tuân theo Phương pháp tiếp cận tiêu chuẩn hóa. Phạm vi này hỗ trợ các yêu cầu báo cáo cho Bảng 5 của Nguyên tắc thị trường trụ cột thứ 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T 6 Counterparty Credit Risk Alignment Scope,Basel II P3 T 6 Counterparty Credit Risk Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting on Counterparty Credit Risk (CCR) exposures. This Scope supports the amended reporting requirements for Table 6 of Pillar 3 Market Discipline, as defined in Part 1 of The Application of Basel II to Trading Activities and the Treatment of Double Default Effects, July 2005 (document bcbs116), Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết để báo cáo về mức độ rủi ro tín dụng đối tác (CCR). Phạm vi này hỗ trợ các yêu cầu báo cáo đã sửa đổi cho Bảng 6 của Nguyên tắc thị trường trụ cột 3, như được định nghĩa trong Phần 1 của Áp dụng Basel II vào hoạt động giao dịch và xử lý hiệu ứng vỡ nợ kép, tháng 7 năm 2005 (tài liệu bcbs116), Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
