id,name,description,description_vi,related_term_name,bcv_category
6b8877e1-6c18-474e-851b-8bbc348618b6,Suspicious Activity Type,"Distinguishes between suspicious events according to the suspected nature of the intent of the event, series of events or activity involved.","[Auto] Phân biệt giữa các sự kiện đáng ngờ theo bản chất nghi ngờ về mục đích của sự kiện, chuỗi sự kiện hoặc hoạt động liên quan.",Suspicious Activity Type,Common
823e2e15-264e-4874-96be-449815ff8e75,Data Share Level,"Distinguishes between Personal Data according to whether the information can be shared. Possible values include: Sharing Prohibited, Internal Sharing Only and Unrestricted Sharing Allowed.","[Auto] Phân biệt giữa Dữ liệu cá nhân tùy theo việc thông tin có thể được chia sẻ hay không. Các giá trị có thể bao gồm: Cấm chia sẻ, Chỉ chia sẻ nội bộ và Cho phép chia sẻ không hạn chế.",Data Share Level,Common
844c82b5-19ab-4138-8ff9-c496babe7be9,Currency Zone,Distinguishes between Currencies based on the primary currency within a particular area or region e.g. the primary currency in Europe is the Euro.,"[Auto] Phân biệt giữa các loại tiền tệ dựa trên loại tiền tệ chính trong một khu vực hoặc khu vực cụ thể, ví dụ: tiền tệ chính ở châu Âu là Euro.",Currency Zone,Common
85f0970c-057b-4b25-9791-5057e2f81eaa,Unit Of Measure Structure Type,Distinguishes between instances of Unit Of Measure based on whether it is represented as a single unit or as the composition of multiple single units.,[Auto] Phân biệt giữa các phiên bản của Đơn vị đo lường dựa trên việc nó được thể hiện dưới dạng một đơn vị hay dưới dạng thành phần của nhiều đơn vị.,Unit Of Measure Structure Type,Common
8bb12789-33c1-4e7d-84f2-3eec8ecef459,Incorrect Account Information Type,Distinguishes between Incorrect Account Information according to what type of information has been wrongly provided.,[Auto] Phân biệt giữa Thông tin tài khoản không chính xác theo loại thông tin đã được cung cấp sai.,Incorrect Account Information Type,Common
91c26eca-fbb5-4e84-bf88-74297976f95a,Currency Code,"A standard code to represent a currency, using either a numeric or alphabetic code.

Attribution - Do Not Remove
This data class contains content from ISO 4217 Currency Codes. ISO Standards: Copyright Internal Standards Organisation.
End of Attribution","[Auto] Mã tiêu chuẩn để biểu thị một loại tiền tệ, sử dụng mã số hoặc mã chữ cái.

Ghi công - Không xóa
Lớp dữ liệu này chứa nội dung từ Mã tiền tệ ISO 4217. Tiêu chuẩn ISO: Tổ chức tiêu chuẩn nội bộ về bản quyền.
Kết thúc ghi công",Currency Code,Common
993dc697-18fe-492e-af97-a10022c2d985,Industry Classification Utilization Status,Distinguishes between Industry Classifications according to the extent to which they are being put to use.,[Auto] Phân biệt giữa các Phân loại ngành theo mức độ chúng được đưa vào sử dụng.,Industry Classification Utilization Status,Common
9b95b1be-f65d-4bb3-9b79-6b5f5c9f653e,Impact Type,"Distinguishes between Events and Business Activities according to how they affect the behavior pattern of an Involved Party, Product or Arrangement.","[Auto] Phân biệt giữa Sự kiện và Hoạt động kinh doanh theo cách chúng ảnh hưởng đến kiểu hành vi của Bên liên quan, Sản phẩm hoặc Thỏa thuận.",Impact Type,Common
9d02d60a-9eb3-4557-b953-463cfea53f89,Source Origination,Distinguishes between information according to whether it originated internally or externally to this Organization.,[Auto] Phân biệt giữa các thông tin tùy theo thông tin đó có nguồn gốc từ bên trong hay bên ngoài Tổ chức này.,Source Origination,Common
9d095b17-bf2d-4046-a968-1c2213303032,Language Utilization Status,Distinguishes between Languages according to the extent to which they are being put to use.,[Auto] Phân biệt giữa các Ngôn ngữ theo mức độ chúng được đưa vào sử dụng.,Language Utilization Status,Common
a6eb3140-1cce-4c15-8042-c77888f8f93e,Weighting Scale Utilization Status,Distinguishes between Weighting Scales according to the extent to which they are being put to use.,[Auto] Phân biệt các loại Cân trọng lượng theo mức độ sử dụng của chúng.,Weighting Scale Utilization Status,Common
ac72c74b-74ce-40cb-830a-6d727429a84b,Time Frequency Type,Distinguishes between instances of Measures of Time Frequency based on their frequency of occurrence. This is not an exhaustive list.,[Auto] Phân biệt giữa các trường hợp Đo tần suất thời gian dựa trên tần suất xuất hiện của chúng. Đây không phải là một danh sách đầy đủ.,Time Frequency Type,Common
ba1c3b55-0dde-4b45-86d2-31a3269c5c01,Maturity Period Term Type,Distinguishes between Maturity Periods according to whether the Time Period is deemed Short or Long Term Maturity.,[Auto] Phân biệt giữa các Kỳ hạn tùy theo Khoảng thời gian được coi là Kỳ hạn ngắn hay Dài hạn.,Maturity Period Term Type,Common
d0759f68-d5ac-468a-a994-be0cb3bcb931,Currency Locale Type,Distinguishes between Currency Locale relationships according to the nature of the Currencies relationship to the Location.,[Auto] Phân biệt giữa các mối quan hệ Địa điểm tiền tệ theo bản chất của mối quan hệ Tiền tệ với Địa điểm.,Currency Locale Type,Common
d2e78d92-be96-404a-b3f6-654e50ad78a2,Unit Of Measure System,Distinguishes between Units Of Measure according to the primary codes of measurement.,[Auto] Phân biệt giữa các Đơn vị Đo lường theo mã đo lường chính.,Unit Of Measure System,Common
f30303a8-1ef4-4276-9795-0cf013873245,Currency Convertibility,Distinguishes between Currencies according to whether the currency involved may be exchanged for market value outside the area where it is the expected medium of exchange.,[Auto] Phân biệt giữa các loại tiền tệ tùy theo loại tiền tệ liên quan có thể được trao đổi theo giá trị thị trường bên ngoài khu vực mà nó là phương tiện trao đổi dự kiến ​​hay không.,Currency Convertibility,Common
f69b7e99-3e19-44f9-8ae6-69f14e955a21,Time Period Nature Type,Distinguishes between Time Periods according to whether they are a standardized repeating measurement period or ad-hoc.,[Auto] Phân biệt giữa các Khoảng thời gian tùy theo chúng là khoảng thời gian đo lường lặp lại được tiêu chuẩn hóa hay đặc biệt.,Time Period Nature Type,Common
fe0d7156-2335-4eba-a22f-804164bb7751,Contact Medium Type,"Distinguishes between events according to the manner in which they either took place or are preferred to take place. For example, the medium through which a payment transaction takes place is online; Email is the preferred communication medium for Involved Party #297.",[Auto] Phân biệt giữa các sự kiện theo cách chúng diễn ra hoặc được ưu tiên diễn ra. Ví dụ: phương tiện thực hiện giao dịch thanh toán là trực tuyến; Email là phương tiện liên lạc ưa thích của Bên liên quan #297.,Contact Medium Type,Common
0a0671a2-0d37-4165-a969-cbeecba1f5cd,Communication Message Standard,A term that distinguishes between Communications according to the layout of the message used in the communication.,[Auto] Một thuật ngữ phân biệt giữa các Giao tiếp theo bố cục của thông điệp được sử dụng trong giao tiếp.,Communication Message Standard,Communication
0e7c0966-3e2c-42b4-a5ac-9b25a8dc994b,Documentation Physical Presence Status,"A term that distinguishes whether the Payment Card (Documentation) was physically shown at the time of the Communication, or whether some other characteristics of the Documentation (such as a Payment Card Number) was given for validation purposes.",[Auto] Một thuật ngữ phân biệt xem Thẻ thanh toán (Tài liệu) có được hiển thị thực tế tại thời điểm Giao tiếp hay không hoặc liệu một số đặc điểm khác của Tài liệu (chẳng hạn như Số thẻ thanh toán) có được cung cấp cho mục đích xác thực hay không.,Documentation Physical Presence Status,Communication
15b735f1-202d-4e13-b354-d00801fd047c,Payment Instruction Life Cycle Status,Distinguishes between Payment Instructions according to the life cycle state it currently occupies.,[Auto] Phân biệt giữa các Hướng dẫn thanh toán theo trạng thái vòng đời mà nó hiện đang chiếm giữ.,Payment Instruction Life Cycle Status,Communication
164d88d2-cc7f-4130-985e-f0c2a6cc53e0,Documentary Credit Rule Type,A term that distinguishes between Documentary Credits according to the rules the credit/reimbursement is subject to.,[Auto] Một thuật ngữ phân biệt giữa Tín dụng Chứng từ theo các quy tắc mà tín dụng/hoàn trả phải tuân theo.,Documentary Credit Rule Type,Communication
18b224cd-97ec-4373-9281-4112d13935d9,Payment Instruction Service Level,Distinguishes between Payment Instructions according to the agreement or rules under which the transaction should be processed.,[Auto] Phân biệt giữa các Hướng dẫn thanh toán theo thỏa thuận hoặc quy tắc mà giao dịch sẽ được xử lý.,Payment Instruction Service Level,Communication
26fb4e30-af35-4cbb-a85e-b7092530eeed,Payment Instruction Sequence Type,Distinguishes between Payment Instructions according to the placement of the current Payment Instruction in a sequence of Payment Instructions.,[Auto] Phân biệt giữa các Hướng dẫn Thanh toán theo vị trí của Hướng dẫn Thanh toán hiện tại trong một chuỗi các Hướng dẫn Thanh toán.,Payment Instruction Sequence Type,Communication
2e1ddc38-2a59-4906-8696-dfae109a26a6,Payment Settlement Method Type,A term that distinguishes between Payment Settlement Instructions according to the type of method used.,[Auto] Một thuật ngữ phân biệt giữa các Hướng dẫn Thanh toán theo loại phương thức được sử dụng.,Payment Settlement Method Type,Communication
2ea7eb55-cf31-4ede-8661-0acf4644d6e9,Complaint Escalation Status,A term that distinguishes between Complaints according to the level of response that is currently deemed necessary for resolution.,[Auto] Một thuật ngữ phân biệt giữa các Khiếu nại theo mức độ phản hồi hiện được coi là cần thiết để giải quyết.,Complaint Escalation Status,Communication
2eab376f-8d00-4a7f-a8d2-2337164fa06e,Financial Market Settlement Type,A term that distinguishes between Financial Market Settlement Instructions according to the netting agreement in place for an Arrangement.,[Auto] Một thuật ngữ phân biệt giữa các Hướng dẫn Thanh toán Thị trường Tài chính theo thỏa thuận bù trừ áp dụng cho một Thỏa thuận.,Financial Market Settlement Type,Communication
32e7d1bf-e991-49a2-942b-23664866659f,Communication Contact Status,A term that distinguishes between Communications according to the success of the contact received by the Financial Institution as a result of a communication.,[Auto] Một thuật ngữ phân biệt giữa các Giao tiếp dựa trên mức độ thành công của liên hệ mà Tổ chức Tài chính nhận được nhờ giao tiếp.,Communication Contact Status,Communication
3cb93724-d42c-4a80-b98e-cd6906e1deac,Corporate Action Nature,A term that distinguishes between Corporate Action Announcements according to whether the Corporate Action is either Voluntary or Mandatory.,[Auto] Một thuật ngữ phân biệt giữa các Thông báo Hành động của Công ty tùy theo Hành động của Công ty là Tự nguyện hay Bắt buộc.,Corporate Action Nature,Communication
3d81d9c0-c127-435a-a11f-117673fcfeca,Credit Assessment Inquiry Type,A term that distinguishes between Credit Assessment Inquiries according to the purpose for which a credit assessment is required.,[Auto] Một thuật ngữ phân biệt giữa các Yêu cầu Đánh giá Tín dụng theo mục đích yêu cầu đánh giá tín dụng.,Credit Assessment Inquiry Type,Communication
43c9784c-b6e1-436f-b95a-27313bd01c14,Transfer Direction,A term that distinguishes between Financial Market Settlement Instructions according to the Transfer Direction. Transfer Direction is the direction of the transfer of financial instruments or cash to be delivered or received.,[Auto] Một thuật ngữ phân biệt giữa các Hướng dẫn Thanh toán Thị trường Tài chính theo Hướng Chuyển khoản. Hướng chuyển tiền là hướng chuyển các công cụ tài chính hoặc tiền mặt sẽ được giao hoặc nhận.,Transfer Direction,Communication
463033e4-8bc1-4f13-bd60-5d0b83c52773,Payments Regulatory Reporting Type,"Distinguishes between Payment Instructions according to whether the regulatory reporting information applies to the debit side, to the credit side or to both debit and credit sides of the transaction.","[Auto] Phân biệt giữa các Hướng dẫn thanh toán tùy theo thông tin báo cáo theo quy định áp dụng cho bên ghi nợ, bên tín dụng hay cho cả bên ghi nợ và bên tín dụng của giao dịch.",Payments Regulatory Reporting Type,Communication
549ab81b-86de-4413-8205-01273ea72b6e,Instruction Lifecycle Status,Distinguishes between Instructions according to the lifecycle state it currently occupies.,[Auto] Phân biệt giữa các Hướng dẫn theo trạng thái vòng đời mà nó hiện đang chiếm giữ.,Instruction Lifecycle Status,Communication
56776cf8-2c13-4cc4-b88b-2b660db3b9bd,Communication Message Type,A term that distinguishes between Communication Messages according to the function of the message.,[Auto] Thuật ngữ phân biệt giữa các Thông điệp Truyền thông theo chức năng của thông điệp.,Communication Message Type,Communication
5a7a3a20-11ab-48ee-863e-b6ffad18d09b,Corporate Action Category,A term that distinguishes between Corporate Action Announcements according to the whether they include options.,[Auto] Một thuật ngữ phân biệt giữa các Thông báo hành động của công ty tùy theo việc chúng có bao gồm các tùy chọn hay không.,Corporate Action Category,Communication
69644421-eff8-4875-8138-e52273daf3eb,Documentary Credit Payment Type,"A term that distinguishes between Documentary Credits according to how the credit is available; for example, By Acceptance, By Payment etc.","[Auto] Một thuật ngữ phân biệt giữa Tín dụng Chứng từ theo cách thức tín dụng sẵn có; ví dụ: Theo chấp nhận, Bằng thanh toán, v.v.",Documentary Credit Payment Type,Communication
6b9c35f5-4c24-4590-af52-cb595b72c281,Financial Market Order Duration Type,Distinguishes the Financial Market Order Duration according the type of duration of existence to be applied to an order.,[Auto] Phân biệt Thời lượng lệnh của thị trường tài chính theo loại thời gian tồn tại được áp dụng cho lệnh.,Financial Market Order Duration Type,Communication
7ad1571f-4ac4-4868-a378-7163d570d3f4,Payment Instruction Clearing Channel Type,Distinguishes between Payment Instructions according to the type of channel used.,[Auto] Phân biệt giữa các Hướng dẫn thanh toán theo loại kênh được sử dụng.,Payment Instruction Clearing Channel Type,Communication
84b7470a-3352-4080-aaed-cf26308be13c,Communication Thread Life Cycle Status,Distinguishes between Communication Threads according to their life cycle status.,[Auto] Phân biệt giữa các Chủ đề Truyền thông theo trạng thái vòng đời của chúng.,Communication Thread Life Cycle Status,Communication
87f50d96-3c5d-47b1-a674-846242518c02,Documentary Credit Type,A term that distinguishes between Documentary Credits according to the type of Documentary Credit.,[Auto] Một thuật ngữ phân biệt giữa các Tín dụng Chứng từ theo loại Tín dụng Chứng từ.,Documentary Credit Type,Communication
8cf4078a-d504-4f22-a6ee-226fc538b35c,Communication Life Cycle Status,"A term that distinguishes between Communications according to the status of the lifecycle; for example, a communication may be Awaiting Further Information, Closed or Open.","[Auto] Một thuật ngữ phân biệt giữa các Truyền thông theo trạng thái của vòng đời; ví dụ: một thông tin liên lạc có thể đang chờ thêm thông tin, đóng hoặc mở.",Communication Life Cycle Status,Communication
91057401-f647-4d01-8197-886f0c792d42,Documentary Collection Aval Beneficiary Type,"A term that distinguishes, for the transaction contained in the Documentary Collection instruction, the party for the account of which the aval has been provided. In other words, the party for whose account the aval (or guarantee) has been provided.","[Auto] Một thuật ngữ dùng để phân biệt, đối với giao dịch có trong chỉ dẫn Nhờ thu Chứng từ, bên có tài khoản đã được cung cấp hóa đơn. Nói cách khác, bên có tài khoản được cung cấp khoản bảo lãnh (hoặc bảo lãnh).",Documentary Collection Aval Beneficiary Type,Communication
9217249c-2923-4594-b390-57f321fa4d67,Communication Response Type,A term that distinguishes between Communications according to the response provoked by each Communication.,[Auto] Một thuật ngữ phân biệt giữa các Truyền thông theo phản hồi do mỗi Truyền thông đưa ra.,Communication Response Type,Communication
96b16db2-925d-4363-a526-5bfa09d6664c,Documentary Collection Payment Timing,"A term that distinguishes between Documentary Collections according to the timing of when an activity occurs within a defined period of time; for example, an interest payment occurs on the first day of a period (e.g. monthly).",[Auto] Thuật ngữ phân biệt giữa các Bộ sưu tập tài liệu theo thời gian khi một hoạt động diễn ra trong một khoảng thời gian xác định; ví dụ: khoản thanh toán lãi xảy ra vào ngày đầu tiên của kỳ (ví dụ: hàng tháng).,Documentary Collection Payment Timing,Communication
9a3d3a4c-98c0-42f6-96fb-26e61e985ab2,Communication Life Cycle Status Reason,"Identifies the rationale for the current life cycle state of the Communication; for example, the reason a Communication is pending could be because missing information is required.",[Auto] Xác định lý do căn bản cho trạng thái vòng đời hiện tại của Thông tin liên lạc; ví dụ: lý do Thông tin liên lạc đang chờ xử lý có thể là do thiếu thông tin.,Communication Life Cycle Status Reason,Communication
a0e28184-5b85-45fa-a259-027e23481837,Trade Finance Instruction Charges Type,A term that distinguishes between Trade Finance Instructions according to the nature of the type of charge applied.,[Auto] Một thuật ngữ phân biệt giữa các Hướng dẫn Tài trợ Thương mại theo tính chất của loại phí được áp dụng.,Trade Finance Instruction Charges Type,Communication
ae1250dc-d04c-4947-b7ff-4443b9db705c,Payment Charge Bearer Type,Distinguishes between Payment Instructions according to how the charges are to be borne.,[Auto] Phân biệt giữa các Hướng dẫn Thanh toán theo cách thanh toán các khoản phí.,Payment Charge Bearer Type,Communication
b978d5a1-c622-4382-98f0-64320998226d,Written Communication Form,A term that distinguishes between Written Communication.,[Auto] Một thuật ngữ phân biệt giữa Giao tiếp bằng văn bản.,Written Communication Form,Communication
bce1c1ad-4851-4ead-bd50-622ee2fa9329,Communication Reason,A term that distinguishes between Communications according to the main subject addressed or action required.,[Auto] Một thuật ngữ phân biệt giữa Truyền thông theo chủ đề chính được giải quyết hoặc hành động được yêu cầu.,Communication Reason,Communication
bf1349a7-8329-4824-b52c-42536a3d25fa,Documentary Collection Maturity Period Rule,A term that distinguishes between Documentary Collections according to the Documentary Collection Maturity Period Rules which are used when the maturity date is expressed as a period of time. In such a case additional information is needed to calculate the maturity date.,"[Auto] Một thuật ngữ phân biệt giữa các Nhờ thu chứng từ theo Quy tắc về Kỳ hạn thu chứng từ được sử dụng khi ngày đáo hạn được thể hiện dưới dạng một khoảng thời gian. Trong trường hợp đó, cần có thêm thông tin để tính ngày đáo hạn.",Documentary Collection Maturity Period Rule,Communication
c2eecd0c-ed9d-439e-a1d3-5e56d09220aa,Communication Thread Participation Type,"A term that distinguishes between Communications according to the role they play in respect to a Communication Thread.

A Thread identifies a series of sequential Communications on a subject. For example, a Complaint Thread initiated by a Customer or a Product Sales Thread initiated by the Financial Institution which continue until the complaint is resolved or the sale is completed or abandoned.","[Auto] Một thuật ngữ phân biệt giữa các Truyền thông theo vai trò của chúng đối với Chuỗi Truyền thông.

Một Chủ đề xác định một loạt các Giao tiếp tuần tự về một chủ đề. Ví dụ: Chủ đề Khiếu nại do Khách hàng khởi xướng hoặc Chủ đề Bán sản phẩm do Tổ chức Tài chính khởi xướng sẽ tiếp tục cho đến khi khiếu nại được giải quyết hoặc việc bán hàng được hoàn thành hoặc bị hủy bỏ.",Communication Thread Participation Type,Communication
c305d272-1d98-4670-85d3-3b935d970976,Financial Market Order Transaction Type,A term that distinguishes between Financial Market Orders according to their intended effect on holdings.,[Auto] Một thuật ngữ phân biệt giữa các Lệnh thị trường tài chính theo tác động dự kiến ​​của chúng đối với việc nắm giữ.,Financial Market Order Transaction Type,Communication
c627604e-e903-4af3-ba00-a176d0e35f83,Communication Sentiment,A term that distinguishes between Communications according to the expressed feeling or emotion of the Communication with respect to some topic or subject.,[Auto] Một thuật ngữ phân biệt giữa các Giao tiếp theo cảm giác hoặc cảm xúc được thể hiện của Giao tiếp đối với một số chủ đề hoặc chủ đề.,Communication Sentiment,Communication
c95d68d6-9c1e-40c1-ba22-082077d541d1,Communication Direction,A term that distinguishes between Communications according to whether the Financial Institution is receiving or sending the information.,[Auto] Một thuật ngữ phân biệt giữa các Truyền thông tùy theo việc Tổ chức Tài chính đang nhận hay gửi thông tin.,Communication Direction,Communication
d188f541-eef0-4d27-8d46-6edfed4a2a29,Communication Form,A term that distinguishes between Communications according to the method by which the Communication is expressed.,[Auto] Một thuật ngữ phân biệt giữa các Truyền thông theo phương thức mà Truyền thông được thể hiện.,Communication Form,Communication
d6462c85-ed09-4c51-9d9c-d1dea4ca8105,Visual Communication Form,A term that distinguishes between Visual Communications.,[Auto] Một thuật ngữ phân biệt giữa Truyền thông Hình ảnh.,Visual Communication Form,Communication
d8ba26e2-f887-45db-8f52-b1b7667cb782,Documentary Credit Confirmation Type,"A term that distinguishes between Documentary Credits according to the Confirmation instructions for the Receiver; for example, Confirm, Without Confirmation.","[Auto] Thuật ngữ phân biệt giữa các Tín dụng Chứng từ theo hướng dẫn Xác nhận dành cho Người nhận; ví dụ: Xác nhận, Không có xác nhận.",Documentary Credit Confirmation Type,Communication
d989a660-af4d-4aae-bc8e-a387d04787c6,Collection Instruction Type,A term that distinguishes between Collection Instructions according to the type of Collection Instructions for all transactions contained in the Documentary Collection instruction.,[Auto] Thuật ngữ phân biệt giữa các Chỉ thị nhờ thu theo loại Chỉ thị nhờ thu đối với tất cả các giao dịch có trong chỉ thị Nhờ thu chứng từ.,Collection Instruction Type,Communication
e05df5ec-10f9-439e-9cf8-2973c326a3cd,Protest Instruction Type,A term that distinguishes between the protest instruction to which all transactions contained in the Documentary Collection instruction refer.,[Auto] Một thuật ngữ phân biệt giữa chỉ thị kháng nghị mà tất cả các giao dịch có trong chỉ thị Thu thập Tài liệu đề cập đến.,Protest Instruction Type,Communication
e076a1d1-d54d-438e-a28a-b82d3f3a58d4,Credit Assessment Availability,A term that distinguishes between Credit Assessments according to the extent of access to the Credit Assessment.,[Auto] Một thuật ngữ phân biệt giữa các Đánh giá Tín dụng theo mức độ tiếp cận Đánh giá Tín dụng.,Credit Assessment Availability,Communication
ef82ba5c-2978-4d26-9ef4-5c381312777f,Complaint Impact,A term that distinguishes between Complaints according to the potential effect on the complainer's ability to continue normal activities.,[Auto] Một thuật ngữ phân biệt giữa các Khiếu nại theo tác động tiềm ẩn đối với khả năng tiếp tục các hoạt động bình thường của người khiếu nại.,Complaint Impact,Communication
fe12fae0-bf48-41ee-a033-ec2d3e0d309c,Limited Availability Type,A term that distinguishes between Limited Availability according to the extent of Availability.,[Auto] Một thuật ngữ phân biệt giữa Tính khả dụng có giới hạn theo mức độ sẵn có.,Limited Availability Type,Communication
0361433d-56d5-49fd-8195-b2317bfabaa6,Rate Variability Type,Distinguishes between Rates according to their variability characteristics. For example a Buydown Rate on a Loan Arrangement or a Conversion Rate on a Mortgage Arrangement.,[Auto] Phân biệt giữa các mức giá theo đặc điểm biến đổi của chúng. Ví dụ: Tỷ lệ mua lại đối với Thỏa thuận cho vay hoặc Tỷ lệ chuyển đổi đối với Thỏa thuận thế chấp.,Rate Variability Type,Condition
0d476d2f-103f-488b-a3b4-571fa32a156b,Condition Applies To Involved Party Type,Distinguishes between Conditions that apply to the Involved Party according to their nature.,[Auto] Phân biệt các Điều kiện áp dụng cho Bên liên quan theo tính chất của chúng.,Condition Applies To Involved Party Type,Condition
0dce080c-e88b-4c3a-a3ee-fcdeaadb557e,Interest Payment Type,Distinguishes between Interest Rate Conditions according to the period used to determine payment.,[Auto] Phân biệt giữa các Điều kiện lãi suất theo kỳ hạn được sử dụng để xác định khoản thanh toán.,Interest Payment Type,Condition
1f6efbc0-ec01-47d8-904b-c2bb494a6e42,Range Condition Type,Distinguishes between Range Conditions based upon maximums and minimums that identify the business requirement.,[Auto] Phân biệt giữa các Điều kiện phạm vi dựa trên mức tối đa và tối thiểu để xác định yêu cầu kinh doanh.,Range Condition Type,Condition
249efc55-67ed-4c52-bd7d-b272e31fbb61,Limit Status Type,Distinguishes between Limit Conditions according to whether the limit has been breached.,[Auto] Phân biệt giữa các Điều kiện giới hạn tùy theo giới hạn có bị vi phạm hay không.,Limit Status Type,Condition
26a6647b-17f2-45ef-baad-d801cb3e9f25,Limit Basis,Distinguishes between Limit Conditions according to its role in relation to the object to which the Limit applies.,[Auto] Phân biệt giữa các Điều kiện giới hạn theo vai trò của nó đối với đối tượng mà Giới hạn áp dụng.,Limit Basis,Condition
27e6e0a9-a27f-4710-aa36-b91039f52354,Condition Binding Status,"Distinguishes between Conditions based on whether a condition represents an agreement that can be enforced under common law. The condition represents that some action is now allowed or prohibited, for example, the signatory has a limit over which they are not permitted to sign.","[Auto] Phân biệt giữa các Điều kiện dựa trên việc liệu một điều kiện có thể hiện một thỏa thuận có thể được thực thi theo luật thông thường hay không. Điều kiện thể hiện rằng một số hành động hiện được cho phép hoặc bị cấm, ví dụ, người ký có một giới hạn mà họ không được phép ký.",Condition Binding Status,Condition
2a74917c-ce9e-4066-baae-0a2290a4fdd3,Condition Life Cycle Status,Distinguishes between Conditions according to the life cycle states through which they may pass over time.,[Auto] Phân biệt giữa các Điều kiện theo các trạng thái của vòng đời mà chúng có thể trải qua theo thời gian.,Condition Life Cycle Status,Condition
2b7e2ab2-ad92-42dd-ada8-f8a94998c9f2,Condition Numeric Range Type,Distinguishes between Condition Numeric Range Conditions according to the range criteria applied.,[Auto] Phân biệt giữa các Điều kiện Phạm vi Số Điều kiện theo tiêu chí phạm vi được áp dụng.,Condition Numeric Range Type,Condition
2f3e0f8d-0ab0-498b-b86c-093cfaebb936,Condition Purpose,Distinguishes between Conditions according to the main business activity they support or assist in accomplishing.,[Auto] Phân biệt giữa các Điều kiện theo hoạt động kinh doanh chính mà chúng hỗ trợ hoặc hỗ trợ hoàn thành.,Condition Purpose,Condition
3e2c6608-0648-466f-b0f8-90f569ec4c06,Financial Market Instrument Interest Condition Use Type,Distinguishes between the various types of interest components associated with Financial Market Instruments.,[Auto] Phân biệt giữa các loại thành phần lợi ích khác nhau liên quan đến Công cụ thị trường tài chính.,Financial Market Instrument Interest Condition Use Type,Condition
