source_system,source_table,description,group,reason
FIMS,RPTVALUESMANAGERMENT,Lưu quản lý các bảng lưu giá trị của báo cáo,Report Output,Operational/system data — không có giá trị nghiệp vụ
FIMS,SHEETOUT,Lưu danh sách sheet của báo cáo đầu ra,Report Output,Không có FK inbound từ bảng nghiệp vụ
FIMS,ANNOUNCEINVESHIS,Lưu lịch sử danh sách NĐT NN ủy quyền CBTT,Snapshot nguồn,Snapshot nguồn — cùng schema ANNOUNCEINVES.
FIMS,AUTHOANNOUNCEHIS,Lưu danh sách lịch sử ủy quyền CBTT,Snapshot nguồn,Snapshot nguồn — cùng schema AUTHOANNOUNCE + IdOld.
FIMS,CATEGORIESSTOCKHIS,Lưu danh sách lịch sử sở hữu chứng khoán,Snapshot nguồn,Snapshot nguồn — cùng schema CATEGORIESSTOCK.
FIMS,INVESTORHIS,Lưu danh sách lịch sử của nhà đầu tư,Snapshot nguồn,Snapshot nguồn — cùng schema INVESTOR + IdOld. SCD2 xử lý tại ETL.
FIMS,RPTHTORY,Lưu lịch sử thay đổi biểu mẫu báo cáo đầu vào,Snapshot nguồn,Snapshot nguồn — lịch sử phiên bản biểu mẫu.
FIMS,SECURITIESACCOUNTHIS,Lưu danh sách lịch sử tài khoản chứng khoán,Snapshot nguồn,Snapshot nguồn — cùng schema SECURITIESACCOUNT.
FIMS,TPOUTHTORY,Lưu danh sách lịch sử thay đổi biểu mẫu báo cáo đầu ra,Snapshot nguồn,Snapshot nguồn.
FIMS,CERTFCATE,Lưu danh sách chứng thư số,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,EMAILSENTSYSTEM,Lưu danh sách trao đổi thông tin,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,ERRORLOG,Lưu lịch sử lỗi hệ thống,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,GROUPROLES,Lưu danh sách quyền được phân cho nhóm,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,GROUPS,Lưu danh sách nhóm người dùng,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,GROUPUSERS,Lưu danh sách người dùng được phân vào nhóm,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,MENUS,Lưu danh sách các quyền của hệ thống,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,NOTIFICATION,Lưu danh sách thông báo,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,REFRESHTOKEN,Lưu danh sách các phiên làm việc của người dùng,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,ROLES,Lưu danh sách nhóm quyền,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,SYSEMAIL,Lưu danh sách trao đổi thông tin gửi qua mail,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,SYSTEMINTEGRATIONCONFIG,Lưu danh sách cấu hình kết nối hệ thống,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,SYSTEMINTEGRATIONDATA,Lưu dữ liệu kết nối MSS,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,USERRPTO,Lưu danh sách phân quyền sử dụng báo cáo đầu ra,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,USERS,Lưu danh sách người dùng trên hệ thống,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,USERSESSIONS,Lưu danh sách theo dõi tài khoản đang truy cập,System,Operational/system data — không có giá trị nghiệp vụ
FIMS,USERSMENUS,Lưu danh sách quyền được phân cho người dùng,System,Operational/system data — không có giá trị nghiệp vụ
FMS,FGBRBUP,Lịch sử thay đổi VPĐD/CN QLQ NN,Audit Log nguồn,Audit Log — cùng pattern SECHISTORY
FMS,FUNDHISTORY,Lịch sử quỹ đầu tư,Audit Log nguồn,Audit Log — cùng pattern SECHISTORY
FMS,SECHISTORY,Lịch sử thông tin công ty QLQ,Audit Log nguồn,Audit Log — PrevValue/ValueChange/Action/DateChange
FMS,TLPRHISTORY,Lịch sử nhân sự,Audit Log nguồn,Audit Log — cùng pattern SECHISTORY
FMS,RPTHTORY,Lịch sử thay đổi báo cáo đầu vào,Chưa có cột,Chưa có thông tin cột
FMS,RPTPDSHT,Bảng trung gian SHEETS và RPTPERIOD,Chưa có cột,Chưa có thông tin cột
FMS,RPTPROCESS,Lịch sử xử lý báo cáo thành viên,Chưa có cột,Chưa có thông tin cột
FMS,RPTTEMP,Danh sách biểu mẫu báo cáo đầu vào,Chưa có cột,Chưa có thông tin cột — RPTVALUES FK đến
FMS,RPTTPOUT,Danh sách biểu mẫu báo cáo đầu ra,Chưa có cột,Chưa có thông tin cột
FMS,SELFSETPD,Thành viên tự thiết lập gửi báo cáo,Chưa có cột,Chưa có thông tin cột
FMS,SHEET,Danh sách sheet báo cáo đầu vào,Chưa có cột,Chưa có thông tin cột — RPTVALUES FK đến
FMS,SHEETOUT,Danh sách sheet báo cáo đầu ra,Chưa có cột,Chưa có thông tin cột
FMS,STAKE,Danh sách các bên liên quan,Chưa có cột,Chưa có thông tin cột
FMS,STTRGTOUT,Cấu hình lấy dữ liệu báo cáo đầu ra,Chưa có cột,Chưa có thông tin cột
FMS,TOTSTTG,Cấu hình dữ liệu đầu ra với ô dữ liệu,Chưa có cột,Chưa có thông tin cột
FMS,TPOUTHTORY,Lịch sử thay đổi báo cáo đầu ra,Chưa có cột,Chưa có thông tin cột
FMS,USERRPTO,Phân quyền người dùng UBCK với báo cáo đầu ra,Chưa có cột,Chưa có thông tin cột
FMS,RNKFACTHISTORY,Lưu kết quả các lần lưu bảng tổng hợp đánh giá,Chờ thiết kế,"Trong scope nghiệp vụ, chưa có thông tin cột"
FMS,RNKGRFTOR,Bảng trung gian Ranks và RNKFACTOR,Chờ thiết kế,"Trong scope nghiệp vụ, chưa có thông tin cột"
FMS,DTSCBMN,Phân quyền dữ liệu ngân hàng LKGS cho chuyên viên,Hệ thống / Phân quyền,Hạ tầng IT
FMS,DTSCFND,Phân quyền dữ liệu QĐT cho chuyên viên,Hệ thống / Phân quyền,Hạ tầng IT
FMS,DTSCFR,Phân quyền dữ liệu VPĐD/CN QLQ NN cho chuyên viên,Hệ thống / Phân quyền,Hạ tầng IT
FMS,DTSCOPE,Phân quyền dữ liệu — phạm vi,Hệ thống / Phân quyền,Hạ tầng IT
FMS,MENUS,Danh mục quyền chức năng,Hệ thống / Phân quyền,Hạ tầng IT
FMS,NOTIFICATION,Thông báo hệ thống,Hệ thống / Phân quyền,Hạ tầng IT
FMS,REFRESHTOKEN,Phiên làm việc (Token đăng nhập),Hệ thống / Phân quyền,Hạ tầng IT
FMS,ROLES,Nhóm quyền chức năng,Hệ thống / Phân quyền,Hạ tầng IT
FMS,ROLESMENUS,Phân quyền menu theo nhóm quyền,Hệ thống / Phân quyền,Hạ tầng IT
FMS,SECURITIESREPORT,Thiết lập hiển thị báo cáo công ty QLQ,Hệ thống / Phân quyền,Cấu hình UI
FMS,SYSEMAIL,Nội dung trao đổi thông tin,Hệ thống / Phân quyền,Hạ tầng IT
FMS,TABSINFO,Thiết lập hiển thị dữ liệu,Hệ thống / Phân quyền,Cấu hình UI
FMS,USERS,Quản lý người dùng hệ thống,Hệ thống / Phân quyền,Hạ tầng IT
FMS,USERSESSIONS,Quản lý tài khoản đang truy cập,Hệ thống / Phân quyền,Hạ tầng IT
FMS,USERSMENUS,Phân quyền chức năng cho người dùng,Hệ thống / Phân quyền,Hạ tầng IT
FMS,CALENDAR,Lịch làm việc và lịch nghỉ,Isolated,Không FK đến bảng nghiệp vụ nào
FMS,CERTFCATE,Chứng thư số của thành viên thị trường,Isolated,Không FK đến bảng nghiệp vụ nào
FMS,PARAWARN,Danh sách tham số cảnh báo,Isolated,Không FK đến/từ bảng nghiệp vụ nào
FMS,PARVALUE,Danh sách mệnh giá cổ phần,Isolated,"Không có bảng nào FK đến — xác nhận orphan, loại khỏi scope."
FMS,SYSVAR,Danh sách tham số hệ thống,Isolated,Không FK đến bảng nghiệp vụ nào
FMS,BRCHBUP,Lịch sử chi tiết CN/VPĐD công ty QLQ trong nước,Snapshot nguồn,Snapshot — FK đến SECHISTORY (Audit Log)
FMS,FNDBUP,Bản ghi chi tiết lịch sử quỹ đầu tư,Snapshot nguồn,Chưa có cột — dự kiến Snapshot pattern
FMS,SECBUP,Chi tiết lịch sử công ty QLQ (bản ghi trước/sau),Snapshot nguồn,Snapshot — IsBefore + SecData (blob)
FMS,TLPROBUP,Chi tiết lịch sử nhân sự (bản ghi trước/sau),Snapshot nguồn,Snapshot — IsBefore + TLData (blob)
FMS,~~MBCHANGE~~,~~Lịch sử thay đổi vốn góp nhà đầu tư quỹ~~,~~Audit Log nguồn~~,✅ Reclassified — trong scope Atomic (Tier 4). Xem Investment Fund Investor Capital Change Log.
GSGD,account_group_history,Lịch sử thay đổi nhóm tài khoản (OldValue/NewValue),Audit Log nguồn,"Audit Log nguồn — cơ chế ghi lịch sử đặc thù source system, không phải sự kiện nghiệp vụ"
GSGD,company_event_history,Lịch sử thay đổi sự kiện tổ chức niêm yết (OldValue/NewValue),Audit Log nguồn,"Audit Log nguồn — cơ chế ghi lịch sử đặc thù source system, không phải sự kiện nghiệp vụ"
GSGD,investor_account_history,Lịch sử thay đổi tài khoản (OldValue/NewValue),Audit Log nguồn,"Audit Log nguồn — cơ chế ghi lịch sử đặc thù source system, không phải sự kiện nghiệp vụ"
GSGD,securities_group_history,Lịch sử thay đổi nhóm chứng khoán (OldValue/NewValue),Audit Log nguồn,"Audit Log nguồn — cơ chế ghi lịch sử đặc thù source system, không phải sự kiện nghiệp vụ"
GSGD,audit_log,Nhật ký hệ thống,Operational / System,Operational/system data — không có giá trị nghiệp vụ
GSGD,report_template,Mẫu báo cáo (cấu hình UI),Operational / System,"Operational/system data — cấu hình biểu mẫu chạy báo cáo, không có giá trị nghiệp vụ"
GSGD,report_template_workflow,Cấu hình biểu mẫu cho quy trình phân tích,Operational / System,Operational/system data — không có FK inbound từ bảng nghiệp vụ nào có giá trị thiết kế Atomic
GSGD,system_config,Cấu hình hệ thống,Operational / System,Operational/system data — không có giá trị nghiệp vụ
GSGD,system_parameter,Tham số hệ thống,Operational / System,Operational/system data — không có giá trị nghiệp vụ
GSGD,system_permission,Quyền hệ thống,Operational / System,Operational/system data — không có giá trị nghiệp vụ
GSGD,system_user,Người dùng hệ thống,Operational / System,Operational/system data — không có giá trị nghiệp vụ
GSGD,user_group,Nhóm người dùng,Operational / System,Operational/system data — không có giá trị nghiệp vụ
GSGD,user_group_member,Thành viên nhóm người dùng,Operational / System,Operational/system data — không có giá trị nghiệp vụ
GSGD,user_table_config,Cấu hình hiển thị bảng theo user,Operational / System,Operational/system data — không có giá trị nghiệp vụ
GSGD,analysis_define_report_template,Tham số cấu hình biểu mẫu báo cáo,Out of scope,Pure junction giữa analysis_attribute_define và report_template (ngoài scope) — không có giá trị nghiệp vụ Atomic
GSGD,category_config,Cấu hình danh mục dùng chung,Reference Data,Không có FK inbound từ bảng nghiệp vụ — xử lý thành Classification Value
GSGD,category_item,Item trong danh mục dùng chung,Reference Data,Không có FK inbound từ bảng nghiệp vụ — xử lý thành Classification Value
IDS,company_change_role_his,Lịch sử thay đổi vai trò người dùng,Audit Log nguồn,Bảng lịch sử kỹ thuật — SCD2 Atomic tự track
IDS,company_detail_his,Lịch sử thay đổi company_detail,Audit Log nguồn,Bảng lịch sử kỹ thuật — SCD2 Atomic tự track
IDS,company_profiles_his,Lịch sử thay đổi company_profiles,Audit Log nguồn,Bảng lịch sử kỹ thuật — SCD2 Atomic tự track
IDS,fields_history,Lịch sử thay đổi fields,Audit Log nguồn,Bảng lịch sử kỹ thuật — SCD2 Atomic tự track
IDS,form_fields_history,Lịch sử thay đổi form_fields,Audit Log nguồn,Bảng lịch sử kỹ thuật — SCD2 Atomic tự track
IDS,stockholder_history,Lịch sử thay đổi cổ đông,Audit Log nguồn,Bảng lịch sử kỹ thuật — SCD2 Atomic tự track
IDS,data,BCTC cell values (FK company_data),Cascade drop,Cascade drop từ company_data
IDS,data_values,Form field values (FK company_data),Cascade drop,"Cascade drop từ company_data. Nếu anchor khôi phục, cần map cả field_id và form_field_id"
IDS,report_approval,Phê duyệt báo cáo (FK company_data),Cascade drop,Cascade drop từ company_data
IDS,report_extensions,Gia hạn báo cáo (FK company_data),Cascade drop,Cascade drop từ company_data
IDS,fields,Field definition cho form,Form Metadata,Field definition metadata — denormalized vào data_values khi anchor khôi phục
IDS,form_fields,Junction lưu fields trong 1 form,Form Metadata,Field definition metadata — denormalized vào data_values khi anchor khôi phục
IDS,company_data,Bảng trung gian lưu forms thuộc company_profiles,Intermediate,Intermediate linking table — không có business lifecycle độc lập
IDS,noti_config_apply,Junction giữa noti_config và company_profiles,Junction,Pure junction table — không có business attribute
IDS,data_access_rules,Phân quyền dữ liệu,Operational / System,System config/metadata — out-of-scope
IDS,data_types,Định nghĩa kiểu dữ liệu cho fields,Operational / System,System config/metadata — out-of-scope
IDS,logins,Tài khoản đăng nhập hệ thống,Operational / System,Bảng hệ thống — không có giá trị nghiệp vụ Atomic
IDS,sms_log,Log gửi SMS,Operational / System,Operational log — out-of-scope
IDS,sys_parameters,Tham số hệ thống,Operational / System,System config/metadata — out-of-scope
IDS,user_audit_log,Log thao tác người dùng,Operational / System,Operational log — out-of-scope
IDS,users,Người dùng hệ thống,Operational / System,Bảng hệ thống — không có giá trị nghiệp vụ Atomic
IDS,categories,Ngành nghề 2 cấp công ty đại chúng,Reference Data,Reference data set — Classification Value scheme IDS_INDUSTRY_CATEGORY
IDS,countries,Danh mục quốc gia,Reference Data,Reference data set — map vào shared Geographic Area (COUNTRY)
IDS,lookup_values,Danh mục giá trị tra cứu,Reference Data,Reference data sets — mỗi lookup_group = 1 Classification Value scheme IDS_*
IDS,provinces,Danh mục tỉnh/thành phố,Reference Data,Reference data set — map vào shared Geographic Area (PROVINCE)
IDS,departments,Phòng ban UBCK,Shared Entity,Dùng shared Regulatory Authority Organization Unit khi cần FK — không thiết kế riêng IDS
NHNCK,CertificateNumberTemplates,Template số chứng chỉ,Config,Config/template data.
NHNCK,CertificateDepartments,Phòng ban chứng chỉ số,Digital Cert,Operational/PKI data.
NHNCK,CertificateDocuments,Tài liệu chứng chỉ số,Digital Cert,Operational/PKI data.
NHNCK,CertificateSpecializations,Chuyên môn chứng chỉ số,Digital Cert,Operational/PKI data.
NHNCK,DigitalCertificateUsers,Người dùng chứng chỉ số,Digital Cert,Operational/PKI data.
NHNCK,DigitalCertificates,Chứng chỉ số,Digital Cert,Operational/PKI data — không phải CCHN.
NHNCK,DepartmentAccess,Quyền truy cập theo phòng ban,System / Auth,Operational/system data.
NHNCK,PermissionRoles,Phân quyền theo vai trò,System / Auth,Operational/system data.
NHNCK,Permissions,Danh mục quyền hạn,System / Auth,Operational/system data.
NHNCK,Roles,Danh mục vai trò,System / Auth,Operational/system data.
NHNCK,UserRoles,Phân quyền người dùng,System / Auth,Operational/system data — không có giá trị nghiệp vụ.
NHNCK,SystemParameters,Tham số hệ thống,System / Config,Config data.
NHNCK,ActionLogs,Nhật ký hành động hệ thống,System / Log,System audit log — không phải nghiệp vụ CCHN.
QLRR,risk_report_placeholder_config,Cấu hình mapping placeholder trong template báo cáo,Config kỹ thuật,Operational/system data — không có giá trị nghiệp vụ
QLRR,permission_group,Nhóm quyền,Phân quyền,Operational/system data — không có giá trị nghiệp vụ
QLRR,permission_group_indicator,Phân quyền chỉ tiêu theo nhóm,Phân quyền,Operational/system data — không có giá trị nghiệp vụ
QLRR,permission_group_user,Phân quyền người dùng theo nhóm,Phân quyền,Operational/system data — không có giá trị nghiệp vụ
SCMS,BC_THANH_VIEN_LS,Lịch sử các lần gửi báo cáo,Audit Log nguồn,"Audit Log nguồn — snapshot từng phiên bản gửi, không phải entity nghiệp vụ Atomic"
SCMS,BM_BAO_CAO_LS,Lịch sử biểu mẫu báo cáo,Audit Log nguồn,Audit Log nguồn — cần xác nhận (xem Điểm #7)
SCMS,CTCK_HS_LICH_SU,Hồ sơ lịch sử thay đổi của CTCK,Audit Log nguồn,"Audit Log nguồn — ghi lịch sử dạng generic (BANG_LIEN_KET + CHI_TIET_ID), không phải sự kiện nghiệp vụ cụ thể"
SCMS,CTCK_LICH_SU_XOA,Lịch sử xóa của CTCK,Audit Log nguồn,"Audit Log nguồn — cơ chế ghi lịch sử đặc thù source system, không phải sự kiện nghiệp vụ"
SCMS,BC_GT_DTL,Báo cáo nháp chi tiết,Draft data,Dữ liệu trạng thái trung gian — phụ thuộc BC_GT_HDR
SCMS,BC_GT_HDR,Báo cáo nháp header,Draft data,Dữ liệu trạng thái trung gian — cần xác nhận (xem Điểm #11)
SCMS,BC_KHAI_THAC,Dữ liệu khai thác tổng hợp,Gold/intermediate,"Operational/system data — pre-aggregated, cần xác nhận (xem Điểm #10)"
SCMS,BC_KHAI_THAC_GT,Giá trị khai thác tổng hợp,Gold/intermediate,Operational/system data — phụ thuộc BC_KHAI_THAC
SCMS,DM_CHI_TIEU_THONG_KE,Chỉ tiêu – thống kê (mapping),Metadata,"Operational/system data — metadata cross-reference giữa 2 scheme, dùng trong ETL"
SCMS,CHUNG_THU_SO,Danh sách chứng thư số,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,LK_CHUC_NANG_NGUOI,Liên kết người dùng chức năng,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,LK_CHUC_NANG_NHOM_NGUOI,Liên kết nhóm người dùng chức năng,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,LK_NGUOI_DUNG_BAO_CAO,Liên kết phân quyền khai thác báo cáo,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,LK_NGUOI_DUNG_CTCK,Liên kết phân quyền cán bộ quản trị CTCK,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,LK_NGUOI_DUNG_NHOM,Liên kết người dùng nhóm người dùng,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,QT_CHUC_NANG,Danh mục chức năng hệ thống,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,QT_LICH_HE_THONG,Thông tin lịch hệ thống,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,QT_LOG_HE_THONG,Danh sách log hệ thống,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,QT_NGUOI_DUNG,Danh sách người dùng hệ thống,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,QT_NGUOI_DUNG_IP,Thông tin quản lý IP đăng ký,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,QT_NHOM_NGUOI_DUNG,Danh sách nhóm người dùng,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,QT_THAM_SO_HE_THONG,Quản trị cấu hình tham số hệ thống,Operational/system,Operational/system data — không có giá trị nghiệp vụ
SCMS,BM_TIEUDE_HANG,Tiêu đề hàng thiết kế động,UI metadata,"Operational/system data — metadata hiển thị UI, không có giá trị nghiệp vụ"
SCMS,BM_TIEUDE_HANG_COT,Tiêu đề thiết kế động,UI metadata,"Operational/system data — cấu hình layout báo cáo, không có giá trị nghiệp vụ"
