bcv_core_object,atomic_entity,atomic_table,atomic_attribute,atomic_column,description,data_domain,data_type,nullable,is_primary_key,source_system,source_table,source_column,comment,classification_context,etl_derived_value
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Securities Practitioner Professional Training Class Code,scr_prac_prof_trn_clss_code,Mã lớp đào tạo,Text,string,false,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.SPECIALIZATION_COURSE_ID,Lookup pair: Securities Practitioner Professional Training Class.Securities Practitioner Professional Training Class Code. Pair with Securities Practitioner Professional Training Class Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Securities Practitioner Id,scr_prac_id,FK đến người hành nghề chứng khoán,Surrogate Key,string,false,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.PROFESSIONAL_ID,FK target: Securities Practitioner.Securities Practitioner Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Securities Practitioner Code,scr_prac_code,Mã người hành nghề,Text,string,false,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.PROFESSIONAL_ID,Lookup pair: Securities Practitioner.Securities Practitioner Code. Pair with Securities Practitioner Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Specialization Type Code,specialization_tp_code,Loại chuyên ngành đào tạo,Classification Value,string,false,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.SPECIALIZATION_ID,Scheme: SPECIALIZATION. Lookup từ SPECIALIZATIONS.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Exam Number,exam_nbr,Số báo danh dự thi,Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.EXAM_NUMBER,,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Practitioner Name At Enrollment,prac_nm_at_enrollment,Họ tên học viên tại thời điểm đăng ký (snapshot),Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.FULL_NAME,Denormalized snapshot tại thời điểm đăng ký.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Practitioner Birth Date At Enrollment,prac_brth_dt_at_enrollment,Ngày sinh tại thời điểm đăng ký (snapshot),Date,date,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.BIRTH_DATE,Denormalized snapshot tại thời điểm đăng ký.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Place of Birth,plc_of_brth,Nơi sinh (snapshot),Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.PLACE_OF_BIRTH,Denormalized snapshot tại thời điểm đăng ký.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Permanent Residence Country Id,perm_rsdnc_cty_id,FK đến quốc gia thường trú (snapshot),Surrogate Key,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.PERMANENT_COUNTRY_ID,FK target: Geographic Area.Geographic Area Id. Snapshot tại thời điểm đăng ký.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Permanent Residence Country Code,perm_rsdnc_cty_code,Mã quốc gia thường trú,Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.PERMANENT_COUNTRY_ID,Lookup pair: Geographic Area.Geographic Area Code. Pair with Permanent Residence Country Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Permanent Residence Province Id,perm_rsdnc_prov_id,FK đến tỉnh/thành thường trú (snapshot),Surrogate Key,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.PERMANENT_PROVINCE_ID,FK target: Geographic Area.Geographic Area Id. Snapshot tại thời điểm đăng ký.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Permanent Residence Province Code,perm_rsdnc_prov_code,Mã tỉnh/thành thường trú,Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.PERMANENT_PROVINCE_ID,Lookup pair: Geographic Area.Geographic Area Code. Pair with Permanent Residence Province Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Permanent Residence District Id,perm_rsdnc_dstc_id,FK đến quận/huyện thường trú (snapshot),Surrogate Key,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.PERMANENT_DISTRICT_ID,FK target: Geographic Area.Geographic Area Id. Snapshot tại thời điểm đăng ký.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Permanent Residence District Code,perm_rsdnc_dstc_code,Mã quận/huyện thường trú,Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.PERMANENT_DISTRICT_ID,Lookup pair: Geographic Area.Geographic Area Code. Pair with Permanent Residence District Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Practitioner Identity Type Code At Enrollment,prac_id_tp_code_at_enrollment,Loại giấy tờ định danh tại thời điểm đăng ký (snapshot),Classification Value,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.IDENTITY_TYPE,"Scheme: IDENTITY_DOCUMENT_TYPE. Nguồn: 1=CMND, 2=CCCD, 3=Hộ chiếu. Snapshot — entity grain là enrollment, không phải Involved Party.",Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Practitioner Identity Number At Enrollment,prac_id_nbr_at_enrollment,Số định danh tại thời điểm đăng ký (snapshot),Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.IDENTITY_NUMBER,Denormalized snapshot tại thời điểm đăng ký.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Practitioner Identity Issue Date At Enrollment,prac_id_issu_dt_at_enrollment,Ngày cấp giấy tờ định danh (snapshot),Date,date,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.IDENTITY_ISSUE_DATE,Denormalized snapshot tại thời điểm đăng ký.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Practitioner Identity Issue Place At Enrollment,prac_id_issu_plc_at_enrollment,Nơi cấp giấy tờ định danh (snapshot),Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.IDENTITY_ISSUE_PLACE,Denormalized snapshot tại thời điểm đăng ký.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Exam Score,exam_scor,Điểm thi,Percentage,"decimal(5,2)",true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.EXAM_SCORE,"Nguồn kiểu FLOAT — conversion risk: có thể chứa giá trị ngoài [0,100] hoặc text thay thế (VD: vắng). Cần validate ETL.",Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Training Result Code,trn_rslt_code,"Kết quả đào tạo (-1=Không thi, 0=Không đạt, 1=Đạt)",Classification Value,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.RESULT,Scheme: TRAINING_RESULT.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Record Status Code,rcrd_st_code,Trạng thái bản ghi,Classification Value,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.RECORD_STATUS,Scheme: COURSE_STATUS. Reuse scheme hiện có. Nguồn: 1=Hoạt động.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Description,dsc,Mô tả,Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.DESCRIPTION,,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Note,note,Ghi chú,Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.NOTE,,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Assignee Officer Id,assignee_ofcr_id,FK đến cán bộ phụ trách (nullable),Surrogate Key,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.ASSIGNEE_ID,FK target: Regulatory Authority Officer.Regulatory Authority Officer Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Assignee Officer Code,assignee_ofcr_code,Mã cán bộ phụ trách,Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.ASSIGNEE_ID,Lookup pair: Regulatory Authority Officer.Regulatory Authority Officer Code. Pair with Assignee Officer Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Created Timestamp,crt_tms,Thời điểm tạo bản ghi,Timestamp,timestamp,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.CREATED_AT,,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Updated Timestamp,udt_tms,Thời điểm cập nhật bản ghi,Timestamp,timestamp,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.UPDATED_AT,,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Created By Officer Id,crt_by_ofcr_id,FK đến cán bộ tạo bản ghi,Surrogate Key,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.CREATED_BY,FK target: Regulatory Authority Officer.Regulatory Authority Officer Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Created By Officer Code,crt_by_ofcr_code,Mã cán bộ tạo bản ghi,Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.CREATED_BY,Lookup pair: Regulatory Authority Officer.Regulatory Authority Officer Code. Pair with Created By Officer Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Updated By Officer Id,udt_by_ofcr_id,FK đến cán bộ cập nhật bản ghi,Surrogate Key,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.UPDATED_BY,FK target: Regulatory Authority Officer.Regulatory Authority Officer Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Business Activity,Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Updated By Officer Code,udt_by_ofcr_code,Mã cán bộ cập nhật bản ghi,Text,string,true,false,NHNCK,SPECIALIZATION_COURSE_DETAILS,NHNCK.qlnhn.SPECIALIZATION_COURSE_DETAILS.UPDATED_BY,Lookup pair: Regulatory Authority Officer.Regulatory Authority Officer Code. Pair with Updated By Officer Id.,Source System Code = 'NHNCK_SPECIALIZATION_COURSE_DETAILS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Securities Practitioner Qualification Examination Assessment Id,scr_prac_qualf_exam_ases_id,Id tự sinh (surrogate key),Surrogate Key,string,false,true,NHNCK,EXAM_SESSIONS,,"PK surrogate. BCV: ""Assessment"" (Communication). Đợt thi sát hạch chứng chỉ hành nghề.",Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Securities Practitioner Qualification Examination Assessment Code,scr_prac_qualf_exam_ases_code,Mã định danh nghiệp vụ đợt thi. BK,Text,string,false,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.CODE,BK chính. Mã đợt thi.,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Assessment Name,ases_nm,Tên hiển thị đợt thi,Text,string,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.ITEM_NAME,,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Report Year,rpt_yr,Năm báo cáo (YYYY),Small Counter,int,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.REPORT_YEAR,,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Examination Session Number,exam_ssn_nbr,"Kỳ thi trong năm (1, 2…)",Small Counter,int,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.SESSION_NUMBER,,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Organizing Unit Name,organizing_unit_nm,Tên đơn vị tổ chức thi,Text,string,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.ORGANIZING_UNIT,Denormalized text — không FK. Lưu tên tự do từ nguồn.,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Application Registration Start Date,ap_rgst_strt_dt,Ngày bắt đầu nhận đăng ký,Text,string,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.APPLICATION_START_DATE,VARCHAR2 nguồn — conversion risk. Lưu dạng Text tránh lỗi parse.,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Application Registration End Date,ap_rgst_end_dt,Ngày kết thúc nhận đăng ký,Text,string,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.APPLICATION_END_DATE,VARCHAR2 nguồn — conversion risk. Lưu dạng Text tránh lỗi parse.,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Examination Start Date,exam_strt_dt,Ngày bắt đầu thi,Text,string,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.EXAM_START_DATE,VARCHAR2 nguồn — conversion risk. Lưu dạng Text tránh lỗi parse.,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Examination End Date,exam_end_dt,Ngày kết thúc thi,Text,string,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.EXAM_END_DATE,VARCHAR2 nguồn — conversion risk. Lưu dạng Text tránh lỗi parse.,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Result Notification Date,rslt_notf_dt,Ngày thông báo kết quả thi,Text,string,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.NOTI_DATE,VARCHAR2 nguồn — conversion risk. Lưu dạng Text tránh lỗi parse.,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Examination Locations,exam_locations,Địa điểm tổ chức thi,Text,string,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.EXAM_LOCATIONS,Text tự do. Có thể chứa nhiều địa điểm phân cách dấu phẩy.,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Submission Methods,subm_methods,Phương thức nộp hồ sơ,Text,string,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.SUBMISSION_METHODS,Text tự do.,Source System Code = 'NHNCK_EXAM_SESSIONS',
Communication,Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Notification File Path,notf_file_path,Đường dẫn file thông báo kết quả,Text,string,true,false,NHNCK,EXAM_SESSIONS,NHNCK.qlnhn.EXAM_SESSIONS.FILE_PATH,,Source System Code = 'NHNCK_EXAM_SESSIONS',
