subfolder,file_name,id,physical_name,logical_name,bcv_core_object,bcv_concept,table_type,etl_pattern,source,status,attribute_count,brd_ref
Documentation,dm_atm_scr_prac_org_emp_rpt-NHNCK.ORGANIZATION_REPORTS.yaml,ATM-scr_prac_org_emp_rpt-NHNCK.ORGANIZATION_REPORTS,scr_prac_org_emp_rpt,Securities Practitioner Organization Employment Report,Documentation,[Documentation] Employer Registration,Fact Append,Fact Append,NHNCK,approved,41,BRD-SRC-NHNCK-ORGANIZATION_REPORTS
Event,dm_atm_scr_prac_prof_trn_clss-NHNCK.SPECIALIZATION_COURSES.yaml,ATM-scr_prac_prof_trn_clss-NHNCK.SPECIALIZATION_COURSES,scr_prac_prof_trn_clss,Securities Practitioner Professional Training Class,Event,[Event] Training Course,Fundamental,SCD4A,NHNCK,approved,16,BRD-SRC-NHNCK-SPECIALIZATION_COURSES
Involved_Party,dm_atm_ip_alt_identn-NHNCK.PROFESSIONALS.yaml,ATM-ip_alt_identn-NHNCK.PROFESSIONALS,ip_alt_identn,Involved Party Alternative Identification,Involved Party,Shared Entity,Fundamental,SCD4A,NHNCK,approved,6,BRD-SRC-NHNCK-PROFESSIONALS
Involved_Party,dm_atm_ip_elc_adr-NHNCK.ORGANIZATIONS.yaml,ATM-ip_elc_adr-NHNCK.ORGANIZATIONS,ip_elc_adr,Involved Party Electronic Address,Involved Party,Shared Entity,Fundamental,SCD4A,NHNCK,approved,25,BRD-SRC-NHNCK-ORGANIZATIONS
Involved_Party,dm_atm_ip_elc_adr-NHNCK.PROFESSIONALS.yaml,ATM-ip_elc_adr-NHNCK.PROFESSIONALS,ip_elc_adr,Involved Party Electronic Address,Involved Party,Shared Entity,Fundamental,SCD4A,NHNCK,approved,15,BRD-SRC-NHNCK-PROFESSIONALS
Involved_Party,dm_atm_ip_elc_adr-NHNCK.UNITS.yaml,ATM-ip_elc_adr-NHNCK.UNITS,ip_elc_adr,Involved Party Electronic Address,Involved Party,Shared Entity,Fundamental,SCD4A,NHNCK,approved,15,BRD-SRC-NHNCK-UNITS
Involved_Party,dm_atm_ip_elc_adr-NHNCK.USERS.yaml,ATM-ip_elc_adr-NHNCK.USERS,ip_elc_adr,Involved Party Electronic Address,Involved Party,Shared Entity,Fundamental,SCD4A,NHNCK,approved,10,BRD-SRC-NHNCK-USERS
Involved_Party,dm_atm_ip_pst_adr-NHNCK.ORGANIZATIONS.yaml,ATM-ip_pst_adr-NHNCK.ORGANIZATIONS,ip_pst_adr,Involved Party Postal Address,Involved Party,Shared Entity,Fundamental,SCD4A,NHNCK,approved,15,BRD-SRC-NHNCK-ORGANIZATIONS
Involved_Party,dm_atm_ip_pst_adr-NHNCK.PROFESSIONALS.yaml,ATM-ip_pst_adr-NHNCK.PROFESSIONALS,ip_pst_adr,Involved Party Postal Address,Involved Party,Shared Entity,Fundamental,SCD4A,NHNCK,approved,7,BRD-SRC-NHNCK-PROFESSIONALS
Involved_Party,dm_atm_ip_pst_adr-NHNCK.UNITS.yaml,ATM-ip_pst_adr-NHNCK.UNITS,ip_pst_adr,Involved Party Postal Address,Involved Party,Shared Entity,Fundamental,SCD4A,NHNCK,approved,15,BRD-SRC-NHNCK-UNITS
Involved_Party,dm_atm_reg_ahr_ofcr-NHNCK.USERS.yaml,ATM-reg_ahr_ofcr-NHNCK.USERS,reg_ahr_ofcr,Regulatory Authority Officer,Involved Party,[Involved Party] Individual,Fundamental,SCD4A,NHNCK,approved,18,BRD-SRC-NHNCK-USERS
Involved_Party,dm_atm_reg_ahr_ou-NHNCK.DEPARTMENTS.yaml,ATM-reg_ahr_ou-NHNCK.DEPARTMENTS,reg_ahr_ou,Regulatory Authority Organization Unit,Involved Party,[Involved Party] Organization,Fundamental,SCD4A,NHNCK,approved,11,BRD-SRC-NHNCK-DEPARTMENTS
Involved_Party,dm_atm_reg_ahr_ou-NHNCK.UNITS.yaml,ATM-reg_ahr_ou-NHNCK.UNITS,reg_ahr_ou,Regulatory Authority Organization Unit,Involved Party,[Involved Party] Organization,Fundamental,SCD4A,NHNCK,approved,11,BRD-SRC-NHNCK-UNITS
Involved_Party,dm_atm_scr_org_refr-NHNCK.ORGANIZATIONS.yaml,ATM-scr_org_refr-NHNCK.ORGANIZATIONS,scr_org_refr,Securities Organization Reference,Involved Party,[Involved Party] Organization,Fundamental,SCD4A,NHNCK,approved,29,BRD-SRC-NHNCK-ORGANIZATIONS
Involved_Party,dm_atm_scr_prac-NHNCK.PROFESSIONALS.yaml,ATM-scr_prac-NHNCK.PROFESSIONALS,scr_prac,Securities Practitioner,Involved Party,[Involved Party] Individual,Fundamental,SCD4A,NHNCK,approved,36,BRD-SRC-NHNCK-PROFESSIONALS
Involved_Party,dm_atm_scr_prac-NHNCK.PROFESSIONAL_HISTORIES.yaml,ATM-scr_prac-NHNCK.PROFESSIONAL_HISTORIES,scr_prac,Securities Practitioner,Involved Party,[Involved Party] Individual,Fundamental,SCD4A,NHNCK,approved,36,BRD-SRC-NHNCK-PROFESSIONAL_HISTORIES
Involved_Party,dm_atm_scr_prac_emp_st-NHNCK.PROFESSIONAL_WORK_HISTORIES.yaml,ATM-scr_prac_emp_st-NHNCK.PROFESSIONAL_WORK_HISTORIES,scr_prac_emp_st,Securities Practitioner Employment Status,Involved Party,[Involved Party] Individual Employment Status,Fundamental,SCD4A,NHNCK,approved,15,BRD-SRC-NHNCK-PROFESSIONAL_WORK_HISTORIES
Involved_Party,dm_atm_scr_prac_license_ap_emp_exrnc-NHNCK.APPLICATION_EXPERIENCES.yaml,ATM-scr_prac_license_ap_emp_exrnc-NHNCK.APPLICATION_EXPERIENCES,scr_prac_license_ap_emp_exrnc,Securities Practitioner License Application Employment Experience,Involved Party,[Involved Party] Individual Employment Status,Fundamental,SCD4A,NHNCK,approved,19,BRD-SRC-NHNCK-APPLICATION_EXPERIENCES
Involved_Party,dm_atm_scr_prac_license_ap_snpst-NHNCK.APPLICATION_PROFESSIONALS.yaml,ATM-scr_prac_license_ap_snpst-NHNCK.APPLICATION_PROFESSIONALS,scr_prac_license_ap_snpst,Securities Practitioner License Application Snapshot,Involved Party,[Involved Party] Individual,Fundamental,SCD4A,NHNCK,approved,45,BRD-SRC-NHNCK-APPLICATION_PROFESSIONALS
Involved_Party,dm_atm_scr_prac_prof_trn_hist-NHNCK.PROFESSIONAL_TRAININGS.yaml,ATM-scr_prac_prof_trn_hist-NHNCK.PROFESSIONAL_TRAININGS,scr_prac_prof_trn_hist,Securities Practitioner Professional Training History,Involved Party,[Involved Party] Individual Employment Status,Fundamental,SCD4A,NHNCK,approved,11,BRD-SRC-NHNCK-PROFESSIONAL_TRAININGS
Involved_Party,dm_atm_scr_prac_rel_p-NHNCK.PROFESSIONAL_RELATIONSHIPS.yaml,ATM-scr_prac_rel_p-NHNCK.PROFESSIONAL_RELATIONSHIPS,scr_prac_rel_p,Securities Practitioner Related Party,Involved Party,[Involved Party] Involved Party Relationship,Fundamental,SCD4A,NHNCK,approved,21,BRD-SRC-NHNCK-PROFESSIONAL_RELATIONSHIPS
Location,dm_atm_geo-NHNCK.COUNTRIES.yaml,ATM-geo-NHNCK.COUNTRIES,geo,Geographic Area,Location,[Location] Geographic Area,Fundamental,SCD4A,NHNCK,approved,18,BRD-SRC-NHNCK-COUNTRIES
Location,dm_atm_geo-NHNCK.DISTRICTS.yaml,ATM-geo-NHNCK.DISTRICTS,geo,Geographic Area,Location,[Location] Geographic Area,Fundamental,SCD4A,NHNCK,approved,18,BRD-SRC-NHNCK-DISTRICTS
Location,dm_atm_geo-NHNCK.PROVINCES.yaml,ATM-geo-NHNCK.PROVINCES,geo,Geographic Area,Location,[Location] Geographic Area,Fundamental,SCD4A,NHNCK,approved,18,BRD-SRC-NHNCK-PROVINCES
Transaction,dm_atm_scr_prac_license_ap_fee-NHNCK.APPLICATION_FEES.yaml,ATM-scr_prac_license_ap_fee-NHNCK.APPLICATION_FEES,scr_prac_license_ap_fee,Securities Practitioner License Application Fee,Transaction,[Event] Transaction,Fundamental,SCD4A,NHNCK,approved,22,BRD-SRC-NHNCK-APPLICATION_FEES
