source_system,table_name,column_name,source_system.table_name,data_type,description,pk/fk
FMS,BRANCHES,DecisionDate,FMS.BRANCHES,,Ngày cấp giấy phép,
FMS,BRANCHES,Status,FMS.BRANCHES,,Mã ID trạng thái. FK → STATUS.Id,FK
FMS,BRANCHES,StopDate,FMS.BRANCHES,,Ngày đóng cửa,
FMS,BRANCHES,TLId,FMS.BRANCHES,,Mã ID người đại diện. FK → TLProfiles.Id,FK
FMS,BRANCHES,TLName,FMS.BRANCHES,,Tên người đại diện,
FMS,BRANCHES,VoucherNo,FMS.BRANCHES,,Số GP/QĐ/CV sửa đổi,
FMS,BRANCHES,VoucherDate,FMS.BRANCHES,,Ngày chấp thuận,
FMS,BRANCHES,Deleted,FMS.BRANCHES,,Trạng thái bản ghi,
FMS,BRANCHES,IsDataMigration,FMS.BRANCHES,,1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,
FMS,BRANCHES,FileData,FMS.BRANCHES,,File đính kèm,
FMS,BRANCHES,FileName,FMS.BRANCHES,,Tên file đính kèm,
FMS,BRANCHES,Content,FMS.BRANCHES,,Nghiệp vụ kinh doanh,
FMS,BRANCHES,DesChange,FMS.BRANCHES,,Lý do sửa đổi,
FMS,BRANCHES,Description,FMS.BRANCHES,,Ghi chú,
FMS,BRANCHES,CreatedBy,FMS.BRANCHES,,Người tạo,
FMS,BRANCHES,DateCreated,FMS.BRANCHES,,Ngày tạo,
FMS,BRANCHES,DateModified,FMS.BRANCHES,,Ngày sửa,
FMS,BRANCHES,ModifyBy,FMS.BRANCHES,,Người sửa,
FMS,BRCHBUP,Id,FMS.BRCHBUP,,Mã ID lịch sử CN/VPĐD QLQ trong nước (PK),PK
FMS,BRCHBUP,SecHsId,FMS.BRCHBUP,,Mã ID lịch sử công ty QLQ. FK → SECHISTORY.Id,FK
FMS,BRCHBUP,ActiveDate,FMS.BRCHBUP,,Ngày chính thức hoạt động,
FMS,BRCHBUP,StopDate,FMS.BRCHBUP,,Ngày đóng cửa CN/VPĐD,
FMS,BRCHBUP,SecRealActiveDate,FMS.BRCHBUP,,Ngày chính thức hoạt động thực tế,
FMS,BRCHBUP,Name,FMS.BRCHBUP,,Tên chi nhánh/VPĐD,
FMS,BRCHBUP,SecCapital,FMS.BRCHBUP,,Vốn điều lệ,
FMS,BRCHBUP,Deleted,FMS.BRCHBUP,,Trạng thái bản ghi,
FMS,BRCHBUP,DateCreated,FMS.BRCHBUP,,Ngày tạo,
FMS,BUSINESS,Id,FMS.BUSINESS,,Mã ID ngành nghề kinh doanh (PK),PK
FMS,BUSINESS,Name,FMS.BUSINESS,,Tên ngành nghề kinh doanh,
FMS,BUSINESS,Description,FMS.BUSINESS,,Mô tả,
FMS,BUSINESS,IsActive,FMS.BUSINESS,,Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,
FMS,BUSINESS,IsDeleted,FMS.BUSINESS,,Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,
FMS,BUSINESS,CreatedBy,FMS.BUSINESS,,Người tạo,
FMS,BUSINESS,DateCreated,FMS.BUSINESS,,Ngày tạo,
FMS,BUSINESS,DateModified,FMS.BUSINESS,,Ngày sửa,
FMS,BUSINESS,ModifyBy,FMS.BUSINESS,,Người sửa,
FMS,CALENDAR,Id,FMS.CALENDAR,,Mã ID lịch hệ thống. Mã hệ thống tự sinh (PK),PK
FMS,CALENDAR,WorkingDate,FMS.CALENDAR,,Ngày,
FMS,CALENDAR,IsWorkingDate,FMS.CALENDAR,,Trạng thái: 1 = Làm việc; 0 = Nghỉ,
FMS,CALENDAR,Note,FMS.CALENDAR,,Ghi chú,
FMS,CALENDAR,CreatedBy,FMS.CALENDAR,,Người tạo,
FMS,CALENDAR,DateCreated,FMS.CALENDAR,,Ngày tạo,
FMS,CALENDAR,DateModified,FMS.CALENDAR,,Ngày sửa,
FMS,CALENDAR,ModifyBy,FMS.CALENDAR,,Người sửa,
FMS,CALENDAR,IsDataMigration,FMS.CALENDAR,,1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu hệ thống mới,
FMS,CERTFCATE,Id,FMS.CERTFCATE,,Mã ID chứng thư số. Mã hệ thống tự sinh (PK),PK
FMS,CERTFCATE,Issuer,FMS.CERTFCATE,,Thông tin nhà cung cấp dịch vụ chứng thư,
FMS,CERTFCATE,CreatedBy,FMS.CERTFCATE,,Người tạo,
FMS,CERTFCATE,DateCreated,FMS.CERTFCATE,,Ngày tạo,
FMS,CERTFCATE,DateModified,FMS.CERTFCATE,,Ngày sửa,
FMS,CERTFCATE,ModifyBy,FMS.CERTFCATE,,Người sửa,
FMS,DTSCBMN,DtSId,FMS.DTSCBMN,,Mã ID phân quyền dữ liệu. FK → DTSCOPE.Id,
FMS,DTSCBMN,BmnId,FMS.DTSCBMN,,Mã ID ngân hàng LKGS. FK → BANKMONI.Id,
FMS,DTSCFND,DtSId,FMS.DTSCFND,,Mã ID phân quyền dữ liệu. FK → DTSCOPE.Id,
FMS,DTSCFND,FndId,FMS.DTSCFND,,Mã ID quỹ đầu tư. FK → FUNDS.Id,
FMS,DTSCFR,DtSId,FMS.DTSCFR,,Mã ID phân quyền dữ liệu. FK → DTSCOPE.Id,
FMS,DTSCFR,FrId,FMS.DTSCFR,,Mã ID VPĐD/CN QLQ NN tại VN. FK → FORBRCH.Id,
FMS,DTSCOPE,Id,FMS.DTSCOPE,,Mã ID phân quyền dữ liệu (PK),PK
FMS,DTSCOPE,UserId,FMS.DTSCOPE,,Mã ID người dùng. FK → USERS.Id,FK
FMS,DTSCOPE,IsAll,FMS.DTSCOPE,,Có quyền xem tất cả: 1 = Có; 0 = Không,
FMS,DTSCOPE,CreatedBy,FMS.DTSCOPE,,Người tạo,
FMS,DTSCOPE,DateCreated,FMS.DTSCOPE,,Ngày tạo,
FMS,DTSCOPE,DateModified,FMS.DTSCOPE,,Ngày sửa,
FMS,DTSCOPE,ModifyBy,FMS.DTSCOPE,,Người sửa,
FMS,FGBRBUP,Id,FMS.FGBRBUP,,Mã ID lịch sử thay đổi. Mã hệ thống tự sinh (PK),PK
FMS,FGBRBUP,FgBrId,FMS.FGBRBUP,,Mã ID VPĐD/CN công ty QLQ NN tại VN. FK → FORBRCH.Id,FK
FMS,FGBRBUP,Action,FMS.FGBRBUP,,Sự kiện thay đổi,
FMS,FGBRBUP,AdjustmentLicense,FMS.FGBRBUP,,Số GP/QĐ/CV sửa đổi,
FMS,FGBRBUP,DateChange,FMS.FGBRBUP,,Ngày thực hiện thay đổi,
FMS,FGBRBUP,LicenseDate,FMS.FGBRBUP,,Ngày chấp thuận,
FMS,FGBRBUP,PrevValue,FMS.FGBRBUP,,Thông tin trước thay đổi,
FMS,FGBRBUP,ValueChange,FMS.FGBRBUP,,Thông tin sau thay đổi,
FMS,FGBRBUP,Reason,FMS.FGBRBUP,,Lý do sửa đổi,
FMS,FGBRBUP,FileData,FMS.FGBRBUP,,File đính kèm,
FMS,FGBRBUP,DateCreated,FMS.FGBRBUP,,Ngày tạo,
FMS,FGBRBUP,CreatedBy,FMS.FGBRBUP,,Người sửa,
FMS,FGBUSINESS,FrBchId,FMS.FGBUSINESS,,Mã ID VPĐD/CN QLQ NN tại VN. FK → FORBRCH.Id,
FMS,FGBUSINESS,BuId,FMS.FGBUSINESS,,Mã ID ngành nghề kinh doanh. FK → BUSINESS.Id,
FMS,FNDSBMN,FndId,FMS.FNDSBMN,,Mã ID quỹ đầu tư. FK → FUNDS.Id,
FMS,FNDSBMN,BmnId,FMS.FNDSBMN,,Mã ID ngân hàng LKGS. FK → BANKMONI.Id,
FMS,FORBRCH,Id,FMS.FORBRCH,,Mã ID VPĐD/CN công ty QLQ NN tại VN (PK),PK
FMS,FORBRCH,Name,FMS.FORBRCH,,Tên VPĐD/CN,
FMS,FORBRCH,EnName,FMS.FORBRCH,,Tên tiếng Anh,
FMS,FORBRCH,Address,FMS.FORBRCH,,Địa chỉ,
FMS,FORBRCH,Email,FMS.FORBRCH,,Email,
FMS,FORBRCH,Fax,FMS.FORBRCH,,Fax,
FMS,FORBRCH,ChangeLicense,FMS.FORBRCH,,Số GPĐC gần nhất,
FMS,FORBRCH,ChangeLicenseDate,FMS.FORBRCH,,Ngày chấp thuận GPĐC,
FMS,FORBRCH,ChangeNote,FMS.FORBRCH,,Lý do sửa đổi,
FMS,FORBRCH,EndDate,FMS.FORBRCH,,Hoạt động đến ngày,
FMS,FORBRCH,Status,FMS.FORBRCH,,Mã trạng thái. FK → STATUS.Id,FK
FMS,FORBRCH,FileData,FMS.FORBRCH,,File đính kèm,
FMS,FORBRCH,Deleted,FMS.FORBRCH,,Trạng thái bản ghi,
FMS,FORBRCH,CreatedBy,FMS.FORBRCH,,Người tạo,
FMS,FORBRCH,DateCreated,FMS.FORBRCH,,Ngày tạo,
FMS,FORBRCH,DateModified,FMS.FORBRCH,,Ngày sửa,
FMS,FORBRCH,ModifyBy,FMS.FORBRCH,,Người sửa,
FMS,FUNDHISTORY,Id,FMS.FUNDHISTORY,,Mã ID lịch sử quỹ đầu tư (PK),PK
FMS,FUNDHISTORY,FndId,FMS.FUNDHISTORY,,Mã ID quỹ đầu tư. FK → FUNDS.Id,FK
FMS,FUNDHISTORY,Action,FMS.FUNDHISTORY,,Sự kiện thay đổi,
FMS,FUNDHISTORY,DateChange,FMS.FUNDHISTORY,,Ngày thực hiện thay đổi,
FMS,FUNDHISTORY,AdjustmentLicense,FMS.FUNDHISTORY,,Số GP/QĐ/CV sửa đổi,
FMS,FUNDHISTORY,LicenseDate,FMS.FUNDHISTORY,,Ngày chấp thuận,
FMS,FUNDHISTORY,PrevValue,FMS.FUNDHISTORY,,Thông tin trước thay đổi,
FMS,FUNDHISTORY,ValueChange,FMS.FUNDHISTORY,,Thông tin sau thay đổi,
FMS,FUNDHISTORY,Reason,FMS.FUNDHISTORY,,Lý do sửa đổi,
FMS,FUNDHISTORY,FileData,FMS.FUNDHISTORY,,File đính kèm,
FMS,FUNDHISTORY,DateCreated,FMS.FUNDHISTORY,,Ngày tạo,
FMS,FUNDS,Id,FMS.FUNDS,,Mã ID quỹ đầu tư. Mã hệ thống tự sinh (PK),PK
FMS,FUNDS,FundName,FMS.FUNDS,,Tên quỹ đầu tư,
FMS,FUNDS,FundShortName,FMS.FUNDS,,Tên viết tắt quỹ đầu tư,
FMS,FUNDS,FundEnName,FMS.FUNDS,,Tên tiếng Anh quỹ đầu tư,
FMS,FUNDS,SecId,FMS.FUNDS,,Mã ID công ty QLQ quản lý. FK → SECURITIES.Id,FK
FMS,FUNDS,FundCapital,FMS.FUNDS,,Vốn điều lệ quỹ,
FMS,FUNDS,FundType,FMS.FUNDS,,Loại hình quỹ,
FMS,FUNDS,Status,FMS.FUNDS,,Mã ID trạng thái. FK → STATUS.Id,FK
FMS,FUNDS,DecisionDate,FMS.FUNDS,,Ngày cấp phép thành lập,
FMS,FUNDS,ActiveDate,FMS.FUNDS,,Ngày chính thức hoạt động,
FMS,FUNDS,StopDate,FMS.FUNDS,,Ngày giải thể/đóng quỹ,
FMS,FUNDS,Deleted,FMS.FUNDS,,Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,
FMS,FUNDS,IsDataMigration,FMS.FUNDS,,1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,
FMS,FUNDS,FileData,FMS.FUNDS,,File đính kèm,
FMS,FUNDS,CreatedBy,FMS.FUNDS,,Người tạo,
FMS,FUNDS,DateCreated,FMS.FUNDS,,Ngày tạo,
FMS,FUNDS,DateModified,FMS.FUNDS,,Ngày sửa,
FMS,FUNDS,ModifyBy,FMS.FUNDS,,Người sửa,
FMS,INVES,Id,FMS.INVES,,ID nhà đầu tư ủy thác. Mã hệ thống tự sinh (PK),PK
FMS,INVES,Name,FMS.INVES,,Tên nhà đầu tư ủy thác,
FMS,INVES,Dorf,FMS.INVES,,Trong nước/Nước ngoài: 1 = Trong nước; 0 = Ngoài,
FMS,INVES,IdNo,FMS.INVES,,CMND/CCCD/Hộ chiếu/ĐKKD,
FMS,INVES,IdDate,FMS.INVES,,Ngày cấp,
FMS,INVES,IdType,FMS.INVES,,Loại giấy tờ: 1 = CMND/Hộ chiếu; 0 = ĐKKD,
FMS,INVES,NatId,FMS.INVES,,Mã ID quốc tịch. FK → NATIONAL.Id,FK
FMS,INVES,StoId,FMS.INVES,,Mã ID loại hình NĐT. FK → STOCKHOLDERTYPE.Id,FK
FMS,INVES,SecId,FMS.INVES,,Mã ID công ty QLQ. FK → SECURITIES.Id,FK
FMS,INVES,RelationShip,FMS.INVES,,Quan hệ với người có liên quan,
FMS,INVES,Deleted,FMS.INVES,,Trạng thái bản ghi,
FMS,INVES,IsDataMigration,FMS.INVES,,1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,
FMS,INVES,CreatedBy,FMS.INVES,,Người tạo,
FMS,INVES,DateCreated,FMS.INVES,,Ngày tạo,
FMS,INVES,DateModified,FMS.INVES,,Ngày sửa,
FMS,INVES,ModifyBy,FMS.INVES,,Người sửa,
FMS,INVESACC,Id,FMS.INVESACC,,ID tài khoản lưu ký. Mã hệ thống tự sinh (PK),PK
FMS,INVESACC,InvesId,FMS.INVESACC,,ID nhà đầu tư ủy thác. FK → INVES.Id,FK
FMS,INVESACC,Account,FMS.INVESACC,,Tài khoản lưu ký,
FMS,INVESACC,AccPlace,FMS.INVESACC,,Nơi lưu ký,
FMS,INVESACC,ContractNo,FMS.INVESACC,,Số hợp đồng ủy thác,
FMS,INVESACC,ActScale,FMS.INVESACC,,Quy mô vốn ủy thác theo hợp đồng,
FMS,INVESACC,AdScale,FMS.INVESACC,,Quy mô vốn giao nhận thực tế,
FMS,INVESACC,ManagerFee,FMS.INVESACC,,Phí quản lý,
FMS,INVESACC,Status,FMS.INVESACC,,Trạng thái: 1 = Còn hiệu lực; 0 = Hết hiệu lực,
FMS,INVESACC,DateReport,FMS.INVESACC,,Kỳ báo cáo gần nhất,
FMS,INVESACC,Deleted,FMS.INVESACC,,Trạng thái bản ghi,
FMS,INVESACC,IsDataMigration,FMS.INVESACC,,1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,
FMS,INVESACC,CreatedBy,FMS.INVESACC,,Người tạo,
FMS,INVESACC,DateCreated,FMS.INVESACC,,Ngày tạo,
FMS,INVESACC,DateModified,FMS.INVESACC,,Ngày sửa,
FMS,INVESACC,ModifyBy,FMS.INVESACC,,Người sửa,
FMS,JOBTYPE,Id,FMS.JOBTYPE,,Mã ID loại chức vụ. Mã hệ thống tự sinh (PK),PK
FMS,JOBTYPE,Name,FMS.JOBTYPE,,Tên loại chức vụ,
FMS,JOBTYPE,Status,FMS.JOBTYPE,,Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,
FMS,JOBTYPE,IsDisplayOnMember,FMS.JOBTYPE,,Là HĐQT/Hội đồng thành viên của công ty: 1 = Có; 0 = Không,
FMS,JOBTYPE,IsPublish,FMS.JOBTYPE,,Có công bố thông tin: 1 = Có; 0 = Không,
FMS,JOBTYPE,IsDeleted,FMS.JOBTYPE,,Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,
FMS,JOBTYPE,CreatedBy,FMS.JOBTYPE,,Người tạo,
FMS,JOBTYPE,DateCreated,FMS.JOBTYPE,,Ngày tạo,
FMS,JOBTYPE,DateModified,FMS.JOBTYPE,,Ngày sửa,
FMS,JOBTYPE,ModifyBy,FMS.JOBTYPE,,Người sửa,
FMS,LOCATION,Id,FMS.LOCATION,,Mã ID tỉnh/thành phố. Mã hệ thống tự sinh (PK),PK
FMS,LOCATION,Name,FMS.LOCATION,,Tên tỉnh/thành phố,
FMS,LOCATION,SName,FMS.LOCATION,,Mã tỉnh/thành phố,
FMS,LOCATION,Description,FMS.LOCATION,,Ghi chú,
FMS,LOCATION,Status,FMS.LOCATION,,Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,
FMS,LOCATION,IsDeleted,FMS.LOCATION,,Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,
FMS,LOCATION,IsDataMigration,FMS.LOCATION,,1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu hệ thống mới,
FMS,LOCATION,CreatedBy,FMS.LOCATION,,Người tạo,
FMS,LOCATION,DateCreated,FMS.LOCATION,,Ngày tạo,
FMS,LOCATION,DateModified,FMS.LOCATION,,Ngày sửa,
FMS,LOCATION,ModifyBy,FMS.LOCATION,,Người sửa,
FMS,MBCHANGE,Id,FMS.MBCHANGE,,Mã ID lịch sử thay đổi vốn góp (PK),PK
FMS,MBCHANGE,MBFId,FMS.MBCHANGE,,Mã ID nhà đầu tư quỹ. FK → MBFUND.Id,FK
FMS,MBCHANGE,OldCapital,FMS.MBCHANGE,,Vốn góp trước thay đổi,
FMS,MBCHANGE,NewCapital,FMS.MBCHANGE,,Vốn góp sau thay đổi,
FMS,MBCHANGE,ChangeDate,FMS.MBCHANGE,,Ngày thay đổi,
FMS,MBCHANGE,Reason,FMS.MBCHANGE,,Lý do thay đổi,
FMS,MBCHANGE,Deleted,FMS.MBCHANGE,,Trạng thái bản ghi,
FMS,MBCHANGE,CreatedBy,FMS.MBCHANGE,,Người tạo,
FMS,MBCHANGE,DateCreated,FMS.MBCHANGE,,Ngày tạo,
FMS,MBCHANGE,DateModified,FMS.MBCHANGE,,Ngày sửa,
FMS,MBFUND,Id,FMS.MBFUND,,Mã ID nhà đầu tư quỹ (PK),PK
FMS,MBFUND,FndId,FMS.MBFUND,,Mã ID quỹ đầu tư. FK → FUNDS.Id,FK
FMS,MBFUND,InvesId,FMS.MBFUND,,Mã ID nhà đầu tư ủy thác. FK → INVES.Id,FK
FMS,MBFUND,Capital,FMS.MBFUND,,Số lượng vốn góp,
FMS,MBFUND,Ratio,FMS.MBFUND,,Tỷ lệ sở hữu (%),
FMS,MBFUND,Deleted,FMS.MBFUND,,Trạng thái bản ghi,
FMS,MBFUND,DateCreated,FMS.MBFUND,,Ngày tạo,
FMS,MBFUND,DateModified,FMS.MBFUND,,Ngày sửa,
FMS,MENUS,Id,FMS.MENUS,,Mã ID danh mục quyền. Mã hệ thống tự sinh (PK),PK
FMS,MENUS,Title,FMS.MENUS,,Tên danh mục quyền,
FMS,MENUS,Url,FMS.MENUS,,Điều hướng (URL),
FMS,MENUS,Icon,FMS.MENUS,,Icon hiển thị,
FMS,MENUS,MenuType,FMS.MENUS,,Loại menu: 1 = Quyền; 0 = Menu,
FMS,MENUS,IsActive,FMS.MENUS,,Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,
FMS,MENUS,SortOrder,FMS.MENUS,,Thứ tự sắp xếp,
FMS,MENUS,ParentId,FMS.MENUS,,Mã ID menu cha. FK → MENUS.Id,FK
FMS,MENUS,CreatedBy,FMS.MENUS,,Người tạo,
FMS,MENUS,DateCreated,FMS.MENUS,,Ngày tạo,
FMS,MENUS,DateModified,FMS.MENUS,,Ngày sửa,
FMS,MENUS,ModifyBy,FMS.MENUS,,Người sửa,
FMS,NATIONAL,Id,FMS.NATIONAL,,Mã ID quốc gia/quốc tịch. Mã hệ thống tự sinh (PK),PK
FMS,NATIONAL,Name,FMS.NATIONAL,,Tên quốc gia,
FMS,NATIONAL,SName,FMS.NATIONAL,,Mã quốc gia,
FMS,NATIONAL,Description,FMS.NATIONAL,,Ghi chú,
FMS,NATIONAL,Status,FMS.NATIONAL,,Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,
FMS,NATIONAL,IsDeleted,FMS.NATIONAL,,Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,
FMS,NATIONAL,IsDataMigration,FMS.NATIONAL,,1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,
FMS,NATIONAL,CreatedBy,FMS.NATIONAL,,Người tạo,
FMS,NATIONAL,DateCreated,FMS.NATIONAL,,Ngày tạo,
FMS,NATIONAL,DateModified,FMS.NATIONAL,,Ngày sửa,
FMS,NATIONAL,ModifyBy,FMS.NATIONAL,,Người sửa,
FMS,PARAWARN,Id,FMS.PARAWARN,,Mã ID tham số cảnh báo (PK),PK
FMS,PARAWARN,WarnName,FMS.PARAWARN,,Tên tham số cảnh báo,
FMS,PARAWARN,WarnValue,FMS.PARAWARN,,Giá trị ngưỡng cảnh báo,
FMS,PARAWARN,WarnType,FMS.PARAWARN,,Loại cảnh báo,
FMS,PARAWARN,Description,FMS.PARAWARN,,Mô tả,
FMS,PARAWARN,IsActive,FMS.PARAWARN,,Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,
FMS,PARAWARN,DateCreated,FMS.PARAWARN,,Ngày tạo,
FMS,PARAWARN,DateModified,FMS.PARAWARN,,Ngày sửa,
FMS,PARVALUE,Id,FMS.PARVALUE,,Mã ID mệnh giá cổ phần. Mã hệ thống tự sinh (PK),PK
FMS,PARVALUE,Value,FMS.PARVALUE,,Giá trị mệnh giá,
FMS,PARVALUE,Description,FMS.PARVALUE,,Ghi chú,
FMS,PARVALUE,IsActive,FMS.PARVALUE,,Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,
FMS,PARVALUE,IsDeleted,FMS.PARVALUE,,Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,
FMS,PARVALUE,CreatedBy,FMS.PARVALUE,,Người tạo,
FMS,PARVALUE,DateCreated,FMS.PARVALUE,,Ngày tạo,
FMS,PARVALUE,DateModified,FMS.PARVALUE,,Ngày sửa,
FMS,PARVALUE,ModifyBy,FMS.PARVALUE,,Người sửa,
FMS,RANK,Id,FMS.RANK,,Mã ID bảng xếp hạng (PK),PK
FMS,RANK,SecId,FMS.RANK,,Mã ID công ty QLQ. FK → SECURITIES.Id,FK
FMS,RANK,RatingPdId,FMS.RANK,,Mã ID kỳ đánh giá. FK → RATINGPD.Id,FK
FMS,RANK,TotalScore,FMS.RANK,,Tổng điểm đánh giá,
FMS,RANK,RankValue,FMS.RANK,,Xếp hạng,
FMS,RANK,RankClass,FMS.RANK,,Xếp loại,
FMS,RANK,Deleted,FMS.RANK,,Trạng thái bản ghi,
FMS,RANK,DateCreated,FMS.RANK,,Ngày tạo,
FMS,RANK,DateModified,FMS.RANK,,Ngày sửa,
FMS,RATINGPD,Id,FMS.RATINGPD,,Mã ID kỳ đánh giá xếp loại (PK),PK
FMS,RATINGPD,PeriodName,FMS.RATINGPD,,Tên kỳ đánh giá,
FMS,RATINGPD,StartDate,FMS.RATINGPD,,Ngày bắt đầu kỳ đánh giá,
FMS,RATINGPD,EndDate,FMS.RATINGPD,,Ngày kết thúc kỳ đánh giá,
FMS,RATINGPD,IsActive,FMS.RATINGPD,,Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,
FMS,RATINGPD,IsDeleted,FMS.RATINGPD,,Trạng thái bản ghi,
FMS,RATINGPD,DateCreated,FMS.RATINGPD,,Ngày tạo,
FMS,RATINGPD,DateModified,FMS.RATINGPD,,Ngày sửa,
FMS,REFRESHTOKEN,Id,FMS.REFRESHTOKEN,,ID phiên đăng nhập. Mã hệ thống tự sinh (PK),PK
FMS,REFRESHTOKEN,Token,FMS.REFRESHTOKEN,,Mã phiên đăng nhập,
