source_system,staging_table,ods_table,table_type,technical_table,etl_handle,filter,description
FIMS,stg_fims_refreshtoken,ods_fims_refreshtoken,,,Incremental - Append,,lưu danh sách các phiên làm việc của người dùng
FIMS,stg_fims_groups,ods_fims_groups,,,Incremental - Append,,Lưu danh sách nhóm người dùng
FIMS,stg_fims_groupusers,ods_fims_groupusers,,,Incremental - Append,,lưu danh sách người dùng được phân vào nhóm người
FIMS,stg_fims_grouproles,ods_fims_grouproles,,,Incremental - Append,,lưu danh sách các quyền được phân cho nhóm người
FIMS,stg_fims_roles,ods_fims_roles,,,Incremental - Append,,lưu danh sách nhóm quyền
FIMS,stg_fims_menus,ods_fims_menus,,,Incremental - Append,,Lưu danh sách các quyền của hệ thống
FIMS,stg_fims_certfcate,ods_fims_certfcate,,,Incremental - Append,,lưu danh sách chứng thư số
FIMS,stg_fims_errorlog,ods_fims_errorlog,,,Incremental - Append,,Lưu lịch sử lỗi hệ thống
FIMS,stg_fims_usersessions,ods_fims_usersessions,,,Incremental - Append,,Lưu danh sách theo dõi tài khoản đang truy cập
FIMS,stg_fims_rpttemp,ods_fims_rpttemp,,,Incremental - Append,,lưu danh sách biểu mẫu báo cáo đầu vào.
FIMS,stg_fims_sheet,ods_fims_sheet,,,Incremental - Append,,lưu danh sách các sheet trong biểu mẫu báo cáo đầu vào
FIMS,stg_fims_rptperiod,ods_fims_rptperiod,,,Incremental - Append,,lưu danh sách kỳ của báo cáo đầu vào.
FIMS,stg_fims_rptpdsht,ods_fims_rptpdsht,,,Incremental - Append,,bảng trung gian giữa bảng SHEET và bảng RPTPERIOD
FIMS,stg_fims_rpthtory,ods_fims_rpthtory,,,Incremental - Append,,lưu lịch sử thay đổi biểu mẫu báo cáo đầu vào.
FIMS,stg_fims_rpttpout,ods_fims_rpttpout,,,Incremental - Append,,lưu danh sách biểu mẫu báo cáo đầu ra
FIMS,stg_fims_sheetout,ods_fims_sheetout,,,Incremental - Append,,lưu danh sách sheet của báo cáo đầu ra.
FIMS,stg_fims_tpouthtory,ods_fims_tpouthtory,,,Incremental - Append,,lưu danh sách lịch sử thay đổi biểu mẫu báo cáo đầu
FIMS,stg_fims_rptoutmanagement,ods_fims_rptoutmanagement,,,Incremental - Append,,Lưu danh sách cấu hình gen file thống kê tự
FIMS,stg_fims_rptoutfilesave,ods_fims_rptoutfilesave,,,Incremental - Append,,Lưu danh sách file thống kê đã được gen tự động
FIMS,stg_fims_location,ods_fims_location,,,Incremental - Append,,lưu danh sách tỉnh/ thành phố
FIMS,stg_fims_national,ods_fims_national,,,Incremental - Append,,lưu danh sách quốc tịch/ quốc gia
FIMS,stg_fims_status,ods_fims_status,,,Incremental - Append,,lưu danh sách danh mục tình trạng hoạt động
FIMS,stg_fims_jobtype,ods_fims_jobtype,,,Incremental - Append,,Lưu danh sách chức vụ của người dùng trên hệ thống
FIMS,stg_fims_securitiestype,ods_fims_securitiestype,,,Incremental - Append,,Lưu danh sách loại chứng khoán
FIMS,stg_fims_securities,ods_fims_securities,,,Incremental - Append,,Lưu danh sách danh mục chứng khoán.
FIMS,stg_fims_stockholdertype,ods_fims_stockholdertype,,,Incremental - Append,,Lưu danh sách danh mục loại cổ đông.
FIMS,stg_fims_companytype,ods_fims_companytype,,,Incremental - Append,,Lưu danh sách danh mục loại hình doanh nghiệp
FIMS,stg_fims_business,ods_fims_business,,,Incremental - Append,,lưu danh sách danh mục nghiệp vụ kinh doanh.
FIMS,stg_fims_currency,ods_fims_currency,,,Incremental - Append,,lưu danh sách danh mục tiền tệ.
FIMS,stg_fims_degree,ods_fims_degree,,,Incremental - Append,,lưu danh sách danh mục trình độ
FIMS,stg_fims_unit,ods_fims_unit,,,Incremental - Append,,lưu danh sách danh mục đơn vị
FIMS,stg_fims_department,ods_fims_department,,,Incremental - Append,,lưu danh sách danh mục phòng ban
FIMS,stg_fims_violationtype,ods_fims_violationtype,,,Incremental - Append,,lưu danh sách danh mục loại vi phạm
FIMS,stg_fims_reporttype,ods_fims_reporttype,,,Incremental - Append,,Lưu danh sách danh mục loại báo cáo.
FIMS,stg_fims_investortype,ods_fims_investortype,,,Incremental - Append,,lưu danh sách danh mục loại nhà đầu tư
FIMS,stg_fims_investor,ods_fims_investor,,,Incremental - Append,,lưu danh sách danh mục nhà đầu tư
FIMS,stg_fims_investorhis,ods_fims_investorhis,,,Incremental - Append,,Lưu danh sách lịch sử của nhà đầu tư
FIMS,stg_fims_securitiesaccount,ods_fims_securitiesaccount,,,Incremental - Append,,Lưu danh sách tài khoản giao dịch chứng
FIMS,stg_fims_securitiesaccounthis,ods_fims_securitiesaccounthis,,,Incremental - Append,,Lưu danh sách lịch sử tài khoản khoản
FIMS,stg_fims_categoriesstock,ods_fims_categoriesstock,,,Incremental - Append,,Lưu danh sách danh mục chứng khoán của NĐT NN.
FIMS,stg_fims_categoriesstockhis,ods_fims_categoriesstockhis,,,Incremental - Append,,Lưu danh sách danh mục lịch sử sở hữu chứng
FIMS,stg_fims_relatedproperties,ods_fims_relatedproperties,,,Incremental - Append,,Lưu danh sách các danh muc hình thức liên
FIMS,stg_fims_relationship,ods_fims_relationship,,,Incremental - Append,,
FIMS,stg_fims_announcetype,ods_fims_announcetype,,,Incremental - Append,,Lưu danh sách loại CBTT
FIMS,stg_fims_calendar,ods_fims_calendar,,,Incremental - Append,,Lưu danh sách lịch hệ thống
FIMS,stg_fims_calendarmanagerment,ods_fims_calendarmanagerment,,,Incremental - Append,,Lưu các thay đổi lịch hệ thống để phục vụ
FIMS,stg_fims_sysvar,ods_fims_sysvar,,,Incremental - Append,,Bảng lưu danh sách các tham số hệ thống
FIMS,stg_fims_selfsetpd,ods_fims_selfsetpd,,,Incremental - Append,,Lưu danh sách cấu hình kỳ báo cáo do cán bộ UB tự
FIMS,stg_fims_tlprofiles,ods_fims_tlprofiles,,,Incremental - Append,,lưu danh sách nhân sự của người đại diện CBTT.
FIMS,stg_fims_tlprojob,ods_fims_tlprojob,,,Incremental - Append,,Lưu danh sách chức vụ của nhân sự
FIMS,stg_fims_tlprostockh,ods_fims_tlprostockh,,,Incremental - Append,,lưu danh sách loại cổ đông của nhân sự
FIMS,stg_fims_notification,ods_fims_notification,,,Incremental - Append,,lưu danh sách thông báo
FIMS,stg_fims_rptmember,ods_fims_rptmember,,,Incremental - Append,,lưu danh sách báo cáo của các thành viên thị trường
FIMS,stg_fims_rptvaluesmanagerment,ods_fims_rptvaluesmanagerment,,,Incremental - Append,,Lưu quản lý các bảng lưu giá trị của báo
FIMS,stg_fims_rptvalues,ods_fims_rptvalues,,,Incremental - Append,,"bảng lưu giá trị của báo cáo. Mỗi năm, tự động sinh"
FIMS,stg_fims_rptprocess,ods_fims_rptprocess,,,Incremental - Append,,lưu danh sách lịch sử xử lý báo cáo
FIMS,stg_fims_stockexchange,ods_fims_stockexchange,,,Incremental - Append,,Lưu danh sách đối tượng gửi báo cáo là Sở giao
FIMS,stg_fims_depositorycenter,ods_fims_depositorycenter,,,Incremental - Append,,Lưu danh sách đối tượng gửi báo cáo là Trung
FIMS,stg_fims_fundcompany,ods_fims_fundcompany,,,Incremental - Append,,Lưu danh sách đối tượng gửi báo cáo là Công ty
FIMS,stg_fims_fundcombusines,ods_fims_fundcombusines,,,Incremental - Append,,Lưu danh sách nghiệp vụ kinh doanh của công ty
FIMS,stg_fims_fundcomtype,ods_fims_fundcomtype,,,Incremental - Append,,Lưu danh sách loại hình công ty của công ty QLQ
FIMS,stg_fims_securitiescompany,ods_fims_securitiescompany,,,Incremental - Append,,Lưu danh sách đối tượng gửi báo cáo là Công
FIMS,stg_fims_seccombusines,ods_fims_seccombusines,,,Incremental - Append,,Lưu danh sách nghiệp vụ kinh doanh của công ty
FIMS,stg_fims_seccomtype,ods_fims_seccomtype,,,Incremental - Append,,lưu danh sách loại hình doanh nghiệp của công ty
FIMS,stg_fims_bankmoni,ods_fims_bankmoni,,,Incremental - Append,,Lưu danh sách đối tượng gửi báo cáo là Ngân hàng lưu
FIMS,stg_fims_branchs,ods_fims_branchs,,,Incremental - Append,,Lưu danh sách đối tượng gửi báo cáo là CN công ty QLQ
FIMS,stg_fims_branchsbusines,ods_fims_branchsbusines,,,Incremental - Append,,Lưu danh sách nghiệp vụ kinh doanh của CN công
FIMS,stg_fims_infodiscrepres,ods_fims_infodiscrepres,,,Incremental - Append,,Lưu danh sách đối tượng gửi báo cáo là người
FIMS,stg_fims_indirebusiness,ods_fims_indirebusiness,,,Incremental - Append,,Lưu danh sách nghiệp vụ kinh doanh của người
FIMS,stg_fims_parawarn,ods_fims_parawarn,,,Incremental - Append,,Lưu danh sách tham số cảnh báo
FIMS,stg_fims_cdtwarn,ods_fims_cdtwarn,,,Incremental - Append,,Lưu danh sách điều kiện cảnh báo
FIMS,stg_fims_violt,ods_fims_violt,,,Incremental - Append,,Lưu danh sách vi phạm
FIMS,stg_fims_authoannounce,ods_fims_authoannounce,,,Incremental - Append,,Lưu danh sách ủy quyền CBTT.
FIMS,stg_fims_authoannouncehis,ods_fims_authoannouncehis,,,Incremental - Append,,Lưu danh sách lịch sử ủy quyền CBTT.
FIMS,stg_fims_announceinves,ods_fims_announceinves,,,Incremental - Append,,lưu danh sách NĐT NN ủy quyền CBTT
FIMS,stg_fims_announceinveshis,ods_fims_announceinveshis,,,Incremental - Append,,Lưu lịch sử danh sách NĐT NN ủy quyền CBTT
FIMS,stg_fims_announce,ods_fims_announce,,,Incremental - Append,,Lưu danh sách các tin CB của thành viên thị trường
FIMS,stg_fims_document,ods_fims_document,,,Incremental - Append,,Lưu danh sách tài liệu hệ thống.
FIMS,stg_fims_emailsentsystem,ods_fims_emailsentsystem,,,Incremental - Append,,Lưu danh sách trao đổi thông tin
FIMS,stg_fims_sysemail,ods_fims_sysemail,,,Incremental - Append,,lưu danh sách trao đổi thông tin gửi qua mail
FIMS,stg_fims_systemintegrationconfig,ods_fims_systemintegrationconfig,,,Incremental - Append,,Lưu danh sách cấu hình kết nối hệ
FIMS,stg_fims_systemintegrationdata,ods_fims_systemintegrationdata,,,Incremental - Append,,Lưu dữ liệu kết nối MSS
FMS,stg_fms_agencies,ods_fms_agencies,,,Incremental - Append,,Danh sách đại lý Quỹ đầu tư
FMS,stg_fms_agenciesbra,ods_fms_agenciesbra,,,Incremental - Append,,Danh sách CN/PGD của đại lý Quỹ đầu tư
FMS,stg_fms_agencytype,ods_fms_agencytype,,,Incremental - Append,,Danh sách loại đại lý
FMS,stg_fms_agenfunds,ods_fms_agenfunds,,,Incremental - Append,,Bảng trung gian Map đại lý và quỹ đầu tư
FMS,stg_fms_bankmoni,ods_fms_bankmoni,,,Incremental - Append,,Danh sách ngân hàng lưu ký giám sát (LKGS)
FMS,stg_fms_branches,ods_fms_branches,,,Incremental - Append,,Danh sách CN/VPĐD công ty QLQ trong nước
FMS,stg_fms_brchbup,ods_fms_brchbup,,,Incremental - Append,,Lịch sử chi tiết CN/VPĐD công ty QLQ trong nước
FMS,stg_fms_business,ods_fms_business,,,Incremental - Append,,Danh mục ngành nghề kinh doanh
FMS,stg_fms_calendar,ods_fms_calendar,,,Incremental - Append,,Danh sách lịch làm việc và lịch nghỉ
FMS,stg_fms_certfcate,ods_fms_certfcate,,,Incremental - Append,,Danh sách chứng thư số của thành viên thị trường
FMS,stg_fms_dtscbmn,ods_fms_dtscbmn,,,Incremental - Append,,Phân quyền dữ liệu ngân hàng LKGS cho chuyên viên QLQ
FMS,stg_fms_dtscfnd,ods_fms_dtscfnd,,,Incremental - Append,,Phân quyền dữ liệu QĐT cho chuyên viên vụ QLQ
FMS,stg_fms_dtscfr,ods_fms_dtscfr,,,Incremental - Append,,Phân quyền dữ liệu VPĐD/CN công ty QLQ NN cho chuyên viên
FMS,stg_fms_dtscope,ods_fms_dtscope,,,Incremental - Append,,Phân quyền dữ liệu – phạm vi
FMS,stg_fms_fgbrbup,ods_fms_fgbrbup,,,Incremental - Append,,Lịch sử chi tiết VPĐD/CN công ty QLQ NN tại VN
FMS,stg_fms_fgbusiness,ods_fms_fgbusiness,,,Incremental - Append,,Ngành nghề kinh doanh VPĐD/CN công ty QLQ NN tại VN
FMS,stg_fms_fndbup,ods_fms_fndbup,,,Incremental - Append,,Bản ghi chi tiết lịch sử quỹ đầu tư
FMS,stg_fms_fndsbmn,ods_fms_fndsbmn,,,Incremental - Append,,Bảng trung gian FUNDS & BANKMONI
FMS,stg_fms_forbrch,ods_fms_forbrch,,,Incremental - Append,,Danh sách VPĐD/CN công ty QLQ NN tại VN
FMS,stg_fms_fundhistory,ods_fms_fundhistory,,,Incremental - Append,,Lịch sử quỹ đầu tư
FMS,stg_fms_funds,ods_fms_funds,,,Incremental - Append,,Danh sách quỹ đầu tư chứng khoán
FMS,stg_fms_inves,ods_fms_inves,,,Incremental - Append,,Danh sách nhà đầu tư ủy thác
FMS,stg_fms_invesacc,ods_fms_invesacc,,,Incremental - Append,,Danh sách tài khoản nhà đầu tư ủy thác
FMS,stg_fms_jobtype,ods_fms_jobtype,,,Incremental - Append,,Danh sách loại chức vụ
FMS,stg_fms_location,ods_fms_location,,,Incremental - Append,,Danh sách tỉnh/thành phố
FMS,stg_fms_mbchange,ods_fms_mbchange,,,Incremental - Append,,Lịch sử thay đổi vốn góp nhà đầu tư quỹ
FMS,stg_fms_mbfund,ods_fms_mbfund,,,Incremental - Append,,Danh sách nhà đầu tư quỹ
FMS,stg_fms_menus,ods_fms_menus,,,Incremental - Append,,Danh mục quyền chức năng
FMS,stg_fms_national,ods_fms_national,,,Incremental - Append,,Danh sách quốc gia/quốc tịch
FMS,stg_fms_notification,ods_fms_notification,,,Incremental - Append,,Thông báo hệ thống
FMS,stg_fms_parawarn,ods_fms_parawarn,,,Incremental - Append,,Danh sách tham số cảnh báo
FMS,stg_fms_parvalue,ods_fms_parvalue,,,Incremental - Append,,Danh sách mệnh giá cổ phần
FMS,stg_fms_rank,ods_fms_rank,,,Incremental - Append,,Bảng xếp hạng theo kỳ đánh giá
FMS,stg_fms_ratingpd,ods_fms_ratingpd,,,Incremental - Append,,Danh sách kỳ đánh giá xếp loại
FMS,stg_fms_refreshtoken,ods_fms_refreshtoken,,,Incremental - Append,,Phiên làm việc (Token đăng nhập)
FMS,stg_fms_relation,ods_fms_relation,,,Incremental - Append,,Mối quan hệ cổ đông
FMS,stg_fms_represent,ods_fms_represent,,,Incremental - Append,,Danh sách ban đại diện/HĐQT Quỹ đầu tư
FMS,stg_fms_rnkfacthistory,ods_fms_rnkfacthistory,,,Incremental - Append,,Lưu kết quả các lần lưu bảng tổng hợp đánh giá
FMS,stg_fms_rnkfactor,ods_fms_rnkfactor,,,Incremental - Append,,Bảng chấm điểm đánh giá xếp loại (nhân tố cha/con)
FMS,stg_fms_rnkgrftor,ods_fms_rnkgrftor,,,Incremental - Append,,Bảng trung gian Ranks và RNKFACTOR
FMS,stg_fms_roles,ods_fms_roles,,,Incremental - Append,,Nhóm quyền chức năng
FMS,stg_fms_rolesmenus,ods_fms_rolesmenus,,,Incremental - Append,,Phân quyền menu theo nhóm quyền
FMS,stg_fms_rpthtory,ods_fms_rpthtory,,,Incremental - Append,,Lịch sử thay đổi báo cáo đầu vào
FMS,stg_fms_rptmbhs,ods_fms_rptmbhs,,,Incremental - Append,,Lịch sử báo cáo thành viên
FMS,stg_fms_rptmember,ods_fms_rptmember,,,Incremental - Append,,Báo cáo định kỳ của thành viên thị trường
FMS,stg_fms_rptpdsht,ods_fms_rptpdsht,,,Incremental - Append,,Bảng trung gian SHEETS và RPTPERIOD
FMS,stg_fms_rptperiod,ods_fms_rptperiod,,,Incremental - Append,,Kỳ báo cáo
FMS,stg_fms_rptprocess,ods_fms_rptprocess,,,Incremental - Append,,Lịch sử xử lý báo cáo thành viên
FMS,stg_fms_rpttemp,ods_fms_rpttemp,,,Incremental - Append,,Danh sách biểu mẫu báo cáo đầu vào
FMS,stg_fms_rpttpout,ods_fms_rpttpout,,,Incremental - Append,,Danh sách biểu mẫu báo cáo đầu ra
FMS,stg_fms_rptvalues,ods_fms_rptvalues,,,Incremental - Append,,Báo cáo giá trị – lưu dữ liệu import
FMS,stg_fms_secbup,ods_fms_secbup,,,Incremental - Append,,Lịch sử chi tiết công ty QLQ (2 bản ghi trước/sau)
FMS,stg_fms_secbusines,ods_fms_secbusines,,,Incremental - Append,,Ngành nghề kinh doanh của công ty QLQ
FMS,stg_fms_sechistory,ods_fms_sechistory,,,Incremental - Append,,Lịch sử thông tin công ty QLQ
FMS,stg_fms_securities,ods_fms_securities,,,Incremental - Append,,Danh sách công ty QLQ trong nước
FMS,stg_fms_securitiesreport,ods_fms_securitiesreport,,,Incremental - Append,,Thiết lập hiển thị báo cáo công ty QLQ
FMS,stg_fms_selfsetpd,ods_fms_selfsetpd,,,Incremental - Append,,Thành viên tự thiết lập gửi báo cáo
FMS,stg_fms_sheet,ods_fms_sheet,,,Incremental - Append,,Danh sách sheet báo cáo đầu vào
FMS,stg_fms_sheetout,ods_fms_sheetout,,,Incremental - Append,,Danh sách sheet báo cáo đầu ra
FMS,stg_fms_stake,ods_fms_stake,,,Incremental - Append,,Danh sách các bên liên quan
FMS,stg_fms_status,ods_fms_status,,,Incremental - Append,,Danh sách trạng thái hoạt động
FMS,stg_fms_stffgbrch,ods_fms_stffgbrch,,,Incremental - Append,,Danh sách nhân sự VPĐD/CN công ty QLQ NN
FMS,stg_fms_stockholdertype,ods_fms_stockholdertype,,,Incremental - Append,,Danh sách loại hình NĐT/cổ đông
FMS,stg_fms_sttrgtout,ods_fms_sttrgtout,,,Incremental - Append,,Cấu hình lấy dữ liệu báo cáo đầu ra
FMS,stg_fms_sysemail,ods_fms_sysemail,,,Incremental - Append,,Nội dung trao đổi thông tin
FMS,stg_fms_sysvar,ods_fms_sysvar,,,Incremental - Append,,Danh sách tham số hệ thống
FMS,stg_fms_tabsinfo,ods_fms_tabsinfo,,,Incremental - Append,,Thiết lập hiển thị dữ liệu
FMS,stg_fms_tlprhistory,ods_fms_tlprhistory,,,Incremental - Append,,Lịch sử nhân sự
FMS,stg_fms_tlprobup,ods_fms_tlprobup,,,Incremental - Append,,Chi tiết lịch sử nhân sự (2 bản ghi trước/sau)
FMS,stg_fms_tlprofiles,ods_fms_tlprofiles,,,Incremental - Append,,Danh sách nhân sự công ty QLQ
FMS,stg_fms_totsttg,ods_fms_totsttg,,,Incremental - Append,,Bảng trung gian Cấu hình dữ liệu đầu ra với ô dữ liệu
FMS,stg_fms_tpouthtory,ods_fms_tpouthtory,,,Incremental - Append,,Lịch sử thay đổi báo cáo đầu ra
FMS,stg_fms_transfermbf,ods_fms_transfermbf,,,Incremental - Append,,Danh sách giao dịch chứng chỉ quỹ
FMS,stg_fms_trsferinder,ods_fms_trsferinder,,,Incremental - Append,,Danh sách giao dịch chuyển nhượng cổ phần
FMS,stg_fms_userrpto,ods_fms_userrpto,,,Incremental - Append,,Phân quyền người dùng UBCK với báo cáo đầu ra
FMS,stg_fms_users,ods_fms_users,,,Incremental - Append,,Quản lý người dùng hệ thống
FMS,stg_fms_usersessions,ods_fms_usersessions,,,Incremental - Append,,Quản lý tài khoản đang truy cập
FMS,stg_fms_usersmenus,ods_fms_usersmenus,,,Incremental - Append,,Phân quyền chức năng cho người dùng
FMS,stg_fms_violt,ods_fms_violt,,,Incremental - Append,,Danh sách vi phạm
GSGD,stg_gsgd_investor_account,ods_gsgd_investor_account,,,Incremental - Append,,Thông tin tài khoản nhà đầu tư
GSGD,stg_gsgd_investor_account_history,ods_gsgd_investor_account_history,,,Incremental - Append,,Lịch sử thay đổi tài khoản
GSGD,stg_gsgd_account_financial_service,ods_gsgd_account_financial_service,,,Incremental - Append,,Dịch vụ tài chính của tài khoản
GSGD,stg_gsgd_account_authorization,ods_gsgd_account_authorization,,,Incremental - Append,,Thông tin ủy quyền tài khoản
GSGD,stg_gsgd_account_group,ods_gsgd_account_group,,,Incremental - Append,,Nhóm tài khoản
GSGD,stg_gsgd_account_group_member,ods_gsgd_account_group_member,,,Incremental - Append,,Thành viên nhóm tài khoản
GSGD,stg_gsgd_account_group_history,ods_gsgd_account_group_history,,,Incremental - Append,,Lịch sử thay đổi nhóm tài khoản
GSGD,stg_gsgd_account_relationship,ods_gsgd_account_relationship,,,Incremental - Append,,Mối quan hệ giữa các tài khoản
GSGD,stg_gsgd_company_event,ods_gsgd_company_event,,,Incremental - Append,,Sự kiện tổ chức niêm yết
GSGD,stg_gsgd_company_event_history,ods_gsgd_company_event_history,,,Incremental - Append,,Lịch sử thay đổi sự kiện tổ chức niêm yết
GSGD,stg_gsgd_securities_group,ods_gsgd_securities_group,,,Incremental - Append,,Nhóm chứng khoán
GSGD,stg_gsgd_securities_group_member,ods_gsgd_securities_group_member,,,Incremental - Append,,Thành viên nhóm chứng khoán
GSGD,stg_gsgd_securities_group_history,ods_gsgd_securities_group_history,,,Incremental - Append,,Lịch sử thay đổi nhóm chứng khoán
GSGD,stg_gsgd_case_file,ods_gsgd_case_file,,,Incremental - Append,,Vụ việc
GSGD,stg_gsgd_case_attach_file,ods_gsgd_case_attach_file,,,Incremental - Append,,File đính kèm vụ việc
GSGD,stg_gsgd_case_file_workflow,ods_gsgd_case_file_workflow,,,Incremental - Append,,Quy trình xử lý vụ việc
GSGD,stg_gsgd_case_approval_step,ods_gsgd_case_approval_step,,,Incremental - Append,,Tiến trình gửi duyệt vụ việc
GSGD,stg_gsgd_suspicious_account,ods_gsgd_suspicious_account,,,Incremental - Append,,Tài khoản nghi vấn
GSGD,stg_gsgd_suspicious_account_group,ods_gsgd_suspicious_account_group,,,Incremental - Append,,Nhóm tài khoản nghi vấn
GSGD,stg_gsgd_analysis_report,ods_gsgd_analysis_report,,,Incremental - Append,,Báo cáo phân tích
GSGD,stg_gsgd_analysis_attribute_define,ods_gsgd_analysis_attribute_define,,,Incremental - Append,,Định nghĩa tiêu chí/công thức phân tích vụ việc
GSGD,stg_gsgd_analysis_attribute_value,ods_gsgd_analysis_attribute_value,,,Incremental - Append,,Giá trị tiêu chí phân tích theo từng vụ việc/quy trình
GSGD,stg_gsgd_analysis_define_report_template,ods_gsgd_analysis_define_report_template,,,Incremental - Append,,Tham số cấu hình các biểu mẫu báo cáo
GSGD,stg_gsgd_analysis_execution_log,ods_gsgd_analysis_execution_log,,,Incremental - Append,,Thông tin trạng thái phân tích quy trình của từng biểu mẫu
