bcv_core_object,atomic_entity,atomic_table,atomic_attribute,atomic_column,description,data_domain,data_type,nullable,is_primary_key,source_system,ods_table,ods_column,comment,classification_context,etl_derived_value
Arrangement,Disclosure Authorization,dscl_ahr,Created Timestamp,crt_tms,Ngày tạo bản ghi.,Timestamp,timestamp,True,False,FIMS,ods_fims_authoannounce,datecreated,,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Disclosure Authorization,dscl_ahr,Updated Timestamp,udt_tms,Ngày cập nhật bản ghi.,Timestamp,timestamp,True,False,FIMS,ods_fims_authoannounce,datemodified,,Source System Code = 'FIMS_AUTHOANNOUNCE',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Discretionary Investment Account Id,dscr_ivsm_ac_id,Khóa đại diện cho hợp đồng ủy thác quản lý danh mục.,Surrogate Key,string,False,True,FMS,ods_fms_invesacc,,PK surrogate.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Discretionary Investment Account Code,dscr_ivsm_ac_code,Mã định danh tài khoản ủy thác. Map từ PK bảng nguồn.,Text,string,False,False,FMS,ods_fms_invesacc,id,BK chính.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Source System Code,src_stm_code,Mã nguồn dữ liệu.,Classification Value,string,False,False,FMS,ods_fms_invesacc,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Discretionary Investment Investor Id,dscr_ivsm_ivsr_id,FK đến nhà đầu tư ủy thác.,Surrogate Key,string,False,False,FMS,ods_fms_invesacc,invesid,FK target: Discretionary Investment Investor.Discretionary Investment Investor Id.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Discretionary Investment Investor Code,dscr_ivsm_ivsr_code,Mã nhà đầu tư ủy thác.,Text,string,False,False,FMS,ods_fms_invesacc,invesid,Lookup pair: Discretionary Investment Investor.Discretionary Investment Investor Code. Pair with Discretionary Investment Investor Id.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Account Number,ac_nbr,Số tài khoản ủy thác.,Text,string,True,False,FMS,ods_fms_invesacc,account,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Account Place,ac_plc,Nơi lưu ký tài khoản.,Text,string,True,False,FMS,ods_fms_invesacc,accplace,Cần xác nhận: có phải FK đến Custodian Bank không? Tạm giữ dạng Text.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Contract Number,ctr_nbr,Số hợp đồng ủy thác quản lý danh mục.,Text,string,True,False,FMS,ods_fms_invesacc,contractno,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Committed Capital Amount,cmmt_cptl_amt,Quy mô vốn ủy thác cam kết (VNĐ).,Currency Amount,"decimal(23,2)",True,False,FMS,ods_fms_invesacc,actscale,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Actual Capital Amount,act_cptl_amt,Quy mô vốn ủy thác thực tế (VNĐ).,Currency Amount,"decimal(23,2)",True,False,FMS,ods_fms_invesacc,adscale,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Management Fee Rate,mgt_fee_rate,Phí quản lý theo điều khoản hợp đồng (%).,Percentage,"decimal(5,2)",True,False,FMS,ods_fms_invesacc,managerfee,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Life Cycle Status Code,lcs_code,Trạng thái hợp đồng ủy thác.,Classification Value,string,True,False,FMS,ods_fms_invesacc,status,Scheme: LIFE_CYCLE_STATUS.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Report Date,rpt_dt,Ngày báo cáo.,Date,date,True,False,FMS,ods_fms_invesacc,datereport,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Created By,crt_by,Người tạo bản ghi.,Text,string,True,False,FMS,ods_fms_invesacc,createdby,Mã người dùng hệ thống — denormalized.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Created Timestamp,crt_tms,Ngày tạo bản ghi.,Timestamp,timestamp,True,False,FMS,ods_fms_invesacc,datecreated,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,dscr_ivsm_ac,Updated Timestamp,udt_tms,Ngày cập nhật bản ghi.,Timestamp,timestamp,True,False,FMS,ods_fms_invesacc,datemodified,,Source System Code = 'FMS_INVESACC',
Arrangement,Foreign Investor Securities Account,frgn_ivsr_scr_ac,Foreign Investor Securities Account Id,frgn_ivsr_scr_ac_id,Khóa đại diện cho tài khoản giao dịch chứng khoán.,Surrogate Key,string,False,True,FIMS,ods_fims_securitiesaccount,,PK surrogate.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,frgn_ivsr_scr_ac,Foreign Investor Securities Account Code,frgn_ivsr_scr_ac_code,Mã tài khoản. Map từ PK bảng nguồn.,Text,string,False,False,FIMS,ods_fims_securitiesaccount,id,BK chính.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,frgn_ivsr_scr_ac,Source System Code,src_stm_code,Mã nguồn dữ liệu.,Classification Value,string,False,False,FIMS,ods_fims_securitiesaccount,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,frgn_ivsr_scr_ac,Securities Company Id,scr_co_id,FK đến công ty chứng khoán nơi mở tài khoản.,Surrogate Key,string,False,False,FIMS,ods_fims_securitiesaccount,secid,FK target: Securities Company.Securities Company Id.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,frgn_ivsr_scr_ac,Securities Company Code,scr_co_code,Mã công ty chứng khoán nơi mở tài khoản.,Text,string,False,False,FIMS,ods_fims_securitiesaccount,secid,Lookup pair: Securities Company.Securities Company Code. Pair with Securities Company Id.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,frgn_ivsr_scr_ac,Foreign Investor Id,frgn_ivsr_id,FK đến nhà đầu tư nước ngoài chủ tài khoản.,Surrogate Key,string,False,False,FIMS,ods_fims_securitiesaccount,invesid,FK target: Foreign Investor.Foreign Investor Id.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,frgn_ivsr_scr_ac,Foreign Investor Code,frgn_ivsr_code,Mã nhà đầu tư nước ngoài chủ tài khoản.,Text,string,False,False,FIMS,ods_fims_securitiesaccount,invesid,Lookup pair: Foreign Investor.Foreign Investor Code. Pair with Foreign Investor Id.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,frgn_ivsr_scr_ac,Account Number,ac_nbr,Số tài khoản giao dịch chứng khoán.,Text,string,False,False,FIMS,ods_fims_securitiesaccount,account,,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Stock Portfolio Snapshot,frgn_ivsr_stk_prtfl_snpst,Foreign Investor Stock Portfolio Snapshot Id,frgn_ivsr_stk_prtfl_snpst_id,Khóa đại diện cho vị thế sở hữu chứng khoán.,Surrogate Key,string,False,True,FIMS,ods_fims_categoriesstock,,PK surrogate.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,frgn_ivsr_stk_prtfl_snpst,Foreign Investor Stock Portfolio Snapshot Code,frgn_ivsr_stk_prtfl_snpst_code,Mã vị thế. Map từ PK bảng nguồn.,Text,string,False,False,FIMS,ods_fims_categoriesstock,id,BK chính.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,frgn_ivsr_stk_prtfl_snpst,Source System Code,src_stm_code,Mã nguồn dữ liệu.,Classification Value,string,False,False,FIMS,ods_fims_categoriesstock,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,frgn_ivsr_stk_prtfl_snpst,Securities Company Id,scr_co_id,FK đến công ty chứng khoán lưu giữ danh mục.,Surrogate Key,string,False,False,FIMS,ods_fims_categoriesstock,secid,FK target: Securities Company.Securities Company Id.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,frgn_ivsr_stk_prtfl_snpst,Securities Company Code,scr_co_code,Mã công ty chứng khoán lưu giữ danh mục.,Text,string,False,False,FIMS,ods_fims_categoriesstock,secid,Lookup pair: Securities Company.Securities Company Code. Pair with Securities Company Id.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,frgn_ivsr_stk_prtfl_snpst,Foreign Investor Id,frgn_ivsr_id,FK đến nhà đầu tư nước ngoài sở hữu danh mục.,Surrogate Key,string,False,False,FIMS,ods_fims_categoriesstock,invesid,FK target: Foreign Investor.Foreign Investor Id.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,frgn_ivsr_stk_prtfl_snpst,Foreign Investor Code,frgn_ivsr_code,Mã nhà đầu tư nước ngoài sở hữu danh mục.,Text,string,False,False,FIMS,ods_fims_categoriesstock,invesid,Lookup pair: Foreign Investor.Foreign Investor Code. Pair with Foreign Investor Id.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,frgn_ivsr_stk_prtfl_snpst,Quantity,qty,Số lượng chứng khoán sở hữu.,Small Counter,int,True,False,FIMS,ods_fims_categoriesstock,quantity,,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,frgn_ivsr_stk_prtfl_snpst,Ownership Rate,own_rate,Tỷ lệ % sở hữu chứng khoán.,Percentage,"decimal(5,2)",True,False,FIMS,ods_fims_categoriesstock,rate,,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,Investor Account Relationship Id,ivsr_ac_rltnp_id,Khóa đại diện cho mối quan hệ giữa các tài khoản nhà đầu tư.,Surrogate Key,string,False,True,GSGD,ods_gsgd_account_relationship,,,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,Investor Account Relationship Code,ivsr_ac_rltnp_code,PK kỹ thuật từ bảng nguồn. BK.,Text,string,False,False,GSGD,ods_gsgd_account_relationship,id,BK chính. Map từ PK nguồn.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,Source System Code,src_stm_code,Mã nguồn dữ liệu.,Classification Value,string,False,False,GSGD,ods_gsgd_account_relationship,,,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,First Investor Trading Account Id,frst_ivsr_tdg_ac_id,FK đến tài khoản giao dịch thứ nhất.,Surrogate Key,string,False,False,GSGD,ods_gsgd_account_relationship,account_id_1,FK target: Investor Trading Account.Investor Trading Account Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,First Investor Trading Account Code,frst_ivsr_tdg_ac_code,Mã tài khoản giao dịch thứ nhất. Denormalized.,Text,string,False,False,GSGD,ods_gsgd_account_relationship,account_id_1,Lookup pair: Investor Trading Account.Investor Trading Account Code. Pair with First Investor Trading Account Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,Second Investor Trading Account Id,scd_ivsr_tdg_ac_id,FK đến tài khoản giao dịch thứ hai.,Surrogate Key,string,False,False,GSGD,ods_gsgd_account_relationship,account_id_2,FK target: Investor Trading Account.Investor Trading Account Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,Second Investor Trading Account Code,scd_ivsr_tdg_ac_code,Mã tài khoản giao dịch thứ hai. Denormalized.,Text,string,False,False,GSGD,ods_gsgd_account_relationship,account_id_2,Lookup pair: Investor Trading Account.Investor Trading Account Code. Pair with Second Investor Trading Account Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,Account Investor Group Id,ac_ivsr_grp_id,FK đến nhóm tài khoản.,Surrogate Key,string,True,False,GSGD,ods_gsgd_account_relationship,account_group_id,FK target: Account Investor Group.Account Investor Group Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,Account Investor Group Code,ac_ivsr_grp_code,Mã nhóm tài khoản. Denormalized.,Text,string,True,False,GSGD,ods_gsgd_account_relationship,account_group_id,Lookup pair: Account Investor Group.Account Investor Group Code. Pair with Account Investor Group Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,Relation Type Code,relation_tp_code,Loại quan hệ (Danh tính / IP / MAC / Tiền).,Classification Value,string,True,False,GSGD,ods_gsgd_account_relationship,category_item_id,Scheme: GSGD_ACCOUNT_RELATION_TYPE. FK suy luận → category_item.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,Relationship Value,rltnp_val,"Giá trị quan hệ (IP address, MAC address, etc.).",Text,string,True,False,GSGD,ods_gsgd_account_relationship,relationship_value,,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,ivsr_ac_rltnp,Strength,strength,Độ mạnh quan hệ (1-100). Điểm tính — không phải %.,Small Counter,int,True,False,GSGD,ods_gsgd_account_relationship,strength,,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Investor Trading Account Id,ivsr_tdg_ac_id,Khóa đại diện cho tài khoản giao dịch chứng khoán.,Surrogate Key,string,False,True,GSGD,ods_gsgd_investor_account,,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Investor Trading Account Code,ivsr_tdg_ac_code,Số tài khoản (từ VSDC). BK.,Text,string,False,False,GSGD,ods_gsgd_investor_account,account_code,BK chính.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Source System Code,src_stm_code,Mã nguồn dữ liệu.,Classification Value,string,False,False,GSGD,ods_gsgd_investor_account,,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Account Name,ac_nm,Họ và tên nhà đầu tư.,Text,string,True,False,GSGD,ods_gsgd_investor_account,account_name,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Investor Type Code,ivsr_tp_code,"Loại hình NĐT: 1=Cá nhân, 2=Tổ chức.",Classification Value,string,True,False,GSGD,ods_gsgd_investor_account,investor_type,Scheme: GSGD_INVESTOR_TYPE.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Open Date,opn_dt,Ngày mở tài khoản.,Date,date,True,False,GSGD,ods_gsgd_investor_account,open_date,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Close Date,cls_dt,Ngày đóng tài khoản.,Date,date,True,False,GSGD,ods_gsgd_investor_account,close_date,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Account Status Code,ac_st_code,"Trạng thái: 0=Đóng, 1=Mở.",Classification Value,string,True,False,GSGD,ods_gsgd_investor_account,account_status,Scheme: GSGD_ACCOUNT_STATUS.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Domestic Foreign Flag,dmst_frgn_f,"Trong nước/Nước ngoài: 0=Trong nước, 1=Nước ngoài.",Classification Value,string,True,False,GSGD,ods_gsgd_investor_account,domestic_foreign_flag,Scheme: GSGD_DOMESTIC_FOREIGN_FLAG.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Nationality,nat,Quốc tịch. Lưu dạng text denormalized — không có bảng lookup địa lý trong scope GSGD.,Text,string,True,False,GSGD,ods_gsgd_investor_account,nationality,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Date of Birth,dob,"Ngày tháng năm sinh/ngày thành lập DN (từ CTCK, có thể sửa).",Date,date,True,False,GSGD,ods_gsgd_investor_account,date_of_birth,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Legal Representative,lgl_rprs,"Người đại diện theo pháp luật (từ CTCK, có thể sửa).",Text,string,True,False,GSGD,ods_gsgd_investor_account,legal_representative,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Identity Number,id_nbr,Số CCCD/Số đăng ký sở hữu. Denormalized — grain = 1 tài khoản.,Text,string,True,False,GSGD,ods_gsgd_investor_account,identity_number,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Identity Issue Date,id_issu_dt,Ngày cấp giấy tờ định danh.,Date,date,True,False,GSGD,ods_gsgd_investor_account,identity_issue_date,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Identity Issue Place,id_issu_plc,Nơi cấp giấy tờ định danh.,Text,string,True,False,GSGD,ods_gsgd_investor_account,identity_issue_place,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Contact Address,ctc_adr,"Địa chỉ liên lạc (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,string,True,False,GSGD,ods_gsgd_investor_account,contact_address,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Permanent Address,perm_adr,"Địa chỉ thường trú (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,string,True,False,GSGD,ods_gsgd_investor_account,permanent_address,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Phone Number,ph_nbr,"Số điện thoại (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,string,True,False,GSGD,ods_gsgd_investor_account,phone_number,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Email,email,"Email (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,string,True,False,GSGD,ods_gsgd_investor_account,email,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Bank Account Holder Name,bnk_ac_hldr_nm,"Tên chủ tài khoản ngân hàng (từ CTCK, có thể sửa).",Text,string,True,False,GSGD,ods_gsgd_investor_account,bank_account_holder_name,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Bank Account Number,bnk_ac_nbr,"Số tài khoản ngân hàng (từ CTCK, có thể sửa).",Text,string,True,False,GSGD,ods_gsgd_investor_account,bank_account_number,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Bank Account Name,bnk_ac_nm,"Tên ngân hàng (từ CTCK, có thể sửa).",Text,string,True,False,GSGD,ods_gsgd_investor_account,bank_account_name,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Margin Account Open Date,mrgn_ac_opn_dt,Ngày mở tài khoản ký quỹ.,Date,date,True,False,GSGD,ods_gsgd_investor_account,margin_account_open_date,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Margin Service Enabled,mrgn_svc_enabled,Dịch vụ tài chính sử dụng — Ký quỹ.,Boolean,boolean,True,False,GSGD,ods_gsgd_investor_account,margin_service_enabled,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Advance Payment Service Enabled,advnc_pymt_svc_enabled,Dịch vụ tài chính sử dụng — Ứng trước tiền bán.,Boolean,boolean,True,False,GSGD,ods_gsgd_investor_account,advance_payment_service_enabled,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Account Authorization Enabled,ac_ahr_enabled,Dịch vụ tài chính sử dụng — Hợp đồng tài chính khác.,Boolean,boolean,True,False,GSGD,ods_gsgd_investor_account,account_authorization_enabled,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Authorized Person Name,authorized_psn_nm,Người nhận ủy quyền (denormalized từ account_authorization).,Text,string,True,False,GSGD,ods_gsgd_investor_account,authorized_person_name,Lưu ý: tách sang entity Investor Trading Account Authorization ở Tier 2. Trường này là snapshot denormalized trên account.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Authorization Date,ahr_dt,Ngày nhận ủy quyền (denormalized từ account_authorization).,Date,date,True,False,GSGD,ods_gsgd_investor_account,authorization_date,Lưu ý: tách sang entity Investor Trading Account Authorization ở Tier 2. Trường này là snapshot denormalized trên account.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Approval Status Code,aprv_st_code,Trạng thái phê duyệt tài khoản.,Classification Value,string,True,False,GSGD,ods_gsgd_investor_account,approval_status,Scheme: GSGD_APPROVAL_STATUS.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Data Source Code,data_src_code,"Nguồn dữ liệu chính: VSDC, CTCK.",Classification Value,string,True,False,GSGD,ods_gsgd_investor_account,data_source,Scheme: GSGD_DATA_SOURCE. Cần profile giá trị thực tế.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,ivsr_tdg_ac,Last Modified Date,last_mod_dt,Ngày thay đổi thông tin lần cuối.,Date,date,True,False,GSGD,ods_gsgd_investor_account,last_modified_date,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account Authorization,ivsr_tdg_ac_ahr,Investor Trading Account Authorization Id,ivsr_tdg_ac_ahr_id,Khóa đại diện cho ủy quyền tài khoản giao dịch.,Surrogate Key,string,False,True,GSGD,ods_gsgd_account_authorization,,,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,ivsr_tdg_ac_ahr,Investor Trading Account Authorization Code,ivsr_tdg_ac_ahr_code,PK kỹ thuật từ bảng nguồn. BK.,Text,string,False,False,GSGD,ods_gsgd_account_authorization,id,BK chính. Map từ PK nguồn.,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,ivsr_tdg_ac_ahr,Source System Code,src_stm_code,Mã nguồn dữ liệu.,Classification Value,string,False,False,GSGD,ods_gsgd_account_authorization,,,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,ivsr_tdg_ac_ahr,Investor Trading Account Id,ivsr_tdg_ac_id,FK đến tài khoản giao dịch chứng khoán.,Surrogate Key,string,False,False,GSGD,ods_gsgd_account_authorization,account_id,FK target: Investor Trading Account.Investor Trading Account Id.,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,ivsr_tdg_ac_ahr,Investor Trading Account Code,ivsr_tdg_ac_code,Mã tài khoản giao dịch. Denormalized.,Text,string,False,False,GSGD,ods_gsgd_account_authorization,account_id,Lookup pair: Investor Trading Account.Investor Trading Account Code. Pair with Investor Trading Account Id.,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,ivsr_tdg_ac_ahr,Authorized Person Name,authorized_psn_nm,Người nhận ủy quyền.,Text,string,True,False,GSGD,ods_gsgd_account_authorization,authorized_person_name,,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,ivsr_tdg_ac_ahr,Authorization Date,ahr_dt,Ngày nhận ủy quyền.,Date,date,True,False,GSGD,ods_gsgd_account_authorization,authorization_date,,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Financial Service,ivsr_tdg_ac_fnc_svc,Investor Trading Account Financial Service Id,ivsr_tdg_ac_fnc_svc_id,Khóa đại diện cho dịch vụ tài chính của tài khoản.,Surrogate Key,string,False,True,GSGD,ods_gsgd_account_financial_service,,,Source System Code = 'GSGD_account_financial_service',
