source_system,table_name,staging_table,column_name,data_type,description,pk/fk
DCST,GOI_TIN,stg_dcst_goi_tin,LOAI,,1. Gói tin đến; 2. Gói tin đi,
DCST,GOI_TIN,stg_dcst_goi_tin,DON_VI_TRUYEN,,1. TCT; 2. UBCKNN,
DCST,GOI_TIN,stg_dcst_goi_tin,DON_VI_NHAN,,1. TCT; 2. UBCKNN,
DCST,GOI_TIN,stg_dcst_goi_tin,NGUOI_GUI,,Người gửi,
DCST,GOI_TIN,stg_dcst_goi_tin,TRANG_THAI,,"Trạng thái gói tin:
1. Chưa tiếp nhận; 2. Đã tiếp nhận; 3. Đã gửi; 4. Lỗi;  5. Mới tạo;  6. Đợi phản hồi 7. Message gửi TCT",
DCST,GOI_TIN,stg_dcst_goi_tin,NOI_DUNG,,Nội dung XML gửi/ nhận,
DCST,GOI_TIN,stg_dcst_goi_tin,MO_TA,,Mô tả,
DCST,GOI_TIN,stg_dcst_goi_tin,NGAY_GUI,,Ngày gửi,
DCST,GOI_TIN,stg_dcst_goi_tin,NGAY_TIEP_NHAN,,Ngày tiếp nhận,
DCST,GOI_TIN,stg_dcst_goi_tin,VERSION,,Phiên bản,
DCST,GOI_TIN,stg_dcst_goi_tin,SENDER_CODE,,Mã hệ thống gửi,
DCST,GOI_TIN,stg_dcst_goi_tin,SENDER_NAME,,Tên hệ thống gửi,
DCST,GOI_TIN,stg_dcst_goi_tin,RECEIVER_CODE,,Mã hệ thống nhận,
DCST,GOI_TIN,stg_dcst_goi_tin,RECEIVER_NAME,,Tên hệ thống nhận,
DCST,GOI_TIN,stg_dcst_goi_tin,TRAN_CODE,,Mã TRAN_CODE,
DCST,GOI_TIN,stg_dcst_goi_tin,MSG_ID,,Message ID,
DCST,GOI_TIN,stg_dcst_goi_tin,MSG_REFID,,,
DCST,GOI_TIN,stg_dcst_goi_tin,ID_LINK,,,
DCST,GOI_TIN,stg_dcst_goi_tin,ORIGINAL_CODE,,,
DCST,GOI_TIN,stg_dcst_goi_tin,ORIGINAL_NAME,,,
DCST,GOI_TIN,stg_dcst_goi_tin,ORIGINAL_DATE,,,
DCST,GOI_TIN,stg_dcst_goi_tin,ERROR_CODE,,,
DCST,GOI_TIN,stg_dcst_goi_tin,ERROR_DESC,,,
DCST,GOI_TIN,stg_dcst_goi_tin,SPARE1,,,
DCST,GOI_TIN,stg_dcst_goi_tin,SPARE2,,,
DCST,GOI_TIN,stg_dcst_goi_tin,SPARE3,,,
DCST,KIEM_TOAN_VIEN,stg_dcst_kiem_toan_vien,ID,,,PK
DCST,KIEM_TOAN_VIEN,stg_dcst_kiem_toan_vien,CONG_TY_KIEM_TOAN_ID,,ID Công ty kiểm toán,FK
DCST,KIEM_TOAN_VIEN,stg_dcst_kiem_toan_vien,TEN_KTV,,Tên kiểm toán viên,
DCST,KIEM_TOAN_VIEN,stg_dcst_kiem_toan_vien,SO_GCN,,Số giấy chứng nhận đăng ký hành nghề,
DCST,KIEM_TOAN_VIEN,stg_dcst_kiem_toan_vien,NGAY_CT,,Ngày chấp thuận,
DCST,KIEM_TOAN_VIEN,stg_dcst_kiem_toan_vien,NGAY_HUY_CT,,Ngày hủy chấp thuận,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,ID,,,PK
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,GOI_TIN_ID,,ID gói tin,FK
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TEN_NGUOI_NOP,,Tên người nộp thuế,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,MA_SO_THUE,,Mã số thuế,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,DIA_CHI_TSC,,Địa chỉ trụ sở chính,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,DIEN_THOAI,,Điện thoại,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,FAX,,Fax,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,VON_DIEU_LE,,Vốn điều lệ,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,NGANH_NGHE_KD,,Ngành nghề kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,SO_GIAY_PHEP,,Số giấy phép thành lập,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,NGAY_CAP,,Ngày cấp,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,CO_QUAN_CAP,,Cơ quan cấp giấy phép thành lập,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,SO_QUYET_DINH,,Số quyết định thành lập,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,NGAY_BAN_HANH,,Ngày ban hành quyết định,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,CO_QUAN_BAN_HANH,,Cơ quan ban hành quyết định thành lập,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,DON_VI_CHU_QUAN,,Đơn vị chủ quan/ đơn vị quản lý trực thuộc,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,NGAY_BD_HDKD,,Ngày bắt đầu hoạt động kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TEN_NGUOI_DAI_DIEN_KD,,Tên người đại diện kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,SO_CMT,,Số CMT/ hộ chiếu người đại diện theo pháp luật/ chủ doanh nghiệp tư nhân,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,SO_DIEN_THOAI,,Số ĐT người đại diện theo pháp luật/ chủ doanh nghiệp tư nhân,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TEN_GIAM_DOC,,Tên giám đốc/ tổng giám đốc,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,SO_DIEN_THOAI_GD,,Số điện thoại giám đốc/ tổng giám đốc,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TRANG_THAI_HOAT_DONG,,"Trạng thái hoạt động:
00, 04: Đang hoạt động; 01: Tổ chức ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực mã số thuế; 03: Tổ chức ngừng hoạt động nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực mã số thuế; 05: Ngừng kinh doanh có thời hạn; 06: Không hoạt động tại địa chỉ đã đăng ký",
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,LY_DO_NGUNG_HOAT_DONG,,Lý do ngừng hoạt động,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,LOAI_NGUNG_HOAT_DONG,,"Loạt ngừng hoạt động:
1. Giải thể ; 2. Phá sản; 3. Chuyển đổi loại hình doanh nghiệp, tổ chức sắp xếp loại doanh nghiệp; 4. Cho làm thủ tục giải thể; 5. Cho làm thủ tục phá sản; 6. Cho làm thủ tục tổ chức lại tổ chức kinh tế; 7. Bị thu hồi giấy phép hoạt động; 8. Đóng theo đơn vị chủ quản (đối với MST 13 số); 9. Khác",
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,CO_QUAN_QUAN_LY_TRUC_TIEP,,Cơ quan quản lý trực tiếp,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,MA_CQQL_QLT,,Mã cơ quan quản lý thuế,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,LOAITIEN_VON_DL_VN,,Loại tiền vốn điều lệ,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,SOTIEN_VON_DL_NN,,Vốn điều lệ nước ngoài,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,LOAITIEN_VON_DL_NN,,Loại tiền vốn điều lệ nước ngoài,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,DVCQ_VN_DIACHI,,Địa chỉ đơn vị chủ quản,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,MOTA_DIACHI_KD,,Mô tả địa chỉ -  kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,MA_TINH_KD,,Mã tỉnh - kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,MA_HUYEN_KD,,Mã huyện - kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,MA_XA_KD,,Mã xã - kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,DIEN_THOAI_KD,,Điện thoại - kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,EMAIL_KD,,Email - kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,FAX_KD,,Fax - kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TAM_NGHI_TU_NGAY,,Tạm nghỉ/Từ ngày,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TAM_NGHI_DEN_NGAY,,Tạm nghỉ/Đến ngày,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TAM_NGHI_LY_DO,,Lý do tạm nghỉ,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TAM_NGHI_SO_TBAO,,Số thông báo - tạm nghỉ,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TAM_NGHI_NGAY_TB_NNT,,Ngày thông báo  - tạm nghỉ,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,NGUNG_HD_NGAY,,Ngày ngừng hoạt động,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,NGUNG_HD_LY_DO,,Lý do ngừng hoạt động,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,NGUNG_HD_GHI_CHU,,Ghi chú ngừng hoạt động,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,NGUNG_HD_SO_TBAO,,Số thông báo ngừng hoạt động,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TEN_TRANG_THAI,,Tên trạng thái người nộp thuế,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,MA_NGANH,,Mã ngành nghề kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TEN_TINH_KD,,Tên tỉnh - Kinh doanh,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TEN_HUYEN_KD,,Tên huyện - KD,
DCST,THONG_TIN_DK_THUE,stg_dcst_thong_tin_dk_thue,TEN_XA,,Tên xã - KD,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,ID,,,PK
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,SO_QD_GD,,Số quyết định xử phạt,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,NGAY_QD,,Ngày quyết định xử phạt,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,TEN,,Tên đối tượng bị xử phạt,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,DIA_CHI,,Địa chỉ trụ sở chính,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,LV_HD,,Lĩnh vực hoạt động,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,MST,,Mã số thuế,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,TEN_NDD,,Tên người đại diện pháp luật,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,HANH_VI,,Hành vi vi phạm,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,SO_TIEN,,Số tiền xử phạt,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,HINH_THUC,,Hình thức xử phạt bổ sung,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,BIEN_PHAP,,Biện pháp khắc phục hậu quả,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,GOI_TIN_ID,,ID gói tin,FK
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,NGAY_CAP,,Ngày cấp,
DCST,UBCK_XU_PHAT,stg_dcst_ubck_xu_phat,NOI_CAP,,Nơi cấp,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,ID,,,PK
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,MA_DVU,,Mã dịch vụ,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,TEN_DVU,,Tên dịch vụ,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,PHIEN_BAN_DVU,,Phiên bản dịch vụ,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,TT_NHACC_DVU,,Thông tin nhà cung cấp dịch vụ,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,MA_TKHAI,,Mã tờ khai,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,TEN_TKHAI,,Tên tờ khai,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,MO_TA_BMAU,,Mô tả biểu mẫu,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,PBAN_TKHAI_XML,,Phiên bản tờ khai XML,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,LOAI_TKHAI,,Loại tờ khai,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,SO_LAN,,Số lần,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,KIEU_KY,,Kiểu kỳ,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,KY_KKHAI,,Kỳ kê khai,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,KY_KKHAI_TU_NGAY,,Kỳ kê khai từ ngày,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,KY_KKHAI_DEN_NGAY,,Kỳ kê khai đến ngày,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,KY_KKHAI_TU_THANG,,Kỳ kê khai từ tháng,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,KY_KKHAI_DEN_THANG,,Kỳ kê khai đến tháng,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,MA_CQTHUE_NOI_NOP,,Mã cơ quan thuế nơi nộp,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,TEN_CQTHUE_NOI_NOP,,Tên cơ quan thuế nơi nộp,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,NGAY_LAP_TKHAI,,Ngày lập tờ khai,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,MA_LY_DO_GIA_HAN,,Mã lý do gia hạn,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,LY_DO_GIA_HAN,,Lý do gia hạn,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,NGUOI_KY,,Người ký,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,NGAY_KY,,Ngày ký,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,NGANH_NGHE_KD,,Ngày nghề kinh doanh,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,MST,,Mã số thuế,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,TEN_NNT,,Tên người nộp thuế,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,DIA_CHI_NNT,,Địa chỉ người nộp thuế,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,PHUONG_XA,,Phường xã,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,MA_HUYEN_NNT,,Mã huyện người nộp thuế,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,TEN_HUYEN_NNT,,Tên huyện người nộp thuế,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,MA_TINH_NNT,,Mã tỉnh người nộp thuế,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,TEN_TINH_NNT,,Tên tỉnh người nộp thuế,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,DIEN_THOAI_NNT,,Điện thoại người nộp thuế,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,FAX_NNT,,Fax người nộp thuế,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,EMAIL_NNT,,Email người nộp thuế,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,TRANG_THAI_KT,,Trạng thái kiểm toán,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,MST_TC_KTOAN,,Mã số thuế tổ chức kiểm toán,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,TC_KIEM_TOAN,,Tổ chức kiểm toán,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,MA_KIEM_TOAN_VIEN,,Mã kiểm toán viên,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,KIEM_TOAN_VIEN,,Kiểm toán vien,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,BCTC_DA_KIEM_TOAN,,Báo cáo tài chính đã kiểm toán,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,MA_YKKT,,Mã ý kiến kiểm toán,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,YKKT,,Ý kiến kiểm toán,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,NGAY_KIEM_TOAN,,Ngày kiểm toán,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,NGAY_TAO,,Ngày tạo,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,GOI_TIN_ID,,Gói tin ID,FK
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,ADD_INFO_NGAY_NOP_TK,,Ngày nộp tờ khai,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,ADD_INFO_NGAY_TIEP_NHAN,,Ngày tiếp nhận,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,ADD_INFO_KY_LAP_BO,,Kỳ lập bộ báo cáo,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,ADD_INFO_NGUON_GOC_TK,,Nguồn gốc tờ khai,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,ADD_INFO_NGUOI_NHAP_TK,,Người nhập tờ khại,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,ADD_INFO_NGAY_NHAN_TK,,Ngày nhận tờ khai,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,ADD_INFO_ID_TK,,ID tờ khai,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,ADD_INFO_NOI_GUI,,Nơi gửi,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,ADD_INFO_NOI_NHAN,,Nơi nhận,
DCST,TCT_BAO_CAO,stg_dcst_tct_bao_cao,GUID,,,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,ID,,,PK
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,TCT_BAO_CAO_ID,,ID bảng TCT_BAO_CAO,FK
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,MA_CHI_TIEU,,Mã chỉ tiêu,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,TEN_CHI_TIEU,,Tên chỉ tiêu,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,THUYET_MINH,,Thuyết minh,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,SO_CUOI_NAM,,Số cuối năm,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,SO_DAU_NAM,,Số đầu năm,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,NAM_NAY,,Năm nay,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,NAM_TRUOC,,Năm trước,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,TEN_SHEET,,Tên sheet,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,NGUOILAPBIEU,,Người lập biểu,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,KETOANTRUONG,,Kế toán trưởng,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,NGAYLAP,,Ngày lập,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,GIAMDOC,,Giám đốc,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,SOCHUNGCHIHANHNGHE,,Số chứng chỉ hành nghề,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,DONVICCAPDVUKTOAN,,Đơn vị cung cấp dịch vụ kiểm toán,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,HOATDONGLIENTUC,,Hoạt động liên tục,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,HOATDONGKHONGLIENTUC,,Hoạt động không liên tục,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,SO_TANG_NAM_TRUOC,,Số tăng năm nay,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,SO_NAM_NAY,,Số năm nay,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,SO_NAM_NGOAI,,Số năm ngoái,
DCST,TCT_BAO_CAO_CHI_TIET,stg_dcst_tct_bao_cao_chi_tiet,SO_DU_DAU_NAM_NAY,,Số dư đầu năm nay,
