bcv_core_object,silver_entity,silver_attribute,silver_data_type,description,data_domain,nullable,is_primary_key,source_system,source_table,source_column,comment,classification_context,etl_derived_value
Arrangement,Discretionary Investment Account,Discretionary Investment Investor Code,string,Mã nhà đầu tư ủy thác.,Text,False,False,FMS,INVESACC,FMS.INVESACC.InvesId,FK target: Discretionary Investment Investor.Discretionary Investment Investor Code. Pair with Discretionary Investment Investor Id.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Account Number,string,Số tài khoản ủy thác.,Text,True,False,FMS,INVESACC,FMS.INVESACC.Account,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Account Place,string,Nơi lưu ký tài khoản.,Text,True,False,FMS,INVESACC,FMS.INVESACC.AccPlace,Cần xác nhận: có phải FK đến Custodian Bank không? Tạm giữ dạng Text.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Contract Number,string,Số hợp đồng ủy thác quản lý danh mục.,Text,True,False,FMS,INVESACC,FMS.INVESACC.ContractNo,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Committed Capital Amount,"decimal(23,2)",Quy mô vốn ủy thác cam kết (VNĐ).,Currency Amount,True,False,FMS,INVESACC,FMS.INVESACC.ActScale,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Actual Capital Amount,"decimal(23,2)",Quy mô vốn ủy thác thực tế (VNĐ).,Currency Amount,True,False,FMS,INVESACC,FMS.INVESACC.AdScale,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Management Fee Rate,"decimal(12,7)",Phí quản lý theo điều khoản hợp đồng (%).,Percentage,True,False,FMS,INVESACC,FMS.INVESACC.ManagerFee,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Life Cycle Status Code,string,Trạng thái hợp đồng ủy thác.,Classification Value,True,False,FMS,INVESACC,FMS.INVESACC.Status,Scheme: LIFE_CYCLE_STATUS.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Report Date,date,Ngày báo cáo.,Date,True,False,FMS,INVESACC,FMS.INVESACC.DateReport,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Created By,string,Người tạo bản ghi.,Text,True,False,FMS,INVESACC,FMS.INVESACC.CreatedBy,Mã người dùng hệ thống — denormalized.,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Created Timestamp,timestamp,Ngày tạo bản ghi.,Timestamp,True,False,FMS,INVESACC,FMS.INVESACC.DateCreated,,Source System Code = 'FMS_INVESACC',
Arrangement,Discretionary Investment Account,Updated Timestamp,timestamp,Ngày cập nhật bản ghi.,Timestamp,True,False,FMS,INVESACC,FMS.INVESACC.DateModified,,Source System Code = 'FMS_INVESACC',
Arrangement,Foreign Investor Securities Account,Foreign Investor Securities Account Id,string,Khóa đại diện cho tài khoản giao dịch chứng khoán.,Surrogate Key,False,True,FIMS,SECURITIESACCOUNT,,PK surrogate.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,Foreign Investor Securities Account Code,string,Mã tài khoản. Map từ PK bảng nguồn.,Text,False,False,FIMS,SECURITIESACCOUNT,FIMS.SECURITIESACCOUNT.Id,BK chính.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,Source System Code,string,Mã nguồn dữ liệu.,Classification Value,False,False,FIMS,SECURITIESACCOUNT,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,Securities Company Id,string,FK đến công ty chứng khoán nơi mở tài khoản.,Surrogate Key,False,False,FIMS,SECURITIESACCOUNT,FIMS.SECURITIESACCOUNT.SecId,FK target: Securities Company.Securities Company Id.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,Securities Company Code,string,Mã công ty chứng khoán nơi mở tài khoản.,Text,False,False,FIMS,SECURITIESACCOUNT,FIMS.SECURITIESACCOUNT.SecId,FK target: Securities Company.Securities Company Code. Pair with Securities Company Id.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,Foreign Investor Id,string,FK đến nhà đầu tư nước ngoài chủ tài khoản.,Surrogate Key,False,False,FIMS,SECURITIESACCOUNT,FIMS.SECURITIESACCOUNT.InvesId,FK target: Foreign Investor.Foreign Investor Id.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,Foreign Investor Code,string,Mã nhà đầu tư nước ngoài chủ tài khoản.,Text,False,False,FIMS,SECURITIESACCOUNT,FIMS.SECURITIESACCOUNT.InvesId,FK target: Foreign Investor.Foreign Investor Code. Pair with Foreign Investor Id.,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Securities Account,Account Number,string,Số tài khoản giao dịch chứng khoán.,Text,False,False,FIMS,SECURITIESACCOUNT,FIMS.SECURITIESACCOUNT.Account,,Source System Code = 'FIMS_SECURITIESACCOUNT',
Arrangement,Foreign Investor Stock Portfolio Snapshot,Foreign Investor Stock Portfolio Snapshot Id,string,Khóa đại diện cho vị thế sở hữu chứng khoán.,Surrogate Key,False,True,FIMS,CATEGORIESSTOCK,,PK surrogate.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,Foreign Investor Stock Portfolio Snapshot Code,string,Mã vị thế. Map từ PK bảng nguồn.,Text,False,False,FIMS,CATEGORIESSTOCK,FIMS.CATEGORIESSTOCK.id,BK chính.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,Source System Code,string,Mã nguồn dữ liệu.,Classification Value,False,False,FIMS,CATEGORIESSTOCK,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,Securities Company Id,string,FK đến công ty chứng khoán lưu giữ danh mục.,Surrogate Key,False,False,FIMS,CATEGORIESSTOCK,FIMS.CATEGORIESSTOCK.SecId,FK target: Securities Company.Securities Company Id.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,Securities Company Code,string,Mã công ty chứng khoán lưu giữ danh mục.,Text,False,False,FIMS,CATEGORIESSTOCK,FIMS.CATEGORIESSTOCK.SecId,FK target: Securities Company.Securities Company Code. Pair with Securities Company Id.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,Foreign Investor Id,string,FK đến nhà đầu tư nước ngoài sở hữu danh mục.,Surrogate Key,False,False,FIMS,CATEGORIESSTOCK,FIMS.CATEGORIESSTOCK.InvesId,FK target: Foreign Investor.Foreign Investor Id.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,Foreign Investor Code,string,Mã nhà đầu tư nước ngoài sở hữu danh mục.,Text,False,False,FIMS,CATEGORIESSTOCK,FIMS.CATEGORIESSTOCK.InvesId,FK target: Foreign Investor.Foreign Investor Code. Pair with Foreign Investor Id.,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,Quantity,string,Số lượng chứng khoán sở hữu.,Small Counter,True,False,FIMS,CATEGORIESSTOCK,FIMS.CATEGORIESSTOCK.Quantity,,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Foreign Investor Stock Portfolio Snapshot,Ownership Rate,"decimal(12,7)",Tỷ lệ % sở hữu chứng khoán.,Percentage,True,False,FIMS,CATEGORIESSTOCK,FIMS.CATEGORIESSTOCK.Rate,,Source System Code = 'FIMS_CATEGORIESSTOCK',
Arrangement,Investor Account Relationship,Investor Account Relationship Id,string,Khóa đại diện cho mối quan hệ giữa các tài khoản nhà đầu tư.,Surrogate Key,False,True,GSGD,account_relationship,,,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,Investor Account Relationship Code,string,PK kỹ thuật từ bảng nguồn. BK.,Text,False,False,GSGD,account_relationship,GSGD.account_relationship.id,BK chính. Map từ PK nguồn.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,Source System Code,string,Mã nguồn dữ liệu.,Classification Value,False,False,GSGD,account_relationship,,,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,First Investor Trading Account Id,string,FK đến tài khoản giao dịch thứ nhất.,Surrogate Key,False,False,GSGD,account_relationship,GSGD.account_relationship.account_id_1,FK target: Investor Trading Account.Investor Trading Account Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,First Investor Trading Account Code,string,Mã tài khoản giao dịch thứ nhất. Denormalized.,Text,False,False,GSGD,account_relationship,GSGD.account_relationship.account_id_1,FK target: Investor Trading Account.Investor Trading Account Code. Pair with First Investor Trading Account Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,Second Investor Trading Account Id,string,FK đến tài khoản giao dịch thứ hai.,Surrogate Key,False,False,GSGD,account_relationship,GSGD.account_relationship.account_id_2,FK target: Investor Trading Account.Investor Trading Account Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,Second Investor Trading Account Code,string,Mã tài khoản giao dịch thứ hai. Denormalized.,Text,False,False,GSGD,account_relationship,GSGD.account_relationship.account_id_2,FK target: Investor Trading Account.Investor Trading Account Code. Pair with Second Investor Trading Account Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,Account Investor Group Id,string,FK đến nhóm tài khoản.,Surrogate Key,True,False,GSGD,account_relationship,GSGD.account_relationship.account_group_id,FK target: Account Investor Group.Account Investor Group Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,Account Investor Group Code,string,Mã nhóm tài khoản. Denormalized.,Text,True,False,GSGD,account_relationship,GSGD.account_relationship.account_group_id,FK target: Account Investor Group.Account Investor Group Code. Pair with Account Investor Group Id.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,Relation Type Code,string,Loại quan hệ (Danh tính / IP / MAC / Tiền).,Classification Value,True,False,GSGD,account_relationship,GSGD.account_relationship.category_item_id,Scheme: GSGD_ACCOUNT_RELATION_TYPE. FK suy luận → category_item.,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,Relationship Value,string,"Giá trị quan hệ (IP address, MAC address, etc.).",Text,True,False,GSGD,account_relationship,GSGD.account_relationship.relationship_value,,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Account Relationship,Strength,string,Độ mạnh quan hệ (1-100). Điểm tính — không phải %.,Small Counter,True,False,GSGD,account_relationship,GSGD.account_relationship.strength,,Source System Code = 'GSGD_account_relationship',
Arrangement,Investor Trading Account,Investor Trading Account Id,string,Khóa đại diện cho tài khoản giao dịch chứng khoán.,Surrogate Key,False,True,GSGD,investor_account,,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Investor Trading Account Code,string,Số tài khoản (từ VSDC). BK.,Text,False,False,GSGD,investor_account,GSGD.investor_account.account_code,BK chính.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Source System Code,string,Mã nguồn dữ liệu.,Classification Value,False,False,GSGD,investor_account,,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Account Name,string,Họ và tên nhà đầu tư.,Text,True,False,GSGD,investor_account,GSGD.investor_account.account_name,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Investor Type Code,string,"Loại hình NĐT: 1=Cá nhân, 2=Tổ chức.",Classification Value,True,False,GSGD,investor_account,GSGD.investor_account.investor_type,Scheme: GSGD_INVESTOR_TYPE.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Open Date,date,Ngày mở tài khoản.,Date,True,False,GSGD,investor_account,GSGD.investor_account.open_date,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Close Date,date,Ngày đóng tài khoản.,Date,True,False,GSGD,investor_account,GSGD.investor_account.close_date,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Account Status Code,string,"Trạng thái: 0=Đóng, 1=Mở.",Classification Value,True,False,GSGD,investor_account,GSGD.investor_account.account_status,Scheme: GSGD_ACCOUNT_STATUS.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Domestic Foreign Flag,string,"Trong nước/Nước ngoài: 0=Trong nước, 1=Nước ngoài.",Classification Value,True,False,GSGD,investor_account,GSGD.investor_account.domestic_foreign_flag,Scheme: GSGD_DOMESTIC_FOREIGN_FLAG.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Nationality,string,Quốc tịch. Lưu dạng text denormalized — không có bảng lookup địa lý trong scope GSGD.,Text,True,False,GSGD,investor_account,GSGD.investor_account.nationality,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Date of Birth,date,"Ngày tháng năm sinh/ngày thành lập DN (từ CTCK, có thể sửa).",Date,True,False,GSGD,investor_account,GSGD.investor_account.date_of_birth,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Legal Representative,string,"Người đại diện theo pháp luật (từ CTCK, có thể sửa).",Text,True,False,GSGD,investor_account,GSGD.investor_account.legal_representative,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Identity Number,string,Số CCCD/Số đăng ký sở hữu. Denormalized — grain = 1 tài khoản.,Text,True,False,GSGD,investor_account,GSGD.investor_account.identity_number,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Identity Issue Date,date,Ngày cấp giấy tờ định danh.,Date,True,False,GSGD,investor_account,GSGD.investor_account.identity_issue_date,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Identity Issue Place,string,Nơi cấp giấy tờ định danh.,Text,True,False,GSGD,investor_account,GSGD.investor_account.identity_issue_place,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Contact Address,string,"Địa chỉ liên lạc (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,True,False,GSGD,investor_account,GSGD.investor_account.contact_address,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Permanent Address,string,"Địa chỉ thường trú (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,True,False,GSGD,investor_account,GSGD.investor_account.permanent_address,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Phone Number,string,"Số điện thoại (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,True,False,GSGD,investor_account,GSGD.investor_account.phone_number,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Email,string,"Email (từ CTCK, có thể sửa). Denormalized — grain = 1 tài khoản.",Text,True,False,GSGD,investor_account,GSGD.investor_account.email,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Bank Account Holder Name,string,"Tên chủ tài khoản ngân hàng (từ CTCK, có thể sửa).",Text,True,False,GSGD,investor_account,GSGD.investor_account.bank_account_holder_name,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Bank Account Number,string,"Số tài khoản ngân hàng (từ CTCK, có thể sửa).",Text,True,False,GSGD,investor_account,GSGD.investor_account.bank_account_number,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Bank Account Name,string,"Tên ngân hàng (từ CTCK, có thể sửa).",Text,True,False,GSGD,investor_account,GSGD.investor_account.bank_account_name,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Margin Account Open Date,date,Ngày mở tài khoản ký quỹ.,Date,True,False,GSGD,investor_account,GSGD.investor_account.margin_account_open_date,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Margin Service Enabled,string,Dịch vụ tài chính sử dụng — Ký quỹ.,Boolean,True,False,GSGD,investor_account,GSGD.investor_account.margin_service_enabled,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Advance Payment Service Enabled,string,Dịch vụ tài chính sử dụng — Ứng trước tiền bán.,Boolean,True,False,GSGD,investor_account,GSGD.investor_account.advance_payment_service_enabled,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Account Authorization Enabled,string,Dịch vụ tài chính sử dụng — Hợp đồng tài chính khác.,Boolean,True,False,GSGD,investor_account,GSGD.investor_account.account_authorization_enabled,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Authorized Person Name,string,Người nhận ủy quyền (denormalized từ account_authorization).,Text,True,False,GSGD,investor_account,GSGD.investor_account.authorized_person_name,Lưu ý: tách sang entity Investor Trading Account Authorization ở Tier 2. Trường này là snapshot denormalized trên account.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Authorization Date,date,Ngày nhận ủy quyền (denormalized từ account_authorization).,Date,True,False,GSGD,investor_account,GSGD.investor_account.authorization_date,Lưu ý: tách sang entity Investor Trading Account Authorization ở Tier 2. Trường này là snapshot denormalized trên account.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Approval Status Code,string,Trạng thái phê duyệt tài khoản.,Classification Value,True,False,GSGD,investor_account,GSGD.investor_account.approval_status,Scheme: GSGD_APPROVAL_STATUS.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Data Source Code,string,"Nguồn dữ liệu chính: VSDC, CTCK.",Classification Value,True,False,GSGD,investor_account,GSGD.investor_account.data_source,Scheme: GSGD_DATA_SOURCE. Cần profile giá trị thực tế.,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account,Last Modified Date,date,Ngày thay đổi thông tin lần cuối.,Date,True,False,GSGD,investor_account,GSGD.investor_account.last_modified_date,,Source System Code = 'GSGD_investor_account',
Arrangement,Investor Trading Account Authorization,Investor Trading Account Authorization Id,string,Khóa đại diện cho ủy quyền tài khoản giao dịch.,Surrogate Key,False,True,GSGD,account_authorization,,,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,Investor Trading Account Authorization Code,string,PK kỹ thuật từ bảng nguồn. BK.,Text,False,False,GSGD,account_authorization,GSGD.account_authorization.id,BK chính. Map từ PK nguồn.,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,Source System Code,string,Mã nguồn dữ liệu.,Classification Value,False,False,GSGD,account_authorization,,,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,Investor Trading Account Id,string,FK đến tài khoản giao dịch chứng khoán.,Surrogate Key,False,False,GSGD,account_authorization,GSGD.account_authorization.account_id,FK target: Investor Trading Account.Investor Trading Account Id.,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,Investor Trading Account Code,string,Mã tài khoản giao dịch. Denormalized.,Text,False,False,GSGD,account_authorization,GSGD.account_authorization.account_id,FK target: Investor Trading Account.Investor Trading Account Code. Pair with Investor Trading Account Id.,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,Authorized Person Name,string,Người nhận ủy quyền.,Text,True,False,GSGD,account_authorization,GSGD.account_authorization.authorized_person_name,,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Authorization,Authorization Date,date,Ngày nhận ủy quyền.,Date,True,False,GSGD,account_authorization,GSGD.account_authorization.authorization_date,,Source System Code = 'GSGD_account_authorization',
Arrangement,Investor Trading Account Financial Service,Investor Trading Account Financial Service Id,string,Khóa đại diện cho dịch vụ tài chính của tài khoản.,Surrogate Key,False,True,GSGD,account_financial_service,,,Source System Code = 'GSGD_account_financial_service',
Arrangement,Investor Trading Account Financial Service,Investor Trading Account Financial Service Code,string,PK kỹ thuật từ bảng nguồn. BK.,Text,False,False,GSGD,account_financial_service,GSGD.account_financial_service.id,BK chính. Map từ PK nguồn.,Source System Code = 'GSGD_account_financial_service',
Arrangement,Investor Trading Account Financial Service,Source System Code,string,Mã nguồn dữ liệu.,Classification Value,False,False,GSGD,account_financial_service,,,Source System Code = 'GSGD_account_financial_service',
Arrangement,Investor Trading Account Financial Service,Investor Trading Account Id,string,FK đến tài khoản giao dịch chứng khoán.,Surrogate Key,False,False,GSGD,account_financial_service,GSGD.account_financial_service.account_id,FK target: Investor Trading Account.Investor Trading Account Id.,Source System Code = 'GSGD_account_financial_service',
Arrangement,Investor Trading Account Financial Service,Investor Trading Account Code,string,Mã tài khoản giao dịch. Denormalized.,Text,False,False,GSGD,account_financial_service,GSGD.account_financial_service.account_id,FK target: Investor Trading Account.Investor Trading Account Code. Pair with Investor Trading Account Id.,Source System Code = 'GSGD_account_financial_service',
Arrangement,Investor Trading Account Financial Service,Service Type Code,string,"Loại dịch vụ: 1=Ký quỹ, 2=Ứng trước tiền bán, 3=HĐ tài chính khác.",Classification Value,False,False,GSGD,account_financial_service,GSGD.account_financial_service.service_type,Scheme: GSGD_FINANCIAL_SERVICE_TYPE.,Source System Code = 'GSGD_account_financial_service',
Arrangement,Investor Trading Account Financial Service,Contract Number,string,Số hợp đồng.,Text,True,False,GSGD,account_financial_service,GSGD.account_financial_service.contract_number,,Source System Code = 'GSGD_account_financial_service',
Arrangement,Investor Trading Account Financial Service,Contract Date,date,Ngày ký hợp đồng.,Date,True,False,GSGD,account_financial_service,GSGD.account_financial_service.contract_date,,Source System Code = 'GSGD_account_financial_service',
Business Activity,AML Enforcement Case,AML Enforcement Case Id,string,Khóa đại diện cho hồ sơ phòng chống rửa tiền.,Surrogate Key,False,True,ThanhTra,PCRT_HO_SO,,,Source System Code = 'ThanhTra_PCRT_HO_SO',
Business Activity,AML Enforcement Case,AML Enforcement Case Code,string,Mã hồ sơ. Map từ PK ThanhTra.PCRT_HO_SO.ID.,Text,False,False,ThanhTra,PCRT_HO_SO,ThanhTra.PCRT_HO_SO.ID,BK của entity.,Source System Code = 'ThanhTra_PCRT_HO_SO',
Business Activity,AML Enforcement Case,Source System Code,string,Mã hệ thống nguồn.,Classification Value,False,False,ThanhTra,PCRT_HO_SO,,,Source System Code = 'ThanhTra_PCRT_HO_SO',
Business Activity,AML Enforcement Case,Case Number,string,Mã hồ sơ nghiệp vụ (duy nhất).,Text,False,False,ThanhTra,PCRT_HO_SO,ThanhTra.PCRT_HO_SO.MA_HO_SO,,Source System Code = 'ThanhTra_PCRT_HO_SO',
Business Activity,AML Enforcement Case,Case Name,string,Tên hồ sơ.,Text,True,False,ThanhTra,PCRT_HO_SO,ThanhTra.PCRT_HO_SO.TEN_HO_SO,,Source System Code = 'ThanhTra_PCRT_HO_SO',
Business Activity,AML Enforcement Case,Subject Type Code,string,Loại đối tượng: CA_NHAN / TO_CHUC.,Classification Value,False,False,ThanhTra,PCRT_HO_SO,ThanhTra.PCRT_HO_SO.LOAI_DOI_TUONG,Scheme: TT_PARTY_TYPE.,Source System Code = 'ThanhTra_PCRT_HO_SO',
Business Activity,AML Enforcement Case,Subject Name,string,Tên tổ chức/cá nhân liên quan (denormalized).,Text,True,False,ThanhTra,PCRT_HO_SO,ThanhTra.PCRT_HO_SO.TEN_DOI_TUONG,,Source System Code = 'ThanhTra_PCRT_HO_SO',
