atomic_entity,source_system(s),cluster_size,proposed_domain_prefix,proposed_bcv_term,proposed_entity_physical_name,old_entity_physical_name,flag,other_proposals
Securities Company Depositary Bank,SCMS,41,Securities Company,Depositary Bank,sc_depositary_bank,scr_co_dpst_bnk,OK,
Securities Company Insider Related Person,SCMS,41,Securities Company,Insider Related Person,sc_insider_related_person,scr_co_insdpr_rltd_prsn,OK,
Securities Company Inspection Schedule,SCMS,41,Securities Company,Inspection Schedule,sc_inspection_schedule,scr_co_inspctn_schd,OK,
Securities Company Licensed Service,SCMS,41,Securities Company,Licensed Service,sc_licensed_service,scr_co_lcnsd_svc,OK,
Securities Company Major Shareholder Relation,SCMS,41,Securities Company,Major Shareholder Relation,sc_major_shareholder_relation,scr_co_mjr_shrhdr_rln,OK,
Securities Company Organization Unit,SCMS,41,Securities Company,Organization Unit,sc_organization_unit,scr_co_org_unt,OK,
Securities Company Ownership Relation,SCMS,41,Securities Company,Ownership Relation,sc_ownership_relation,scr_co_ownshp_rln,OK,
Securities Company Periodic Report,SCMS,41,Securities Company,Periodic Report,sc_periodic_report,scr_co_prdc_rprt,OK,
Securities Company Profile Change,SCMS,41,Securities Company,Profile Change,sc_profile_change,scr_co_prfl_chng,OK,
Securities Company Related Person,SCMS,41,Securities Company,Related Person,sc_related_person,scr_co_rltd_prsn,OK,
Securities Company Report Violation,SCMS,41,Securities Company,Report Violation,sc_report_violation,scr_co_rprt_vlt,OK,
Securities Company Senior Personnel,SCMS,41,Securities Company,Senior Personnel,sc_senior_personnel,scr_co_snr_prsnl,OK,
Securities Company Administrative Penalty Decision,SCMS,2,Securities Company Administrative,Penalty Decision,sca_penalty_decision,scr_co_adm_pnlty_dcn,OK,
Securities Company Administrative Sanction,SCMS,2,Securities Company Administrative,Sanction,sca_sanction,scr_co_adm_snctn,OK,
Securities Company Alert Financial Indicator,SCMS,4,Securities Company Alert,Financial Indicator,sca_financial_indicator,scr_co_alrt_fin_ind,OK,
Securities Company Alert Violation,SCMS,4,Securities Company Alert,Violation,sca_violation,scr_co_alrt_vlt,OK,
Securities Company Alert Indicator,SCMS,2,Securities Company Alert Indicator,,securities_company_alert_indicator,scr_co_alrt_ind,HEAD_EMPTY_BCV,
Securities Company Alert Indicator Condition,SCMS,2,Securities Company Alert Indicator,Condition,scai_condition,scr_co_alrt_ind_cndtn,OK,
Securities Company Disclosure Report,SCMS,3,Securities Company Disclosure,Report,scd_report,scr_co_dscsr_rprt,OK,
Securities Company Disclosure Securities Offering,SCMS,3,Securities Company Disclosure,Securities Offering,scd_securities_offering,scr_co_dscsr_scr_ofrng,OK,
Securities Company Disclosure Shareholder,SCMS,3,Securities Company Disclosure,Shareholder,scd_shareholder,scr_co_dscsr_shrhdr,OK,
Securities Company Foreign Branch,SCMS,3,Securities Company Foreign Branch,,securities_company_foreign_branch,scr_co_frgn_brn,HEAD_EMPTY_BCV,
Securities Company Foreign Branch Periodic Report,SCMS,3,Securities Company Foreign Branch,Periodic Report,scfb_periodic_report,scr_co_frgn_brnch_prd_rprt,OK,
Securities Company Foreign Branch Personnel,SCMS,3,Securities Company Foreign Branch,Personnel,scfb_personnel,scr_co_frgn_brn_psn,OK,
Securities Company Foreign Representative Office Periodic Report,SCMS,2,Securities Company Foreign Representative Office,Periodic Report,scfro_periodic_report,scr_co_frgn_rep_ofc_prd_rprt,OK,
Securities Company Foreign Representative Office Personnel,SCMS,2,Securities Company Foreign Representative Office,Personnel,scfro_personnel,scr_co_frgn_rprs_offc_psn,OK,
Securities Company Risk Reporting Period,SCMS,6,Securities Company Risk,Reporting Period,scr_reporting_period,scr_co_rsk_rpt_prd,OK,
Securities Company Risk Scoring Detail,SCMS,6,Securities Company Risk,Scoring Detail,scr_scoring_detail,scr_co_rsk_scr_dtl,OK,
Securities Company Risk Summary,SCMS,6,Securities Company Risk,Summary,scr_summary,scr_co_rsk_smry,OK,
Securities Company Risk Indicator,SCMS,3,Securities Company Risk Indicator,,securities_company_risk_indicator,scr_co_rsk_ind,HEAD_EMPTY_BCV,
Securities Company Risk Indicator Group,SCMS,3,Securities Company Risk Indicator,Group,scri_group,scr_co_rsk_ind_grp,OK,
Securities Company Risk Indicator Scoring Scale,SCMS,3,Securities Company Risk Indicator,Scoring Scale,scri_scoring_scale,scr_co_rsk_ind_scr_scl,OK,
Securities Company Shareholder,SCMS,5,Securities Company Shareholder,,securities_company_shareholder,scr_co_shrhdr,HEAD_EMPTY_BCV,
Securities Company Shareholder Ownership Change,SCMS,5,Securities Company Shareholder,Ownership Change,scs_ownership_change,scr_co_shrhdr_ownshp_chng,OK,
Securities Company Shareholder Relation,SCMS,5,Securities Company Shareholder,Relation,scs_relation,scr_co_shrhdr_rln,OK,
Securities Company Shareholder Representative,SCMS,5,Securities Company Shareholder,Representative,scs_representative,scr_co_shrhdr_rprsntv,OK,
Securities Company Shareholder Transfer,SCMS,5,Securities Company Shareholder,Transfer,scs_transfer,scr_co_shrhdr_trnsfr,OK,
Securities Practitioner,"NHNCK, SCMS",19,Securities Practitioner,,securities_practitioner,scr_prac,CONFLICT,
Securities Practitioner Conduct Violation,NHNCK,19,Securities Practitioner,Conduct Violation,sp_conduct_violation,scr_prac_conduct_vln,OK,
Securities Practitioner Employment Status,NHNCK,19,Securities Practitioner,Employment Status,sp_employment_status,scr_prac_emp_st,OK,
Securities Practitioner Organization Employment Report,NHNCK,19,Securities Practitioner,Organization Employment Report,sp_organization_employment_report,scr_prac_org_emp_rpt,OK,
Securities Practitioner Related Party,NHNCK,19,Securities Practitioner,Related Party,sp_related_party,scr_prac_rel_p,OK,
Securities Practitioner License Certificate Document,NHNCK,8,Securities Practitioner License,Certificate Document,spl_certificate_document,scr_prac_license_ctf_doc,OK,
Securities Practitioner License Decision Document,NHNCK,8,Securities Practitioner License,Decision Document,spl_decision_document,scr_prac_license_dcsn_doc,OK,
Securities Practitioner License Application,NHNCK,6,Securities Practitioner License Application,,securities_practitioner_license_application,scr_prac_license_ap,HEAD_EMPTY_BCV,
Securities Practitioner License Application Education Certificate Document,NHNCK,6,Securities Practitioner License Application,Education Certificate Document,spla_education_certificate_document,scr_prac_license_ap_ed_ctf_doc,OK,
Securities Practitioner License Application Employment Experience,NHNCK,6,Securities Practitioner License Application,Employment Experience,spla_employment_experience,scr_prac_license_ap_emp_exrnc,OK,
Securities Practitioner License Application Fee,NHNCK,6,Securities Practitioner License Application,Fee,spla_fee,scr_prac_license_ap_fee,OK,
Securities Practitioner License Application Re-Exam Request,NHNCK,6,Securities Practitioner License Application,Re-Exam Request,spla_re_exam_request,scr_prac_license_ap_re_exam_rqs,OK,
Securities Practitioner License Application Snapshot,NHNCK,6,Securities Practitioner License Application,Snapshot,spla_snapshot,scr_prac_license_ap_snpst,OK,
Securities Practitioner Professional Training History,NHNCK,3,Securities Practitioner Professional Training,History,sppt_history,scr_prac_prof_trn_hist,OK,
Securities Practitioner Professional Training Class,NHNCK,2,Securities Practitioner Professional Training Class,,securities_practitioner_professional_training_class,scr_prac_prof_trn_clss,HEAD_EMPTY_BCV,
Securities Practitioner Professional Training Class Enrollment,NHNCK,2,Securities Practitioner Professional Training Class,Enrollment,spptc_enrollment,scr_prac_prof_trn_clss_enrollment,OK,
Securities Practitioner Qualification Examination Assessment,NHNCK,3,Securities Practitioner Qualification Examination Assessment,,securities_practitioner_qualification_examination_assessment,scr_prac_qualf_exam_ases,HEAD_EMPTY_BCV,
Securities Practitioner Qualification Examination Assessment Fee,NHNCK,3,Securities Practitioner Qualification Examination Assessment,Fee,spqea_fee,scr_prac_qualf_exam_ases_fee,OK,
Securities Practitioner Qualification Examination Assessment Result,NHNCK,3,Securities Practitioner Qualification Examination Assessment,Result,spqea_result,scr_prac_qualf_exam_ases_rslt,OK,
Security Measure Execution,THANHTRA,3,Security Measure,Execution,sm_execution,scr_msr_exec,OK,
Security Measure Decision Recipient,THANHTRA,2,Security Measure Decision,Recipient,smd_recipient,scr_msr_dcsn_rcpnt,OK,
Security Measure Decision Subject,THANHTRA,2,Security Measure Decision,Subject,smd_subject,scr_msr_dcsn_sbj,OK,
Violation Case,THANHTRA,3,Violation Case,,violation_case,vln_case,HEAD_EMPTY_BCV,
Violation Case Output Document,THANHTRA,3,Violation Case,Output Document,vc_output_document,vln_case_otpt_doc,OK,
Violation Case Received Document,THANHTRA,3,Violation Case,Received Document,vc_received_document,vln_case_rcvd_doc,OK,
Violation Record,THANHTRA,2,Violation Record,,violation_record,vln_rcrd,HEAD_EMPTY_BCV,
Violation Record Behavior,THANHTRA,2,Violation Record,Behavior,vr_behavior,vln_rcrd_bhvr,OK,
Citizen Reception,THANHTRA,1,,Citizen Reception,citizen_reception,ctzn_rcptn,NO_CLUSTER,
Corporate Bond Trading Snapshot,MDDS,1,,Corporate Bond Trading Snapshot,corporate_bond_trading_snapshot,corp_bond_trd_snpst,NO_CLUSTER,
Examination Annual Plan Target,THANHTRA,1,,Examination Annual Plan Target,examination_annual_plan_target,exam_anul_pln_trgt,NO_CLUSTER,
Geographic Area,NHNCK,1,,Geographic Area,geographic_area,geo,NO_CLUSTER,
Identity and Access Management User,IAM,1,,Identity and Access Management User,identity_and_access_management_user,iam_usr,NO_CLUSTER,
Index Constituent Snapshot,MDDS,1,,Index Constituent Snapshot,index_constituent_snapshot,indx_cst_snpst,NO_CLUSTER,
Inspection Annual Plan Target,THANHTRA,1,,Inspection Annual Plan Target,inspection_annual_plan_target,insp_anul_pln_trgt,NO_CLUSTER,
Inspection Post Processing,THANHTRA,1,,Inspection Post Processing,inspection_post_processing,insp_pst_pcs,NO_CLUSTER,
Market Index Snapshot,MDDS,1,,Market Index Snapshot,market_index_snapshot,mkt_indx_snpst,NO_CLUSTER,
Petition Document,THANHTRA,1,,Petition Document,petition_document,peti_doc,NO_CLUSTER,
Proactive Notice Recipient,THANHTRA,1,,Proactive Notice Recipient,proactive_notice_recipient,proact_ntc_rcpnt,NO_CLUSTER,
Securities Order,ORDERTRADE,1,,Securities Order,securities_order,scr_ordr,NO_CLUSTER,
Securities Organization Reference,NHNCK,1,,Securities Organization Reference,securities_organization_reference,scr_org_refr,NO_CLUSTER,
Securities Trade,ORDERTRADE,1,,Securities Trade,securities_trade,scr_trd,NO_CLUSTER,
Security Match Log,MDDS,1,,Security Match Log,security_match_log,sec_mtch_log,NO_CLUSTER,
Security Trading Snapshot,MDDS,1,,Security Trading Snapshot,security_trading_snapshot,scr_trd_snpst,NO_CLUSTER,
Official Letter Administrative Violation Process,THANHTRA,1,,Official Letter Administrative Violation Process,official_letter_administrative_violation_process,vphc_process_official_letter,NO_CLUSTER,
Violation Behavior,THANHTRA,1,,Violation Behavior,violation_behavior,vln_bhvr,NO_CLUSTER,
