Logical Table Name;Physical Name;STT;Physical Name;Logical Name;Định nghĩa;Giá trị
Order Book HOSE;ORDER_BOOK_HOSE;11;ORIG_ORDER_ACCEPT_ID;Orig Order Accept #;Số thứ tự giao dịch ban đầu (trước chỉnh sửa) được ghi nhận trên hệ thống của Sàn trong ngày giao dịch, theo từng mã chứng khoán;
Order Book HOSE;ORDER_BOOK_HOSE;12;SIDE;Side;Loại lệnh;"S: Sell - Bán
B: Buy - Mua"
Order Book HOSE;ORDER_BOOK_HOSE;13;BRK_ID;BRK #;Mã/số công ty chứng khoán;
Order Book HOSE;ORDER_BOOK_HOSE;14;BRK;BRK;Tên công ty chứng khoán;
Order Book HOSE;ORDER_BOOK_HOSE;15;PIN;PIN;Mã PIN của tài khoản giao dịch;
Order Book HOSE;ORDER_BOOK_HOSE;16;ACCT_NO;Acct No;Mã/Số tài khoản giao dịch của nhà đầu tư;
Order Book HOSE;ORDER_BOOK_HOSE;17;NAME;Name;Tên nhà đầu tư/chủ tài khoản nhà đầu tư;
Order Book HOSE;ORDER_BOOK_HOSE;18;MARKET_MAKER_ORDER;Market Maker Order;Lệnh đặt của nhà tạo lập thị trường;"Y - Yes: Là lệnh đặt của nhà tạo lập thị trường
N - No: Không phải là lệnh đặt của nhà tạo lập thị trường"
Order Book HOSE;ORDER_BOOK_HOSE;19;CLIENT_HOUSE_CLASSIFICATION_CODE;Client/House Classification Code;Phân loại lệnh khách hàng/công ty;"10 Client trade: Khách hàng
30 House trade: Tự doanh công ty chứng khoán"
Order Book HOSE;ORDER_BOOK_HOSE;20;INVEST_TYPE;Invest Type;"Phân loại nhà đầu tư
Theo dữ liệu, có 4 loại: 1000, 7000, 7100, 8000";"1000 / 8000: Cá nhân (Individual)
1100: Cá nhân trong nước
1200: Cá nhân chuyên nghiệp
2000: Công ty bảo hiểm
2100: Công ty bảo hiểm nhân thọ
2200: Bảo hiểm phi nhân thọ
3000: Quỹ đầu tư
3100: Quỹ cụ thể (mutual fund)
3200: ETF
3300: Hedge fund
4000: Ngân hàng
5000: Công ty chứng khoán
5100: CTCK tự doanh
5200: CTCK môi giới
6000: Tổ chức khác
7000: Nhà đầu tư nước ngoài
7100: Tổ chức nước ngoài
7200: Cá nhân nước ngoài
9000: Không xác định / khác"
Order Book HOSE;ORDER_BOOK_HOSE;21;FOREIGNER_INVESTOR_TYPE;Foreigner Investor type;Phân loại đầu tư nước ngoài;"00 Not Foreigner: Không phải NĐT nước ngoài
10 Foreigner(Residence): NĐT nước ngoài cư trú
20 Foreigner(Nonresidence): NĐT nước ngoài không cư trú"
Order Book HOSE;ORDER_BOOK_HOSE;22;ORDER_TYPE;Order Type;"Loại lệnh theo giá
Theo dữ liệu, có 2 loại
+ Limit: người giao dịch tự đặt giá
+ Market: thị trường chỉ định giá";"1 - Market: Lệnh thị trường
Ý nghĩa: Khớp ngay với giá tốt nhất trên thị trường (Mua bằng mọi giá, Có thể bị khớp giá xấu nếu thanh khoản thấp)
2 - Limit: Lệnh giới hạn
Ý nghĩa: Mua/bán với giá xác định hoặc tốt hơn, Đây là loại phổ biến nhất (Ví dụ: Mua FPT giá 100 → chỉ khớp ≤ 100)
3 - Stop Market: Lệnh dừng - thị trường
Ý nghĩa: Khi đạt giá kích hoạt → biến thành Market Order (Ví dụ: Giá ≥ 105 → bán ngay)
4 - Stop Limit: Lệnh dừng - giới hạn
Ý nghĩa: Khi đạt giá kích hoạt → biến thành Limit Order"
Order Book HOSE;ORDER_BOOK_HOSE;23;ORDER_PRICE;Order Price;Giá đặt lệnh;
Order Book HOSE;ORDER_BOOK_HOSE;24;ORDER_VOL;Order VOL;Khối lượng đặt lệnh;
Order Book HOSE;ORDER_BOOK_HOSE;25;ORDER_CONDITION;Order Condition;Điều kiện thực hiện lệnh - lệnh được khớp như thế nào;"0 FAS (Fill And Store): Khớp được bao nhiêu thì khớp, phần còn lại được giữ lại trong sổ lệnh
1: Lệnh thường, có thể khớp dần, phần chưa khớp sẽ nằm lại trong order book
2 ATO (At The Open): Lệnh khớp tại giá mở cửa
3 FAK (Fill And Kill): Khớp được bao nhiêu sẽ khớp ngay, Phần còn lại sẽ hủy
4 FOK (Fill Or Kill): Phải khớp toàn bộ ngay, Không thì hủy toàn bộ
6 GTD (Good Till Date): Lệnh có hiệu lực đến một ngày cụ thể, sau đó tự động hết hiệu lực
7 ATC (At The Close): Lệnh khớp tại giá đóng cửa
9 MTL (Market To Limit)"
Order Book HOSE;ORDER_BOOK_HOSE;26;LTP;LTP;Giá khớp gần nhất trên thị trường (Last Traded Price);
Order Book HOSE;ORDER_BOOK_HOSE;27;EXECUTION_PRICE;Execution Price;Giá khớp lệnh thực tế;
Order Book HOSE;ORDER_BOOK_HOSE;28;IMMED_MATCHED_VOL;Immed. Matched VOL;Khối lượng khớp ngay khi hệ thống ghi nhận lệnh;
Order Book HOSE;ORDER_BOOK_HOSE;29;MATCHED_VOL;Matched VOL;Tổng khối lượng đã khớp của lệnh;
Order Book HOSE;ORDER_BOOK_HOSE;30;ORDER_RQTY;Order Rqty;Khối lượng còn lại chưa khớp của lệnh (Order remaining quantity);
Order Book HOSE;ORDER_BOOK_HOSE;31;ORDER_PRICE_LTP;Order Price-LTP;Chênh lệnh giữa giá đặt lệnh và giá khớp gần nhất;
Order Book HOSE;ORDER_BOOK_HOSE;32;MATCHED_RATIO;Matched Ratio;Tỷ lệ khớp lệnh;
Order Book HOSE;ORDER_BOOK_HOSE;33;BUY_UP_SELL_DOWN_AMT;Buy Up/Sell Down Amt;Mức tăng/giảm giá so với tham chiếu theo giá trị;
Order Book HOSE;ORDER_BOOK_HOSE;34;BUY_UP_SELL_DOWN_TICK;Buy Up/Sell Down Tick;Mức tăng/giảm theo bước giá;
Order Book HOSE;ORDER_BOOK_HOSE;35;NEW_HIGH_LOW_PRICE;New High/Low Price;"Đánh dấu nếu lệnh tạo giá cao nhất hoặc thấp nhất mới trong ngày, theo từng mã chứng khoán
- New High: Giá mới cao nhất tính đến thời điểm khớp lệnh
- New Low: Giá mới thấp nhất tính đến thời điểm khớp lệnh";
Order Book HOSE;ORDER_BOOK_HOSE;36;ORDER_STATUS;Order Status;"Trạng thái của lệnh
Theo dữ liệu, có 3 loại: 0, 4, 5";"0 - New / Accepted: Lệnh đã được sàn chấp nhận vào hệ thống nhưng chưa khớp.
1 - Partially Filled: Lệnh đã khớp một phần.
2 - Filled: Lệnh đã khớp toàn bộ.
3 - Cancelled: Lệnh đã bị hủy.
4 - Rejected: Lệnh bị từ chối bởi hệ thống sàn.
5 - Expired: Lệnh hết hiệu lực (ví dụ hết phiên giao dịch).
6 - Pending Cancel: Đang chờ xử lý hủy lệnh.
7 - Pending Replace: Đang chờ sửa lệnh.
8 - Replaced: Lệnh đã được sửa thành công."
Order Book HOSE;ORDER_BOOK_HOSE;37;ICD_BUG_QTY;Icd-Bug Qty;Khối lượng lỗi hoặc điều chỉnh trong hệ thống giao dịch;
Order Book HOSE;ORDER_BOOK_HOSE;38;EXPECTED_EXECUTION_PRICE;Expected execution price;Giá khớp lệnh dự kiến, dựa trên các giao dịch thị trường trong ngày;
Order Book HOSE;ORDER_BOOK_HOSE;39;EXPECTED_EXECUTION_VOLUME;Expected execution volume;Khối lượng khớp lệnh dự kiến, dựa trên các giao dịch thị trường trong ngày;
Order Book HOSE;ORDER_BOOK_HOSE;40;SHORT_SELL_INDICATOR;Short Sell Indicator;Phân loại lệnh bán khống;"00 - Không phải lệnh bán khống
10 - Là lệnh bán khống"
Order Book HOSE;ORDER_BOOK_HOSE;41;TRADER_NO;Trader No;Mã/số định danh người thực hiện giao dịch;
Order Book HOSE;ORDER_BOOK_HOSE;42;TRADER_NAME;Trader Name;Tên người thực hiện giao dịch;
Order Book HOSE;ORDER_BOOK_HOSE;43;REFERENCE_SEQUENCE_NO;Reference Sequence No.;Số tham chiếu theo thứ tự giao dịch;
Order Book HOSE;ORDER_BOOK_HOSE;44;ORDER_ID;Order ID;Mã định danh của lệnh đặt;
Order Book HOSE;ORDER_BOOK_HOSE;45;ORIG_ORDER_ID;Orig Order ID;Mã định danh của lệnh đặt trước khi chỉnh sửa;
Trade Book HOSE;TRADE_BOOK_HOSE;1;TRADE_DATE;Trade Date;Ngày giao dịch theo thị trường chứng khoán;
Trade Book HOSE;TRADE_BOOK_HOSE;2;MARKET_ID;Market ID;Mã thị trường chứng khoán;"STO : HoSE Stock Market là giao dịch Cổ phiếu  niêm yết trên HOSE
BDO : HoSE Bond Market là giao dịch trái phiếu (thường là doanh nghiệp hoặc một số loại đặc biệt) trên HOSE
RPO : HoSE Repo Market là giao dịch mua bán có cam kết mua lại trên thị trường HOSE.
STX : HNX Listed Stock Market là giao dịch Cổ phiếu niêm yết trên HNX
UPX : HNX UPCOM Stock Market là cổ phiếu chưa niêm yết chính thức (UPCOM) trên HNX
BDX : HNX Government Bond Market là giao dịch Trái phiếu Chính phủ trên HNX
DVX : HNX Derivatives Market là Thị trường phái sinh trên HNX
HCX : HNX Corporate Bond Market là giao dịch trái phiếu doanh nghiệp niêm yết trên HNX"
Trade Book HOSE;TRADE_BOOK_HOSE;3;SYMBOL;Symbol;Mã chứng khoán;
Trade Book HOSE;TRADE_BOOK_HOSE;4;CURRENCY;Currency;Đơn vị tiền tệ;
Trade Book HOSE;TRADE_BOOK_HOSE;5;BOARD_TYPE;Board Type;Loại bảng giao dịch mà lệnh được phân loại vào;"G1 : Main => Phiên giao dịch chính khớp lệnh liên tục
Ví dụ: Có người mua CP giá 25 và có người bán CP đó giá 25 thì sẽ khớp lệnh ngay
90% giao dịch ở dạng G1
G2 : Pre open => Phiên định kỳ mở cửa (ATO), Khớp 1 lần để xác định giá mở cửa
Ví dụ: Giống như đứng xếp hàng trước khi chợ mở cửa, bạn đặt lệnh trước nhưng chưa mua bán được, phải đợi đến giờ mở cửa hệ thống sẽ chọn 1 giá chung để khớp. 
Mục tiêu: tìm giá mở cửa hợp lý
G3 : Post closing => Phiên sau đóng cửa (ATC / after-market) dùng để xác định giá đóng cửa
G4 : Odd lot => Giao dịch lô lẻ (< 100 cổ phiếu)
Ví dụ: Bình thường phải mua từ 100 CP, nhưng chỉ mua 23 cổ phiếu thì vào khu này
G7 : Buy-in => Giao dịch mua bắt buộc (Xảy ra trong tình huống có lỗi)
Ví dụ: Bạn đã bán cổ phiếu nhưng đến ngày giao hàng → bạn không có hàng để giao. Hệ thống bắt bạn đi mua lại bằng mọi giá để trả
G8 : Sell-out => Bán giải chấp / bán bắt buộc (Ngược với G7)
Ví dụ: Bạn vay tiền để đầu tư (margin) nhưng thua lỗ quá nhiều. Công ty chứng khoán sẽ tự động bán cổ phiếu của bạn để thu hồi tiền
T1 : Negotiation (regular) => Hai bên tự deal giá + khối lượng, không cần theo giá thị trường, không vào hệ thống khớp lệnh
Ví dụ: Bạn bán cho bạn mình 1 triệu cổ phiếu thì 2 bên tự deal giá
T4 : Negotiation (regular for Odd lot) => giống T1 nhưng cho lô lẻ (odd lot)
T2 : Negotiation (pre) => Giống T1 nhưng thỏa thuận trước giờ mở cửa
T3 : Negotiation (post) => Giống T1 nhưng thỏa thuận sau giờ giao dịch
T6 : Negotiation (post for Odd lot) => Giống T1 nhưng thỏa thuận sau giờ cho lô lẻ
R1 : Negotiation (Repo) => Giao dịch repo (mua bán có cam kết mua lại)
Ví dụ: Bán CP cho người khác nhưng vài ngày sau sẽ mua lại với giá cao hơn"
Trade Book HOSE;TRADE_BOOK_HOSE;6;TRADE_ID;Trade #;Số thứ tự giao dịch được ghi nhận trên hệ thống của Sàn trong ngày giao dịch, theo từng mã chứng khoán;
Trade Book HOSE;TRADE_BOOK_HOSE;7;TIME;Time;Thời gian diễn ra giao dịch khớp lệnh;
Trade Book HOSE;TRADE_BOOK_HOSE;8;SESSION;Session;Phiên giao dịch của thị trường chứng khoán;"00 — Pre-market opening session: Trước giờ mở cửa, Nhận lệnh nhưng chưa khớp
10 — Opening call auction session: Phiên khớp lệnh định kỳ mở cửa (ATO)
11 — Extension of opening call auction: Phiên gia hạn ATO, Dùng khi Cần thêm thời gian xác định giá Hoặc tránh thao túng phút cuối
20 — Continuous shifted auction session: Khớp lệnh liên tục (có điều chỉnh), Bắt đầu trading thực sự
21 — Extension of continuous session: Gia hạn phiên liên tục
25 — Buy-In: Phiên xử lý bắt buộc mua lại
30 — Closing single price auction session: Phiên ATC (đóng cửa)
40 — Continuous auction session: Khớp lệnh liên tục (chuẩn)
50 — Pre-market off-hour: Trước phiên ngoài giờ
60 — Post-market off-hour order receipt: Nhận lệnh ngoài giờ
65 — Post-market off-hours session: Giao dịch ngoài giờ
70 — Post-market off-hour (Call Auction): Đấu giá ngoài giờ
80 — Unit trading: Giao dịch lô lẻ
90 — Trading halt: Tạm dừng giao dịch
99 — Market closing: Đóng thị trường hoàn toàn"
Trade Book HOSE;TRADE_BOOK_HOSE;9;EXECUTION_EXEC_PRICE;Execution - Exec Price;Giá khớp lệnh thực tế của giao dịch;
Trade Book HOSE;TRADE_BOOK_HOSE;10;EXECUTION_EXEC_PRICE_LTP;Execution - Exec Price - LTP;Chênh lệnh giữa giá khớp lệnh và giá khớp gần nhất của mã chứng khoán;
Trade Book HOSE;TRADE_BOOK_HOSE;11;EXECUTION_VOLUME;Execution - Volume;Khối lượng khớp lệnh;
Trade Book HOSE;TRADE_BOOK_HOSE;12;EXECUTION_VALUE;Execution - Value;Tổng giá trị giao dịch của lệnh khớp;
Trade Book HOSE;TRADE_BOOK_HOSE;13;EXECUTION_LTP;Execution - LTP;Giá khớp gần nhất của mã chứng khoán trên thị trường (Last Traded Price);
Trade Book HOSE;TRADE_BOOK_HOSE;14;EXECUTION_NEW_HIGH_LOW_PRICE;Execution - New High/Low Price;Đánh dấu nếu lệnh tạo giá khớp cao nhất hoặc thấp nhất mới trong ngày, theo từng mã chứng khoán;#NAME?
Trade Book HOSE;TRADE_BOOK_HOSE;15;BUY_ORDER_DATE;Buy - Order Date;Ngày đặt lệnh mua;
Trade Book HOSE;TRADE_BOOK_HOSE;16;BUY_ORDER_TIME;Buy - Order Time;Thời gian đặt lệnh mua;
Trade Book HOSE;TRADE_BOOK_HOSE;17;BUY_ORDER_ACCEPT_ID;Buy - Order Accept #;Số thứ tự của lệnh mua được ghi nhận trên hệ thống của Sàn trong ngày giao dịch, theo từng mã chứng khoán;
Trade Book HOSE;TRADE_BOOK_HOSE;18;BUY_BRK_ID;Buy - BRK #;Mã/số công ty chứng khoán thực hiện giao dịch mua;
Trade Book HOSE;TRADE_BOOK_HOSE;19;BUY_BRK;Buy - BRK;Tên công ty chứng khoán thực hiện giao dịch mua;
Trade Book HOSE;TRADE_BOOK_HOSE;20;BUY_PIN;Buy - PIN;Mã PIN của tài khoản mua;
Trade Book HOSE;TRADE_BOOK_HOSE;21;BUY_ACCT_NO;Buy - Acct No;Mã/Số tài khoản giao dịch mua của nhà đầu tư;
Trade Book HOSE;TRADE_BOOK_HOSE;22;BUY_NAME;Buy - Name;Tên tài khoản giao dịch mua của nhà đầu tư;
Trade Book HOSE;TRADE_BOOK_HOSE;23;BUY_CLIENT_HOUSE_CLASSIFICATION_CODE;Buy - Client/House Classification Code;"Phân loại lệnh khách hàng/công ty của lệnh mua
Theo dữ liệu, có 2 loại dữ liệu: 10, 30";"10 Client trade
30 House trade"
Trade Book HOSE;TRADE_BOOK_HOSE;24;BUY_INVEST_TYPE;Buy - Invest Type;"Phân loại nhà đầu tư của lệnh mua
Theo dữ liệu, có 4 loại: 1000, 3000, 7000, 7100, 8000";"1000 / 8000: Cá nhân (Individual)
1100: Cá nhân trong nước
1200: Cá nhân chuyên nghiệp
2000: Công ty bảo hiểm
2100: Công ty bảo hiểm nhân thọ
2200: Bảo hiểm phi nhân thọ
3000: Quỹ đầu tư
3100: Quỹ cụ thể (mutual fund)
3200: ETF
3300: Hedge fund
4000: Ngân hàng
5000: Công ty chứng khoán
5100: CTCK tự doanh
5200: CTCK môi giới
6000: Tổ chức khác
7000: Nhà đầu tư nước ngoài
7100: Tổ chức nước ngoài
7200: Cá nhân nước ngoài
9000: Không xác định / khác"
Trade Book HOSE;TRADE_BOOK_HOSE;25;BUY_FOREIGNER_INVESTOR_TYPE;Buy - Foreigner Investor type;Phân loại đầu tư nước ngoài của lệnh mua;"00 Not Foreigner: Không phải NĐT nước ngoài
10 Foreigner(Residence): NĐT nước ngoài cư trú
20 Foreigner(Nonresidence): NĐT nước ngoài không cư trú"
Trade Book HOSE;TRADE_BOOK_HOSE;26;BUY_ORDER_PRICE;Buy - Order Price;Giá đặt mua;
Trade Book HOSE;TRADE_BOOK_HOSE;27;BUY_ORDER_VOL;Buy - Order VOL;Khối lượng đặt mua;
Trade Book HOSE;TRADE_BOOK_HOSE;28;BUY_TRADER_NO;Buy - Trader No;Mã/số định danh người thực hiện đặt mua;
Trade Book HOSE;TRADE_BOOK_HOSE;29;BUY_TRADER_NAME;Buy - Trader Name;Tên người thực hiện đặt mua;
Trade Book HOSE;TRADE_BOOK_HOSE;30;BUY_REFERENCE_SEQUENCE_NO;Buy - Reference Sequence No.;Số tham chiếu theo thứ tự đặt mua trong ngày;
Trade Book HOSE;TRADE_BOOK_HOSE;31;SELL_ORDER_DATE;Sell - Order Date;Ngày đặt lệnh bán;
Trade Book HOSE;TRADE_BOOK_HOSE;32;SELL_ORDER_TIME;Sell - Order Time;Thời gian đặt lệnh bán;
Trade Book HOSE;TRADE_BOOK_HOSE;33;SELL_ORDER_ACCEPT_ID;Sell - Order Accept #;Số thứ tự của lệnh bán được ghi nhận trên hệ thống của Sàn trong ngày giao dịch, theo từng mã chứng khoán;
Trade Book HOSE;TRADE_BOOK_HOSE;34;SELL_BRK_ID;Sell - BRK #;Mã/số công ty chứng khoán thực hiện giao dịch bán;
Trade Book HOSE;TRADE_BOOK_HOSE;35;SELL_BRK;Sell - BRK;Tên công ty chứng khoán thực hiện giao dịch bán;
Trade Book HOSE;TRADE_BOOK_HOSE;36;SELL_PIN;Sell - PIN;Mã PIN của tài khoản bán;
Trade Book HOSE;TRADE_BOOK_HOSE;37;SELL_ACCT_NO;Sell - Acct No;Mã/Số tài khoản giao dịch bán của nhà đầu tư;
Trade Book HOSE;TRADE_BOOK_HOSE;38;SELL_NAME;Sell - Name;Tên tài khoản giao dịch bán của nhà đầu tư;
Trade Book HOSE;TRADE_BOOK_HOSE;39;SELL_CLIENT_HOUSE_CLASSIFICATION_CODE;Sell - Client/House Classification Code;"Phân loại lệnh khách hàng/công ty của lệnh bán
Theo dữ liệu, có 2 loại dữ liệu: 10, 30";"10 Client trade
30 House trade"
Trade Book HOSE;TRADE_BOOK_HOSE;40;SELL_INVEST_TYPE;Sell - Invest Type;"Phân loại nhà đầu tư
Theo dữ liệu, có 4 loại: 1000, 7000, 7100, 8000";"1000 / 8000: Cá nhân (Individual); 
1100: Cá nhân trong nước
1200: Cá nhân chuyên nghiệp
2000: Công ty bảo hiểm
2100: Công ty bảo hiểm nhân thọ
2200: Bảo hiểm phi nhân thọ
3000: Quỹ đầu tư
3100: Quỹ cụ thể (mutual fund)
3200: ETF
3300: Hedge fund
4000: Ngân hàng
5000: Công ty chứng khoán
5100: CTCK tự doanh
5200: CTCK môi giới
6000: Tổ chức khác
7000: Nhà đầu tư nước ngoài
7100: Tổ chức nước ngoài
7200: Cá nhân nước ngoài
9000: Không xác định / khác"
Trade Book HOSE;TRADE_BOOK_HOSE;41;SELL_FOREIGNER_INVESTOR_TYPE;Sell - Foreigner Investor type;"Phân loại đầu tư nước ngoài của lệnh bán (00 - không; 10 - có)";"00 Not Foreigner: Không phải NĐT nước ngoài
10 Foreigner(Residence): NĐT nước ngoài cư trú
20 Foreigner(Nonresidence): NĐT nước ngoài không cư trú"
Trade Book HOSE;TRADE_BOOK_HOSE;42;SELL_ORDER_PRICE;Sell - Order Price;Giá đặt bán;
Trade Book HOSE;TRADE_BOOK_HOSE;43;SELL_ORDER_VOL;Sell - Order VOL;Khối lượng đặt bán;
Trade Book HOSE;TRADE_BOOK_HOSE;44;SELL_TRADER_NO;Sell - Trader No;Mã/số định danh người thực hiện đặt bán;
Trade Book HOSE;TRADE_BOOK_HOSE;45;SELL_TRADER_NAME;Sell - Trader Name;Tên người thực hiện đặt bán;
Trade Book HOSE;TRADE_BOOK_HOSE;46;SELL_REFERENCE_SEQUENCE_NO;Sell - Reference Sequence No.;Số tham chiếu theo thứ tự đặt bán trong ngày;
Order Book HNX;ORDER_BOOK_HNX;1;TRADE_DATE;Trade date;Ngày giao dịch;yyyymmdd
Order Book HNX;ORDER_BOOK_HNX;2;MARKET_ID;Market ID;Thị trường: Dùng để xác định lệnh đó thuộc thị trường nào. Mỗi Market có rule riêng;"ID for identifying the market
STO : HoSE Stock Market
BDO : HoSE Bond Market
RPO : HoSE Repo Market
STX : HNX Listed Stock Market
UPX : HNX UPCOM Stock Market
BDX : HNX Government Bond Market
DVX : HNX Derivatives Market
HCX : HNX Corporate Bond Market"
Order Book HNX;ORDER_BOOK_HNX;3;BOARD_ID;Board ID;Loại bảng: Xác định kiểm mua bán trong thị trường;"ID to identify boards where products are traded
G1 : Main
G2 : Pre open
G3 : Post closing
G4 : Odd lot
G7 : Buy-in
G8 : Sell-out
T1 : Negotiation (regular)
T4 : Negotiation (regular for Odd lot)
T2 : Negotiation (pre)
T3 : Negotiation (post)
T6 : Negotiation (post for Odd lot)
R1 : Negotiation (Repo)"
Order Book HNX;ORDER_BOOK_HNX;4;ISSUE_CODE;Issue Code;Mã định danh của loại chứng khoán đang được giao dịch. Mã này là duy nhất.;The unique code of an issue (a.k.a. instrument or symbol). Generally it is ISIN code but in case of Repo market it is defined as the exchange staffs want
Order Book HNX;ORDER_BOOK_HNX;5;ORDER_ACCEPT_TIME;order accept time;"Thời điểm chính xác mà lệnh được hệ thống giao dịch (matching engine) chấp nhận hợp lệ và đưa vào sổ lệnh.
Lưu ý: Giá trị này:
- Không phải lúc người dùng bấm “đặt lệnh”
- Không phải lúc công ty chứng khoán nhận lệnh 
- Mà là lúc KRX core system ghi nhận lệnh
- Dùng để xếp thứ tự ưu tiên và khớp lệnh";hh24misss
Order Book HNX;ORDER_BOOK_HNX;6;MEMBER_ID;Member ID;"Mã định danh thành viên giao dịch trên thị trường – thường là công ty chứng khoán hoặc tổ chức được phép gửi lệnh vào hệ thống KRX.
Member ID là mã duy nhất do Sở giao dịch cấp";Member code
