gold_entity,gold_table,gold_attribute,gold_column,nullable,data_domain,data_type,key,description,source_entity,silver_table,source_attribute,silver_column
Business Type Dimension,bsn_tp_dim,Business Type Name,bsn_tp_nm,true,Text,string,,Tên nghiệp vụ/dịch vụ tiếng Việt,Generated,,ETL derived,
Business Type Dimension,bsn_tp_dim,Business Category Code,bsn_cgy_code,true,Classification Value,string,,Phân loại: NGHIEP_VU / DICH_VU / DICH_VU_PHAI_SINH,Generated,,ETL derived,
Business Type Dimension,bsn_tp_dim,Effective Date,eff_dt,true,Date,date,DD,Ngày hiệu lực SCD2,Generated,,ETL derived,
Business Type Dimension,bsn_tp_dim,Expiry Date,expiry_dt,true,Date,date,DD,Ngày hết hiệu lực SCD2,Generated,,ETL derived,
Business Type Dimension,bsn_tp_dim,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Report Indicator Dimension,rpt_ind_dim,Report Indicator Dimension Id,rpt_ind_dim_id,false,Surrogate Key,string,PK,Surrogate key ETL generated,Generated,,ETL derived,
Report Indicator Dimension,rpt_ind_dim,Report Indicator Id,rpt_ind_id,false,Surrogate Key,string,BK,Silver surrogate Id — SCMS.DM_CHI_TIEU. ETL join key.,Member Report Indicator Value,mbr_rpt_ind_val,Report Indicator Id,rpt_ind_id
Report Indicator Dimension,rpt_ind_dim,Report Indicator Code,rpt_ind_code,false,Text,string,,Mã chỉ tiêu danh mục,Member Report Indicator Value,mbr_rpt_ind_val,Report Indicator Code,rpt_ind_code
Report Indicator Dimension,rpt_ind_dim,Report Template Code,rpt_tpl_code,true,Text,string,,Mã biểu mẫu báo cáo,Member Report Indicator Value,mbr_rpt_ind_val,Report Template Code,rpt_tpl_code
Report Indicator Dimension,rpt_ind_dim,Report Template Name,rpt_tpl_nm,true,Text,string,,Tên biểu mẫu báo cáo,Generated,,ETL derived,
Report Indicator Dimension,rpt_ind_dim,Sheet Name,shet_nm,true,Text,string,,Tên sheet báo cáo,Member Report Indicator Value,mbr_rpt_ind_val,Sheet Name,shet_nm
Report Indicator Dimension,rpt_ind_dim,Row Name,row_nm,true,Text,string,,Tên hàng báo cáo,Member Report Indicator Value,mbr_rpt_ind_val,Row Name,row_nm
Report Indicator Dimension,rpt_ind_dim,Column Name,clmn_nm,true,Text,string,,Tên cột báo cáo,Member Report Indicator Value,mbr_rpt_ind_val,Column Name,clmn_nm
Report Indicator Dimension,rpt_ind_dim,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Fact Securities Company Status Snapshot,fct_scr_co_st_snpst,Snapshot Date Dimension Id,snpst_dt_dim_id,false,Surrogate Dimension Key,string,FK → Calendar Date Dimension,FK lịch — ETL lookup từ Securities Company snapshot date,Securities Company,,ETL derived,
Fact Securities Company Status Snapshot,fct_scr_co_st_snpst,Securities Company Dimension Id,scr_co_dim_id,false,Surrogate Dimension Key,string,FK → Securities Company Dimension,FK CTCK,Securities Company,scr_co,Securities Company Id,scr_co_id
Fact Securities Company Status Snapshot,fct_scr_co_st_snpst,Company Status Code,co_st_code,false,Classification Value,string,FK → Classification Dimension (scheme: SCMS_COMPANY_STATUS),Trạng thái CTCK,Securities Company,scr_co,Company Status Code,co_st_code
Fact Securities Company Status Snapshot,fct_scr_co_st_snpst,Indicator Value Amount,ind_val_amt,true,Currency Amount,"decimal(23,2)",,Giá trị chỉ tiêu số từ BC_BAO_CAO_GT,Member Report Indicator Value,mbr_rpt_ind_val,Value,val
Fact Securities Company Status Snapshot,fct_scr_co_st_snpst,Report Indicator Code,rpt_ind_code,true,Text,string,,"Mã chỉ tiêu (K_QLKD_10,11 — xem O_QLKD_1)",Member Report Indicator Value,mbr_rpt_ind_val,Report Indicator Code,rpt_ind_code
Fact Securities Company Status Snapshot,fct_scr_co_st_snpst,Report Date,rpt_dt,true,Date,date,,Ngày số liệu báo cáo,Member Report Indicator Value,mbr_rpt_ind_val,Report Date,rpt_dt
Fact Securities Company Status Snapshot,fct_scr_co_st_snpst,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Fact Securities Company Service Snapshot,fct_scr_co_svc_snpst,Snapshot Date Dimension Id,snpst_dt_dim_id,false,Surrogate Dimension Key,string,FK → Calendar Date Dimension,FK lịch — ngày snapshot,Generated,,ETL derived,
Fact Securities Company Service Snapshot,fct_scr_co_svc_snpst,Securities Company Dimension Id,scr_co_dim_id,false,Surrogate Dimension Key,string,FK → Securities Company Dimension,FK CTCK,Securities Company,scr_co,Securities Company Id,scr_co_id
Fact Securities Company Service Snapshot,fct_scr_co_svc_snpst,Business Type Dimension Id,bsn_tp_dim_id,false,Surrogate Dimension Key,string,FK → Business Type Dimension,FK nghiệp vụ/dịch vụ,Generated,,ETL derived,
Fact Securities Company Service Snapshot,fct_scr_co_svc_snpst,Business Type Code,bsn_tp_code,false,Classification Value,string,FK → Classification Dimension (scheme: FIMS_BUSINESS_TYPE),Mã nghiệp vụ/dịch vụ,Generated,,ETL derived,
Fact Securities Company Service Snapshot,fct_scr_co_svc_snpst,Is Active Indicator,is_actv_ind,true,Indicator,string,,Cờ đang hoạt động,Generated,,ETL derived,
Fact Securities Company Service Snapshot,fct_scr_co_svc_snpst,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Fact Securities Company Financial Structure Snapshot,fct_scr_co_fnc_stc_snpst,Report Date Dimension Id,rpt_dt_dim_id,false,Surrogate Dimension Key,string,FK → Calendar Date Dimension,FK lịch — ngày số liệu báo cáo,Member Report Indicator Value,mbr_rpt_ind_val,Report Date,rpt_dt
Fact Securities Company Financial Structure Snapshot,fct_scr_co_fnc_stc_snpst,Securities Company Dimension Id,scr_co_dim_id,false,Surrogate Dimension Key,string,FK → Securities Company Dimension,FK CTCK,Member Report Indicator Value,mbr_rpt_ind_val,Securities Company Id,scr_co_id
Fact Securities Company Financial Structure Snapshot,fct_scr_co_fnc_stc_snpst,Report Indicator Dimension Id,rpt_ind_dim_id,false,Surrogate Dimension Key,string,FK → Report Indicator Dimension,FK chỉ tiêu danh mục,Member Report Indicator Value,mbr_rpt_ind_val,Report Indicator Id,rpt_ind_id
Fact Securities Company Financial Structure Snapshot,fct_scr_co_fnc_stc_snpst,Report Template Code,rpt_tpl_code,true,Text,string,,Mã biểu mẫu (DD),Member Report Indicator Value,mbr_rpt_ind_val,Report Template Code,rpt_tpl_code
Fact Securities Company Financial Structure Snapshot,fct_scr_co_fnc_stc_snpst,Report Period Type Code,rpt_prd_tp_code,false,Classification Value,string,FK → Classification Dimension (scheme: SCMS_REPORT_PERIOD_TYPE),Kỳ báo cáo: tháng/quý/năm,Member Periodic Report,mbr_prd_rpt,Reporting Period Type Code,rpt_prd_tp_code
Fact Securities Company Financial Structure Snapshot,fct_scr_co_fnc_stc_snpst,Indicator Value Amount,ind_val_amt,true,Currency Amount,"decimal(23,2)",,Giá trị chỉ tiêu — cast từ Value (Text),Member Report Indicator Value,mbr_rpt_ind_val,Value,val
Fact Securities Company Financial Structure Snapshot,fct_scr_co_fnc_stc_snpst,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Fact Securities Company Report Compliance Snapshot,fct_scr_co_rpt_cmpln_snpst,Snapshot Date Dimension Id,snpst_dt_dim_id,false,Surrogate Dimension Key,string,FK → Calendar Date Dimension,FK lịch — ngày snapshot tuân thủ,Generated,,ETL derived,
Fact Securities Company Report Compliance Snapshot,fct_scr_co_rpt_cmpln_snpst,Securities Company Dimension Id,scr_co_dim_id,false,Surrogate Dimension Key,string,FK → Securities Company Dimension,FK CTCK,Member Periodic Report,mbr_prd_rpt,Securities Company Id,scr_co_id
Fact Securities Company Report Compliance Snapshot,fct_scr_co_rpt_cmpln_snpst,Report Template Code,rpt_tpl_code,true,Text,string,,Mã biểu mẫu (DD),Member Periodic Report,mbr_prd_rpt,Report Template Code,rpt_tpl_code
Fact Securities Company Report Compliance Snapshot,fct_scr_co_rpt_cmpln_snpst,Submission Date,submission_dt,true,Date,date,,Ngày nộp thực tế,Member Periodic Report,mbr_prd_rpt,Submission Date,subm_dt
Fact Securities Company Report Compliance Snapshot,fct_scr_co_rpt_cmpln_snpst,Submission Deadline Date,submission_ddln_dt,true,Date,date,,Ngày hạn nộp,Member Periodic Report,mbr_prd_rpt,Submission Deadline Date,subm_ddln_dt
Fact Securities Company Report Compliance Snapshot,fct_scr_co_rpt_cmpln_snpst,Submission Status Code,submission_st_code,false,Classification Value,string,FK → Classification Dimension (scheme: SCMS_SUBMISSION_STATUS),Trạng thái nộp báo cáo,Member Periodic Report,mbr_prd_rpt,Submission Status Code,subm_st_code
Fact Securities Company Report Compliance Snapshot,fct_scr_co_rpt_cmpln_snpst,Report Period Year,rpt_prd_yr,true,Small Counter,int,,Năm kỳ báo cáo,Member Periodic Report,mbr_prd_rpt,Year Value,yr_val
Fact Securities Company Report Compliance Snapshot,fct_scr_co_rpt_cmpln_snpst,Report Period Type Code,rpt_prd_tp_code,false,Classification Value,string,FK → Classification Dimension (scheme: SCMS_REPORT_PERIOD_TYPE),Kỳ báo cáo,Member Periodic Report,mbr_prd_rpt,Reporting Period Type Code,rpt_prd_tp_code
Fact Securities Company Report Compliance Snapshot,fct_scr_co_rpt_cmpln_snpst,Is On Time Indicator,is_on_tm_ind,true,Indicator,string,,Cờ nộp đúng hạn — ETL derived,Generated,,ETL derived,
Fact Securities Company Report Compliance Snapshot,fct_scr_co_rpt_cmpln_snpst,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Securities Company 360 Profile,scr_co_360_prfl,Securities Company Id,scr_co_id,false,Surrogate Key,string,PK,Surrogate key ETL generated,Generated,,ETL derived,
Securities Company 360 Profile,scr_co_360_prfl,Securities Company Code,scr_co_code,false,Text,string,BK,Mã CTCK — ETL join key,Securities Company,scr_co,Securities Company Code,scr_co_code
Securities Company 360 Profile,scr_co_360_prfl,Securities Company Name,scr_co_nm,true,Text,string,,Tên đầy đủ CTCK,Securities Company,scr_co,Securities Company Name,scr_co_nm
Securities Company 360 Profile,scr_co_360_prfl,Securities Company Short Name,scr_co_shrt_nm,true,Text,string,,Tên viết tắt,Securities Company,scr_co,Securities Company Short Name,scr_co_shrt_nm
Securities Company 360 Profile,scr_co_360_prfl,Company Status Code,co_st_code,true,Classification Value,string,,Trạng thái hoạt động,Securities Company,scr_co,Company Status Code,co_st_code
Securities Company 360 Profile,scr_co_360_prfl,License Number,license_nbr,true,Text,string,,Số giấy phép TLHĐ,Securities Company,scr_co,Business License Number,bsn_lcs_nbr
Securities Company 360 Profile,scr_co_360_prfl,License Date,license_dt,true,Date,date,,Ngày cấp phép lần đầu,Generated,,ETL derived,
Securities Company 360 Profile,scr_co_360_prfl,Charter Capital Amount,charter_cptl_amt,true,Currency Amount,"decimal(23,2)",,Vốn điều lệ (đồng),Securities Company,scr_co,Charter Capital Amount,charter_cptl_amt
Securities Company 360 Profile,scr_co_360_prfl,Is Listed Indicator,is_list_ind,true,Indicator,string,,Cờ niêm yết,Securities Company,scr_co,Is Listed Indicator,is_list_ind
Securities Company 360 Profile,scr_co_360_prfl,Stock Exchange Name,stk_exg_nm,true,Text,string,,Tên sàn niêm yết,Securities Company,scr_co,Stock Exchange Name,stk_exg_nm
Securities Company 360 Profile,scr_co_360_prfl,Business Type Codes,bsn_tp_codes,true,Text,string,,Danh sách mã nghiệp vụ/dịch vụ (scheme: FIMS_BUSINESS_TYPE),Securities Company,scr_co,Business Type Codes,bsn_tp_codes
Securities Company 360 Profile,scr_co_360_prfl,Personnel Count,psn_cnt,true,Small Counter,int,,"Số nhân viên — từ Member Report Indicator Value, xem O_QLKD_11",Member Report Indicator Value,mbr_rpt_ind_val,Value,val
Securities Company 360 Profile,scr_co_360_prfl,Indicator Value Amount,ind_val_amt,true,Currency Amount,"decimal(23,2)",,Giá trị chỉ tiêu tài chính summary,Member Report Indicator Value,mbr_rpt_ind_val,Value,val
Securities Company 360 Profile,scr_co_360_prfl,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Financial Report History Id,fnc_rpt_hist_id,false,Surrogate Key,string,PK,Surrogate key ETL generated,Generated,,ETL derived,
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Securities Company Code,scr_co_code,false,Text,string,BK,Mã CTCK,Member Periodic Report,mbr_prd_rpt,Securities Company Code,scr_co_code
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Report Template Code,rpt_tpl_code,false,Text,string,,Mã biểu mẫu báo cáo,Member Periodic Report,mbr_prd_rpt,Report Template Code,rpt_tpl_code
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Report Period Year,rpt_prd_yr,false,Small Counter,int,,Năm kỳ báo cáo,Member Periodic Report,mbr_prd_rpt,Year Value,yr_val
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Report Period Type Code,rpt_prd_tp_code,false,Classification Value,string,,Kỳ: tháng/quý/năm/bán niên,Member Periodic Report,mbr_prd_rpt,Reporting Period Type Code,rpt_prd_tp_code
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Report Date,rpt_dt,true,Date,date,,Ngày số liệu báo cáo,Member Periodic Report,mbr_prd_rpt,Report Date,rpt_dt
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Submission Date,submission_dt,true,Date,date,,Ngày nộp thực tế,Member Periodic Report,mbr_prd_rpt,Submission Date,subm_dt
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Submission Deadline Date,submission_ddln_dt,true,Date,date,,Hạn nộp,Member Periodic Report,mbr_prd_rpt,Submission Deadline Date,subm_ddln_dt
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Submission Status Code,submission_st_code,true,Classification Value,string,,Trạng thái nộp,Member Periodic Report,mbr_prd_rpt,Submission Status Code,subm_st_code
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Indicator Value Amount,ind_val_amt,true,Currency Amount,"decimal(23,2)",,Giá trị chỉ tiêu BCTC — cast từ Value,Member Report Indicator Value,mbr_rpt_ind_val,Value,val
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Report Indicator Code,rpt_ind_code,true,Text,string,,Mã chỉ tiêu,Member Report Indicator Value,mbr_rpt_ind_val,Report Indicator Code,rpt_ind_code
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Row Name,row_nm,true,Text,string,,Tên hàng chỉ tiêu,Member Report Indicator Value,mbr_rpt_ind_val,Row Name,row_nm
Securities Company Financial Report History,scr_co_fnc_rpt_hist,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Securities Company Personnel Profile,scr_co_psn_prfl,Personnel Profile Id,psn_prfl_id,false,Surrogate Key,string,PK,Surrogate key ETL generated,Generated,,ETL derived,
Securities Company Personnel Profile,scr_co_psn_prfl,Securities Company Senior Personnel Id,scr_co_snr_psn_id,false,Surrogate Key,string,BK,Silver surrogate Id nhân sự — ETL join key,Securities Company Senior Personnel,scr_co_snr_psn,Securities Company Senior Personnel Id,scr_co_snr_psn_id
Securities Company Personnel Profile,scr_co_psn_prfl,Securities Company Code,scr_co_code,false,Text,string,,Mã CTCK,Securities Company Senior Personnel,scr_co_snr_psn,Securities Company Code,scr_co_code
Securities Company Personnel Profile,scr_co_psn_prfl,Full Name,full_nm,false,Text,string,,Họ tên nhân sự,Securities Company Senior Personnel,scr_co_snr_psn,Full Name,full_nm
Securities Company Personnel Profile,scr_co_psn_prfl,Position Type Code,pos_tp_code,true,Classification Value,string,,Chức vụ (scheme: SCMS_POSITION_TYPE),Securities Company Senior Personnel,scr_co_snr_psn,Position Type Code,pos_tp_code
Securities Company Personnel Profile,scr_co_psn_prfl,Date Of Birth,dob,true,Date,date,,Ngày sinh,Securities Company Senior Personnel,scr_co_snr_psn,Date Of Birth,dob
Securities Company Personnel Profile,scr_co_psn_prfl,Individual Gender Code,idv_gnd_code,true,Classification Value,string,,Giới tính (scheme: INDIVIDUAL_GENDER),Securities Company Senior Personnel,scr_co_snr_psn,Individual Gender Code,idv_gnd_code
Securities Company Personnel Profile,scr_co_psn_prfl,Identification Number,identn_nbr,true,Text,string,,CMND/CCCD — từ Involved Party Alternative Identification,Involved Party Alternative Identification,ip_alt_identn,Identification Number,identn_nbr
Securities Company Personnel Profile,scr_co_psn_prfl,Email Address,email_adr,true,Text,string,,Email — từ Involved Party Electronic Address,Generated,,ETL derived,
Securities Company Personnel Profile,scr_co_psn_prfl,Phone Number,ph_nbr,true,Text,string,,Điện thoại — từ Involved Party Electronic Address,Generated,,ETL derived,
Securities Company Personnel Profile,scr_co_psn_prfl,Personnel Status Code,psn_st_code,true,Classification Value,string,,Trạng thái nhân sự (scheme: SCMS_PERSONNEL_STATUS),Securities Company Senior Personnel,scr_co_snr_psn,Personnel Status Code,psn_st_code
Securities Company Personnel Profile,scr_co_psn_prfl,Created Timestamp,crt_tms,true,Timestamp,timestamp,,Ngày tạo bản ghi — dùng làm proxy ngày bổ nhiệm,Securities Company Senior Personnel,scr_co_snr_psn,Created Timestamp,crt_tms
Securities Company Personnel Profile,scr_co_psn_prfl,Resignation Date,resignation_dt,true,Date,date,,Ngày thôi việc,Securities Company Senior Personnel,scr_co_snr_psn,Resignation Date,resignation_dt
Securities Company Personnel Profile,scr_co_psn_prfl,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Shareholder Profile Id,shrhlr_prfl_id,false,Surrogate Key,string,PK,Surrogate key ETL generated,Generated,,ETL derived,
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Securities Company Shareholder Id,scr_co_shrhlr_id,false,Surrogate Key,string,BK,Silver surrogate Id cổ đông — ETL join key,Securities Company Shareholder,scr_co_shrhlr,Securities Company Shareholder Id,scr_co_shrhlr_id
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Securities Company Code,scr_co_code,false,Text,string,,Mã CTCK,Securities Company Shareholder,scr_co_shrhlr,Securities Company Code,scr_co_code
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Shareholder Name,shrhlr_nm,false,Text,string,,Tên cổ đông,Securities Company Shareholder,scr_co_shrhlr,Shareholder Name,shrhlr_nm
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Is Individual Indicator,is_idv_ind,true,Indicator,string,,Cổ đông cá nhân hay tổ chức,Securities Company Shareholder,scr_co_shrhlr,Is Individual Indicator,is_idv_ind
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Shareholder Type Code,shrhlr_tp_code,true,Classification Value,string,,Loại cổ đông (scheme: SCMS_SHAREHOLDER_RELATION_TYPE),Securities Company Shareholder,scr_co_shrhlr,Shareholder Type Code,shrhlr_tp_code
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Share Quantity,shr_qty,true,Small Counter,int,,Số CP nắm giữ tại CTCK,Securities Company Shareholder,scr_co_shrhlr,Share Quantity,shr_qty
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Share Ratio,shr_rto,true,Percentage,"decimal(5,2)",,Tỷ lệ sở hữu CP (%),Securities Company Shareholder,scr_co_shrhlr,Share Ratio,shr_rto
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Identification Number,identn_nbr,true,Text,string,,CMND/CCCD cổ đông — từ Involved Party Alternative Identification,Involved Party Alternative Identification,ip_alt_identn,Identification Number,identn_nbr
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Job Position Name,job_pos_nm,true,Text,string,,Chức vụ cổ đông tại nơi khác (text tự do),Securities Company Shareholder,scr_co_shrhlr,Job Position Name,job_pos_nm
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Workplace Name,workplace_nm,true,Text,string,,Nơi làm việc của cổ đông (text tự do),Securities Company Shareholder,scr_co_shrhlr,Workplace Name,workplace_nm
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Trading Account Number,tdg_ac_nbr,true,Text,string,,Số TK giao dịch tại CTCK này,Securities Company Shareholder,scr_co_shrhlr,Trading Account Number,tdg_ac_nbr
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Shareholder Status Code,shrhlr_st_code,true,Classification Value,string,,Trạng thái cổ đông (scheme: SCMS_SHAREHOLDER_STATUS),Securities Company Shareholder,scr_co_shrhlr,Shareholder Status Code,shrhlr_st_code
Securities Company Shareholder Profile,scr_co_shrhlr_prfl,Population Date,ppn_dt,true,Timestamp,timestamp,,ETL load timestamp,Generated,,ETL derived,
Securities Company Practitioner Profile,scr_co_practitioner_prfl,Practitioner Profile Id,practitioner_prfl_id,false,Surrogate Key,string,PK,Surrogate key ETL generated,Generated,,ETL derived,
Securities Company Practitioner Profile,scr_co_practitioner_prfl,Practitioner Id,practitioner_id,false,Surrogate Key,string,BK,Silver surrogate Id NHN (NHNCK) — ETL join key,Securities Practitioner,scr_prac,Practitioner Id,prac_id
Securities Company Practitioner Profile,scr_co_practitioner_prfl,Securities Company Code,scr_co_code,false,Text,string,,Mã CTCK,Securities Practitioner,scr_prac,Securities Company Code,scr_co_code
Securities Company Practitioner Profile,scr_co_practitioner_prfl,Full Name,full_nm,false,Text,string,,Họ tên NHN,Securities Practitioner,scr_prac,Full Name,full_nm
Securities Company Practitioner Profile,scr_co_practitioner_prfl,Identity Reference Code,identity_refr_code,true,Text,string,,CMND/CCCD NHN,Securities Practitioner,scr_prac,Identity Reference Code,id_refr_code
Securities Company Practitioner Profile,scr_co_practitioner_prfl,Practice Status Code,practice_st_code,true,Classification Value,string,,Trạng thái hành nghề (scheme: NHNCK_PRACTICE_STATUS),Securities Practitioner,scr_prac,Practice Status Code,practice_st_code
Securities Company Practitioner Profile,scr_co_practitioner_prfl,Practitioner Registration Type Code,practitioner_rgst_tp_code,true,Classification Value,string,,Loại đăng ký HN (scheme: NHNCK_REGISTRATION_TYPE),Securities Practitioner,scr_prac,Practitioner Registration Type Code,prac_rgst_tp_code
Securities Company Practitioner Profile,scr_co_practitioner_prfl,License Certificate Number,license_ctf_nbr,true,Text,string,,Số GCN hành nghề,Securities Practitioner License Certificate Document,scr_prac_license_ctf_doc,Certificate Number,ctf_nbr
