"stt","datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"4","Classification Dimension","cl_dim","Scheme Code","scm_code","false","Classification Value","string","","Mã scheme phân loại: TT_CASE_STATUS","cv.scm_code WHERE cv.scm_code = 'TT_CASE_STATUS'","direct","Classification Value","cv","Scheme Code","scm_code"
"4","Classification Dimension","cl_dim","Scheme Code","scm_code","false","Classification Value","string","","Mã scheme phân loại: TT_PLAN_TYPE","cv.scm_code WHERE cv.scm_code = 'TT_PLAN_TYPE'","direct","Classification Value","cv","Scheme Code","scm_code"
"4","Classification Dimension","cl_dim","Scheme Code","scm_code","false","Classification Value","string","","Mã scheme phân loại: TT_PETITION_TYPE","cv.scm_code WHERE cv.scm_code = 'TT_PETITION_TYPE'","direct","Classification Value","cv","Scheme Code","scm_code"
"4","Classification Dimension","cl_dim","Scheme Code","scm_code","false","Classification Value","string","","Mã scheme phân loại: TT_PETITION_STATUS","cv.scm_code WHERE cv.scm_code = 'TT_PETITION_STATUS'","direct","Classification Value","cv","Scheme Code","scm_code"
"4","Classification Dimension","cl_dim","Scheme Code","scm_code","false","Classification Value","string","","Mã scheme phân loại: TT_SUBJECT_CATEGORY — PENDING (O_TT_4)","","pending","","","",""
"4","Classification Dimension","cl_dim","Scheme Code","scm_code","false","Classification Value","string","","Mã scheme phân loại: TT_PENALTY_SUBJECT_CATEGORY — PENDING (O_TT_9)","","pending","","","",""
"4","Classification Dimension","cl_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — scheme TT_VIOLATION_TYPE","cv.src_stm_code WHERE cv.scm_code = 'TT_VIOLATION_TYPE'","direct","Classification Value","cv","Source System Code","src_stm_code"
"4","Classification Dimension","cl_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — scheme TT_CASE_STATUS","cv.src_stm_code WHERE cv.scm_code = 'TT_CASE_STATUS'","direct","Classification Value","cv","Source System Code","src_stm_code"
"4","Classification Dimension","cl_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — scheme TT_PLAN_TYPE","cv.src_stm_code WHERE cv.scm_code = 'TT_PLAN_TYPE'","direct","Classification Value","cv","Source System Code","src_stm_code"
"4","Classification Dimension","cl_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — scheme TT_PETITION_TYPE","cv.src_stm_code WHERE cv.scm_code = 'TT_PETITION_TYPE'","direct","Classification Value","cv","Source System Code","src_stm_code"
"4","Classification Dimension","cl_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — scheme TT_PETITION_STATUS","cv.src_stm_code WHERE cv.scm_code = 'TT_PETITION_STATUS'","direct","Classification Value","cv","Source System Code","src_stm_code"
"4","Classification Dimension","cl_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — scheme TT_SUBJECT_CATEGORY — PENDING (O_TT_4)","","pending","","","",""
"4","Classification Dimension","cl_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — scheme TT_PENALTY_SUBJECT_CATEGORY — PENDING (O_TT_9)","","pending","","","",""
"5","Corporate Bond Trading Snapshot Dimension","corp_bond_issr_dim","Bond Ticker","bond_ticker","false","Text","string","NK","Mã trái phiếu — join anchor ETL từ Fact.","corp_bond_tdg_snpst.symb","direct","Corporate Bond Trading Snapshot","corp_bond_tdg_snpst","Symbol","symb"
"5","Corporate Bond Trading Snapshot Dimension","corp_bond_issr_dim","Corporate Bond Trading Snapshot Dimension Id","corp_bond_issr_dim_id","false","Surrogate Key","string","PK","Surrogate key — ETL generated. Driving = corp_bond_tdg_snpst.","","","Generated","","",""
"5","Corporate Bond Trading Snapshot Dimension","corp_bond_issr_dim","Issuer Name","issr_nm","true","Text","string","","Tên tổ chức phát hành trái phiếu.","corp_bond_tdg_snpst.full_nm","direct","Corporate Bond Trading Snapshot","corp_bond_tdg_snpst","Full Name","full_nm"
"5","Corporate Bond Trading Snapshot Dimension","corp_bond_issr_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — filter nguồn chính thức MDDS CorpBondInfor để đảm bảo forward-compatible khi Atomic bổ sung nguồn. Driving table: corp_bond_tdg_snpst.","corp_bond_tdg_snpst.src_stm_code WHERE corp_bond_tdg_snpst.src_stm_code = 'MDDS_CorpBondInfor'","direct","Corporate Bond Trading Snapshot","corp_bond_tdg_snpst","Source System Code","src_stm_code"
"6","Corporate Bond Trading Snapshot Industry Dimension","corp_bond_issr_indy_dim","Bond Ticker","bond_ticker","false","Text","string","NK","Mã trái phiếu — join anchor ETL. Dùng join chain sang pblc_co để lấy ngành.","corp_bond_tdg_snpst.symb","direct","Corporate Bond Trading Snapshot","corp_bond_tdg_snpst","Symbol","symb"
"6","Corporate Bond Trading Snapshot Industry Dimension","corp_bond_issr_indy_dim","Bond Issuer Public Company Dimension Id","corp_bond_issr_indy_dim_id","false","Surrogate Key","string","PK","Surrogate key — ETL generated. Driving = corp_bond_tdg_snpst.","","","Generated","","",""
"6","Corporate Bond Trading Snapshot Industry Dimension","corp_bond_issr_indy_dim","Industry Level1 Code","idy_cgy_level1_code","true","Classification Value","string","","Mã ngành TPDN cấp 1 — slicer Ngành cho Nhóm 2. Scheme: IDS_INDUSTRY_CATEGORY. Join: corp_bond_tdg_snpst.symb → pblc_co.bond_ticker.","JOIN pblc_co ON pblc_co.bond_ticker = corp_bond_tdg_snpst.symb → pblc_co.idy_cgy_level1_code","join_atomic","Public Company","pblc_co","Industry Category Level1 Code","idy_cgy_level1_code"
"6","Corporate Bond Trading Snapshot Industry Dimension","corp_bond_issr_indy_dim","Industry Level1 Name","idy_cgy_level1_nm","true","Text","string","","Tên ngành TPDN cấp 1. Join: corp_bond_tdg_snpst.symb → pblc_co.bond_ticker → cv (scheme IDS_INDUSTRY_CATEGORY).","JOIN pblc_co ON pblc_co.bond_ticker = corp_bond_tdg_snpst.symb → JOIN cv ON cv.cl_code = pblc_co.idy_cgy_level1_code AND cv.scm_code = 'IDS_INDUSTRY_CATEGORY' → cv.cl_nm","join_atomic","Classification Value","cv","Classification Name","cl_nm"
"6","Corporate Bond Trading Snapshot Industry Dimension","corp_bond_issr_indy_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — filter nguồn chính thức MDDS CorpBondInfor để đảm bảo forward-compatible khi Atomic bổ sung nguồn. Driving table: corp_bond_tdg_snpst.","corp_bond_tdg_snpst.src_stm_code WHERE corp_bond_tdg_snpst.src_stm_code = 'MDDS_CorpBondInfor'","direct","Corporate Bond Trading Snapshot","corp_bond_tdg_snpst","Source System Code","src_stm_code"
"7","Corp Bond Sector Dimension","corp_bond_sctr_dim","Corp Bond Sector Dimension Id","corp_bond_sctr_dim_id","false","Surrogate Key","string","PK","Surrogate PK — Driving: pblc_co (filter bond_scr_f = true)","","","Generated","","",""
"7","Corp Bond Sector Dimension","corp_bond_sctr_dim","Sector Code","sctr_code","false","Classification Value","string","NK","Mã ngành TCPH (NK)","pblc_co.idy_cgy_code WHERE pblc_co.bond_scr_f = true","direct","Public Company","pblc_co","Industry Category Code","idy_cgy_code"
"7","Corp Bond Sector Dimension","corp_bond_sctr_dim","Sector Name","sctr_nm","true","Text","string","","Tên ngành TCPH — Classification Value scheme IDS_INDUSTRY_CATEGORY","pblc_co.idy_cgy_code","direct","Public Company","pblc_co","Industry Category Code","idy_cgy_code"
"7","Corp Bond Sector Dimension","corp_bond_sctr_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn","pblc_co.src_stm_code WHERE pblc_co.src_stm_code = 'IDS'","direct","Public Company","pblc_co","Source System Code","src_stm_code"
"8","Complaint Petition List","cpln_petition_list","Complainant Name","complainant_nm","true","Text","string","","Tên tổ chức/cá nhân gửi đơn (snapshot) — ThanhTra.DT_DON_THU.TEN_TO_CHUC_CA_NHAN","cpln_petition.complainant_nm","direct","Complaint Petition","cpln_petition","Complainant Name","complainant_nm"
"8","Complaint Petition List","cpln_petition_list","Complaint Petition Code","cpln_petition_code","false","Text","string","PK","PK bảng tác nghiệp — PK nguồn DT_DON_THU.ID. Driving table: cpln_petition. ThanhTra.DT_DON_THU.ID","cpln_petition.cpln_petition_code","direct","Complaint Petition","cpln_petition","Complaint Petition Code","cpln_petition_code"
"8","Complaint Petition List","cpln_petition_list","Petition Status Code","petition_st_code","true","Classification Value","string","","Trạng thái đơn: MOI/DANG_XU_LY/HOAN_THANH/DONG — ThanhTra.DT_DON_THU.TRANG_THAI. scheme TT_PETITION_STATUS","cpln_petition.petition_st_code","direct","Complaint Petition","cpln_petition","Petition Status Code","petition_st_code"
"8","Complaint Petition List","cpln_petition_list","Petition Type Code","petition_tp_code","true","Classification Value","string","","Loại đơn — ThanhTra.DT_DON_THU.LOAI_DON. scheme TT_PETITION_TYPE. ETL gộp PHAN_ANH+KIEN_NGHI → PHAN_ANH_KIEN_NGHI","cpln_petition.petition_tp_code","direct","Complaint Petition","cpln_petition","Petition Type Code","petition_tp_code"
"8","Complaint Petition List","cpln_petition_list","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — filter nguồn chính thức ThanhTra_DT_DON_THU. Driving table: cpln_petition.","cpln_petition.src_stm_code WHERE cpln_petition.src_stm_code = 'ThanhTra_DT_DON_THU'","direct","Complaint Petition","cpln_petition","Source System Code","src_stm_code"
"8","Complaint Petition List","cpln_petition_list","Submission Date","submission_dt","true","Date","date","","Ngày tiếp nhận đơn — ThanhTra.DT_DON_THU.NGAY_TIEP_NHAN","cpln_petition.subm_dt","direct","Complaint Petition","cpln_petition","Submission Date","subm_dt"
"8","Complaint Petition List","cpln_petition_list","Submission Year","submission_yr","true","Small Counter","int","","Năm tiếp nhận đơn — ETL: YEAR(NGAY_TIEP_NHAN). Dùng index filter thay YEAR() function","YEAR(cpln_petition.subm_dt)","computed","Complaint Petition","cpln_petition","Submission Date","subm_dt"
"9","Fact Corporate Bond Daily Market Summary","fct_corp_bond_dly_mkt_smry","Close Price","cls_prc","true","Currency Amount","decimal(23,2)","","Giá đóng cửa TPDN — K_GSTT_15b.","corp_bond_tdg_snpst.cls_prc","direct","Corporate Bond Trading Snapshot","corp_bond_tdg_snpst","Close Price","cls_prc"
"9","Fact Corporate Bond Daily Market Summary","fct_corp_bond_dly_mkt_smry","Corporate Bond Trading Snapshot Dimension Id","corp_bond_issr_dim_id","false","Surrogate Dimension Key","string","FK → Corporate Bond Trading Snapshot Dimension","FK tổ chức phát hành TPDN. Driving = corp_bond_tdg_snpst.","LOOKUP corp_bond_issr_dim ON corp_bond_issr_dim.bond_ticker = corp_bond_tdg_snpst.symb AND corp_bond_tdg_snpst.tdg_dt BETWEEN corp_bond_issr_dim.eff_dt AND corp_bond_issr_dim.expiry_dt","lookup_dim","Corporate Bond Trading Snapshot","corp_bond_tdg_snpst","Symbol","symb"
"9","Fact Corporate Bond Daily Market Summary","fct_corp_bond_dly_mkt_smry","Bond Issuer Public Company Dimension Id","corp_bond_issr_indy_dim_id","true","Surrogate Dimension Key","string","FK → Corporate Bond Trading Snapshot Industry Dimension","FK ngành TPDN. Nullable: TPDN không map được sang pblc_co (O_GSTT_7).","JOIN pblc_co ON pblc_co.bond_ticker = corp_bond_tdg_snpst.symb → LOOKUP corp_bond_issr_indy_dim ON corp_bond_issr_indy_dim.bond_ticker = corp_bond_tdg_snpst.symb AND corp_bond_tdg_snpst.tdg_dt BETWEEN corp_bond_issr_indy_dim.eff_dt AND corp_bond_issr_indy_dim.expiry_dt","lookup_dim","Public Company","pblc_co","Bond Ticker","bond_ticker"
