term_id,parent_term_id,term_name,definition,primary_grain,data_domain,source_tags,entity_tags,status,notes
NHNCK_014,,License Application Processing Activity Log Code,Mã định danh (tự động tăng). BK,theo từng thao tác xử lý hồ sơ,Text,NHNCK,Securities Practitioner License Application Processing Activity Log,draft,BK chính.
NHNCK_015,,Officer Code,Mã tài khoản thực hiện,theo từng thao tác xử lý hồ sơ,Text,NHNCK,Securities Practitioner License Application Processing Activity Log,draft,FK target: Regulatory Authority Officer.Officer Code. Pair with Officer Id.
NHNCK_016,,Client Machine Address,Địa chỉ IP máy thực hiện,theo từng thao tác xử lý hồ sơ,Text,NHNCK,Securities Practitioner License Application Processing Activity Log,draft,
NHNCK_017,,Activity Detail,Mô tả nội dung thao tác,theo từng thao tác xử lý hồ sơ,Text,NHNCK,Securities Practitioner License Application Processing Activity Log,draft,
NHNCK_018,,License Application Verification Status Code,Mã yêu cầu phê duyệt,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application Verification Status | Securities Practitioner License Application,draft,FK target: Securities Practitioner License Application Verification Status.License Application Verification Status Code. Pair with License Application Verification Status Id.
NHNCK_019,,License Application Code,Mã định danh (tự động tăng). BK,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application Verification Status | Securities Practitioner Qualification Examination Assessment Result | Securities Practitioner License Application | Securities Practitioner License Application Document Attachment | Securities Practitioner License Application Education Certificate Document | Securities Practitioner License Application Fee,draft,BK chính. PK nguồn.
NHNCK_020,,Verification Status Code,Trạng thái phê duyệt (FK → ApplicationStatuses),theo từng lần phê duyệt hồ sơ,Classification Value,NHNCK,Securities Practitioner License Application Verification Status,draft,Scheme: APPLICATION_STATUS. FK đến bảng ApplicationStatuses.
NHNCK_021,,Previous Verification Status Code,Trạng thái hồ sơ trước đó,theo từng lần phê duyệt hồ sơ,Classification Value,NHNCK,Securities Practitioner License Application Verification Status,draft,Scheme: APPLICATION_STATUS.
NHNCK_022,,Verified By Officer Code,Mã người phê duyệt,theo từng lần phê duyệt hồ sơ,Text,NHNCK,Securities Practitioner License Application Verification Status,draft,FK target: Regulatory Authority Officer.Officer Code. Pair with Verified By Officer Id.
NHNCK_023,,Rejection Reason Description,Lý do thay đổi trạng thái,theo từng lần phê duyệt hồ sơ,Text,NHNCK,Securities Practitioner License Application Verification Status,draft,
NHNCK_024,,Specialization Officer Reason,Nội dung ý kiến — Lãnh đạo chuyên môn,theo từng lần phê duyệt hồ sơ,Text,NHNCK,Securities Practitioner License Application Verification Status,draft,
NHNCK_025,,Organization Officer Reason,Nội dung ý kiến — Lãnh đạo UBCK,theo từng lần phê duyệt hồ sơ,Text,NHNCK,Securities Practitioner License Application Verification Status,draft,
NHNCK_026,,Overview Officer Reason,Nội dung ý kiến — Cán bộ tổng hợp,theo từng lần phê duyệt hồ sơ,Text,NHNCK,Securities Practitioner License Application Verification Status,draft,
NHNCK_027,,License Certificate Document Activity Log Code,Mã định danh (tự động tăng). BK,theo từng thao tác trên chứng chỉ,Text,NHNCK,Securities Practitioner License Certificate Document Activity Log,draft,BK chính.
NHNCK_028,,License Certificate Document Code,Mã CCHN đã cấp,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Certificate Document Activity Log | Securities Practitioner License Certificate Document Status History | Securities Practitioner License Application | Securities Practitioner License Certificate Document | Securities Practitioner License Certificate Group Member | Securities Practitioner Organization Employment Report,draft,FK target: Securities Practitioner License Certificate Document.License Certificate Document Code. Pair with License Certificate Document Id.
NHNCK_029,,Activity Type Code,Loại hành động,theo từng thao tác trên chứng chỉ,Classification Value,NHNCK,Securities Practitioner License Certificate Document Activity Log,draft,Scheme: CERTIFICATE_ACTIVITY_TYPE.
NHNCK_030,,Certificate Number,Số chứng chỉ (snapshot tại thời điểm cấp),theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Certificate Document Activity Log | Securities Practitioner License Application | Securities Practitioner License Certificate Document | Securities Practitioner Organization Employment Report,draft,Denormalized snapshot.
NHNCK_031,,Issue Date,Ngày ban hành quyết định,theo từng giấy tờ định danh,Date,NHNCK,Securities Practitioner License Certificate Document Activity Log | Securities Practitioner License Application | Involved Party Alternative Identification,draft,
NHNCK_032,,Activity Note,Ghi chú hoạt động,theo từng thao tác trên chứng chỉ,Text,NHNCK,Securities Practitioner License Certificate Document Activity Log,draft,
NHNCK_033,,Processed By Officer Code,Mã người xử lý,theo từng thao tác trên chứng chỉ,Text,NHNCK,Securities Practitioner License Certificate Document Activity Log,draft,FK target: Regulatory Authority Officer.Officer Code. Pair with Processed By Officer Id.
NHNCK_034,,License Certificate Document Status History Code,Mã định danh (tự động tăng). BK,theo từng thay đổi trạng thái chứng chỉ,Text,NHNCK,Securities Practitioner License Certificate Document Status History,draft,BK chính.
NHNCK_035,,Update Type Code,"Loại cập nhật (Manual, System, Decision)",theo từng thay đổi trạng thái chứng chỉ,Classification Value,NHNCK,Securities Practitioner License Certificate Document Status History,draft,Scheme: STATUS_UPDATE_TYPE.
NHNCK_036,,Old Status Code,Trạng thái trước,theo từng thay đổi trạng thái chứng chỉ,Classification Value,NHNCK,Securities Practitioner License Certificate Document Status History,draft,Scheme: CERTIFICATE_STATUS.
NHNCK_037,,New Status Code,Trạng thái sau,theo từng thay đổi trạng thái chứng chỉ,Classification Value,NHNCK,Securities Practitioner License Certificate Document Status History,draft,Scheme: CERTIFICATE_STATUS.
NHNCK_038,,Status Change Reason Description,Lý do thay đổi,theo từng thay đổi trạng thái chứng chỉ,Text,NHNCK,Securities Practitioner License Certificate Document Status History,draft,
NHNCK_039,,Status Change Timestamp,Thời điểm thay đổi,theo từng thay đổi trạng thái chứng chỉ,Timestamp,NHNCK,Securities Practitioner License Certificate Document Status History,draft,CreatedAt = thời điểm ghi lịch sử.
NHNCK_040,,Professional Training Class Enrollment Code,Mã định danh (tự động tăng). BK,theo từng lượt đăng ký học,Text,NHNCK,Securities Practitioner Professional Training Class Enrollment,draft,BK chính.
NHNCK_041,,Professional Training Class Code,Mã định danh (tự động tăng). BK,theo từng khóa đào tạo,Text,NHNCK,Securities Practitioner Professional Training Class Enrollment | Securities Practitioner Professional Training Class,draft,BK chính. PK nguồn.
NHNCK_042,,Place Of Birth,Nơi sinh,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Professional Training Class Enrollment | Securities Practitioner Identity Verification Record,draft,
NHNCK_043,,Exam Number,,,,NHNCK,,draft,Abstract parent — see child terms for specific meanings
NHNCK_044,NHNCK_043,Exam Number,Số dự thi,theo từng lượt đăng ký học,Text,NHNCK,Securities Practitioner Professional Training Class Enrollment,draft,Số dự thi của học viên trong khóa đào tạo
NHNCK_045,NHNCK_043,Exam Number,Số báo danh,theo từng kết quả thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment Result,draft,Số báo danh của thí sinh trong đợt thi cấp chứng chỉ
NHNCK_046,,Enrollment Description,Mô tả,theo từng lượt đăng ký học,Text,NHNCK,Securities Practitioner Professional Training Class Enrollment,draft,
NHNCK_047,,Assessment Score,Điểm thi,theo từng lượt đăng ký học,Text,NHNCK,Securities Practitioner Professional Training Class Enrollment,draft,"Text vì có thể dạng text (VD: ""Vắng"")."
NHNCK_048,,Assessment Result Code,"Kết quả thi (1: Đạt, 0: Không đạt)",theo từng lượt đăng ký học,Classification Value,NHNCK,Securities Practitioner Professional Training Class Enrollment,draft,Scheme: TRAINING_RESULT.
NHNCK_049,,Enrollment Note,Ghi chú,theo từng lượt đăng ký học,Text,NHNCK,Securities Practitioner Professional Training Class Enrollment,draft,
NHNCK_050,,Enrollment Status Code,"Trạng thái (0: Chờ thẩm định, 1: Xác nhận, 2: Yêu cầu nộp lại, 3: Từ chối)",theo từng lượt đăng ký học,Classification Value,NHNCK,Securities Practitioner Professional Training Class Enrollment,draft,Scheme: ENROLLMENT_STATUS.
NHNCK_051,,Assignee Officer Code,,,,NHNCK,,draft,Abstract parent — see child terms for specific meanings
NHNCK_052,NHNCK_051,Assignee Officer Code,Mã cán bộ xử lý,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner Professional Training Class Enrollment | Securities Practitioner License Application,draft,Mã cán bộ được phân công xử lý hồ sơ / khóa học
NHNCK_053,NHNCK_051,Assignee Officer Code,Mã người thẩm định,theo từng tài liệu đính kèm hồ sơ,Text,NHNCK,Securities Practitioner License Application Document Attachment | Securities Practitioner License Application Education Certificate Document,draft,Mã người được phân công thẩm định tài liệu đính kèm hồ sơ
NHNCK_054,,Identity Verification Record Code,Mã định danh (tự động tăng). BK,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,BK chính.
NHNCK_055,,Identity Number,Số định danh cá nhân (CCCD/CMND),theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,Số định danh được xác thực qua C06.
NHNCK_056,,First Name,Tên,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_057,,Birth Year,Năm sinh,theo từng người hành nghề,Text,NHNCK,Securities Practitioner Identity Verification Record | Securities Practitioner | Securities Practitioner Related Party,draft,"Text vì là năm dạng ""1990""."
NHNCK_058,,Individual Gender Code,"Giới tính (0: Nữ, 1: Nam)",theo từng lần xác thực danh tính,Classification Value,NHNCK,Securities Practitioner Identity Verification Record,draft,Scheme: INDIVIDUAL_GENDER.
NHNCK_059,,Nationality Code,Quốc tịch,theo từng lần xác thực danh tính,Classification Value,NHNCK,Securities Practitioner Identity Verification Record,draft,Scheme: NATIONALITY.
NHNCK_060,,Religion Name,Tôn giáo,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,Text tự do.
NHNCK_061,,Country Code,Quốc gia/quốc tịch,theo từng người hành nghề,Classification Value,NHNCK,Securities Practitioner Identity Verification Record | Securities Practitioner | Securities Practitioner Related Party,draft,Scheme: COUNTRY.
NHNCK_062,,Hometown,Địa chỉ quê quán,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_063,,Permanent Country Code,Quốc gia nguyên quán,theo từng lần xác thực danh tính,Classification Value,NHNCK,Securities Practitioner Identity Verification Record,draft,Scheme: COUNTRY.
NHNCK_064,,Permanent Province Code,Tỉnh thành nguyên quán,theo từng lần xác thực danh tính,Classification Value,NHNCK,Securities Practitioner Identity Verification Record,draft,Scheme: PROVINCE.
NHNCK_065,,Permanent District Code,Quận huyện nguyên quán,theo từng lần xác thực danh tính,Classification Value,NHNCK,Securities Practitioner Identity Verification Record,draft,Scheme: DISTRICT.
NHNCK_066,,Permanent Address Detail,Địa chỉ nguyên quán chi tiết,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_067,,Current Country Code,Quốc gia hiện tại,theo từng lần xác thực danh tính,Classification Value,NHNCK,Securities Practitioner Identity Verification Record,draft,Scheme: COUNTRY.
NHNCK_068,,Current Province Code,Tỉnh thành hiện tại,theo từng lần xác thực danh tính,Classification Value,NHNCK,Securities Practitioner Identity Verification Record,draft,Scheme: PROVINCE.
NHNCK_069,,Current District Code,Quận huyện hiện tại,theo từng lần xác thực danh tính,Classification Value,NHNCK,Securities Practitioner Identity Verification Record,draft,Scheme: DISTRICT.
NHNCK_070,,Current Address Detail,Địa chỉ hiện tại chi tiết,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_071,,Father Full Name,Họ và tên bố,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_072,,Father Country Code,Quốc gia của bố,theo từng lần xác thực danh tính,Classification Value,NHNCK,Securities Practitioner Identity Verification Record,draft,Scheme: COUNTRY.
NHNCK_073,,Father Identity Number,Số định danh của bố,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_074,,Father Identity Number Old,Số định danh cũ của bố,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_075,,Mother Full Name,Họ và tên mẹ,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_076,,Mother Country Code,Quốc gia của mẹ,theo từng lần xác thực danh tính,Classification Value,NHNCK,Securities Practitioner Identity Verification Record,draft,Scheme: COUNTRY.
NHNCK_077,,Mother Identity Number,Số định danh của mẹ,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_078,,Mother Identity Number Old,Số định danh cũ của mẹ,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_079,,Couple Full Name,Họ và tên vợ/chồng,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_080,,Couple Country Code,Quốc gia của vợ/chồng,theo từng lần xác thực danh tính,Classification Value,NHNCK,Securities Practitioner Identity Verification Record,draft,Scheme: COUNTRY.
NHNCK_081,,Couple Identity Number,Số định danh của vợ/chồng,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_082,,Couple Identity Number Old,Số định danh cũ của vợ/chồng,theo từng lần xác thực danh tính,Text,NHNCK,Securities Practitioner Identity Verification Record,draft,
NHNCK_083,,Examination Assessment Code,Mã đợt thi,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner Qualification Examination Assessment | Securities Practitioner Qualification Examination Assessment Result | Securities Practitioner Qualification Examination Assessment Fee | Securities Practitioner License Application,draft,FK target: Securities Practitioner Qualification Examination Assessment.Examination Assessment Code. Pair with Examination Assessment Id.
NHNCK_084,,Session Code,Mã đợt thi (mã nghiệp vụ),theo từng đợt thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,"Mã nghiệp vụ, khác BK."
NHNCK_085,,Session Name,Tên đợt thi,theo từng đợt thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,
NHNCK_086,,Examination Year,Năm thi,theo từng đợt thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,"Text vì là năm dạng ""2025""."
NHNCK_087,,Session Number,Đợt thi (số thứ tự trong năm),theo từng đợt thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,
NHNCK_088,,Organizer Name,Đơn vị tổ chức,theo từng đợt thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,Suffix Name — text tự do.
NHNCK_089,,Registration Start Date,Ngày bắt đầu nhận hồ sơ,theo từng đợt thi,Date,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,
NHNCK_090,,Registration End Date,Ngày kết thúc nhận hồ sơ,theo từng đợt thi,Date,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,
NHNCK_091,,Examination Start Date,Ngày bắt đầu thi,theo từng đợt thi,Date,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,
NHNCK_092,,Examination End Date,Ngày kết thúc thi,theo từng đợt thi,Date,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,
NHNCK_093,,Examination Location,Địa điểm thi,theo từng đợt thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,Text tự do.
NHNCK_094,,Notification Date,Ngày thông báo kết quả,theo từng đợt thi,Date,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,
NHNCK_095,,Submission Method Description,Phương thức nộp hồ sơ,theo từng đợt thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,Text tự do.
NHNCK_096,,Attachment File Path,File thông báo đính kèm,theo từng đợt thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment | Securities Practitioner License Decision Document | Securities Practitioner Professional Training Class,draft,
NHNCK_097,,Examination Status Code,"Trạng thái (0: Chưa hoàn thành, 1: Đã hoàn thành)",theo từng đợt thi,Classification Value,NHNCK,Securities Practitioner Qualification Examination Assessment,draft,Scheme: EXAMINATION_STATUS.
NHNCK_098,,Examination Assessment Result Code,Mã định danh (tự động tăng). BK,theo từng kết quả thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment Result,draft,BK chính.
NHNCK_099,,Certificate Type Code,Mã loại chứng chỉ đăng ký,theo từng hồ sơ CCHN,Classification Value,NHNCK,Securities Practitioner Qualification Examination Assessment Result | Securities Practitioner Qualification Examination Assessment Fee | Securities Practitioner License Application | Securities Practitioner License Certificate Document | Securities Practitioner Organization Employment Report,draft,Scheme: CERTIFICATE_TYPE.
NHNCK_100,,Sequence Number,Số thứ tự trong đợt thi,theo từng kết quả thi,Small Counter,NHNCK,Securities Practitioner Qualification Examination Assessment Result,draft,
NHNCK_101,,Law Score,Điểm pháp luật,theo từng kết quả thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment Result,draft,"Text vì có thể dạng text (VD: ""Vắng"", ""Miễn thi"")."
NHNCK_102,,Law Result Indicator,"Kết quả luật (1: Đạt, 0: Không đạt)",theo từng kết quả thi,Boolean,NHNCK,Securities Practitioner Qualification Examination Assessment Result,draft,
NHNCK_103,,Specialization Score,Điểm chuyên môn,theo từng kết quả thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment Result,draft,Tương tự Law Score.
NHNCK_104,,Specialization Result Indicator,"Kết quả chuyên môn (1: Đạt, 0: Không đạt)",theo từng kết quả thi,Boolean,NHNCK,Securities Practitioner Qualification Examination Assessment Result,draft,
NHNCK_105,,Examination Result Code,"Kết quả tổng (1: Đạt, 0: Không đạt)",theo từng kết quả thi,Classification Value,NHNCK,Securities Practitioner Qualification Examination Assessment Result,draft,Scheme: EXAMINATION_RESULT.
NHNCK_106,,Examination Note,Ghi chú,theo từng kết quả thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment Result,draft,
NHNCK_107,,Examination Assessment Fee Code,Mã định danh (tự động tăng). BK,theo từng mức phí thi,Text,NHNCK,Securities Practitioner Qualification Examination Assessment Fee,draft,BK chính.
NHNCK_108,,Examination Fee Amount,Phí thi (VNĐ),theo từng mức phí thi,Currency Amount,NHNCK,Securities Practitioner Qualification Examination Assessment Fee,draft,
NHNCK_109,,Appeal Fee Amount,Phí phúc khảo (VNĐ),theo từng mức phí thi,Currency Amount,NHNCK,Securities Practitioner Qualification Examination Assessment Fee,draft,
NHNCK_110,,Fee Status Code,Trạng thái,theo từng mức phí thi,Classification Value,NHNCK,Securities Practitioner Qualification Examination Assessment Fee,draft,Scheme: FEE_STATUS.
NHNCK_111,,Application Status Code,Trạng thái hồ sơ (FK → ApplicationStatuses),theo từng hồ sơ CCHN,Classification Value,NHNCK,Securities Practitioner License Application,draft,Scheme: APPLICATION_STATUS.
NHNCK_112,,Previous Certificate Type Code,Mã loại chứng chỉ trước đó,theo từng hồ sơ CCHN,Classification Value,NHNCK,Securities Practitioner License Application,draft,Scheme: CERTIFICATE_TYPE.
NHNCK_113,,Previous License Certificate Document Code,Mã CCHN trước đó,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application,draft,FK target: Securities Practitioner License Certificate Document.License Certificate Document Code. Pair with Previous License Certificate Document Id.
NHNCK_114,,Application Code,Mã hồ sơ (mã nghiệp vụ),theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application,draft,"Mã nghiệp vụ, khác BK."
NHNCK_115,,Application Title,Tiêu đề hồ sơ,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application,draft,
NHNCK_116,,Registration Type Code,Loại đăng ký,theo từng hồ sơ CCHN,Classification Value,NHNCK,Securities Practitioner License Application,draft,Scheme: REGISTRATION_TYPE.
NHNCK_117,,Application Type Code,Loại hồ sơ,theo từng hồ sơ CCHN,Classification Value,NHNCK,Securities Practitioner License Application,draft,Scheme: APPLICATION_TYPE.
NHNCK_118,,Submission Date,Ngày nộp hồ sơ,theo từng hồ sơ CCHN,Date,NHNCK,Securities Practitioner License Application,draft,
NHNCK_119,,Supplement Date,Ngày bổ sung hồ sơ,theo từng hồ sơ CCHN,Date,NHNCK,Securities Practitioner License Application,draft,
NHNCK_120,,Supplement Letter Date,Ngày thư yêu cầu bổ sung,theo từng hồ sơ CCHN,Date,NHNCK,Securities Practitioner License Application,draft,
NHNCK_121,,Reissue Reason,Lý do cấp lại,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application,draft,
NHNCK_122,,Rejection Reason,Lý do từ chối,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application,draft,
NHNCK_123,,Previous Certificate Number,Số chứng chỉ trước đó (snapshot),theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application,draft,Denormalized snapshot.
NHNCK_124,,Previous Issue Date,Ngày cấp chứng chỉ trước đó (snapshot),theo từng hồ sơ CCHN,Date,NHNCK,Securities Practitioner License Application,draft,Denormalized snapshot.
NHNCK_125,,Reissue HSM Code,Mã tái cấp HSM,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application,draft,
NHNCK_126,,Certificate Receipt Method Code,Phương thức nhận chứng chỉ,theo từng hồ sơ CCHN,Classification Value,NHNCK,Securities Practitioner License Application,draft,Scheme: RECEIPT_METHOD.
NHNCK_127,,Certificate Receipt Address,Địa chỉ nhận chứng chỉ,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application,draft,
NHNCK_128,,Certificate Receipt Phone,Số điện thoại nhận chứng chỉ,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application,draft,
NHNCK_129,,Receipt Status Code,Trạng thái nhận chứng chỉ,theo từng hồ sơ CCHN,Classification Value,NHNCK,Securities Practitioner License Application,draft,Scheme: RECEIPT_STATUS.
NHNCK_130,,Is Violated Indicator,Cờ vi phạm,theo từng hồ sơ CCHN,Boolean,NHNCK,Securities Practitioner License Application,draft,
NHNCK_131,,Is Date Exploitable Indicator,Cờ khai thác theo ngày,theo từng hồ sơ CCHN,Boolean,NHNCK,Securities Practitioner License Application,draft,
NHNCK_132,,Application Note,Ghi chú,theo từng hồ sơ CCHN,Text,NHNCK,Securities Practitioner License Application,draft,
NHNCK_133,,License Application Document Attachment Code,Mã định danh (tự động tăng). BK,theo từng tài liệu đính kèm hồ sơ,Text,NHNCK,Securities Practitioner License Application Document Attachment,draft,BK chính.
NHNCK_134,,Document Type Code,Mã loại tài liệu (FK → Documents),theo từng tài liệu đính kèm hồ sơ,Classification Value,NHNCK,Securities Practitioner License Application Document Attachment,draft,Scheme: DOCUMENT_TYPE. FK đến bảng Documents.
NHNCK_135,,Document Name,Tên tài liệu,theo từng tài liệu đính kèm hồ sơ,Text,NHNCK,Securities Practitioner License Application Document Attachment,draft,
NHNCK_136,,File Name,Tên file,theo từng tài liệu đính kèm hồ sơ,Text,NHNCK,Securities Practitioner License Application Document Attachment | Securities Practitioner License Application Education Certificate Document,draft,
NHNCK_137,,File Path,Đường dẫn file,theo từng tài liệu đính kèm hồ sơ,Text,NHNCK,Securities Practitioner License Application Document Attachment | Securities Practitioner License Application Education Certificate Document,draft,
NHNCK_138,,File Format,Loại file (pdf,theo từng tài liệu đính kèm hồ sơ, docx...),NHNCK,Securities Practitioner License Application Document Attachment | Securities Practitioner License Application Education Certificate Document,draft,NHNCK.qlnhn.ApplicationDocuments.Format
NHNCK_139,,File Size,Dung lượng file (bytes),theo từng tài liệu đính kèm hồ sơ,Text,NHNCK,Securities Practitioner License Application Document Attachment | Securities Practitioner License Application Education Certificate Document,draft,
NHNCK_140,,Attachment Description,Mô tả tài liệu,theo từng tài liệu đính kèm hồ sơ,Text,NHNCK,Securities Practitioner License Application Document Attachment,draft,
NHNCK_141,,Attachment Note,Ghi chú thẩm định,theo từng tài liệu đính kèm hồ sơ,Text,NHNCK,Securities Practitioner License Application Document Attachment,draft,
