kpi_id,dashboard,kpi_name,kpi_description,requirement_group,kpi_category,source_module,mart_table,mart_column,column_role,logic,silver_entity,silver_attribute
K_NHNCK_3a_YOY,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Thu hồi 3 năm — YoY%,So sánh cùng kỳ K_NHNCK_3a,Dashboard,Chỉ tiêu phái sinh,NHNCK,Fact Certificate Snapshot,Snapshot Date,SLICER,(K3a_year_N - K3a_year_N-1) / K3a_year_N-1 × 100,,
K_NHNCK_3b,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Thu hồi vĩnh viễn,Số CCHN thu hồi không thời hạn (O2: Silver chưa phân biệt),Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,License Certificate Document Code,MEASURE,COUNT (O2),Securities Practitioner License Certificate Document,License Certificate Document Code
K_NHNCK_3b,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Thu hồi vĩnh viễn,Số CCHN thu hồi không thời hạn (O2: Silver chưa phân biệt),Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_3b_YOY,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Thu hồi vĩnh viễn — YoY%,So sánh cùng kỳ K_NHNCK_3b,Dashboard,Chỉ tiêu phái sinh,NHNCK,Fact Certificate Snapshot,Snapshot Date,SLICER,(K3b_year_N - K3b_year_N-1) / K3b_year_N-1 × 100,,
K_NHNCK_4,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,CCHN đang hoạt động,Số CCHN trạng thái hoạt động lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,License Certificate Document Code,MEASURE,COUNT,Securities Practitioner License Certificate Document,License Certificate Document Code
K_NHNCK_4,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,CCHN đang hoạt động,Số CCHN trạng thái hoạt động lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Classification Dimension,Classification Code,FILTER,Certificate Status Code = 1 (Đang sử dụng),Classification Value,CERTIFICATE_STATUS
K_NHNCK_4,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,CCHN đang hoạt động,Số CCHN trạng thái hoạt động lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_4_YOY,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,CCHN đang hoạt động — YoY%,So sánh cùng kỳ K_NHNCK_4,Dashboard,Chỉ tiêu phái sinh,NHNCK,Fact Certificate Snapshot,Snapshot Date,SLICER,(K4_year_N - K4_year_N-1) / K4_year_N-1 × 100,,
K_NHNCK_5,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Đã bị hủy,Số CCHN bị hủy lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,License Certificate Document Code,MEASURE,COUNT,Securities Practitioner License Certificate Document,License Certificate Document Code
K_NHNCK_5,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Đã bị hủy,Số CCHN bị hủy lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Classification Dimension,Classification Code,FILTER,Certificate Status Code = 3 (Đã hủy),Classification Value,CERTIFICATE_STATUS
K_NHNCK_5,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Đã bị hủy,Số CCHN bị hủy lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_5_YOY,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Đã bị hủy — YoY%,So sánh cùng kỳ K_NHNCK_5,Dashboard,Chỉ tiêu phái sinh,NHNCK,Fact Certificate Snapshot,Snapshot Date,SLICER,(K5_year_N - K5_year_N-1) / K5_year_N-1 × 100,,
K_NHNCK_6,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Cảnh báo NHNCK,Số NHN có vi phạm lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Violation,Practitioner Dimension Id,MEASURE,COUNT DISTINCT,Securities Practitioner Conduct Violation,Practitioner Id
K_NHNCK_6,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Cảnh báo NHNCK,Số NHN có vi phạm lũy kế đến ngày cuối cùng năm đã chọn,Dashboard,Chỉ tiêu cơ sở,NHNCK,Calendar Date Dimension,Year,FILTER,Violation Date year <= selected year,,Generated
K_NHNCK_6_YOY,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Các chỉ tiêu tổng hợp thông tin chung,Cảnh báo NHNCK — YoY%,So sánh cùng kỳ K_NHNCK_6,Dashboard,Chỉ tiêu phái sinh,NHNCK,Fact Violation,Violation Date,SLICER,(K6_year_N - K6_year_N-1) / K6_year_N-1 × 100,,
K_NHNCK_7,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Số lượng Tiến sĩ,Số NHN trình độ Tiến sĩ,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Practitioner Dimension Id,MEASURE,COUNT DISTINCT,Securities Practitioner,Practitioner Id
K_NHNCK_7,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Số lượng Tiến sĩ,Số NHN trình độ Tiến sĩ,Dashboard,Chỉ tiêu cơ sở,NHNCK,Securities Practitioner Dimension,Education Level Code,FILTER,Education Level Code = Tiến sĩ,Classification Value,EDUCATION_LEVEL
K_NHNCK_7,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Số lượng Tiến sĩ,Số NHN trình độ Tiến sĩ,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_8,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Số lượng Thạc sĩ,Số NHN trình độ Thạc sĩ,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Practitioner Dimension Id,MEASURE,COUNT DISTINCT,Securities Practitioner,Practitioner Id
K_NHNCK_8,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Số lượng Thạc sĩ,Số NHN trình độ Thạc sĩ,Dashboard,Chỉ tiêu cơ sở,NHNCK,Securities Practitioner Dimension,Education Level Code,FILTER,Education Level Code = Thạc sĩ,Classification Value,EDUCATION_LEVEL
K_NHNCK_8,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Số lượng Thạc sĩ,Số NHN trình độ Thạc sĩ,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_9,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Số lượng Đại học,Số NHN trình độ Đại học,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Practitioner Dimension Id,MEASURE,COUNT DISTINCT,Securities Practitioner,Practitioner Id
K_NHNCK_9,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Số lượng Đại học,Số NHN trình độ Đại học,Dashboard,Chỉ tiêu cơ sở,NHNCK,Securities Practitioner Dimension,Education Level Code,FILTER,Education Level Code = Đại học,Classification Value,EDUCATION_LEVEL
K_NHNCK_9,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Số lượng Đại học,Số NHN trình độ Đại học,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_10,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Tỷ lệ Tiến sĩ (%),Tỷ lệ NHN Tiến sĩ trên tổng,Dashboard,Chỉ tiêu phái sinh,NHNCK,Fact Practitioner Snapshot,Practitioner Dimension Id,MEASURE,K7 / K1 × 100,,
K_NHNCK_11,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Tỷ lệ Thạc sĩ (%),Tỷ lệ NHN Thạc sĩ trên tổng,Dashboard,Chỉ tiêu phái sinh,NHNCK,Fact Practitioner Snapshot,Practitioner Dimension Id,MEASURE,K8 / K1 × 100,,
K_NHNCK_12,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ học vấn,Tỷ lệ Đại học (%),Tỷ lệ NHN Đại học trên tổng,Dashboard,Chỉ tiêu phái sinh,NHNCK,Fact Practitioner Snapshot,Practitioner Dimension Id,MEASURE,K9 / K1 × 100,,
K_NHNCK_13,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là Môi giới,Số CCHN Môi giới đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,License Certificate Document Code,MEASURE,COUNT,Securities Practitioner License Certificate Document,License Certificate Document Code
K_NHNCK_13,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là Môi giới,Số CCHN Môi giới đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Classification Dimension,Classification Code,FILTER,Certificate Type = Môi giới,Classification Value,CERTIFICATE_TYPE
K_NHNCK_13,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là Môi giới,Số CCHN Môi giới đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Classification Dimension,Classification Code,FILTER,Certificate Status Code = 1 (Đang sử dụng),Classification Value,CERTIFICATE_STATUS
K_NHNCK_13,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là Môi giới,Số CCHN Môi giới đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_14,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là Phân tích,Số CCHN Phân tích đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,License Certificate Document Code,MEASURE,COUNT,Securities Practitioner License Certificate Document,License Certificate Document Code
K_NHNCK_14,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là Phân tích,Số CCHN Phân tích đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Classification Dimension,Classification Code,FILTER,Certificate Type = Phân tích,Classification Value,CERTIFICATE_TYPE
K_NHNCK_14,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là Phân tích,Số CCHN Phân tích đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Classification Dimension,Classification Code,FILTER,Certificate Status Code = 1 (Đang sử dụng),Classification Value,CERTIFICATE_STATUS
K_NHNCK_14,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là Phân tích,Số CCHN Phân tích đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_15,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là QLQ,Số CCHN QLQ đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,License Certificate Document Code,MEASURE,COUNT,Securities Practitioner License Certificate Document,License Certificate Document Code
K_NHNCK_15,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là QLQ,Số CCHN QLQ đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Classification Dimension,Classification Code,FILTER,Certificate Type = QLQ,Classification Value,CERTIFICATE_TYPE
K_NHNCK_15,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là QLQ,Số CCHN QLQ đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Classification Dimension,Classification Code,FILTER,Certificate Status Code = 1 (Đang sử dụng),Classification Value,CERTIFICATE_STATUS
K_NHNCK_15,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo loại CCHN,Số lượng CCHN là QLQ,Số CCHN QLQ đang hoạt động,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Certificate Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_16,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 18–21 quốc tịch VN,Số NHN độ tuổi 18–21 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Practitioner Dimension Id,MEASURE,COUNT DISTINCT,Securities Practitioner,Practitioner Id
K_NHNCK_16,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 18–21 quốc tịch VN,Số NHN độ tuổi 18–21 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Securities Practitioner Dimension,Date Of Birth,FILTER,Age group = 18–21,Securities Practitioner,Date Of Birth
K_NHNCK_16,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 18–21 quốc tịch VN,Số NHN độ tuổi 18–21 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Securities Practitioner Dimension,Nationality Code,FILTER,Nationality = VN,Securities Practitioner,Nationality Code
K_NHNCK_16,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 18–21 quốc tịch VN,Số NHN độ tuổi 18–21 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_17,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 22–30 quốc tịch VN,Số NHN độ tuổi 22–30 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Practitioner Dimension Id,MEASURE,COUNT DISTINCT,Securities Practitioner,Practitioner Id
K_NHNCK_17,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 22–30 quốc tịch VN,Số NHN độ tuổi 22–30 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Securities Practitioner Dimension,Date Of Birth,FILTER,Age group = 22–30,Securities Practitioner,Date Of Birth
K_NHNCK_17,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 22–30 quốc tịch VN,Số NHN độ tuổi 22–30 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Securities Practitioner Dimension,Nationality Code,FILTER,Nationality = VN,Securities Practitioner,Nationality Code
K_NHNCK_17,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 22–30 quốc tịch VN,Số NHN độ tuổi 22–30 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_18,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 31–40 quốc tịch VN,Số NHN độ tuổi 31–40 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Practitioner Dimension Id,MEASURE,COUNT DISTINCT,Securities Practitioner,Practitioner Id
K_NHNCK_18,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 31–40 quốc tịch VN,Số NHN độ tuổi 31–40 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Securities Practitioner Dimension,Date Of Birth,FILTER,Age group = 31–40,Securities Practitioner,Date Of Birth
K_NHNCK_18,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 31–40 quốc tịch VN,Số NHN độ tuổi 31–40 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Securities Practitioner Dimension,Nationality Code,FILTER,Nationality = VN,Securities Practitioner,Nationality Code
K_NHNCK_18,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 31–40 quốc tịch VN,Số NHN độ tuổi 31–40 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Snapshot Date,FILTER,= last day of selected year,,ETL derived
K_NHNCK_19,Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ theo độ tuổi và quốc tịch,Số lượng NHN 41–50 quốc tịch VN,Số NHN độ tuổi 41–50 quốc tịch VN,Dashboard,Chỉ tiêu cơ sở,NHNCK,Fact Practitioner Snapshot,Practitioner Dimension Id,MEASURE,COUNT DISTINCT,Securities Practitioner,Practitioner Id
